INT	INT	INT	INT	STRING	STRING	STRING	INT	INT	STRING	STRING	INT	STRING	STRING	INT	STRING	INT	STRING	INT	STRING
30	0	0	1	30~160	2	0	0	0	【个人】黑金押运	0	1	0	0	0	17|0|9|17|9|7	3	高风险必然带来高利润	129066	
31	0	0	1	30~160	3	0	0	0	【个人】黑金押运	0	1	0	0	0	17|0|9|17|9|7	3	高风险必然带来高利润	132063	
32	0	0	1	30~160	0	0	0	0	【个人】国家守边	0	1	0	0	0	17|16|9|17|25|7	3	为国守边，经验荣誉并存	125508	
33	0	0	1	30~160	1	0	0	0	【个人】国家守边	0	1	0	0	0	17|16|9|17|25|7	3	为国守边，经验荣誉并存	128510	
34	0	0	1	30~160	2	0	0	0	【个人】国家守边	0	1	0	0	0	17|16|9|17|25|7	3	为国守边，经验荣誉并存	131510	
35	0	0	1	30~160	3	0	0	0	【个人】国家守边	0	1	0	0	0	17|16|9|17|25|7	3	为国守边，经验荣誉并存	134510	
36	0	0	1	40~160	1	0	0	0	【个人】敌国除奸(楼兰)	0	1	0	0	0	20|0|9|20|9|7	1	敌国除奸，经验荣誉并存	128503	
37	0	0	1	40~160	1	0	0	0	【个人】敌国刺杀(楼兰)	0	1	0	0	0	18|0|9|18|9|7	1	敌国刺杀，经验荣誉并存	128505	
38	0	0	1	40~160	1	0	0	0	【个人】敌国情报(楼兰)	0	1	0	0	0	22|0|9|22|9|7	1	敌国情报，经验荣誉并存	128504	
39	0	0	1	40~160	1	0	0	0	【个人】敌国夺旗(楼兰)	0	1	0	0	0	24|0|9|24|9|7	1	敌国夺旗，经验荣誉并存	128502	
40	0	0	1	40~160	2	0	0	0	【个人】敌国除奸(楼兰)	0	1	0	0	0	20|0|9|20|9|7	1	敌国除奸，经验荣誉并存	131503	
41	0	0	1	40~160	2	0	0	0	【个人】敌国刺杀(楼兰)	0	1	0	0	0	18|0|9|18|9|7	1	敌国刺杀，经验荣誉并存	131505	
42	0	0	1	40~160	2	0	0	0	【个人】敌国情报(楼兰)	0	1	0	0	0	22|0|9|22|9|7	1	敌国情报，经验荣誉并存	131504	
43	0	0	1	40~160	2	0	0	0	【个人】敌国夺旗(楼兰)	0	1	0	0	0	24|0|9|24|9|7	1	敌国夺旗，经验荣誉并存	131502	
44	0	0	1	40~160	3	0	0	0	【个人】敌国除奸(楼兰)	0	1	0	0	0	20|0|9|20|9|7	1	敌国除奸，经验荣誉并存	134503	
45	0	0	1	40~160	3	0	0	0	【个人】敌国刺杀(楼兰)	0	1	0	0	0	18|0|9|18|9|7	1	敌国刺杀，经验荣誉并存	134505	
46	0	0	1	40~160	3	0	0	0	【个人】敌国情报(楼兰)	0	1	0	0	0	22|0|9|22|9|7	1	敌国情报，经验荣誉并存	134504	
47	0	0	1	40~160	3	0	0	0	【个人】敌国夺旗(楼兰)	0	1	0	0	0	24|0|9|24|9|7	1	敌国夺旗，经验荣誉并存	134502	
48	0	0	1	50~64	0~3	0	0	0	【个人】五耀律诀	0	1	0	0	0	27|5|9|0|0|0	1	获得五耀之证	129705	
49	0	0	1	65~160	0~3	0	0	0	【个人】五耀律诀	0	1	0	0	0	27|5|9|0|0|0	1	获得五耀之证	129702	
50	0	1	1	30~160	0	0	0	0	【好友】意气相投	0	0	1|3	0	0	31|0|9|31|18|9	1	意气相投真朋友	123759	set:CJSH_fuben_2 image:CJSH_fuben_2_15
51	0	1	1	30~160	1	0	0	0	【好友】意气相投	0	0	1|3	0	0	31|0|9|31|18|9	1	意气相投真朋友	126055	set:CJSH_fuben_2 image:CJSH_fuben_2_15
52	0	1	1	30~160	2	0	0	0	【好友】意气相投	0	0	1|3	0	0	31|0|9|31|18|9	1	意气相投真朋友	129057	set:CJSH_fuben_2 image:CJSH_fuben_2_15
53	0	1	1	30~160	3	0	0	0	【好友】意气相投	0	0	1|3	0	0	31|0|9|31|18|9	1	意气相投真朋友	132055	set:CJSH_fuben_2 image:CJSH_fuben_2_15
54	0	0	1	30~160	0	0	0	1	【队伍】轮回台	0	1	0	1130~1330	0	205|16|9|205|25|7	1	每天一次，经验无限	123712	
55	0	0	1	30~160	0	0	0	1	【队伍】轮回台	0	1	0	2030~2230	0	205|16|9|205|25|7	1	每天一次，经验无限	123712	
56	0	0	1	30~160	1	0	0	1	【队伍】轮回台	0	1	0	1130~1330	0	205|16|9|205|25|7	1	每天一次，经验无限	126011	
57	0	0	1	30~160	1	0	0	1	【队伍】轮回台	0	1	0	2030~2230	0	205|16|9|205|25|7	1	每天一次，经验无限	126011	
58	0	0	1	30~160	2	0	0	1	【队伍】轮回台	0	1	0	1130~1330	0	205|16|9|205|25|7	1	每天一次，经验无限	129009	
59	0	0	1	30~160	2	0	0	1	【队伍】轮回台	0	1	0	2030~2230	0	205|16|9|205|25|7	1	每天一次，经验无限	129009	
60	0	0	1	30~160	3	0	0	1	【队伍】轮回台	0	1	0	1130~1330	0	205|16|9|205|25|7	1	每天一次，经验无限	132011	
61	0	0	1	30~160	3	0	0	1	【队伍】轮回台	0	1	0	2030~2230	0	205|16|9|205|25|7	1	每天一次，经验无限	132011	
62	0	0	1	30~160	0	0	0	0	【队伍】轮回台	0	1	0	0	0	205|16|9|205|25|7	1	每天一次，经验无限	123712	
63	0	0	1	30~160	1	0	0	0	【队伍】轮回台	0	1	0	0	0	205|16|9|205|25|7	1	每天一次，经验无限	126011	
64	0	0	1	30~160	2	0	0	0	【队伍】轮回台	0	1	0	0	0	205|16|9|205|25|7	1	每天一次，经验无限	129009	
65	0	0	1	30~160	3	0	0	0	【队伍】轮回台	0	1	0	0	0	205|16|9|205|25|7	1	每天一次，经验无限	132011	
66	0	0	1	40~160	0	0	0	1	【队伍】十八魔君	0	1	0	2300~2400	0	0	1	珍贵道具由这里产出	123719	
67	0	0	1	40~160	1	0	0	1	【队伍】十八魔君	0	1	0	2300~2400	0	0	1	珍贵道具由这里产出	126016	
68	0	0	1	40~160	2	0	0	1	【队伍】十八魔君	0	1	0	2300~2400	0	0	1	珍贵道具由这里产出	129016	
69	0	0	1	40~160	3	0	0	1	【队伍】十八魔君	0	1	0	2300~2400	0	0	1	珍贵道具由这里产出	132016	
70	0	0	1	50~160	0	0	0	1	【队伍】圣山地宫	0	1	0	0200~0220	0	0	0	使用五耀之力消灭敌人	124539|124540|124541|124542|124543|124544	
71	0	0	1	50~160	1	0	0	1	【队伍】圣山地宫	0	1	0	0200~0220	0	0	0	使用五耀之力消灭敌人	127550|127551|127552|127553|127554|12755	
72	0	0	1	50~160	2	0	0	1	【队伍】圣山地宫	0	1	0	0200~0220	0	0	0	使用五耀之力消灭敌人	130543|130544|130545|130546|130547|130548	
73	0	0	1	50~160	3	0	0	1	【队伍】圣山地宫	0	1	0	0200~0220	0	0	0	使用五耀之力消灭敌人	133539|133540|133541|133542|133543|133544	
74	0	0	1	50~160	0	0	0	1	【队伍】圣山地宫	0	1	0	0600~0620	0	0	0	使用五耀之力消灭敌人	124539|124540|124541|124542|124543|124544	
75	0	0	1	50~160	1	0	0	1	【队伍】圣山地宫	0	1	0	0600~0620	0	0	0	使用五耀之力消灭敌人	127550|127551|127552|127553|127554|12755	
76	0	0	1	50~160	2	0	0	1	【队伍】圣山地宫	0	1	0	0600~0620	0	0	0	使用五耀之力消灭敌人	130543|130544|130545|130546|130547|130548	
77	0	0	1	50~160	3	0	0	1	【队伍】圣山地宫	0	1	0	0600~0620	0	0	0	使用五耀之力消灭敌人	133539|133540|133541|133542|133543|133544	
78	0	0	1	50~160	0	0	0	1	【队伍】圣山地宫	0	1	0	1000~1020	0	0	0	使用五耀之力消灭敌人	124539|124540|124541|124542|124543|124544	
79	0	0	1	50~160	1	0	0	1	【队伍】圣山地宫	0	1	0	1000~1020	0	0	0	使用五耀之力消灭敌人	127550|127551|127552|127553|127554|12755	
80	0	0	1	50~160	2	0	0	1	【队伍】圣山地宫	0	1	0	1000~1020	0	0	0	使用五耀之力消灭敌人	130543|130544|130545|130546|130547|130548	
81	0	0	1	50~160	3	0	0	1	【队伍】圣山地宫	0	1	0	1000~1020	0	0	0	使用五耀之力消灭敌人	133539|133540|133541|133542|133543|133544	
82	0	0	1	50~160	0	0	0	1	【队伍】圣山地宫	0	1	0	1400~1420	0	0	0	使用五耀之力消灭敌人	124539|124540|124541|124542|124543|124544	
83	0	0	1	50~160	1	0	0	1	【队伍】圣山地宫	0	1	0	1400~1420	0	0	0	使用五耀之力消灭敌人	127550|127551|127552|127553|127554|12755	
84	0	0	1	50~160	2	0	0	1	【队伍】圣山地宫	0	1	0	1400~1420	0	0	0	使用五耀之力消灭敌人	130543|130544|130545|130546|130547|130548	
85	0	0	1	50~160	3	0	0	1	【队伍】圣山地宫	0	1	0	1400~1420	0	0	0	使用五耀之力消灭敌人	133539|133540|133541|133542|133543|133544	
86	0	0	1	50~160	0	0	0	1	【队伍】圣山地宫	0	1	0	1800~1820	0	0	0	使用五耀之力消灭敌人	124539|124540|124541|124542|124543|124544	
87	0	0	1	50~160	1	0	0	1	【队伍】圣山地宫	0	1	0	1800~1820	0	0	0	使用五耀之力消灭敌人	127550|127551|127552|127553|127554|12755	
88	0	0	1	50~160	2	0	0	1	【队伍】圣山地宫	0	1	0	1800~1820	0	0	0	使用五耀之力消灭敌人	130543|130544|130545|130546|130547|130548	
89	0	0	1	50~160	3	0	0	1	【队伍】圣山地宫	0	1	0	1800~1820	0	0	0	使用五耀之力消灭敌人	133539|133540|133541|133542|133543|133544	
90	0	0	1	50~160	0	0	0	1	【队伍】圣山地宫	0	1	0	2200~2220	0	0	0	使用五耀之力消灭敌人	124539|124540|124541|124542|124543|124544	
91	0	0	1	50~160	1	0	0	1	【队伍】圣山地宫	0	1	0	2200~2220	0	0	0	使用五耀之力消灭敌人	127550|127551|127552|127553|127554|12755	
92	0	0	1	50~160	2	0	0	1	【队伍】圣山地宫	0	1	0	2200~2220	0	0	0	使用五耀之力消灭敌人	130543|130544|130545|130546|130547|130548	
93	0	0	1	50~160	3	0	0	1	【队伍】圣山地宫	0	1	0	2200~2220	0	0	0	使用五耀之力消灭敌人	133539|133540|133541|133542|133543|133544	
94	0	0	1	50~160	0	0	0	0	【队伍】圣山地宫	0	1	0	0	0	29|0|9|29|20|1	1	使用五耀之力消灭敌人	124539|124540|124541|124542|124543|124544	
95	0	0	1	50~160	1	0	0	0	【队伍】圣山地宫	0	1	0	0	0	29|0|9|29|20|1	1	使用五耀之力消灭敌人	127550|127551|127552|127553|127554|12755	
96	0	0	1	50~160	2	0	0	0	【队伍】圣山地宫	0	1	0	0	0	29|0|9|29|20|1	1	使用五耀之力消灭敌人	130543|130544|130545|130546|130547|130548	
97	0	0	1	50~160	3	0	0	0	【队伍】圣山地宫	0	1	0	0	0	29|0|9|29|20|1	1	使用五耀之力消灭敌人	133539|133540|133541|133542|133543|133544	
98	0	1	1	65~160	0~3	0	0	0	【队伍】钧窑厂	0	0	6|7	0	1	200|16|9|200|25|7	1	带你进入国粹陶瓷的世界	145004	set:CJSH_fuben_2 image:CJSH_fuben_2_10
99	0	1	1	65~160	0~3	0	0	0	【队伍】勾栏曲台	0	0	6|7	0	1	203|16|9|203|25|7	1	带你进入国粹京剧的世界	145004	set:CJSH_fuben_1 image:CJSH_fuben_1_3
100	0	0	1	20~160	0~3	0	0	1	【个人】答题	0	1	0	1920~1930	0	0	2	每日答题，轻松学知识	-1	
101	0	0	1	20~160	0	0	0	1	【个人】天降宝箱	0	1	0	1230~1300	0	0	1	收集宝石吧，经验等着你	123762	
102	0	0	1	20~160	1	0	0	1	【个人】天降宝箱	0	1	0	1230~1300	0	0	1	收集宝石吧，经验等着你	126058	
103	0	0	1	20~160	2	0	0	1	【个人】天降宝箱	0	1	0	1230~1300	0	0	1	收集宝石吧，经验等着你	129060	
104	0	0	1	20~160	3	0	0	1	【个人】天降宝箱	0	1	0	1230~1300	0	0	1	收集宝石吧，经验等着你	132058	
105	0	0	1	20~160	0	0	0	1	【个人】天降宝箱	0	1	0	1930~2000	0	0	1	收集宝石吧，经验等着你	123762	
106	0	0	1	20~160	1	0	0	1	【个人】天降宝箱	0	1	0	1930~2000	0	0	1	收集宝石吧，经验等着你	126058	
107	0	0	1	20~160	2	0	0	1	【个人】天降宝箱	0	1	0	1930~2000	0	0	1	收集宝石吧，经验等着你	129060	
108	0	0	1	20~160	3	0	0	1	【个人】天降宝箱	0	1	0	1930~2000	0	0	1	收集宝石吧，经验等着你	132058	
109	0	0	1	20~160	0	0	0	1	【个人】神兽玄武	0	1	0	1215~1245	0	0	0	累了吗？休息休息吧	123832	
110	0	0	1	20~160	1	0	0	1	【个人】神兽玄武	0	1	0	1215~1245	0	0	0	累了吗？休息休息吧	126132	
111	0	0	1	20~160	2	0	0	1	【个人】神兽玄武	0	1	0	1215~1245	0	0	0	累了吗？休息休息吧	129179	
112	0	0	1	20~160	3	0	0	1	【个人】神兽玄武	0	1	0	1215~1245	0	0	0	累了吗？休息休息吧	132158	
113	0	0	1	20~160	0	0	0	1	【个人】神兽玄武	0	1	0	1415~1445	0	0	0	累了吗？休息休息吧	123832	
114	0	0	1	20~160	1	0	0	1	【个人】神兽玄武	0	1	0	1415~1445	0	0	0	累了吗？休息休息吧	126132	
115	0	0	1	20~160	2	0	0	1	【个人】神兽玄武	0	1	0	1415~1445	0	0	0	累了吗？休息休息吧	129179	
116	0	0	1	20~160	3	0	0	1	【个人】神兽玄武	0	1	0	1415~1445	0	0	0	累了吗？休息休息吧	132158	
117	0	0	1	20~160	0	0	0	1	【个人】神兽玄武	0	1	0	1615~1645	0	0	0	累了吗？休息休息吧	123832	
118	0	0	1	20~160	1	0	0	1	【个人】神兽玄武	0	1	0	1615~1645	0	0	0	累了吗？休息休息吧	126132	
119	0	0	1	20~160	2	0	0	1	【个人】神兽玄武	0	1	0	1615~1645	0	0	0	累了吗？休息休息吧	129179	
120	0	0	1	20~160	3	0	0	1	【个人】神兽玄武	0	1	0	1615~1645	0	0	0	累了吗？休息休息吧	132158	
121	0	0	1	20~160	0	0	0	1	【个人】神兽玄武	0	1	0	1815~1845	0	0	0	累了吗？休息休息吧	123832	
122	0	0	1	20~160	1	0	0	1	【个人】神兽玄武	0	1	0	1815~1845	0	0	0	累了吗？休息休息吧	126132	
123	0	0	1	20~160	2	0	0	1	【个人】神兽玄武	0	1	0	1815~1845	0	0	0	累了吗？休息休息吧	129179	
124	0	0	1	20~160	3	0	0	1	【个人】神兽玄武	0	1	0	1815~1845	0	0	0	累了吗？休息休息吧	132158	
125	0	0	1	40~160	0~3	0	0	1	【体】新铁人三项	0	1	0	1930~2400	0	28|3|9|28|12|11|28|23|9	1	比拼速度的地方	139100	
126	0	1	1	20~160	0	1~10	0	1	【帮会】帮会战场	0	0	2	2000~2020	0	0	1	这是证明帮派实力的机会	123721	set:CJSH_fuben_1 image:CJSH_fuben_1_6
127	0	1	1	20~160	1	1~10	0	1	【帮会】帮会战场	0	0	2	2000~2020	0	0	1	这是证明帮派实力的机会	126018	set:CJSH_fuben_1 image:CJSH_fuben_1_6
128	0	1	1	20~160	2	1~10	0	1	【帮会】帮会战场	0	0	2	2000~2020	0	0	1	这是证明帮派实力的机会	129018	set:CJSH_fuben_1 image:CJSH_fuben_1_6
129	0	1	1	20~160	3	1~10	0	1	【帮会】帮会战场	0	0	2	2000~2020	0	0	1	这是证明帮派实力的机会	132018	set:CJSH_fuben_1 image:CJSH_fuben_1_6
130	0	1	1	20~160	0	1~10	0	1	【帮会】帮会战场	0	0	5	2000~2020	0	0	1	这是证明帮派实力的机会	123721	set:CJSH_fuben_1 image:CJSH_fuben_1_6
131	0	1	1	20~160	1	1~10	0	1	【帮会】帮会战场	0	0	5	2000~2020	0	0	1	这是证明帮派实力的机会	126018	set:CJSH_fuben_1 image:CJSH_fuben_1_6
132	0	1	1	20~160	2	1~10	0	1	【帮会】帮会战场	0	0	5	2000~2020	0	0	1	这是证明帮派实力的机会	129018	set:CJSH_fuben_1 image:CJSH_fuben_1_6
133	0	1	1	20~160	3	1~10	0	1	【帮会】帮会战场	0	0	5	2000~2020	0	0	1	这是证明帮派实力的机会	132018	set:CJSH_fuben_1 image:CJSH_fuben_1_6
134	0	1	1	40~160	0	1~10	0	1	【国家】国王战场	0	0	7	2000~2020	0	0	1	国王，国家的最高荣誉	123724	set:CJSH_fuben_1 image:CJSH_fuben_1_8
135	0	1	1	40~160	1	1~10	0	1	【国家】国王战场	0	0	7	2000~2020	0	0	1	国王，国家的最高荣誉	126021	set:CJSH_fuben_1 image:CJSH_fuben_1_8
136	0	1	1	40~160	2	1~10	0	1	【国家】国王战场	0	0	7	2000~2020	0	0	1	国王，国家的最高荣誉	129021	set:CJSH_fuben_1 image:CJSH_fuben_1_8
137	0	1	1	40~160	3	1~10	0	1	【国家】国王战场	0	0	7	2000~2020	0	0	1	国王，国家的最高荣誉	132021	set:CJSH_fuben_1 image:CJSH_fuben_1_8
138	0	1	1	60~160	0~3	0	0	1	【战场】双人战场	0	0	1|4	2000~2030	0	0	0	和队友并肩作战吧！	140552	set:CJSH_fuben_2 image:CJSH_fuben_2_12
139	0	1	1	60~160	0~3	0	0	1	【战场】双人战场	0	0	7	1355~1600	0	0	0	和队友并肩作战吧！	140552	set:CJSH_fuben_2 image:CJSH_fuben_2_12
140	0	1	1	60~160	0~3	0	0	1	【战场】六人战场	0	0	3	1930~2100	0	0	0	和队友并肩作战吧！	140606	set:CJSH_fuben_2 image:CJSH_fuben_2_11
141	0	0	1	40~160	0	0	0	0	【个人】敌国除奸(天山)	0	1	0	0	0	20|16|9|20|25|7	1	敌国除奸，经验荣誉并存	125501	
142	0	0	1	40~160	0	0	0	0	【个人】敌国刺杀(天山)	0	1	0	0	0	18|16|9|18|25|7	1	敌国刺杀，经验荣誉并存	125503	
143	0	0	1	40~160	0	0	0	0	【个人】敌国情报(天山)	0	1	0	0	0	22|16|9|22|25|7	1	敌国情报，经验荣誉并存	125502	
144	0	0	1	40~160	0	0	0	0	【个人】敌国夺旗(天山)	0	1	0	0	0	24|16|9|24|25|7	1	敌国夺旗，经验荣誉并存	125500	
145	0	0	1	40~160	2	0	0	0	【个人】敌国除奸(天山)	0	1	0	0	0	20|16|9|20|25|7	1	敌国除奸，经验荣誉并存	131503	
146	0	0	1	40~160	2	0	0	0	【个人】敌国刺杀(天山)	0	1	0	0	0	18|16|9|18|25|7	1	敌国刺杀，经验荣誉并存	131505	
147	0	0	1	40~160	2	0	0	0	【个人】敌国情报(天山)	0	1	0	0	0	22|16|9|22|25|7	1	敌国情报，经验荣誉并存	131504	
148	0	0	1	40~160	2	0	0	0	【个人】敌国夺旗(天山)	0	1	0	0	0	24|16|9|24|25|7	1	敌国夺旗，经验荣誉并存	131502	
149	0	0	1	40~160	3	0	0	0	【个人】敌国除奸(天山)	0	1	0	0	0	20|16|9|20|25|7	1	敌国除奸，经验荣誉并存	134503	
150	0	0	1	40~160	3	0	0	0	【个人】敌国刺杀(天山)	0	1	0	0	0	18|16|9|18|25|7	1	敌国刺杀，经验荣誉并存	134505	
151	0	0	1	40~160	3	0	0	0	【个人】敌国情报(天山)	0	1	0	0	0	22|16|9|22|25|7	1	敌国情报，经验荣誉并存	134504	
152	0	0	1	40~160	3	0	0	0	【个人】敌国夺旗(天山)	0	1	0	0	0	24|16|9|24|25|7	1	敌国夺旗，经验荣誉并存	134502	
153	0	0	1	40~160	0	0	0	0	【个人】敌国除奸(昆仑)	0	1	0	0	0	21|0|9|21|9|7	1	敌国除奸，经验荣誉并存	125501	
154	0	0	1	40~160	0	0	0	0	【个人】敌国刺杀(昆仑)	0	1	0	0	0	19|0|9|19|9|7	1	敌国刺杀，经验荣誉并存	125503	
155	0	0	1	40~160	0	0	0	0	【个人】敌国情报(昆仑)	0	1	0	0	0	23|0|9|23|9|7	1	敌国情报，经验荣誉并存	125502	
156	0	0	1	40~160	0	0	0	0	【个人】敌国夺旗(昆仑)	0	1	0	0	0	25|0|9|25|9|7	1	敌国夺旗，经验荣誉并存	125500	
157	0	0	1	40~160	1	0	0	0	【个人】敌国除奸(昆仑)	0	1	0	0	0	21|0|9|21|9|7	1	敌国除奸，经验荣誉并存	128503	
158	0	0	1	40~160	1	0	0	0	【个人】敌国刺杀(昆仑)	0	1	0	0	0	19|0|9|19|9|7	1	敌国刺杀，经验荣誉并存	128505	
159	0	0	1	40~160	1	0	0	0	【个人】敌国情报(昆仑)	0	1	0	0	0	23|0|9|23|9|7	1	敌国情报，经验荣誉并存	128504	
160	0	0	1	40~160	1	0	0	0	【个人】敌国夺旗(昆仑)	0	1	0	0	0	25|0|9|25|9|7	1	敌国夺旗，经验荣誉并存	128502	
161	0	0	1	40~160	3	0	0	0	【个人】敌国除奸(昆仑)	0	1	0	0	0	21|0|9|21|9|7	1	敌国除奸，经验荣誉并存	134503	
162	0	0	1	40~160	3	0	0	0	【个人】敌国刺杀(昆仑)	0	1	0	0	0	19|0|9|19|9|7	1	敌国刺杀，经验荣誉并存	134505	
163	0	0	1	40~160	3	0	0	0	【个人】敌国情报(昆仑)	0	1	0	0	0	23|0|9|23|9|7	1	敌国情报，经验荣誉并存	134504	
164	0	0	1	40~160	3	0	0	0	【个人】敌国夺旗(昆仑)	0	1	0	0	0	25|0|9|25|9|7	1	敌国夺旗，经验荣誉并存	134502	
165	0	0	1	40~160	0	0	0	0	【个人】敌国除奸(敦煌)	0	1	0	0	0	21|16|9|21|25|7	1	敌国除奸，经验荣誉并存	125501	
166	0	0	1	40~160	0	0	0	0	【个人】敌国刺杀(敦煌)	0	1	0	0	0	19|16|9|19|25|7	1	敌国刺杀，经验荣誉并存	125503	
167	0	0	1	40~160	0	0	0	0	【个人】敌国情报(敦煌)	0	1	0	0	0	23|16|9|23|25|7	1	敌国情报，经验荣誉并存	125502	
168	0	0	1	40~160	0	0	0	0	【个人】敌国夺旗(敦煌)	0	1	0	0	0	25|16|9|25|25|7	1	敌国夺旗，经验荣誉并存	125500	
169	0	0	1	40~160	1	0	0	0	【个人】敌国除奸(敦煌)	0	1	0	0	0	21|16|9|21|25|7	1	敌国除奸，经验荣誉并存	128503	
170	0	0	1	40~160	1	0	0	0	【个人】敌国刺杀(敦煌)	0	1	0	0	0	19|16|9|19|25|7	1	敌国刺杀，经验荣誉并存	128505	
171	0	0	1	40~160	1	0	0	0	【个人】敌国情报(敦煌)	0	1	0	0	0	23|16|9|23|25|7	1	敌国情报，经验荣誉并存	128504	
172	0	0	1	40~160	1	0	0	0	【个人】敌国夺旗(敦煌)	0	1	0	0	0	25|16|9|25|25|7	1	敌国夺旗，经验荣誉并存	128502	
173	0	0	1	40~160	2	0	0	0	【个人】敌国除奸(敦煌)	0	1	0	0	0	21|16|9|21|25|7	1	敌国除奸，经验荣誉并存	131503	
174	0	0	1	40~160	2	0	0	0	【个人】敌国刺杀(敦煌)	0	1	0	0	0	19|16|9|19|25|7	1	敌国刺杀，经验荣誉并存	131505	
175	0	0	1	40~160	2	0	0	0	【个人】敌国情报(敦煌)	0	1	0	0	0	23|16|9|23|25|7	1	敌国情报，经验荣誉并存	131504	
