INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT
15	10070405	辉光天狼盾	1	1	5	1	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	50	7	8		0
16	10070505	辉光猛雕盾	1	1	5	1	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	50	7	8		0
17	10077701	天赐金牌之盾	1	1	3	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	81	7	8	123779|126075|129079|132075|138664|141030	1
18	10080205	短歌细剑	1	1	5	1	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	50	8	8		0
19	10087701	天赐金牌之锏	1	1	3	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	81	8	8	123779|126075|129079|132075|138664|141030	1
20	10090205	流光羽	1	1	5	1	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	50	9	8		0
21	10097701	天赐金牌之箭	1	1	3	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	81	9	8	123779|126075|129079|132075|138664|141030	1
22	10100205	飞云弹	1	1	5	1	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	50	10	8		0
23	10107701	天赐金牌飞弹	1	1	3	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	81	10	8	123779|126075|129079|132075|138664|141030	1
24	10110205	长吟号	1	1	5	1	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	50	11	8		0
25	10117701	天赐金牌之号	1	1	3	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	81	11	8	123779|126075|129079|132075|138664|141030	1
26	10120205	山河鼓	1	1	5	1	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	50	12	8		0
27	10127701	天赐金牌之鼓	1	1	3	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	81	12	8	123779|126075|129079|132075|138664|141030	1
28	10208760	天赐金牌之盔	1	1	3	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	83	20	8	123779|126075|129079|132075|138664|141030	1
29	10208761	天赐金牌之盔	1	1	3	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	83	20	8	123779|126075|129079|132075|138664|141030	1
30	10208762	天赐金牌之盔	1	1	3	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	83	20	8	123779|126075|129079|132075|138664|141030	1
31	10208763	天赐金牌之盔	1	1	3	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	83	20	8	123779|126075|129079|132075|138664|141030	1
32	10208764	天赐金牌之盔	1	1	3	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	83	20	8	123779|126075|129079|132075|138664|141030	1
33	10208765	天赐金牌之盔	1	1	3	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	83	20	8	123779|126075|129079|132075|138664|141030	1
34	10209266	天赐金牌之盔	1	1	3	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	83	20	8	123779|126075|129079|132075|138664|141030	1
35	10209267	天赐金牌之盔	1	1	3	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	83	20	8	123779|126075|129079|132075|138664|141030	1
36	10209268	天赐金牌之盔	1	1	3	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	83	20	8	123779|126075|129079|132075|138664|141030	1
37	10209269	天赐金牌之盔	1	1	3	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	83	20	8	123779|126075|129079|132075|138664|141030	1
38	10209270	天赐金牌之盔	1	1	3	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	83	20	8	123779|126075|129079|132075|138664|141030	1
39	10209271	天赐金牌之盔	1	1	3	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	83	20	8	123779|126075|129079|132075|138664|141030	1
40	10230205	辉光白虎甲	1	1	5	1	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	50	23	8		0
41	10230305	辉光巨熊甲	1	1	5	1	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	50	23	8		0
42	10230405	辉光天狼甲	1	1	5	1	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	50	23	8		0
43	10230505	辉光猛雕甲	1	1	5	1	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	50	23	8		0
44	10238760	天赐金牌战甲	1	1	4	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	80	23	8	123779|126075|129079|132075|138664|141030	1
45	10238761	天赐金牌战甲	1	1	4	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	80	23	8	123779|126075|129079|132075|138664|141030	1
46	10238762	天赐金牌战甲	1	1	4	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	80	23	8	123779|126075|129079|132075|138664|141030	1
47	10238763	天赐金牌战甲	1	1	4	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	80	23	8	123779|126075|129079|132075|138664|141030	1
48	10238764	天赐金牌战甲	1	1	4	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	80	23	8	123779|126075|129079|132075|138664|141030	1
49	10238765	天赐金牌战甲	1	1	4	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	80	23	8	123779|126075|129079|132075|138664|141030	1
50	10239290	天赐金牌战甲	1	1	4	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	80	23	8	123779|126075|129079|132075|138664|141030	1
51	10239291	天赐金牌战甲	1	1	4	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	80	23	8	123779|126075|129079|132075|138664|141030	1
52	10239292	天赐金牌战甲	1	1	4	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	80	23	8	123779|126075|129079|132075|138664|141030	1
53	10239293	天赐金牌战甲	1	1	4	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	80	23	8	123779|126075|129079|132075|138664|141030	1
54	10239294	天赐金牌战甲	1	1	4	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	80	23	8	123779|126075|129079|132075|138664|141030	1
55	10239295	天赐金牌战甲	1	1	4	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	80	23	8	123779|126075|129079|132075|138664|141030	1
56	10248760	天赐金牌项链	1	1	2	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	82	21	8	123779|126075|129079|132075|138664|141030	1
57	10248761	天赐金牌项链	1	1	2	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	82	21	8	123779|126075|129079|132075|138664|141030	1
58	10248762	天赐金牌项链	1	1	2	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	82	21	8	123779|126075|129079|132075|138664|141030	1
59	10248763	天赐金牌项链	1	1	2	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	82	21	8	123779|126075|129079|132075|138664|141030	1
60	10248764	天赐金牌项链	1	1	2	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	82	21	8	123779|126075|129079|132075|138664|141030	1
61	10248765	天赐金牌项链	1	1	2	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	82	21	8	123779|126075|129079|132075|138664|141030	1
62	10249290	天赐金牌项链	1	1	2	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	82	21	8	123779|126075|129079|132075|138664|141030	1
63	10249291	天赐金牌项链	1	1	2	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	82	21	8	123779|126075|129079|132075|138664|141030	1
64	10249292	天赐金牌项链	1	1	2	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	82	21	8	123779|126075|129079|132075|138664|141030	1
65	10249293	天赐金牌项链	1	1	2	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	82	21	8	123779|126075|129079|132075|138664|141030	1
66	10249294	天赐金牌项链	1	1	2	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	82	21	8	123779|126075|129079|132075|138664|141030	1
67	10249295	天赐金牌项链	1	1	2	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	82	21	8	123779|126075|129079|132075|138664|141030	1
68	10250205	辉光白虎护手	1	1	5	1	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	50	25	8		0
69	10250305	辉光巨熊护手	1	1	5	1	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	50	25	8		0
70	10250405	辉光天狼护手	1	1	5	1	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	50	25	8		0
71	10250505	辉光猛雕护手	1	1	5	1	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	50	25	8		0
72	10258760	天赐金牌护手	1	1	2	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	83	25	8	123779|126075|129079|132075|138664|141030	1
73	10258761	天赐金牌护手	1	1	2	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	83	25	8	123779|126075|129079|132075|138664|141030	1
74	10258762	天赐金牌护手	1	1	2	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	83	25	8	123779|126075|129079|132075|138664|141030	1
75	10258763	天赐金牌护手	1	1	2	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	83	25	8	123779|126075|129079|132075|138664|141030	1
76	10258764	天赐金牌护手	1	1	2	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	83	25	8	123779|126075|129079|132075|138664|141030	1
77	10258765	天赐金牌护手	1	1	2	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	83	25	8	123779|126075|129079|132075|138664|141030	1
78	10259290	天赐金牌护手	1	1	2	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	83	25	8	123779|126075|129079|132075|138664|141030	1
79	10259291	天赐金牌护手	1	1	2	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	83	25	8	123779|126075|129079|132075|138664|141030	1
80	10259292	天赐金牌护手	1	1	2	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	83	25	8	123779|126075|129079|132075|138664|141030	1
81	10259293	天赐金牌护手	1	1	2	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	83	25	8	123779|126075|129079|132075|138664|141030	1
82	10259294	天赐金牌护手	1	1	2	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	83	25	8	123779|126075|129079|132075|138664|141030	1
83	10259295	天赐金牌护手	1	1	2	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	83	25	8	123779|126075|129079|132075|138664|141030	1
84	10268760	天赐金牌腰带	1	1	3	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	81	26	8	123779|126075|129079|132075|138664|141030	1
85	10268761	天赐金牌腰带	1	1	3	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	81	26	8	123779|126075|129079|132075|138664|141030	1
86	10268762	天赐金牌腰带	1	1	3	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	81	26	8	123779|126075|129079|132075|138664|141030	1
87	10268763	天赐金牌腰带	1	1	3	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	81	26	8	123779|126075|129079|132075|138664|141030	1
88	10268764	天赐金牌腰带	1	1	3	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	81	26	8	123779|126075|129079|132075|138664|141030	1
89	10268765	天赐金牌腰带	1	1	3	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	81	26	8	123779|126075|129079|132075|138664|141030	1
90	10269290	天赐金牌腰带	1	1	3	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	81	26	8	123779|126075|129079|132075|138664|141030	1
91	10269291	天赐金牌腰带	1	1	3	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	81	26	8	123779|126075|129079|132075|138664|141030	1
92	10269292	天赐金牌腰带	1	1	3	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	81	26	8	123779|126075|129079|132075|138664|141030	1
93	10269293	天赐金牌腰带	1	1	3	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	81	26	8	123779|126075|129079|132075|138664|141030	1
94	10269294	天赐金牌腰带	1	1	3	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	81	26	8	123779|126075|129079|132075|138664|141030	1
95	10269295	天赐金牌腰带	1	1	3	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	81	26	8	123779|126075|129079|132075|138664|141030	1
96	10270205	辉光白虎靴	1	1	5	1	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	50	27	8		0
97	10270305	辉光巨熊靴	1	1	5	1	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	50	27	8		0
98	10270405	辉光天狼靴	1	1	5	1	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	50	27	8		0
99	10270505	辉光猛雕靴	1	1	5	1	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	1	1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	50	27	8		0
100	10278760	天赐金牌之靴	1	1	3	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	82	27	8	123779|126075|129079|132075|138664|141030	1
101	10278761	天赐金牌之靴	1	1	3	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	82	27	8	123779|126075|129079|132075|138664|141030	1
102	10278762	天赐金牌之靴	1	1	3	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	82	27	8	123779|126075|129079|132075|138664|141030	1
103	10278763	天赐金牌之靴	1	1	3	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	82	27	8	123779|126075|129079|132075|138664|141030	1
104	10278764	天赐金牌之靴	1	1	3	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	82	27	8	123779|126075|129079|132075|138664|141030	1
105	10278765	天赐金牌之靴	1	1	3	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	82	27	8	123779|126075|129079|132075|138664|141030	1
106	10279290	天赐金牌之靴	1	1	3	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	82	27	8	123779|126075|129079|132075|138664|141030	1
107	10279291	天赐金牌之靴	1	1	3	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	82	27	8	123779|126075|129079|132075|138664|141030	1
108	10279292	天赐金牌之靴	1	1	3	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	82	27	8	123779|126075|129079|132075|138664|141030	1
109	10279293	天赐金牌之靴	1	1	3	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	82	27	8	123779|126075|129079|132075|138664|141030	1
110	10279294	天赐金牌之靴	1	1	3	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	82	27	8	123779|126075|129079|132075|138664|141030	1
111	10279295	天赐金牌之靴	1	1	3	4	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	82	27	8	123779|126075|129079|132075|138664|141030	1
112	10284001	世传君主戒指	1	1	5	1	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	2000	800	38	28	8	123779|126075|129079|132075|138664|141030	1
