INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
10	10	0	11000200	11000201	11000202	11000203	11000203	11000203	8	8	8	8	8	8	0	2400	9600	21600	38400	48000	60000	320	1	160	4	1	40	60	80	100	120	11000210	11000214	11000218	11000400	11000400	11000400	100	100	100	100	100	100	0	2400	9600	21600	38400	48000	60000	320	1	75	4	1	40	60	75	100	120	11000600	11000601	11000602	11000602	11000602	11000602	5	5	5	5	5	5	6	800	3200	7200	12800	16000	20000	320	1	160	4	1	40	60	80	100	120	11000200	11000201	11000202	11000203	11000203	11000203	8	8	8	8	8	8	0	2400	9600	21600	38400	48000	60000	320	1	160	4	1	40	60	80	100	120	11000210	11000214	11000218	11000400	11000400	11000400	100	100	100	100	100	100	0	2400	9600	21600	38400	48000	60000	320	1	75	4	1	40	60	75	100	120
11	11	0	11000200	11000201	11000202	11000203	11000203	11000203	7	7	7	7	7	7	1	10000	40000	90000	160000	200000	250000	370	1	160	4	1	40	60	80	100	120	11000210	11000214	11000218	11000400	11000400	11000400	100	100	100	100	100	100	0	10000	40000	90000	160000	200000	250000	370	1	160	4	1	40	60	75	100	120	11000600	11000601	11000602	11000602	11000602	11000602	2	2	2	2	2	2	7	3340	13340	30000	53340	66670	83336	370	1	160	4	1	40	60	80	100	120	11000200	11000201	11000202	11000203	11000203	11000203	7	7	7	7	7	7	1	10000	40000	90000	160000	200000	250000	370	1	160	4	1	40	60	80	100	120	11000210	11000214	11000218	11000400	11000400	11000400	100	100	100	100	100	100	0	10000	40000	90000	160000	200000	250000	370	1	160	4	1	40	60	75	100	120
12	12	0	11000200	11000201	11000202	11000203	11000203	11000203	5	5	5	5	5	5	2	20000	80000	180000	320000	400000	500000	420	1	160	4	1	40	60	80	100	120	11000210	11000214	11000218	11000400	11000400	11000400	100	100	100	100	100	100	0	20000	80000	180000	320000	400000	500000	420	1	160	4	1	40	60	75	100	120	11000600	11000601	11000602	11000602	11000602	11000602	1	1	1	1	1	1	8	6670	26670	60000	106670	133335	166668	420	1	160	4	1	40	60	80	100	120	11000200	11000201	11000202	11000203	11000203	11000203	5	5	5	5	5	5	2	20000	80000	180000	320000	400000	500000	420	1	160	4	1	40	60	80	100	120	11000210	11000214	11000218	11000400	11000400	11000400	100	100	100	100	100	100	0	20000	80000	180000	320000	400000	500000	420	1	160	4	1	40	60	75	100	120
13	13	0	11000200	11000201	11000202	11000203	11000203	11000203	0	0	0	0	0	0	12	40000	160000	360000	640000	800000	1000000	470	1	160	4	1	40	60	80	100	120	11000210	11000214	11000218	11000400	11000400	11000400	100	100	100	100	100	100	0	40000	160000	360000	640000	800000	1000000	470	1	160	4	1	40	60	75	100	120	11000600	11000601	11000602	11000602	11000602	11000602	0	0	0	0	0	0	9	13340	53340	120000	213340	266670	333336	470	1	160	4	1	40	60	80	100	120	11000200	11000201	11000202	11000203	11000203	11000203	0	0	0	0	0	0	12	40000	160000	360000	640000	800000	1000000	470	1	160	4	1	40	60	80	100	120	11000210	11000214	11000218	11000400	11000400	11000400	100	100	100	100	100	100	0	40000	160000	360000	640000	800000	1000000	470	1	160	4	1	40	60	75	100	120
14	14	0	11000200	11000201	11000202	11000203	11000203	11000203	0	0	0	0	0	0	13	80000	320000	720000	1280000	1600000	2000000	520	1	160	4	1	40	60	80	100	120	11000210	11000214	11000218	11000400	11000400	11000400	100	100	100	100	100	100	0	80000	320000	720000	1280000	1600000	2000000	520	1	160	4	1	40	60	75	100	120	11000600	11000601	11000602	11000602	11000602	11000602	0	0	0	0	0	0	10	26670	106670	240000	426670	533335	666668	520	1	160	4	1	40	60	80	100	120	11000200	11000201	11000202	11000203	11000203	11000203	0	0	0	0	0	0	13	80000	320000	720000	1280000	1600000	2000000	520	1	160	4	1	40	60	80	100	120	11000210	11000214	11000218	11000400	11000400	11000400	100	100	100	100	100	100	0	80000	320000	720000	1280000	1600000	2000000	520	1	160	4	1	40	60	75	100	120
15	15	0	11000200	11000201	11000202	11000203	11000203	11000203	0	0	0	0	0	0	14	160000	640000	1440000	2560000	3200000	4000000	570	1	160	4	1	40	60	80	100	120	11000210	11000214	11000218	11000400	11000400	11000400	100	100	100	100	100	100	0	160000	640000	1440000	2560000	3200000	4000000	570	1	160	4	1	40	60	75	100	120	11000600	11000601	11000602	11000602	11000602	11000602	0	0	0	0	0	0	11	53340	213340	480000	853340	1066670	1333336	570	1	160	4	1	40	60	80	100	120	11000200	11000201	11000202	11000203	11000203	11000203	0	0	0	0	0	0	14	160000	640000	1440000	2560000	3200000	4000000	570	1	160	4	1	40	60	80	100	120	11000210	11000214	11000218	11000400	11000400	11000400	100	100	100	100	100	100	0	160000	640000	1440000	2560000	3200000	4000000	570	1	160	4	1	40	60	75	100	120
16	1	1	11000200	11000201	11000202	11000203	11000203	11000203	100	100	100	100	100	100	1	240	960	2160	3840	4800	6000	20	1	1	1	1	40	60	80	100	120	11000210	11000214	11000218	11000218	11000218	11000218	100	100	100	100	100	100	0	240	960	2160	3840	4800	6000	20	1	1	1	1	40	60	75	100	120	11000600	11000601	11000602	11000602	11000602	11000602	100	100	100	100	100	100	1	80	320	720	1280	1600	2000	20	1	1	1	1	40	60	80	100	120	11000200	11000201	11000202	11000203	11000203	11000203	100	100	100	100	100	100	1	240	960	2160	3840	4800	6000	20	1	1	1	1	40	60	80	100	120	11000210	11000214	11000218	11000218	11000218	11000218	100	100	100	100	100	100	0	240	960	2160	3840	4800	6000	20	1	1	1	1	40	60	75	100	120
17	2	1	11000200	11000201	11000202	11000203	11000203	11000203	100	100	100	100	100	100	1	480	1920	4320	7680	9600	12000	40	1	1	1	1	40	60	80	100	120	11000210	11000214	11000218	11000218	11000218	11000218	100	100	100	100	100	100	0	480	1920	4320	7680	9600	12000	40	1	1	1	1	40	60	75	100	120	11000600	11000601	11000602	11000602	11000602	11000602	100	100	100	100	100	100	1	160	640	1440	2560	3200	4000	40	1	1	1	1	40	60	80	100	120	11000200	11000201	11000202	11000203	11000203	11000203	100	100	100	100	100	100	1	480	1920	4320	7680	9600	12000	40	1	1	1	1	40	60	80	100	120	11000210	11000214	11000218	11000218	11000218	11000218	100	100	100	100	100	100	0	480	1920	4320	7680	9600	12000	40	1	1	1	1	40	60	75	100	120
18	3	1	11000200	11000201	11000202	11000203	11000203	11000203	100	100	100	100	100	100	1	720	2880	6480	11520	14400	18000	60	1	1	1	1	40	60	80	100	120	11000210	11000214	11000218	11000218	11000218	11000218	100	100	100	100	100	100	0	720	2880	6480	11520	14400	18000	60	1	1	1	1	40	60	75	100	120	11000600	11000601	11000602	11000602	11000602	11000602	100	100	100	100	100	100	1	240	960	2160	3840	4800	6000	60	1	1	1	1	40	60	80	100	120	11000200	11000201	11000202	11000203	11000203	11000203	100	100	100	100	100	100	1	720	2880	6480	11520	14400	18000	60	1	1	1	1	40	60	80	100	120	11000210	11000214	11000218	11000218	11000218	11000218	100	100	100	100	100	100	0	720	2880	6480	11520	14400	18000	60	1	1	1	1	40	60	75	100	120
19	4	1	11000200	11000201	11000202	11000203	11000203	11000203	100	100	100	100	100	100	0	960	3840	8640	15360	19200	24000	80	1	1	2	1	40	60	80	100	120	11000210	11000214	11000218	11000218	11000218	11000218	100	100	100	100	100	100	0	960	3840	8640	15360	19200	24000	80	1	1	2	1	40	60	75	100	120	11000600	11000601	11000602	11000602	11000602	11000602	50	50	50	50	50	50	0	320	1280	2880	5120	6400	8000	80	1	1	2	1	40	60	80	100	120	11000200	11000201	11000202	11000203	11000203	11000203	50	50	50	50	50	50	0	960	3840	8640	15360	19200	24000	80	1	1	2	1	40	60	80	100	120	11000210	11000214	11000218	11000218	11000218	11000218	100	100	100	100	100	100	0	960	3840	8640	15360	19200	24000	80	1	1	2	1	40	60	75	100	120
20	5	1	11000200	11000201	11000202	11000203	11000203	11000203	100	100	100	100	100	100	1	1200	4800	10800	19200	24000	30000	100	1	1	2	1	40	60	80	100	120	11000210	11000214	11000218	11000218	11000218	11000218	100	100	100	100	100	100	0	1200	4800	10800	19200	24000	30000	100	1	1	2	1	40	60	75	100	120	11000600	11000601	11000602	11000602	11000602	11000602	40	40	40	40	40	40	1	400	1600	3600	6400	8000	10000	100	1	1	2	1	40	60	80	100	120	11000200	11000201	11000202	11000203	11000203	11000203	40	40	40	40	40	40	1	1200	4800	10800	19200	24000	30000	100	1	1	2	1	40	60	80	100	120	11000210	11000214	11000218	11000218	11000218	11000218	100	100	100	100	100	100	0	1200	4800	10800	19200	24000	30000	100	1	1	2	1	40	60	75	100	120
21	6	1	11000200	11000201	11000202	11000203	11000203	11000203	100	100	100	100	100	100	2	1440	5760	12960	23040	28800	36000	120	1	1	2	1	40	60	80	100	120	11000210	11000214	11000218	11000218	11000218	11000218	100	100	100	100	100	100	0	1440	5760	12960	23040	28800	36000	120	1	1	2	1	40	60	75	100	120	11000600	11000601	11000602	11000602	11000602	11000602	33	33	33	33	33	33	2	480	1920	4320	7680	9600	12000	120	1	1	2	1	40	60	80	100	120	11000200	11000201	11000202	11000203	11000203	11000203	33	33	33	33	33	33	2	1440	5760	12960	23040	28800	36000	120	1	1	2	1	40	60	80	100	120	11000210	11000214	11000218	11000218	11000218	11000218	100	100	100	100	100	100	0	1440	5760	12960	23040	28800	36000	120	1	1	2	1	40	60	75	100	120
22	7	1	11000200	11000201	11000202	11000203	11000203	11000203	100	100	100	100	100	100	3	1680	6720	15120	26880	33600	42000	170	1	1	3	1	40	60	80	100	120	11000210	11000214	11000218	11000218	11000218	11000218	100	100	100	100	100	100	0	1680	6720	15120	26880	33600	42000	170	1	1	3	1	40	60	75	100	120	11000600	11000601	11000602	11000602	11000602	11000602	33	33	33	33	33	33	3	560	2240	5040	8960	11200	14000	170	1	1	3	1	40	60	80	100	120	11000200	11000201	11000202	11000203	11000203	11000203	33	33	33	33	33	33	3	1680	6720	15120	26880	33600	42000	170	1	1	3	1	40	60	80	100	120	11000210	11000214	11000218	11000218	11000218	11000218	100	100	100	100	100	100	0	1680	6720	15120	26880	33600	42000	170	1	1	3	1	40	60	75	100	120
23	8	1	11000200	11000201	11000202	11000203	11000203	11000203	100	100	100	100	100	100	4	1920	7680	17280	30720	38400	48000	220	1	40	3	1	40	60	80	100	120	11000210	11000214	11000218	11000218	11000218	11000218	100	100	100	100	100	100	0	1920	7680	17280	30720	38400	48000	220	1	40	3	1	40	60	75	100	120	11000600	11000601	11000602	11000602	11000602	11000602	33	33	33	33	33	33	4	640	2560	5760	10240	12800	16000	220	1	40	3	1	40	60	80	100	120	11000200	11000201	11000202	11000203	11000203	11000203	33	33	33	33	33	33	4	1920	7680	17280	30720	38400	48000	220	1	1	3	1	40	60	80	100	120	11000210	11000214	11000218	11000218	11000218	11000218	100	100	100	100	100	100	0	1920	7680	17280	30720	38400	48000	220	1	1	3	1	40	60	75	100	120
24	9	1	11000200	11000201	11000202	11000203	11000203	11000203	100	100	100	100	100	100	5	2160	8640	19440	34560	43200	54000	270	1	60	4	1	40	60	80	100	120	11000210	11000214	11000218	11000218	11000218	11000218	100	100	100	100	100	100	0	2160	8640	19440	34560	43200	54000	270	1	40	4	1	40	60	75	100	120	11000600	11000601	11000602	11000602	11000602	11000602	10	10	10	10	10	10	5	720	2880	6480	11520	14400	18000	270	1	60	4	1	40	60	80	100	120	11000200	11000201	11000202	11000203	11000203	11000203	10	10	10	10	10	10	5	2160	8640	19440	34560	43200	54000	270	1	1	4	1	40	60	80	100	120	11000210	11000214	11000218	11000218	11000218	11000218	100	100	100	100	100	100	0	2160	8640	19440	34560	43200	54000	270	1	1	4	1	40	60	75	100	120
25	10	1	11000200	11000201	11000202	11000203	11000203	11000203	8	8	8	8	8	8	0	2400	9600	21600	38400	48000	60000	320	1	160	4	1	40	60	80	100	120	11000210	11000214	11000218	11000400	11000400	11000400	100	100	100	100	100	100	0	2400	9600	21600	38400	48000	60000	320	1	75	4	1	40	60	75	100	120	11000600	11000601	11000602	11000602	11000602	11000602	5	5	5	5	5	5	6	800	3200	7200	12800	16000	20000	320	1	160	4	1	40	60	80	100	120	11000200	11000201	11000202	11000203	11000203	11000203	8	8	8	8	8	8	0	2400	9600	21600	38400	48000	60000	320	1	160	4	1	40	60	80	100	120	11000210	11000214	11000218	11000400	11000400	11000400	100	100	100	100	100	100	0	2400	9600	21600	38400	48000	60000	320	1	75	4	1	40	60	75	100	120
26	11	1	11000200	11000201	11000202	11000203	11000203	11000203	7	7	7	7	7	7	1	10000	40000	90000	160000	200000	250000	370	1	160	4	1	40	60	80	100	120	11000210	11000214	11000218	11000400	11000400	11000400	100	100	100	100	100	100	0	10000	40000	90000	160000	200000	250000	370	1	160	4	1	40	60	75	100	120	11000600	11000601	11000602	11000602	11000602	11000602	2	2	2	2	2	2	7	3340	13340	30000	53340	66670	83336	370	1	160	4	1	40	60	80	100	120	11000200	11000201	11000202	11000203	11000203	11000203	7	7	7	7	7	7	1	10000	40000	90000	160000	200000	250000	370	1	160	4	1	40	60	80	100	120	11000210	11000214	11000218	11000400	11000400	11000400	100	100	100	100	100	100	0	10000	40000	90000	160000	200000	250000	370	1	160	4	1	40	60	75	100	120
27	12	1	11000200	11000201	11000202	11000203	11000203	11000203	5	5	5	5	5	5	2	20000	80000	180000	320000	400000	500000	420	1	160	4	1	40	60	80	100	120	11000210	11000214	11000218	11000400	11000400	11000400	100	100	100	100	100	100	0	20000	80000	180000	320000	400000	500000	420	1	160	4	1	40	60	75	100	120	11000600	11000601	11000602	11000602	11000602	11000602	1	1	1	1	1	1	8	6670	26670	60000	106670	133335	166668	420	1	160	4	1	40	60	80	100	120	11000200	11000201	11000202	11000203	11000203	11000203	5	5	5	5	5	5	2	20000	80000	180000	320000	400000	500000	420	1	160	4	1	40	60	80	100	120	11000210	11000214	11000218	11000400	11000400	11000400	100	100	100	100	100	100	0	20000	80000	180000	320000	400000	500000	420	1	160	4	1	40	60	75	100	120
28	13	1	11000200	11000201	11000202	11000203	11000203	11000203	0	0	0	0	0	0	12	40000	160000	360000	640000	800000	1000000	470	1	160	4	1	40	60	80	100	120	11000210	11000214	11000218	11000400	11000400	11000400	100	100	100	100	100	100	0	40000	160000	360000	640000	800000	1000000	470	1	160	4	1	40	60	75	100	120	11000600	11000601	11000602	11000602	11000602	11000602	0	0	0	0	0	0	9	13340	53340	120000	213340	266670	333336	470	1	160	4	1	40	60	80	100	120	11000200	11000201	11000202	11000203	11000203	11000203	0	0	0	0	0	0	12	40000	160000	360000	640000	800000	1000000	470	1	160	4	1	40	60	80	100	120	11000210	11000214	11000218	11000400	11000400	11000400	100	100	100	100	100	100	0	40000	160000	360000	640000	800000	1000000	470	1	160	4	1	40	60	75	100	120
29	14	1	11000200	11000201	11000202	11000203	11000203	11000203	0	0	0	0	0	0	13	80000	320000	720000	1280000	1600000	2000000	520	1	160	4	1	40	60	80	100	120	11000210	11000214	11000218	11000400	11000400	11000400	100	100	100	100	100	100	0	80000	320000	720000	1280000	1600000	2000000	520	1	160	4	1	40	60	75	100	120	11000600	11000601	11000602	11000602	11000602	11000602	0	0	0	0	0	0	10	26670	106670	240000	426670	533335	666668	520	1	160	4	1	40	60	80	100	120	11000200	11000201	11000202	11000203	11000203	11000203	0	0	0	0	0	0	13	80000	320000	720000	1280000	1600000	2000000	520	1	160	4	1	40	60	80	100	120	11000210	11000214	11000218	11000400	11000400	11000400	100	100	100	100	100	100	0	80000	320000	720000	1280000	1600000	2000000	520	1	160	4	1	40	60	75	100	120
30	15	1	11000200	11000201	11000202	11000203	11000203	11000203	0	0	0	0	0	0	14	160000	640000	1440000	2560000	3200000	4000000	570	1	160	4	1	40	60	80	100	120	11000210	11000214	11000218	11000400	11000400	11000400	100	100	100	100	100	100	0	160000	640000	1440000	2560000	3200000	4000000	570	1	160	4	1	40	60	75	100	120	11000600	11000601	11000602	11000602	11000602	11000602	0	0	0	0	0	0	11	53340	213340	480000	853340	1066670	1333336	570	1	160	4	1	40	60	80	100	120	11000200	11000201	11000202	11000203	11000203	11000203	0	0	0	0	0	0	14	160000	640000	1440000	2560000	3200000	4000000	570	1	160	4	1	40	60	80	100	120	11000210	11000214	11000218	11000400	11000400	11000400	100	100	100	100	100	100	0	160000	640000	1440000	2560000	3200000	4000000	570	1	160	4	1	40	60	75	100	120
