INT	INT	INT	INT
10239286	10238720	10000	11000599
10239287	10238730	10000	11000599
10239288	10238740	10000	11000599
10239289	10238750	10000	11000599
10239290	10238760	10000	11000599
10239291	10238761	10000	11000599
10239292	10238762	10000	11000599
10239293	10238763	10000	11000599
10239294	10238764	10000	11000599
10239295	10238765	10000	11000599
10239296	10238801	10000	11000599
10239297	10238802	10000	11000599
10239298	10238803	10000	11000599
10239299	10238804	10000	11000599
10239300	10238805	10000	11000599
10239301	10238811	10000	11000599
10239302	10238812	10000	11000599
10239303	10238813	10000	11000599
10239304	10238814	10000	11000599
10239305	10238815	10000	11000599
10239306	10238821	10000	11000599
10239307	10238822	10000	11000599
