INT	INT
10249119	2
10249120	2
10249121	2
10249122	2
10249123	2
10249124	2
10249125	2
10249126	2
10249127	2
10249128	2
10249129	2
10249130	3
10249131	3
10249132	3
10249133	3
10249134	3
10249135	3
10249220	1
10249221	2
10249224	1
10249225	2
10249228	1
10249229	2
10249232	1
10249233	2
10249236	1
10249237	2
10249240	1
10249241	2
10249278	1
10249279	1
10249280	1
10249281	1
10249282	1
10249283	1
10249284	1
10249285	1
10249286	1
10249287	1
10249288	1
10249289	1
10249290	2
10249291	2
10249292	2
10249293	2
10249294	2
10249295	2
10249298	1
10249299	1
10249300	1
10249303	1
10249304	1
10249305	1
10249308	1
10249309	1
10249310	1
10249313	1
10249314	1
10249315	1
10249318	1
10249319	1
10249320	1
10249323	1
10249324	1
10249325	1
10249326	2
10249327	2
10249328	2
10249329	2
10249330	2
10249331	2
10249332	2
10249333	2
10249334	2
10249335	2
10249336	2
10249337	2
10249338	1
10249339	1
10249340	1
10249341	1
10249342	1
10249343	1
10249344	1
10249345	1
10249346	1
10249347	1
10249348	1
10249349	1
10249350	1
10249351	1
10249352	1
10249353	1
10249354	1
10249355	1
10249356	2
10249357	2
10249358	2
10249359	2
10249360	2
10249361	2
10249362	2
10249363	2
10249364	2
10249365	2
10249366	2
10249367	2
10249368	3
10249369	3
10249370	3
10249371	3
10249372	3
10249373	3
10249374	1
10249375	1
10249376	1
10249377	1
10249378	1
10249379	1
10249380	1
10249381	1
10249382	1
10249383	1
10249384	1
10249385	1
10249386	1
10249387	1
10249388	1
10249389	1
10249390	1
10249391	1
10249392	2
10249393	2
10249394	2
10249395	2
10249396	2
10249397	2
10249398	2
10249399	2
10249400	2
10249401	2
10249402	2
10249403	2
10249404	3
10249405	3
10249406	3
10249407	3
10249408	3
10249409	3
10249500	3
10249501	3
10249502	3
10249503	3
10249504	3
10249505	3
10249506	3
10249507	3
10249508	3
10249509	3
10249510	3
10249511	3
10249512	3
10249513	3
10249514	3
10249515	3
10249516	3
10249517	3
10249518	3
10249519	3
10249520	3
10249521	3
10249522	3
10249523	3
10249524	3
10249525	3
10249526	3
10249527	3
10249528	3
10249529	3
10249530	3
10249531	3
10249532	3
10249533	3
10249534	3
10249535	3
10249536	3
10249537	3
10249538	3
10249539	3
10249540	3
10249541	3
10249542	3
10249543	3
10249544	3
10249545	3
10249546	3
10249547	3
10254003	1
10254004	2
10254013	1
10254014	2
10254023	1
10254024	2
10254033	1
10254034	2
10254043	1
10254044	2
10254053	1
10254054	2
10258600	1
10258610	1
10258620	1
10258630	1
10258640	1
10258650	1
10258700	1
10258710	1
10258720	1
10258730	1
10258740	1
10258750	1
10258760	2
10258761	2
10258762	2
10258763	2
10258764	2
10258765	2
10258803	1
10258804	1
10258805	1
10258813	1
10258814	1
10258815	1
10258823	1
10258824	1
10258825	1
10258833	1
10258834	1
10258835	1
10258843	1
10258844	1
10258845	1
10258853	1
10258854	1
10258855	1
10258900	2
10258901	2
10258902	2
10258903	2
10258904	2
10258905	2
10258910	2
10258911	2
10258912	2
10258913	2
10258914	2
10258915	2
10259000	1
10259001	1
10259002	1
10259003	1
10259004	1
10259005	1
10259006	1
10259007	1
10259008	1
10259009	1
10259010	1
10259011	1
10259012	1
10259013	1
10259014	1
10259015	1
10259016	1
10259017	1
10259018	2
10259019	2
10259020	2
10259021	2
10259022	2
10259023	2
10259024	2
10259025	2
10259026	2
10259027	2
10259028	2
10259029	2
10259030	3
10259031	3
10259032	3
10259033	3
10259034	3
10259035	3
10259100	1
10259101	1
10259102	1
10259103	1
10259104	1
10259105	1
10259106	1
10259107	1
10259108	1
10259109	1
10259110	1
10259111	1
10259112	1
10259113	1
10259114	1
10259115	1
10259116	1
10259117	1
10259118	2
10259119	2
10259120	2
10259121	2
10259122	2
10259123	2
10259124	2
10259125	2
10259126	2
10259127	2
10259128	2
10259129	2
10259130	3
10259131	3
10259132	3
10259133	3
10259134	3
10259135	3
10259220	1
10259221	2
10259224	1
10259225	2
10259228	1
10259229	2
10259232	1
10259233	2
10259236	1
10259237	2
10259240	1
10259241	2
10259278	1
10259279	1
10259280	1
10259281	1
10259282	1
10259283	1
10259284	1
10259285	1
10259286	1
10259287	1
10259288	1
10259289	1
10259290	2
10259291	2
10259292	2
10259293	2
10259294	2
10259295	2
10259298	1
10259299	1
10259300	1
10259303	1
10259304	1
10259305	1
10259308	1
10259309	1
10259310	1
10259313	1
10259314	1
10259315	1
10259318	1
10259319	1
10259320	1
10259323	1
10259324	1
10259325	1
10259326	2
10259327	2
10259328	2
10259329	2
10259330	2
10259331	2
10259332	2
10259333	2
10259334	2
10259335	2
10259336	2
10259337	2
10259338	1
10259339	1
10259340	1
10259341	1
10259342	1
10259343	1
10259344	1
10259345	1
10259346	1
10259347	1
10259348	1
10259349	1
10259350	1
10259351	1
10259352	1
10259353	1
10259354	1
10259355	1
10259356	2
10259357	2
10259358	2
10259359	2
10259360	2
10259361	2
10259362	2
10259363	2
10259364	2
10259365	2
10259366	2
10259367	2
10259368	3
10259369	3
10259370	3
10259371	3
10259372	3
10259373	3
10259374	1
10259375	1
10259376	1
10259377	1
10259378	1
10259379	1
10259380	1
10259381	1
10259382	1
10259383	1
10259384	1
10259385	1
10259386	1
10259387	1
10259388	1
10259389	1
10259390	1
10259391	1
10259392	2
10259393	2
10259394	2
10259395	2
10259396	2
10259397	2
10259398	2
10259399	2
10259400	2
10259401	2
10259402	2
10259403	2
10259404	3
10259405	3
10259406	3
10259407	3
10259408	3
10259409	3
10259500	3
10259501	3
10259502	3
10259503	3
10259504	3
10259505	3
10259506	3
10259507	3
10259508	3
10259509	3
10259510	3
10259511	3
10259512	3
10259513	3
10259514	3
10259515	3
10259516	3
10259517	3
10259518	3
10259519	3
10259520	3
10259521	3
10259522	3
10259523	3
10259524	3
10259525	3
10259526	3
10259527	3
10259528	3
10259529	3
10259530	3
10259531	3
10259532	3
10259533	3
10259534	3
10259535	3
10259536	3
10259537	3
10259538	3
10259539	3
10259540	3
10259541	3
10259542	3
10259543	3
10259544	3
10259545	3
10259546	3
10259547	3
10264003	1
10264004	2
10264013	1
10264014	2
10264023	1
10264024	2
10264033	1
10264034	2
10264043	1
10264044	2
10264053	1
10264054	2
10268600	1
10268610	1
10268620	1
10268630	1
10268640	1
10268650	1
10268700	1
10268710	1
10268720	1
10268730	1
10268740	1
10268750	1
10268760	2
10268761	2
10268762	2
10268763	2
10268764	2
10268765	2
10268803	1
10268804	1
10268805	1
10268813	1
10268814	1
10268815	1
10268823	1
10268824	1
10268825	1
10268833	1
10268834	1
10268835	1
10268843	1
10268844	1
10268845	1
10268853	1
10268854	1
10268855	1
10268900	2
10268901	2
10268902	2
10268903	2
10268904	2
10268905	2
10268910	2
10268911	2
10268912	2
10268913	2
10268914	2
10268915	2
10269000	1
10269001	1
10269002	1
10269003	1
10269004	1
10269005	1
10269006	1
10269007	1
10269008	1
10269009	1
10269010	1
10269011	1
10269012	1
10269013	1
10269014	1
10269015	1
10269016	1
10269017	1
10269018	2
10269019	2
10269020	2
10269021	2
10269022	2
10269023	2
10269024	2
10269025	2
10269026	2
10269027	2
10269028	2
10269029	2
10269030	3
10269031	3
10269032	3
10269033	3
10269034	3
10269035	3
10269100	1
10269101	1
10269102	1
10269103	1
10269104	1
10269105	1
10269106	1
10269107	1
10269108	1
10269109	1
10269110	1
10269111	1
10269112	1
10269113	1
10269114	1
10269115	1
10269116	1
10269117	1
10269118	2
10269119	2
10269120	2
10269121	2
10269122	2
10269123	2
10269124	2
10269125	2
10269126	2
10269127	2
10269128	2
10269129	2
10269130	3
10269131	3
10269132	3
10269133	3
10269134	3
10269135	3
10269220	1
10269221	2
10269224	1
10269225	2
10269228	1
10269229	2
10269232	1
10269233	2
10269236	1
10269237	2
10269240	1
10269241	2
10269278	1
10269279	1
10269280	1
10269281	1
10269282	1
10269283	1
10269284	1
10269285	1
10269286	1
10269287	1
10269288	1
10269289	1
10269290	2
10269291	2
10269292	2
10269293	2
10269294	2
10269295	2
10269298	1
10269299	1
10269300	1
10269303	1
10269304	1
10269305	1
10269308	1
10269309	1
10269310	1
10269313	1
10269314	1
10269315	1
10269318	1
10269319	1
10269320	1
10269323	1
10269324	1
10269325	1
10269326	2
10269327	2
10269328	2
10269329	2
10269330	2
10269331	2
10269332	2
10269333	2
10269334	2
10269335	2
10269336	2
10269337	2
10269338	1
10269339	1
10269340	1
10269341	1
10269342	1
10269343	1
10269344	1
10269345	1
10269346	1
10269347	1
10269348	1
10269349	1
10269350	1
10269351	1
10269352	1
10269353	1
10269354	1
10269355	1
10269356	2
10269357	2
10269358	2
10269359	2
10269360	2
10269361	2
10269362	2
10269363	2
10269364	2
10269365	2
10269366	2
10269367	2
10269368	3
10269369	3
10269370	3
10269371	3
10269372	3
10269373	3
10269374	1
10269375	1
10269376	1
10269377	1
10269378	1
10269379	1
10269380	1
10269381	1
10269382	1
10269383	1
10269384	1
10269385	1
10269386	1
10269387	1
10269388	1
10269389	1
10269390	1
10269391	1
10269392	2
10269393	2
10269394	2
10269395	2
10269396	2
10269397	2
10269398	2
10269399	2
10269400	2
10269401	2
10269402	2
10269403	2
10269404	3
10269405	3
10269406	3
10269407	3
10269408	3
10269409	3
10269500	3
10269501	3
10269502	3
10269503	3
10269504	3
10269505	3
10269506	3
10269507	3
10269508	3
10269509	3
10269510	3
10269511	3
10269512	3
10269513	3
10269514	3
10269515	3
10269516	3
10269517	3
10269518	3
10269519	3
10269520	3
10269521	3
10269522	3
10269523	3
10269524	3
10269525	3
10269526	3
10269527	3
10269528	3
10269529	3
10269530	3
10269531	3
10269532	3
10269533	3
10269534	3
10269535	3
10269536	3
10269537	3
10269538	3
10269539	3
10269540	3
10269541	3
10269542	3
10269543	3
10269544	3
10269545	3
10269546	3
10269547	3
10274003	1
10274004	2
10274013	1
10274014	2
10274023	1
10274024	2
10274033	1
10274034	2
10274043	1
10274044	2
10274053	1
10274054	2
10278600	1
10278610	1
10278620	1
10278630	1
10278640	1
10278650	1
10278700	1
10278710	1
10278720	1
10278730	1
10278740	1
10278750	1
10278760	2
10278761	2
10278762	2
10278763	2
10278764	2
10278765	2
10278803	1
10278804	1
10278805	1
10278813	1
10278814	1
10278815	1
10278823	1
10278824	1
10278825	1
10278833	1
10278834	1
10278835	1
10278843	1
10278844	1
10278845	1
10278853	1
10278854	1
10278855	1
10278900	2
10278901	2
10278902	2
10278903	2
10278904	2
10278905	2
10278910	2
10278911	2
10278912	2
10278913	2
10278914	2
10278915	2
10279000	1
10279001	1
10279002	1
10279003	1
10279004	1
10279005	1
10279006	1
10279007	1
10279008	1
10279009	1
10279010	1
10279011	1
10279012	1
10279013	1
10279014	1
10279015	1
10279016	1
10279017	1
10279018	2
10279019	2
10279020	2
10279021	2
10279022	2
10279023	2
10279024	2
10279025	2
10279026	2
10279027	2
10279028	2
10279029	2
10279030	3
10279031	3
10279032	3
10279033	3
10279034	3
10279035	3
10279100	1
10279101	1
10279102	1
10279103	1
10279104	1
10279105	1
10279106	1
10279107	1
10279108	1
10279109	1
10279110	1
10279111	1
10279112	1
10279113	1
10279114	1
10279115	1
10279116	1
10279117	1
10279118	2
10279119	2
10279120	2
10279121	2
10279122	2
10279123	2
10279124	2
10279125	2
10279126	2
10279127	2
10279128	2
10279129	2
10279130	3
10279131	3
10279132	3
10279133	3
10279134	3
10279135	3
10279220	1
10279221	2
10279224	1
10279225	2
10279228	1
10279229	2
10279232	1
10279233	2
10279236	1
10279237	2
10279240	1
10279241	2
10279278	1
10279279	1
10279280	1
10279281	1
10279282	1
10279283	1
10279284	1
10279285	1
10279286	1
10279287	1
10279288	1
10279289	1
10279290	2
10279291	2
10279292	2
10279293	2
10279294	2
10279295	2
10279298	1
10279299	1
10279300	1
10279303	1
10279304	1
10279305	1
10279308	1
10279309	1
10279310	1
10279313	1
10279314	1
10279315	1
10279318	1
10279319	1
10279320	1
10279323	1
10279324	1
10279325	1
10279326	2
10279327	2
10279328	2
10279329	2
10279330	2
10279331	2
10279332	2
10279333	2
10279334	2
10279335	2
10279336	2
10279337	2
10279338	1
10279339	1
10279340	1
10279341	1
10279342	1
10279343	1
10279344	1
10279345	1
10279346	1
10279347	1
10279348	1
10279349	1
10279350	1
10279351	1
10279352	1
10279353	1
10279354	1
10279355	1
10279356	2
10279357	2
10279358	2
10279359	2
10279360	2
10279361	2
10279362	2
10279363	2
10279364	2
10279365	2
10279366	2
10279367	2
10279368	3
10279369	3
10279370	3
10279371	3
10279372	3
10279373	3
10279374	1
10279375	1
10279376	1
10279377	1
10279378	1
10279379	1
10279380	1
10279381	1
10279382	1
10279383	1
10279384	1
10279385	1
10279386	1
10279387	1
10279388	1
10279389	1
10279390	1
10279391	1
10279392	2
10279393	2
10279394	2
10279395	2
10279396	2
10279397	2
10279398	2
10279399	2
10279400	2
10279401	2
10279402	2
10279403	2
10279404	3
10279405	3
10279406	3
10279407	3
10279408	3
10279409	3
10279500	3
10279501	3
10279502	3
10279503	3
10279504	3
10279505	3
10279506	3
10279507	3
10279508	3
10279509	3
10279510	3
10279511	3
10279512	3
10279513	3
10279514	3
10279515	3
10279516	3
10279517	3
10279518	3
10279519	3
10279520	3
10279521	3
10279522	3
10279523	3
10279524	3
10279525	3
10279526	3
10279527	3
10279528	3
10279529	3
10279530	3
10279531	3
10279532	3
10279533	3
10279534	3
10279535	3
10279536	3
10279537	3
10279538	3
10279539	3
10279540	3
10279541	3
10279542	3
10279543	3
10279544	3
10279545	3
10279546	3
10279547	3
10284003	1
10284004	2
10284013	1
10284014	2
10284023	1
10284024	2
10284033	1
10284034	2
10284043	1
10284044	2
10284053	1
10284054	2
10284061	1
10284062	1
10284063	1
10284064	1
10284065	1
10284066	1
10284071	2
10284072	2
10284073	2
10284074	2
10284075	2
10284076	2
10285001	2
10285002	2
10287003	1
10287013	1
10287023	1
10287033	1
10287043	1
10287053	1
10287061	1
10287062	1
10287063	1
10287064	1
10287065	1
10287066	1
10287072	1
10287073	1
10287074	2
10287082	1
10287083	1
10287084	2
10287100	2
10287101	2
10287102	2
10287103	2
10287104	2
10287105	2
10287110	2
10287111	2
10287112	2
10287113	2
10287114	2
10287115	2
10288020	1
10288021	2
10288024	1
10288025	2
10288028	1
10288029	2
10288032	1
10288033	2
10288036	1
10288037	2
10288040	1
10288041	2
10288042	1
10288043	1
10288044	1
10288045	1
10288046	1
10288047	1
10288048	2
10288049	2
10288050	2
10288051	2
10288052	2
10288053	2
10288056	1
10288059	1
10288062	1
10288065	1
10288068	1
10288071	1
10288072	1
10288073	1
10288074	1
10288075	1
10288076	1
10288077	1
10288078	2
10288079	2
10288080	2
10288081	2
10288082	2
10288083	2
10288084	2
10288085	2
10288086	2
10288087	2
10288088	2
10288089	2
10288100	3
10288101	3
10288102	3
10288103	3
10288104	3
10288105	3
10288106	3
10288107	3
10288108	3
10288109	3
10288110	3
10288111	3
10288112	3
10288113	3
10288114	3
10288115	3
10288116	3
10288117	3
10288118	3
10288119	3
10288120	3
10288121	3
10288122	3
10288123	3
10288124	3
10288125	3
10288126	3
10288127	3
10288128	3
10288129	3
10288130	3
10288131	3
10288132	3
10288133	3
10288134	3
10288135	3
10288136	3
10288137	3
