INT	STRING	STRING	INT	STRING	STRING	STRING	STRING	STRING	INT	STRING			
101093	北郡商人	\t最近野外道路两旁经常有野狼和红狐出没，袭击人畜，吓得我们这些商人只好躲在村子里。\n\t可是，要再不去别的村子把马奶卖掉，马奶就会变酸了。这个怎么办啊，愁死我了！唉	-1						-1				
101094	北郡郡主	\t博尔赤总说我有几分神似月伦夫人。我一会儿去商人那里买个大都贩来的铜镜，好好照照。	-1						-1				
101095	北郡牧羊人	\t最近野狼猖獗，好几天没有去草原放过羊了。	-1						-1				
101096	扎图	\t我也想效仿铁木真当年在此结义。不知道乌木图和乌鲁耶怎么想的！	-1						-1				
101097	乌木图	\t扎图和乌鲁耶都是我的安答！	-1						-1				
101098	小郡主	\t哦~~啦啦~阿爸说外面不安全不让我去草原玩，你来陪我玩好嘛？	-1						-1				
#	成2传送												
101101	王城北	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550170|550561|550065|550563|550180|550204	1520|3640|4014|4018|4022				4				
101102	王城南	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550171	1521				4				
101103	边塞北	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550571|550562|550566|550568	1502|4026|4030				4				
101104	边塞南	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550572	1503				4				
101105	威海北	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550573|550564|550567|550570	1522|2252				4				
101106	威海南	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550574|550189	1506				4				
101108	大都	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550183|550066|550565|550569	1522|4034|4035|4036|4037|2250				4				
101113	古道	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550172	1500				4				
101114	牧场	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550173					4				
101115	草场	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550174	1501				4				
101116	大都东	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550184	1522				4				
101117	大都南	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550186	1522				4				
101118	大都西	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550198	1522				4				
101119	中兴府	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550575					4				
101120	楼兰外城	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550171	1521				4				
101121	天山外城	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550171	1521				4				
101122	昆仑外城	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550171	1521				4				
101123	敦煌外城	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550171	1521				4				
101124	前往据点卫兵	\t前面就是领地，如果你想进入领地就要找到前往领地传送人，他会帮你进入领地。\n\t要注意进入领地后你将无法返回此地，但你可以找到领地驿卒传送回自己本国的边塞。	-1						-1				
101125	寻路点前卫兵	\t前面无法通行，你需要到找领地传送人，传送回本国的边塞。	-1						-1				
101126	系统	莫斯科大公daytips寻路用	-1						-1				
101127	崇天门	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550175	1522|3699|4082|4083				4				
101128	大相国寺	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550108	1522				4				
101129	赵王府	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550109	1522				4				
#	迷宫传送												
101150	楼兰迷宫1	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550205	1492				4				
101151	楼兰迷宫2	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550206	1493				4				
101152	楼兰迷宫3	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550207	1494				4				
101153	楼兰迷宫4	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550208	1495				4				
101154	楼兰迷宫5	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550209	1496				4				
101155	楼兰迷宫6	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550210	1497				4				
101156	楼兰迷宫7	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550211	1498				4				
101157	楼兰迷宫8	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550212	1499				4				
101158	天山迷宫1	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550205	1492				4				
101159	天山迷宫2	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550206	1493				4				
101160	天山迷宫3	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550207	1494				4				
101161	天山迷宫4	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550208	1495				4				
101162	天山迷宫5	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550209	1496				4				
101163	天山迷宫6	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550210	1497				4				
101164	天山迷宫7	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550211	1498				4				
101165	天山迷宫8	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550212	1499				4				
101166	昆仑迷宫1	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550205	1492				4				
101167	昆仑迷宫2	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550206	1493				4				
101168	昆仑迷宫3	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550207	1494				4				
101169	昆仑迷宫4	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550208	1495				4				
101170	昆仑迷宫5	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550209	1496				4				
101171	昆仑迷宫6	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550210	1497				4				
101172	昆仑迷宫7	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550211	1498				4				
101173	昆仑迷宫8	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550212	1499				4				
101174	敦煌迷宫1	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550205	1492				4				
101175	敦煌迷宫2	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550206	1493				4				
101176	敦煌迷宫3	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550207	1494				4				
101177	敦煌迷宫4	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550208	1495				4				
101178	敦煌迷宫5	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550209	1496				4				
101179	敦煌迷宫6	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550210	1497				4				
101180	敦煌迷宫7	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550211	1498				4				
101181	敦煌迷宫8	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550212	1499				4				
#	成2传送												
101208	罕难河	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550181	1514				4				
101209	乞颜部大营	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550182	1515				4				
101210	塔塔尔部	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550195	1516				4				
101211	乃南部	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550196	1517				4				
101212	克烈部	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550197	1518				4				
101213	居庸关	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550560	1519				4				
101214	凤翔府	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！\n\t领地凤翔府包括（45级领地凤翔府，50级领地蔡州城，55级领地秦岭）	-1	550158	1507				4				
101215	阿尔金山	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！\n\t领地阿尔金山包括（60级领地阿尔金山，65级领地碎叶城，70级领地红沙漠）	-1	550159	1508				4				
101216	撒马尔罕	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！\n\t领地撒马尔罕包括（70级领地撒马尔罕，75级领地巴格达，80级领地波斯高原）	-1	550160	1509				4				
101217	莫斯科公国	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！\n\t领地莫斯科包括（80级领地莫斯科，85级领地基辅公国，90级领地波兰王国）	-1	550161	1510				4				
101218	匈牙利	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！\n\t领地匈牙利包括（90级领地匈牙利，95级领地神圣罗马，100级领地拜占庭）	-1	550162	1511				4				
101219	大马士革	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！\n\t领地大马士革包括（100级领地大马士革，105级领地耶路撒冷，110级领地西奈半岛）	-1	550163	1504				4				
101220	婆罗洲	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550193	1506				4				
101221	对马岛	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550192	1506				4				
101222	大理	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550164	1505				4				
101223	楼兰迷宫	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	256000					4				
101224	天山迷宫	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	256000					4				
101225	昆仑迷宫	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	256000					4				
101226	敦煌迷宫	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	256000					4				
101227	迷宫指引人	\t欢迎你来到王国迷宫，这里是挂机练级的好地方，你以后可以常来。\n\t记得要选择和自己等级相近级别的怪物练级。	-1		4002|4006				-1				
101228	迷宫指引人	\t欢迎你来到王国迷宫，这里是挂机练级的好地方，你以后可以常来。\n\t记得要选择和自己等级相近级别的怪物练级。	-1		4003|4007				-1				
101229	迷宫指引人	\t欢迎你来到王国迷宫，这里是挂机练级的好地方，你以后可以常来。\n\t记得要选择和自己等级相近级别的怪物练级。	-1		4004|4008				-1				
101230	迷宫指引人	\t欢迎你来到王国迷宫，这里是挂机练级的好地方，你以后可以常来。\n\t记得要选择和自己等级相近级别的怪物练级。	-1		4005|4009				-1				
#	领地传送												
101300	大都南	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550576					4				
101301	九州岛	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	300273	1512				4				
101302	苏门答腊	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	300274	1512				4				
101303	秦岭	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	300275	1512				4				
101304	印度河	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	300276	1512				4				
101305	红沙漠	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	300277	1512				4				
101306	波斯高原	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	300278	1512				4				
101307	波兰王国	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	300279	1512				4				
101308	拜占庭	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	300282	1512				4				
101309	西奈半岛	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	300281	1512				4				
101310	楼兰边塞领地	\t我可以将你传送到你想去的领地，但是领地传送是需要付费的。\n\t领地凤翔府包括#G(45级凤翔府，50级蔡州城，55级秦岭）#W\n\t领地阿尔金山包括#G(60级阿尔金山，65级碎叶城，70级红沙漠）#W\n\t领地撒马尔罕包括#G(70级撒马尔罕，75级巴格达，80级波斯高原）#W\n\t领地莫斯科包括#G(80级莫斯科，85级基辅公国，90级波兰王国）#W\n\t领地匈牙利包括#G(90级匈牙利，95级神圣罗马，100级拜占庭）#W\n\t领地大马士革包括#G(100级大马士革，105级耶路撒冷，110级西奈半岛）	-1	550156					4				
101311	天山边塞领地	\t我可以将你传送到你想去的领地，但是领地传送是需要付费的。\n\t领地凤翔府包括#G(45级凤翔府，50级蔡州城，55级秦岭）#W\n\t领地阿尔金山包括#G(60级阿尔金山，65级碎叶城，70级红沙漠）#W\n\t领地撒马尔罕包括#G(70级撒马尔罕，75级巴格达，80级波斯高原）#W\n\t领地莫斯科包括#G(80级莫斯科，85级基辅公国，90级波兰王国）#W\n\t领地匈牙利包括#G(90级匈牙利，95级神圣罗马，100级拜占庭）#W\n\t领地大马士革包括#G(100级大马士革，105级耶路撒冷，110级西奈半岛）	-1	550156					4				
101312	昆仑边塞领地	\t我可以将你传送到你想去的领地，但是领地传送是需要付费的。\n\t领地凤翔府包括#G(45级凤翔府，50级蔡州城，55级秦岭）#W\n\t领地阿尔金山包括#G(60级阿尔金山，65级碎叶城，70级红沙漠）#W\n\t领地撒马尔罕包括#G(70级撒马尔罕，75级巴格达，80级波斯高原）#W\n\t领地莫斯科包括#G(80级莫斯科，85级基辅公国，90级波兰王国）#W\n\t领地匈牙利包括#G(90级匈牙利，95级神圣罗马，100级拜占庭）#W\n\t领地大马士革包括#G(100级大马士革，105级耶路撒冷，110级西奈半岛）	-1	550156					4				
101313	敦煌边塞领地	\t我可以将你传送到你想去的领地，但是领地传送是需要付费的。\n\t领地凤翔府包括#G(45级凤翔府，50级蔡州城，55级秦岭）#W\n\t领地阿尔金山包括#G(60级阿尔金山，65级碎叶城，70级红沙漠）#W\n\t领地撒马尔罕包括#G(70级撒马尔罕，75级巴格达，80级波斯高原）#W\n\t领地莫斯科包括#G(80级莫斯科，85级基辅公国，90级波兰王国）#W\n\t领地匈牙利包括#G(90级匈牙利，95级神圣罗马，100级拜占庭）#W\n\t领地大马士革包括#G(100级大马士革，105级耶路撒冷，110级西奈半岛）	-1	550156					4				
#	成2敦煌传送												
101401	王城北	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550170|550114|550110|550116|550112|550118					-1				
101402	王城南	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550171|550115|550111|550117|550113|550119					-1				
101403	边塞北	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550190|550120|550124|550126|550122|550128					-1				
101404	边塞南	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550191|550121|550125|550127|550123|550129					-1				
101405	威海北	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550186|550130|550134|550132|550136|550138					-1				
101406	威海南	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550187|550131|550135|550133|550137|550139|550188|550189					-1				
101407	大都北	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550175|550140|550142|550146|550144|550148					-1				
101408	大都南	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550176|550143|550147|550145|550149					-1				
101409	河西北	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550181|550150|550156|550152|550154|550158					-1				
101410	河西南	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550182|550151|550157|550153|550155|550159					-1				
101411	叶密立北	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550184|550160|550162|550168|550164					-1				
101412	叶密立南	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550161|550167|550163|550169|550165					-1				
101413	古道	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550172					-1				
101414	牧场	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550173					-1				
101415	草场	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550174					-1				
101416	泰山	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550177	1522				4				
101417	太行山	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550178	1522				4				
101418	王屋	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550179					-1				
101419	秦岭	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550180					-1				
101420	金山	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550183					-1				
101421	牧场北	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	550194					-1				
#	领地传送												
101500	楼兰迷宫1	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	552000					4				
101501	楼兰迷宫2	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	552001					4				
101502	楼兰迷宫3	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	552002|552003					4				
101503	楼兰迷宫4	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	552004					4				
101504	楼兰迷宫5	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	552005|552006					4				
101505	楼兰迷宫6	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	552007					4				
101506	楼兰迷宫7	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	552016					4				
101507	楼兰迷宫8	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	552019					4				
101508	天山迷宫1	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	552000					4				
101509	天山迷宫2	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	552001					4				
101510	天山迷宫3	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	552002|552003					4				
101511	天山迷宫4	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	552004					4				
101512	天山迷宫5	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	552005|552006					4				
101513	天山迷宫6	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	552007					4				
101514	天山迷宫7	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	552016					4				
101515	天山迷宫8	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	552019					4				
101516	昆仑迷宫1	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	552000					4				
101517	昆仑迷宫2	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	552001					4				
101518	昆仑迷宫3	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	552002|552003					4				
101519	昆仑迷宫4	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	552004					4				
101520	昆仑迷宫5	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	552005|552006					4				
101521	昆仑迷宫6	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	552007					4				
101522	昆仑迷宫7	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	552016					4				
101523	昆仑迷宫8	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	552019					4				
101524	敦煌迷宫1	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	552000					4				
101525	敦煌迷宫2	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	552001					4				
101526	敦煌迷宫3	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	552002|552003					4				
101527	敦煌迷宫4	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	552004					4				
101528	敦煌迷宫5	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	552005|552006					4				
101529	敦煌迷宫6	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	552007					4				
101530	敦煌迷宫7	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	552016					4				
101531	敦煌迷宫8	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	552019					4				
101532	楼兰外城	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	552008					4				
101533	天山外城	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	552008					4				
101534	昆仑外城	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	552008					4				
101535	敦煌外城	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	552008					4				
101536	楼兰古道	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	552009					4				
101537	天山古道	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	552009					4				
101538	昆仑古道	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	552009					4				
101539	敦煌古道	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	552009					4				
101540	楼兰边塞	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	552010					4				
101541	天山边塞	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	552010					4				
101542	昆仑边塞	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	552010					4				
101543	敦煌边塞	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	552010					4				
101544	凤翔	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	552011					4				
101545	阿尔金山	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	552012					4				
101546	撒马尔罕	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	552013					4				
101547	大都	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	552014					4				
101548	莫斯科	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	552015					4				
101549	匈牙利	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	552017					4				
101550	耶路撒冷	\t我是一名传送人，可以将你安全，迅速的送到你想要去的地方！	-1	552020					4				
#	边境闲人												
101590	速柯伊	\t我不管是谁坐天下，我只希望能保住我祖上的这几亩薄田。	-1						-1				
101591	喇刺图	\t这几天一直没有高昌公主的信来，是不是出了什么意外？	-1						-1				
101592	吉古丽	\t呜……，我邻村的哥哥前几天刚被一群洗劫村庄的杀害，现在我丈夫也……呜，呜……	-1						-1				
101593	德卓	\t唉，要不是因为有老母在堂，我真想进关去参军，干掉这些可恨的家伙。	-1						-1				
101594	纳速刺	\t说来惭愧，身为村长，我却不能保护村民们的周全……	-1						-1				
101595	奚耶勿	\t父亲总是说要等待时机，其实只是为自己的懦弱找一个借口罢了。	-1						-1				
101596	斛素都	\t大元的军队什么时候才能打败海都啊，这样的日子我真过够了。	-1						-1				
101597	胡咄葛	\t与其等他们打败海都，不如我们自己偷偷逃进关去，听说很多人在关里都吃得好住得好，还不用担心随时被袭击。	-1						-1				
101598	伊苏尔	\t吉古丽真是一个可怜的女人，哥哥刚被那些凶残的人杀死，丈夫今天又……，唉，她一个女人以后可怎么过啊。	-1						-1				
101599	珂丽玛	\t这位尊贵的客人，随便施舍点东西吧，求你了，我家里还有孩子要养……	-1						-1				
101600	贯只哥	\t听说尤素夫已经投靠海都走了，我们还是早点离开这里吧，万一他引来了海都的人，我们恐怕就到要做刀下冤魂了。	-1						-1				
101601	沃图儿	\t这兵荒马乱的，我们要走就快点走，免得夜长梦多。	-1						-1				
#	组队接引人												
101650	楼兰迷宫1	\t进入王国迷宫练级，单打独斗很划不来。你需要加入一个队伍，这会使你在相同时间内获得更多的经验。\n\t没有队伍不要紧，我会帮你寻找可以接纳你的队伍。	-1	302600|562004	9502				-1				
101651	楼兰迷宫2	\t进入王国迷宫练级，单打独斗很划不来。你需要加入一个队伍，这会使你在相同时间内获得更多的经验。\n\t没有队伍不要紧，我会帮你寻找可以接纳你的队伍。	-1	302600					-1				
101652	楼兰迷宫3	\t进入王国迷宫练级，单打独斗很划不来。你需要加入一个队伍，这会使你在相同时间内获得更多的经验。\n\t没有队伍不要紧，我会帮你寻找可以接纳你的队伍。	-1	302600					-1				
101653	楼兰迷宫4	\t进入王国迷宫练级，单打独斗很划不来。你需要加入一个队伍，这会使你在相同时间内获得更多的经验。\n\t没有队伍不要紧，我会帮你寻找可以接纳你的队伍。	-1	302600					-1				
