INT	INT	INT	INT	INT
10068701	11000500	10000	20	10068811
10068850	11000500	10000	20	10068852
10068851	11000500	10000	20	10068853
10069000	11000500	10000	20	10069010
10069001	11000500	10000	20	10069011
10069002	11000500	10000	20	10069012
10069003	11000500	10000	20	10069013
10069004	11000500	10000	20	10069014
10069005	11000500	10000	20	10069015
10074001	11000500	10000	20	10077801
10074002	11000500	10000	20	10077802
10074003	11000500	10000	20	10077803
10074004	11000500	10000	20	10077810
10077600	11000500	10000	20	10077804
10077700	11000500	10000	20	10077805
10077701	11000500	10000	20	10077811
10077850	11000500	10000	20	10077852
10077851	11000500	10000	20	10077853
10078000	11000500	10000	20	10078010
10078001	11000500	10000	20	10078011
10078002	11000500	10000	20	10078012
10078003	11000500	10000	20	10078013
10078004	11000500	10000	20	10078014
10078005	11000500	10000	20	10078015
10084001	11000500	10000	20	10087801
10084002	11000500	10000	20	10087802
10084003	11000500	10000	20	10087803
10084004	11000500	10000	20	10087810
10087600	11000500	10000	20	10087804
10087700	11000500	10000	20	10087805
10087701	11000500	10000	20	10087811
10087850	11000500	10000	20	10087852
10087851	11000500	10000	20	10087853
10088000	11000500	10000	20	10088010
10088001	11000500	10000	20	10088011
10088002	11000500	10000	20	10088012
10088003	11000500	10000	20	10088013
10088004	11000500	10000	20	10088014
10088005	11000500	10000	20	10088015
10094001	11000500	10000	20	10097801
10094002	11000500	10000	20	10097802
10094003	11000500	10000	20	10097803
10094004	11000500	10000	20	10097810
10097600	11000500	10000	20	10097804
10097700	11000500	10000	20	10097805
10097701	11000500	10000	20	10097811
10097850	11000500	10000	20	10097852
10097851	11000500	10000	20	10097853
10098000	11000500	10000	20	10098010
10098001	11000500	10000	20	10098011
10098002	11000500	10000	20	10098012
10098003	11000500	10000	20	10098013
10098004	11000500	10000	20	10098014
10098005	11000500	10000	20	10098015
10104001	11000500	10000	20	10107801
10104002	11000500	10000	20	10107802
10104003	11000500	10000	20	10107803
10104004	11000500	10000	20	10107810
10107600	11000500	10000	20	10107804
10107700	11000500	10000	20	10107805
10107701	11000500	10000	20	10107811
10107850	11000500	10000	20	10107852
10107851	11000500	10000	20	10107853
10108000	11000500	10000	20	10108010
10108001	11000500	10000	20	10108011
10108002	11000500	10000	20	10108012
10108003	11000500	10000	20	10108013
10108004	11000500	10000	20	10108014
10108005	11000500	10000	20	10108015
10114001	11000500	10000	20	10117801
10114002	11000500	10000	20	10117802
10114003	11000500	10000	20	10117803
10114004	11000500	10000	20	10117810
10117600	11000500	10000	20	10117804
10117700	11000500	10000	20	10117805
10117701	11000500	10000	20	10117811
10117850	11000500	10000	20	10117852
10117851	11000500	10000	20	10117853
10118000	11000500	10000	20	10118010
10118001	11000500	10000	20	10118011
10118002	11000500	10000	20	10118012
10118003	11000500	10000	20	10118013
10118004	11000500	10000	20	10118014
10118005	11000500	10000	20	10118015
10124001	11000500	10000	20	10127801
10124002	11000500	10000	20	10127802
10124003	11000500	10000	20	10127803
10124004	11000500	10000	20	10127810
10127600	11000500	10000	20	10127804
10127700	11000500	10000	20	10127805
10127701	11000500	10000	20	10127811
10127850	11000500	10000	20	10127852
10127851	11000500	10000	20	10127853
10128000	11000500	10000	20	10128010
10128001	11000500	10000	20	10128011
10128002	11000500	10000	20	10128012
10128003	11000500	10000	20	10128013
10128004	11000500	10000	20	10128014
10128005	11000500	10000	20	10128015
10204001	11000503	10000	20	10208801
10204002	11000503	10000	20	10208802
10204003	11000503	10000	20	10208803
10204004	11000503	10000	20	10208900
10204011	11000503	10000	20	10208811
10204012	11000503	10000	20	10208812
10204013	11000503	10000	20	10208813
10204014	11000503	10000	20	10208901
10204021	11000503	10000	20	10208821
10204022	11000503	10000	20	10208822
10204023	11000503	10000	20	10208823
10204024	11000503	10000	20	10208902
10204031	11000503	10000	20	10208831
10204032	11000503	10000	20	10208832
10204033	11000503	10000	20	10208833
10204034	11000503	10000	20	10208903
10204041	11000503	10000	20	10208841
10204042	11000503	10000	20	10208842
10204043	11000503	10000	20	10208843
10204044	11000503	10000	20	10208904
10204051	11000503	10000	20	10208851
10204052	11000503	10000	20	10208852
10204053	11000503	10000	20	10208853
10204054	11000503	10000	20	10208905
10204061	11000503	10000	20	10209272
10204062	11000503	10000	20	10209273
10204063	11000503	10000	20	10209274
10204064	11000503	10000	20	10209302
10204071	11000503	10000	20	10209277
10204072	11000503	10000	20	10209278
10204073	11000503	10000	20	10209279
10204074	11000503	10000	20	10209303
10204081	11000503	10000	20	10209282
10204082	11000503	10000	20	10209283
10204083	11000503	10000	20	10209284
10204084	11000503	10000	20	10209304
10204091	11000503	10000	20	10209287
10204092	11000503	10000	20	10209288
10204093	11000503	10000	20	10209289
10204094	11000503	10000	20	10209305
10204101	11000503	10000	20	10209292
10204102	11000503	10000	20	10209293
10204103	11000503	10000	20	10209294
10204104	11000503	10000	20	10209306
10204111	11000503	10000	20	10209297
10204112	11000503	10000	20	10209298
10204113	11000503	10000	20	10209299
10204114	11000503	10000	20	10209307
10208600	11000503	10000	20	10208804
10208610	11000503	10000	20	10208814
10208620	11000503	10000	20	10208824
10208630	11000503	10000	20	10208834
10208640	11000503	10000	20	10208844
10208650	11000503	10000	20	10208854
10208700	11000503	10000	20	10208805
10208710	11000503	10000	20	10208815
10208720	11000503	10000	20	10208825
10208730	11000503	10000	20	10208835
10208740	11000503	10000	20	10208845
10208750	11000503	10000	20	10208855
10208760	11000503	10000	20	10208910
10208761	11000503	10000	20	10208911
10208762	11000503	10000	20	10208912
10208763	11000503	10000	20	10208913
10208764	11000503	10000	20	10208914
10208765	11000503	10000	20	10208915
10209000	11000503	10000	20	10209100
10209001	11000503	10000	20	10209101
10209002	11000503	10000	20	10209102
10209003	11000503	10000	20	10209103
10209004	11000503	10000	20	10209104
10209005	11000503	10000	20	10209105
10209006	11000503	10000	20	10209106
10209007	11000503	10000	20	10209107
10209008	11000503	10000	20	10209108
10209009	11000503	10000	20	10209109
10209010	11000503	10000	20	10209110
10209011	11000503	10000	20	10209111
10209012	11000503	10000	20	10209112
10209013	11000503	10000	20	10209113
10209014	11000503	10000	20	10209114
10209015	11000503	10000	20	10209115
10209016	11000503	10000	20	10209116
10209017	11000503	10000	20	10209117
10209018	11000503	10000	20	10209118
10209019	11000503	10000	20	10209119
10209020	11000503	10000	20	10209120
10209021	11000503	10000	20	10209121
10209022	11000503	10000	20	10209122
10209023	11000503	10000	20	10209123
10209024	11000503	10000	20	10209124
10209025	11000503	10000	20	10209125
10209026	11000503	10000	20	10209126
10209027	11000503	10000	20	10209127
10209028	11000503	10000	20	10209128
10209029	11000503	10000	20	10209129
10209030	11000503	10000	20	10209130
10209031	11000503	10000	20	10209131
10209032	11000503	10000	20	10209132
10209033	11000503	10000	20	10209133
10209034	11000503	10000	20	10209134
10209035	11000503	10000	20	10209135
10209254	11000503	10000	20	10209275
10209255	11000503	10000	20	10209280
10209256	11000503	10000	20	10209285
10209257	11000503	10000	20	10209290
10209258	11000503	10000	20	10209295
10209259	11000503	10000	20	10209300
10209260	11000503	10000	20	10209276
10209261	11000503	10000	20	10209281
10209262	11000503	10000	20	10209286
10209263	11000503	10000	20	10209291
10209264	11000503	10000	20	10209296
10209265	11000503	10000	20	10209301
10209266	11000503	10000	20	10209308
10209267	11000503	10000	20	10209309
10209268	11000503	10000	20	10209310
10209269	11000503	10000	20	10209311
10209270	11000503	10000	20	10209312
10209271	11000503	10000	20	10209313
10209314	11000503	10000	20	10209350
10209315	11000503	10000	20	10209351
10209316	11000503	10000	20	10209352
10209317	11000503	10000	20	10209353
10209318	11000503	10000	20	10209354
10209319	11000503	10000	20	10209355
10209320	11000503	10000	20	10209356
10209321	11000503	10000	20	10209357
10209322	11000503	10000	20	10209358
10209323	11000503	10000	20	10209359
10209324	11000503	10000	20	10209360
10209325	11000503	10000	20	10209361
10209326	11000503	10000	20	10209362
10209327	11000503	10000	20	10209363
10209328	11000503	10000	20	10209364
10209329	11000503	10000	20	10209365
10209330	11000503	10000	20	10209366
10209331	11000503	10000	20	10209367
10209332	11000503	10000	20	10209368
10209333	11000503	10000	20	10209369
10209334	11000503	10000	20	10209370
10209335	11000503	10000	20	10209371
10209336	11000503	10000	20	10209372
10209337	11000503	10000	20	10209373
10209338	11000503	10000	20	10209374
10209339	11000503	10000	20	10209375
10209340	11000503	10000	20	10209376
10209341	11000503	10000	20	10209377
10209342	11000503	10000	20	10209378
10209343	11000503	10000	20	10209379
10209344	11000503	10000	20	10209380
10209345	11000503	10000	20	10209381
10209346	11000503	10000	20	10209382
10209347	11000503	10000	20	10209383
10209348	11000503	10000	20	10209384
10209349	11000503	10000	20	10209385
10209500	11000503	10000	20	10209524
10209501	11000503	10000	20	10209525
10209502	11000503	10000	20	10209526
10209503	11000503	10000	20	10209527
10209504	11000503	10000	20	10209528
10209505	11000503	10000	20	10209529
10209506	11000503	10000	20	10209530
10209507	11000503	10000	20	10209531
10209508	11000503	10000	20	10209532
10209509	11000503	10000	20	10209533
10209510	11000503	10000	20	10209534
10209511	11000503	10000	20	10209535
10209512	11000503	10000	20	10209536
10209513	11000503	10000	20	10209537
10209514	11000503	10000	20	10209538
10209515	11000503	10000	20	10209539
10209516	11000503	10000	20	10209540
10209517	11000503	10000	20	10209541
10209518	11000503	10000	20	10209542
10209519	11000503	10000	20	10209543
10209520	11000503	10000	20	10209544
10209521	11000503	10000	20	10209545
10209522	11000503	10000	20	10209546
10209523	11000503	10000	20	10209547
10213100	11000500	10000	20	10217000
10213101	11000500	10000	20	10217001
10213102	11000500	10000	20	10217002
10213103	11000500	10000	20	10217003
10213104	11000500	10000	20	10217004
10213105	11000500	10000	20	10217005
10213106	11000500	10000	20	10217006
10213200	11000500	10000	20	10217100
10213201	11000500	10000	20	10217101
10213202	11000500	10000	20	10217102
10213203	11000500	10000	20	10217103
10221105	11000503	10000	20	10227100
10221108	11000503	10000	20	10227101
10221109	11000503	10000	20	10227103
10221110	11000503	10000	20	10227102
10221111	11000503	10000	20	10227104
10221112	11000503	10000	20	10227105
10221113	11000503	10000	20	10227106
10234001	11000503	10000	20	10238801
10234002	11000503	10000	20	10238802
10234003	11000503	10000	20	10238803
10234004	11000503	10000	20	10238900
10234011	11000503	10000	20	10238811
10234012	11000503	10000	20	10238812
10234013	11000503	10000	20	10238813
10234014	11000503	10000	20	10238901
10234021	11000503	10000	20	10238821
10234022	11000503	10000	20	10238822
10234023	11000503	10000	20	10238823
10234024	11000503	10000	20	10238902
10234031	11000503	10000	20	10238831
10234032	11000503	10000	20	10238832
10234033	11000503	10000	20	10238833
10234034	11000503	10000	20	10238903
10234041	11000503	10000	20	10238841
10234042	11000503	10000	20	10238842
10234043	11000503	10000	20	10238843
10234044	11000503	10000	20	10238904
10234051	11000503	10000	20	10238851
10234052	11000503	10000	20	10238852
10234053	11000503	10000	20	10238853
10234054	11000503	10000	20	10238905
10238600	11000503	10000	20	10238804
10238610	11000503	10000	20	10238814
10238620	11000503	10000	20	10238824
10238630	11000503	10000	20	10238834
10238640	11000503	10000	20	10238844
10238650	11000503	10000	20	10238854
10238700	11000503	10000	20	10238805
10238710	11000503	10000	20	10238815
10238720	11000503	10000	20	10238825
10238730	11000503	10000	20	10238835
10238740	11000503	10000	20	10238845
10238750	11000503	10000	20	10238855
10238760	11000503	10000	20	10238910
10238761	11000503	10000	20	10238911
10238762	11000503	10000	20	10238912
10238763	11000503	10000	20	10238913
10238764	11000503	10000	20	10238914
10238765	11000503	10000	20	10238915
10239000	11000503	10000	20	10239100
10239001	11000503	10000	20	10239101
10239002	11000503	10000	20	10239102
10239003	11000503	10000	20	10239103
10239004	11000503	10000	20	10239104
10239005	11000503	10000	20	10239105
10239006	11000503	10000	20	10239106
10239007	11000503	10000	20	10239107
10239008	11000503	10000	20	10239108
10239009	11000503	10000	20	10239109
10239010	11000503	10000	20	10239110
10239011	11000503	10000	20	10239111
10239012	11000503	10000	20	10239112
10239013	11000503	10000	20	10239113
10239014	11000503	10000	20	10239114
10239015	11000503	10000	20	10239115
10239016	11000503	10000	20	10239116
10239017	11000503	10000	20	10239117
10239018	11000503	10000	20	10239118
10239019	11000503	10000	20	10239119
10239020	11000503	10000	20	10239120
10239021	11000503	10000	20	10239121
10239022	11000503	10000	20	10239122
10239023	11000503	10000	20	10239123
10239024	11000503	10000	20	10239124
10239025	11000503	10000	20	10239125
10239026	11000503	10000	20	10239126
10239027	11000503	10000	20	10239127
10239028	11000503	10000	20	10239128
10239029	11000503	10000	20	10239129
10239030	11000503	10000	20	10239130
10239031	11000503	10000	20	10239131
10239032	11000503	10000	20	10239132
10239033	11000503	10000	20	10239133
10239034	11000503	10000	20	10239134
10239035	11000503	10000	20	10239135
10239218	11000503	10000	20	10239296
10239219	11000503	10000	20	10239297
10239220	11000503	10000	20	10239298
10239221	11000503	10000	20	10239326
10239222	11000503	10000	20	10239301
10239223	11000503	10000	20	10239302
10239224	11000503	10000	20	10239303
10239225	11000503	10000	20	10239327
10239226	11000503	10000	20	10239306
10239227	11000503	10000	20	10239307
10239228	11000503	10000	20	10239308
10239229	11000503	10000	20	10239328
10239230	11000503	10000	20	10239311
10239231	11000503	10000	20	10239312
10239232	11000503	10000	20	10239313
10239233	11000503	10000	20	10239329
10239234	11000503	10000	20	10239316
10239235	11000503	10000	20	10239317
10239236	11000503	10000	20	10239318
10239237	11000503	10000	20	10239330
10239238	11000503	10000	20	10239321
10239239	11000503	10000	20	10239322
10239240	11000503	10000	20	10239323
10239241	11000503	10000	20	10239331
10239278	11000503	10000	20	10239299
10239279	11000503	10000	20	10239304
10239280	11000503	10000	20	10239309
10239281	11000503	10000	20	10239314
10239282	11000503	10000	20	10239319
10239283	11000503	10000	20	10239324
10239284	11000503	10000	20	10239300
10239285	11000503	10000	20	10239305
10239286	11000503	10000	20	10239310
10239287	11000503	10000	20	10239315
10239288	11000503	10000	20	10239320
10239289	11000503	10000	20	10239325
10239290	11000503	10000	20	10239332
10239291	11000503	10000	20	10239333
10239292	11000503	10000	20	10239334
10239293	11000503	10000	20	10239335
10239294	11000503	10000	20	10239336
10239295	11000503	10000	20	10239337
10239338	11000503	10000	20	10239374
10239339	11000503	10000	20	10239375
10239340	11000503	10000	20	10239376
10239341	11000503	10000	20	10239377
10239342	11000503	10000	20	10239378
10239343	11000503	10000	20	10239379
10239344	11000503	10000	20	10239380
10239345	11000503	10000	20	10239381
10239346	11000503	10000	20	10239382
10239347	11000503	10000	20	10239383
10239348	11000503	10000	20	10239384
10239349	11000503	10000	20	10239385
10239350	11000503	10000	20	10239386
10239351	11000503	10000	20	10239387
10239352	11000503	10000	20	10239388
10239353	11000503	10000	20	10239389
10239354	11000503	10000	20	10239390
10239355	11000503	10000	20	10239391
10239356	11000503	10000	20	10239392
10239357	11000503	10000	20	10239393
10239358	11000503	10000	20	10239394
10239359	11000503	10000	20	10239395
10239360	11000503	10000	20	10239396
10239361	11000503	10000	20	10239397
10239362	11000503	10000	20	10239398
10239363	11000503	10000	20	10239399
10239364	11000503	10000	20	10239400
10239365	11000503	10000	20	10239401
10239366	11000503	10000	20	10239402
10239367	11000503	10000	20	10239403
10239368	11000503	10000	20	10239404
10239369	11000503	10000	20	10239405
10239370	11000503	10000	20	10239406
10239371	11000503	10000	20	10239407
10239372	11000503	10000	20	10239408
10239373	11000503	10000	20	10239409
10239500	11000503	10000	20	10239524
10239501	11000503	10000	20	10239525
10239502	11000503	10000	20	10239526
10239503	11000503	10000	20	10239527
10239504	11000503	10000	20	10239528
10239505	11000503	10000	20	10239529
10239506	11000503	10000	20	10239530
10239507	11000503	10000	20	10239531
10239508	11000503	10000	20	10239532
10239509	11000503	10000	20	10239533
10239510	11000503	10000	20	10239534
10239511	11000503	10000	20	10239535
10239512	11000503	10000	20	10239536
10239513	11000503	10000	20	10239537
10239514	11000503	10000	20	10239538
10239515	11000503	10000	20	10239539
10239516	11000503	10000	20	10239540
10239517	11000503	10000	20	10239541
10239518	11000503	10000	20	10239542
10239519	11000503	10000	20	10239543
10239520	11000503	10000	20	10239544
10239521	11000503	10000	20	10239545
10239522	11000503	10000	20	10239546
10239523	11000503	10000	20	10239547
10244001	11000502	10000	20	10248801
10244002	11000502	10000	20	10248802
10244003	11000502	10000	20	10248803
10244004	11000502	10000	20	10248900
10244011	11000502	10000	20	10248811
10244012	11000502	10000	20	10248812
10244013	11000502	10000	20	10248813
10244014	11000502	10000	20	10248901
10244021	11000502	10000	20	10248821
10244022	11000502	10000	20	10248822
10244023	11000502	10000	20	10248823
10244024	11000502	10000	20	10248902
10244031	11000502	10000	20	10248831
10244032	11000502	10000	20	10248832
10244033	11000502	10000	20	10248833
10244034	11000502	10000	20	10248903
10244041	11000502	10000	20	10248841
10244042	11000502	10000	20	10248842
10244043	11000502	10000	20	10248843
10244044	11000502	10000	20	10248904
10244051	11000502	10000	20	10248851
10244052	11000502	10000	20	10248852
10244053	11000502	10000	20	10248853
10244054	11000502	10000	20	10248905
10246092	11000502	10000	20	10248856
10248600	11000502	10000	20	10248804
10248610	11000502	10000	20	10248814
10248620	11000502	10000	20	10248824
10248630	11000502	10000	20	10248834
10248640	11000502	10000	20	10248844
10248650	11000502	10000	20	10248854
10248700	11000502	10000	20	10248805
10248710	11000502	10000	20	10248815
10248720	11000502	10000	20	10248825
10248730	11000502	10000	20	10248835
10248740	11000502	10000	20	10248845
10248750	11000502	10000	20	10248855
10248760	11000502	10000	20	10248910
10248761	11000502	10000	20	10248911
10248762	11000502	10000	20	10248912
10248763	11000502	10000	20	10248913
10248764	11000502	10000	20	10248914
10248765	11000502	10000	20	10248915
10249000	11000502	10000	20	10249100
10249001	11000502	10000	20	10249101
10249002	11000502	10000	20	10249102
10249003	11000502	10000	20	10249103
10249004	11000502	10000	20	10249104
10249005	11000502	10000	20	10249105
10249006	11000502	10000	20	10249106
10249007	11000502	10000	20	10249107
10249008	11000502	10000	20	10249108
10249009	11000502	10000	20	10249109
10249010	11000502	10000	20	10249110
10249011	11000502	10000	20	10249111
10249012	11000502	10000	20	10249112
10249013	11000502	10000	20	10249113
10249014	11000502	10000	20	10249114
10249015	11000502	10000	20	10249115
10249016	11000502	10000	20	10249116
10249017	11000502	10000	20	10249117
10249018	11000502	10000	20	10249118
10249019	11000502	10000	20	10249119
10249020	11000502	10000	20	10249120
10249021	11000502	10000	20	10249121
10249022	11000502	10000	20	10249122
10249023	11000502	10000	20	10249123
10249024	11000502	10000	20	10249124
10249025	11000502	10000	20	10249125
10249026	11000502	10000	20	10249126
10249027	11000502	10000	20	10249127
10249028	11000502	10000	20	10249128
10249029	11000502	10000	20	10249129
10249030	11000502	10000	20	10249130
10249031	11000502	10000	20	10249131
10249032	11000502	10000	20	10249132
10249033	11000502	10000	20	10249133
10249034	11000502	10000	20	10249134
10249035	11000502	10000	20	10249135
10249218	11000502	10000	20	10249296
10249219	11000502	10000	20	10249297
10249220	11000502	10000	20	10249298
10249221	11000502	10000	20	10249326
10249222	11000502	10000	20	10249301
10249223	11000502	10000	20	10249302
10249224	11000502	10000	20	10249303
10249225	11000502	10000	20	10249327
10249226	11000502	10000	20	10249306
10249227	11000502	10000	20	10249307
10249228	11000502	10000	20	10249308
10249229	11000502	10000	20	10249328
10249230	11000502	10000	20	10249311
10249231	11000502	10000	20	10249312
10249232	11000502	10000	20	10249313
10249233	11000502	10000	20	10249329
10249234	11000502	10000	20	10249316
10249235	11000502	10000	20	10249317
10249236	11000502	10000	20	10249318
10249237	11000502	10000	20	10249330
10249238	11000502	10000	20	10249321
10249239	11000502	10000	20	10249322
10249240	11000502	10000	20	10249323
10249241	11000502	10000	20	10249331
10249278	11000502	10000	20	10249299
10249279	11000502	10000	20	10249304
10249280	11000502	10000	20	10249309
10249281	11000502	10000	20	10249314
10249282	11000502	10000	20	10249319
10249283	11000502	10000	20	10249324
10249284	11000502	10000	20	10249300
10249285	11000502	10000	20	10249305
10249286	11000502	10000	20	10249310
10249287	11000502	10000	20	10249315
10249288	11000502	10000	20	10249320
10249289	11000502	10000	20	10249325
10249290	11000502	10000	20	10249332
10249291	11000502	10000	20	10249333
10249292	11000502	10000	20	10249334
10249293	11000502	10000	20	10249335
10249294	11000502	10000	20	10249336
10249295	11000502	10000	20	10249337
10249338	11000502	10000	20	10249374
10249339	11000502	10000	20	10249375
10249340	11000502	10000	20	10249376
10249341	11000502	10000	20	10249377
10249342	11000502	10000	20	10249378
10249343	11000502	10000	20	10249379
10249344	11000502	10000	20	10249380
10249345	11000502	10000	20	10249381
10249346	11000502	10000	20	10249382
10249347	11000502	10000	20	10249383
10249348	11000502	10000	20	10249384
10249349	11000502	10000	20	10249385
10249350	11000502	10000	20	10249386
10249351	11000502	10000	20	10249387
10249352	11000502	10000	20	10249388
10249353	11000502	10000	20	10249389
10249354	11000502	10000	20	10249390
10249355	11000502	10000	20	10249391
10249356	11000502	10000	20	10249392
10249357	11000502	10000	20	10249393
10249358	11000502	10000	20	10249394
10249359	11000502	10000	20	10249395
10249360	11000502	10000	20	10249396
10249361	11000502	10000	20	10249397
10249362	11000502	10000	20	10249398
10249363	11000502	10000	20	10249399
10249364	11000502	10000	20	10249400
10249365	11000502	10000	20	10249401
10249366	11000502	10000	20	10249402
10249367	11000502	10000	20	10249403
10249368	11000502	10000	20	10249404
10249369	11000502	10000	20	10249405
10249370	11000502	10000	20	10249406
10249371	11000502	10000	20	10249407
10249372	11000502	10000	20	10249408
10249373	11000502	10000	20	10249409
10249500	11000502	10000	20	10249524
10249501	11000502	10000	20	10249525
10249502	11000502	10000	20	10249526
10249503	11000502	10000	20	10249527
10249504	11000502	10000	20	10249528
10249505	11000502	10000	20	10249529
10249506	11000502	10000	20	10249530
10249507	11000502	10000	20	10249531
10249508	11000502	10000	20	10249532
10249509	11000502	10000	20	10249533
10249510	11000502	10000	20	10249534
10249511	11000502	10000	20	10249535
10249512	11000502	10000	20	10249536
10249513	11000502	10000	20	10249537
10249514	11000502	10000	20	10249538
10249515	11000502	10000	20	10249539
10249516	11000502	10000	20	10249540
10249517	11000502	10000	20	10249541
10249518	11000502	10000	20	10249542
10249519	11000502	10000	20	10249543
10249520	11000502	10000	20	10249544
10249521	11000502	10000	20	10249545
10249522	11000502	10000	20	10249546
10249523	11000502	10000	20	10249547
10254001	11000504	10000	20	10258801
10254002	11000504	10000	20	10258802
10254003	11000504	10000	20	10258803
10254004	11000504	10000	20	10258900
10254011	11000504	10000	20	10258811
10254012	11000504	10000	20	10258812
10254013	11000504	10000	20	10258813
10254014	11000504	10000	20	10258901
10254021	11000504	10000	20	10258821
10254022	11000504	10000	20	10258822
10254023	11000504	10000	20	10258823
10254024	11000504	10000	20	10258902
10254031	11000504	10000	20	10258831
10254032	11000504	10000	20	10258832
10254033	11000504	10000	20	10258833
10254034	11000504	10000	20	10258903
10254041	11000504	10000	20	10258841
10254042	11000504	10000	20	10258842
10254043	11000504	10000	20	10258843
10254044	11000504	10000	20	10258904
10254051	11000504	10000	20	10258851
10254052	11000504	10000	20	10258852
10254053	11000504	10000	20	10258853
10254054	11000504	10000	20	10258905
10258600	11000504	10000	20	10258804
10258610	11000504	10000	20	10258814
10258620	11000504	10000	20	10258824
10258630	11000504	10000	20	10258834
10258640	11000504	10000	20	10258844
10258650	11000504	10000	20	10258854
10258700	11000504	10000	20	10258805
10258710	11000504	10000	20	10258815
10258720	11000504	10000	20	10258825
10258730	11000504	10000	20	10258835
10258740	11000504	10000	20	10258845
10258750	11000504	10000	20	10258855
10258760	11000504	10000	20	10258910
10258761	11000504	10000	20	10258911
10258762	11000504	10000	20	10258912
10258763	11000504	10000	20	10258913
10258764	11000504	10000	20	10258914
10258765	11000504	10000	20	10258915
10259000	11000504	10000	20	10259100
10259001	11000504	10000	20	10259101
10259002	11000504	10000	20	10259102
10259003	11000504	10000	20	10259103
10259004	11000504	10000	20	10259104
10259005	11000504	10000	20	10259105
10259006	11000504	10000	20	10259106
10259007	11000504	10000	20	10259107
10259008	11000504	10000	20	10259108
10259009	11000504	10000	20	10259109
10259010	11000504	10000	20	10259110
10259011	11000504	10000	20	10259111
10259012	11000504	10000	20	10259112
10259013	11000504	10000	20	10259113
10259014	11000504	10000	20	10259114
10259015	11000504	10000	20	10259115
10259016	11000504	10000	20	10259116
10259017	11000504	10000	20	10259117
10259018	11000504	10000	20	10259118
10259019	11000504	10000	20	10259119
10259020	11000504	10000	20	10259120
10259021	11000504	10000	20	10259121
10259022	11000504	10000	20	10259122
10259023	11000504	10000	20	10259123
10259024	11000504	10000	20	10259124
10259025	11000504	10000	20	10259125
10259026	11000504	10000	20	10259126
10259027	11000504	10000	20	10259127
10259028	11000504	10000	20	10259128
10259029	11000504	10000	20	10259129
10259030	11000504	10000	20	10259130
10259031	11000504	10000	20	10259131
10259032	11000504	10000	20	10259132
10259033	11000504	10000	20	10259133
10259034	11000504	10000	20	10259134
10259035	11000504	10000	20	10259135
10259218	11000504	10000	20	10259296
10259219	11000504	10000	20	10259297
10259220	11000504	10000	20	10259298
