INT	STRING	STRING	STRING	FLOAT	FLOAT	INT	INT	STRING	STRING	STRING	INT					
90156	207	幽熔之怪	60级 幽熔之怪	81.001694	132.587341	0	3	怪物	d	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90157	207	幽角之牤	65级 幽角之牤	177.002487	166.179779	0	3	怪物	h	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90158	208	幽嚎之牛	70级 幽嚎之牛	170.182388	155.990112	0	3	怪物	x	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90159	208	幽冰之爪	75级 幽冰之爪	95.127548	121.993942	0	3	怪物	x	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90160	209	幽金之奴	80级 幽金之奴	191.473083	122.734772	0	3	怪物	h	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90161	209	幽岩之奴	85级 幽岩之奴	65.599174	149.104889	0	3	怪物	s	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90162	210	幽焰之奴	90级 幽焰之奴	103.039063	169.060898	0	3	怪物	h	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90163	210	幽铁之奴	95级 幽铁之奴	62.926388	56.493649	0	3	怪物	d	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90164	211	幽寒之魔	100级 幽寒之魔	122	165	0	3	怪物	h	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90165	211	幽燃之魔	105级 幽燃之魔	117	85	0	3	怪物	s	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90166	204	一层幽蛰之蜂	一层幽蛰之蜂	139	62	0	-1	风景	m	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90167	205	二层幽纹之豹	二层幽纹之豹	134.20726	160.757202	0	-1	风景	m	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90168	205	二层幽面之魈	二层幽面之魈	112.836784	87.485069	0	-1	风景	m	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
#	昆仑猎场	90200	90300								0					
130000	289	昆仑马场	传送·昆仑马场	46.299999	150.300003	1	4	传送	c	set:CJSH_npctop_1 image:CJSH_npctop_1_suluding	0					
129179	289	海大	驯龟人海大	61	155	1	1	功能	x	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
130002	289	那古谚	那古谚	38.29879	131.262756	1	2	任务	n	set:CJSH_npctop_1 image:CJSH_npctop_1_npc2	0					
90200	289	追风部落探马	10级 追风部落探马	48	173	0	-1	风景	m	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90201	289	追风部落探马	20级 追风部落探马	87	171	0	-1	风景	m	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90202	289	追风部落探马	30级 追风部落探马	113	213	0	-1	风景	m	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90203	289	追风部落勇士	40级 追风部落勇士	171	160	0	-1	风景	m	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90204	289	追风部落勇士	50级 追风部落勇士	212	201	0	-1	风景	m	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90205	289	追风部落勇士	60级 追风部落勇士	108	107	0	-1	风景	m	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90206	289	追风部落狂战士	70级 追风部落狂战士	191	76	0	-1	风景	m	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90207	289	追风部落狂战士	80级 追风部落狂战士	176	41	0	-1	风景	m	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90208	289	追风部落狂战士	90级 追风部落狂战士	72	61	0	-1	风景	m	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90209	289	追风部落狂战士	100级 追风部落狂战士	43	75	0	-1	风景	m	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
#	昆仑古冢	1-8层									0					
90250	304	幽黑之蛛	30级 幽黑之蛛	61	130	0	3	怪物	s	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90251	304	幽蛰之蜂	35级 幽蛰之蜂	181	129	0	3	怪物	s	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90252	305	幽纹之豹	40级 幽纹之豹	124.759552	109.740517	0	3	怪物	s	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90253	305	幽面之魈	45级 幽面之魈	181.479004	149.447006	0	3	怪物	s	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90254	306	幽暗之瞳	50级 幽暗之瞳	177.002487	166.179779	0	3	怪物	w	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90255	306	幽焚之齿	55级 幽焚之齿	81.001694	132.587341	0	3	怪物	l	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90256	307	幽熔之怪	60级 幽熔之怪	112.836784	87.485069	0	3	怪物	d	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90257	307	幽角之牤	65级 幽角之牤	134.20726	160.757202	0	3	怪物	h	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90258	308	幽嚎之牛	70级 幽嚎之牛	96.403252	74.678398	0	3	怪物	x	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90259	308	幽冰之爪	75级 幽冰之爪	134.076263	143.597839	0	3	怪物	x	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90260	309	幽金之奴	80级 幽金之奴	62.926388	56.493649	0	3	怪物	h	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90261	309	幽岩之奴	85级 幽岩之奴	103.039063	169.060898	0	3	怪物	s	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90262	310	幽焰之奴	90级 幽焰之奴	95.127548	121.993942	0	3	怪物	h	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90263	310	幽铁之奴	95级 幽铁之奴	170.182388	155.990112	0	3	怪物	d	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90264	311	幽寒之魔	100级 幽寒之魔	187	62	0	3	怪物	h	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90265	311	幽燃之魔	105级 幽燃之魔	181	165	0	3	怪物	s	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90266	304	一层幽蛰之蜂	一层幽蛰之蜂	181	129	0	-1	风景	m	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90267	305	二层幽纹之豹	二层幽纹之豹	124.759552	109.740517	0	-1	风景	m	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90268	305	二层幽面之魈	二层幽面之魈	181.479004	149.447006	0	-1	风景	m	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
#	敦煌猎场	90300	90400								0					
133000	389	敦煌马场	传送·敦煌马场	226	124.5	1	4	传送	c	set:CJSH_npctop_1 image:CJSH_npctop_1_suluding	0					
132158	389	海大	驯龟人海大	155	80	1	2	功能	a	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
133007	389	岱钦	卫国将军	222	128	1	2	任务	z	set:CJSH_npctop_1 image:CJSH_npctop_1_npc2	0					
90300	389	雪隼部落探马	10级 雪隼部落探马	210	85	0	-1	风景	m	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90301	389	雪隼部落探马	20级 雪隼部落探马	189	66	0	-1	风景	m	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90302	389	雪隼部落探马	30级 雪隼部落探马	138	44	0	-1	风景	m	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90303	389	雪隼部落勇士	40级 雪隼部落勇士	65	32	0	-1	风景	m	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90304	389	雪隼部落勇士	50级 雪隼部落勇士	72	63	0	-1	风景	m	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90305	389	雪隼部落勇士	60级 雪隼部落勇士	45	133	0	-1	风景	m	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90306	389	雪隼部落狂战士	70级 雪隼部落狂战士	79	181	0	-1	风景	m	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90307	389	雪隼部落狂战士	80级 雪隼部落狂战士	108	181	0	-1	风景	m	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90308	389	雪隼部落狂战士	90级 雪隼部落狂战士	145	134	0	-1	风景	m	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90309	389	雪隼部落狂战士	100级 雪隼部落狂战士	203	190	0	-1	风景	m	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
#	敦煌佛窟	1-8层									 					
90350	404	幽黑之蛛	30级 幽黑之蛛	112.836784	87.485069	0	3	怪物	s	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90351	404	幽蛰之蜂	35级 幽蛰之蜂	134.20726	160.757202	0	3	怪物	s	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90352	405	幽纹之豹	40级 幽纹之豹	90	71	0	3	怪物	s	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90353	405	幽面之魈	45级 幽面之魈	125	152	0	3	怪物	s	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90354	406	幽暗之瞳	50级 幽暗之瞳	189	125	0	3	怪物	w	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90355	406	幽焚之齿	55级 幽焚之齿	57	126	0	3	怪物	l	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90356	407	幽熔之怪	60级 幽熔之怪	178	162	0	3	怪物	d	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90357	407	幽角之牤	65级 幽角之牤	124.759552	109.740517	0	3	怪物	h	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90358	408	幽嚎之牛	70级 幽嚎之牛	103.039063	169.060898	0	3	怪物	x	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90359	408	幽冰之爪	75级 幽冰之爪	62.926388	56.493649	0	3	怪物	x	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90360	409	幽金之奴	80级 幽金之奴	95.127548	121.993942	0	3	怪物	h	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90361	409	幽岩之奴	85级 幽岩之奴	170.182388	155.990112	0	3	怪物	s	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90362	410	幽焰之奴	90级 幽焰之奴	177.002487	166.179779	0	3	怪物	h	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90363	410	幽铁之奴	95级 幽铁之奴	81.001694	132.587341	0	3	怪物	d	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90364	411	幽寒之魔	100级 幽寒之魔	124	127	0	3	怪物	h	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90365	411	幽燃之魔	105级 幽燃之魔	140	60	0	3	怪物	s	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90366	404	一层幽蛰之蜂	一层幽蛰之蜂	134.20726	160.757202	0	-1	风景	m	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90367	405	二层幽纹之豹	二层幽纹之豹	90	71	0	-1	风景	m	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
90368	405	二层幽面之魈	二层幽面之魈	125	152	0	-1	风景	m	set:CJSH_npctop_1 image:CJSH_npctop_1_monster	0					
#																
101301	29	九州岛	九州岛	100	100	1	4	传送	c	set:CJSH_npctop_1 image:CJSH_npctop_1_suluding	0					
101302	35	苏门答腊	苏门答腊	100	100	1	4	传送	c	set:CJSH_npctop_1 image:CJSH_npctop_1_suluding	0					
101303	7	秦岭	传送·秦岭	100	100	1	4	传送	c	set:CJSH_npctop_1 image:CJSH_npctop_1_suluding	0					
101304	32	印度河	印度河	100	100	1	4	传送	c	set:CJSH_npctop_1 image:CJSH_npctop_1_suluding	0					
101305	10	红沙漠	传送·红沙漠	49	120	1	4	传送	c	set:CJSH_npctop_1 image:CJSH_npctop_1_suluding	0					
101306	16	波斯高原	传送·波斯高原	185	170	1	4	传送	c	set:CJSH_npctop_1 image:CJSH_npctop_1_suluding	0					
101307	19	波兰王国	传送·波兰王国	58	168	1	4	传送	c	set:CJSH_npctop_1 image:CJSH_npctop_1_suluding	0					
101308	22	拜占庭帝国	传送·拜占庭帝国	97	148	1	4	传送	c	set:CJSH_npctop_1 image:CJSH_npctop_1_suluding	0					
101309	25	西奈半岛	传送·西奈半岛	51	43	1	4	传送	c	set:CJSH_npctop_1 image:CJSH_npctop_1_suluding	0					
101310	51	楼兰边塞	领地传送人	87	121	1	4	传送	c	set:CJSH_npctop_1 image:CJSH_npctop_1_suluding	0					
101311	151	天山边塞	领地传送人	171	120	1	4	传送	c	set:CJSH_npctop_1 image:CJSH_npctop_1_suluding	0					
101312	251	昆仑边塞	领地传送人	88	122	1	4	传送	c	set:CJSH_npctop_1 image:CJSH_npctop_1_suluding	0					
101313	351	敦煌边塞	领地传送人	172	123	1	4	传送	c	set:CJSH_npctop_1 image:CJSH_npctop_1_suluding	0					
#																
101650	104	组队指引人	迷宫一层组队指引人	170	65	1	1	功能	x	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
101651	105	组队指引人	组队指引人	72	101	1	1	功能	x	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
101652	106	组队指引人	组队指引人	59	197	1	1	功能	x	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
101653	107	组队指引人	组队指引人	103	204	1	1	功能	x	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
101654	108	组队指引人	组队指引人	173	41	1	1	功能	x	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
101655	109	组队指引人	组队指引人	65	67	1	1	功能	x	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
101656	110	组队指引人	组队指引人	139	48	1	1	功能	x	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
101657	111	组队指引人	组队指引人	202	183	1	1	功能	x	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
101658	204	组队指引人	迷宫一层组队指引人	80	204	1	1	功能	x	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
101659	205	组队指引人	组队指引人	178	211	1	1	功能	x	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
101660	206	组队指引人	组队指引人	57	119	1	1	功能	x	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
101661	207	组队指引人	组队指引人	78	45	1	1	功能	x	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
101662	208	组队指引人	组队指引人	209	50	1	1	功能	x	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
101663	209	组队指引人	组队指引人	203	181	1	1	功能	x	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
101664	210	组队指引人	组队指引人	181	183	1	1	功能	x	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
101665	211	组队指引人	组队指引人	140	210	1	1	功能	x	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
101666	304	组队指引人	迷宫一层组队指引人	70	95	1	1	功能	x	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
101667	305	组队指引人	组队指引人	109	67	1	1	功能	x	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
101668	306	组队指引人	组队指引人	187	63	1	1	功能	x	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
101669	307	组队指引人	组队指引人	169	38	1	1	功能	x	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
101670	308	组队指引人	组队指引人	174	39	1	1	功能	x	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
101671	309	组队指引人	组队指引人	174	55	1	1	功能	x	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
101672	310	组队指引人	组队指引人	80	47	1	1	功能	x	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
101673	311	组队指引人	组队指引人	109	68	1	1	功能	x	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
101674	404	组队指引人	迷宫一层组队指引人	48	76	1	1	功能	x	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
101675	405	组队指引人	组队指引人	71	44	1	1	功能	x	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
101676	406	组队指引人	组队指引人	201	184	1	1	功能	x	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
101677	407	组队指引人	组队指引人	82	200	1	1	功能	x	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
101678	408	组队指引人	组队指引人	200	183	1	1	功能	x	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
101679	409	组队指引人	组队指引人	46	181	1	1	功能	x	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
101680	410	组队指引人	组队指引人	90	187	1	1	功能	x	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
101681	411	组队指引人	组队指引人	175	195	1	1	功能	x	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
101682	5	组队指引人	组队指引人	155	68	1	1	功能	x	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
101683	6	组队指引人	组队指引人	59	55	1	1	功能	x	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
101684	7	组队指引人	组队指引人	164	43	1	1	功能	x	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
101685	8	组队指引人	组队指引人	103	128	1	1	功能	x	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
101686	9	组队指引人	组队指引人	197	85	1	1	功能	x	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
101687	10	组队指引人	组队指引人	224	159	1	1	功能	x	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
101688	11	组队指引人	组队指引人	111.5	162	1	1	功能	x	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
101689	13	组队指引人	组队指引人	202	160	1	1	功能	x	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
101690	16	组队指引人	组队指引人	59	53	1	1	功能	x	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
101691	17	组队指引人	组队指引人	181	121	1	1	功能	x	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
101692	18	组队指引人	组队指引人	222	212	1	1	功能	x	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
101693	19	组队指引人	组队指引人	215	139	1	1	功能	x	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
101694	20	组队指引人	组队指引人	209	84	1	1	功能	x	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
101695	21	组队指引人	组队指引人	204	39	1	1	功能	x	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
101696	22	组队指引人	组队指引人	58	109	1	1	功能	x	set:CJSH_npctop_1 image:CJSH_npctop_1_npc1	0					
#																
101150	104	迷宫一层	传送·迷宫一层	201.5	64	1	4	传送	c	set:CJSH_npctop_1 image:CJSH_npctop_1_suluding	0					
101151	105	迷宫二层	传送·迷宫二层	45	80	1	4	传送	c	set:CJSH_npctop_1 image:CJSH_npctop_1_suluding	0					
101152	106	迷宫三层	传送·迷宫三层	66	197	1	4	传送	c	set:CJSH_npctop_1 image:CJSH_npctop_1_suluding	0					
101153	107	迷宫四层	传送·迷宫四层	109	204	1	4	传送	c	set:CJSH_npctop_1 image:CJSH_npctop_1_suluding	0					
101154	108	迷宫五层	传送·迷宫五层	178	41	1	4	传送	c	set:CJSH_npctop_1 image:CJSH_npctop_1_suluding	0					
