INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	INT	INT	INT	STRING	STRING	STRING	INT	STRING	INT	STRING
1306	1306	10	1	CJSH_skill_player_1_9			人物身体前置点	状态_武士_虽远必诛_01		人物右手绑定点	0	1	0	0						虽远必诛：提高人物暴击80	1	虽远必诛：提高人物暴击80
1307	1307	10	1	CJSH_skill_player_1_9			人物身体前置点	状态_武士_虽远必诛_01		人物右手绑定点	0	1	0	0						虽远必诛：提高人物暴击85	1	虽远必诛：提高人物暴击85
1308	1308	10	1	CJSH_skill_player_1_9			人物身体前置点	状态_武士_虽远必诛_01		人物右手绑定点	0	1	0	0						虽远必诛：提高人物暴击90	1	虽远必诛：提高人物暴击90
1309	1309	10	1	CJSH_skill_player_1_9			人物身体前置点	状态_武士_虽远必诛_01		人物右手绑定点	0	1	0	0						虽远必诛：提高人物暴击95	1	虽远必诛：提高人物暴击95
1310	1310	10	1	CJSH_skill_player_1_9			人物身体前置点	状态_武士_虽远必诛_01		人物右手绑定点	0	1	0	0						虽远必诛：提高人物暴击100	1	虽远必诛：提高人物暴击100
																				0		
																				0		
																				0		
																				0		
																				0		
																				0	1	
																				0		
																				0		
																				0		
																				0		
																				0		
1321	1321	10	1	CJSH_skill_player_1_10			人物身体前置点			人物身体受击点	0	1	0	0						勇冠三军：增加力量21点	1	勇冠三军：增加力量21点
1322	1322	10	1	CJSH_skill_player_1_10			人物身体前置点			人物身体受击点	0	1	0	0						勇冠三军：增加力量38点	1	勇冠三军：增加力量38点
1323	1323	10	1	CJSH_skill_player_1_10			人物身体前置点			人物身体受击点	0	1	0	0						勇冠三军：增加力量55点	1	勇冠三军：增加力量55点
1324	1324	10	1	CJSH_skill_player_1_10			人物身体前置点			人物身体受击点	0	1	0	0						勇冠三军：增加力量72点	1	勇冠三军：增加力量72点
1325	1325	10	1	CJSH_skill_player_1_10			人物身体前置点			人物身体受击点	0	1	0	0						勇冠三军：增加力量89点	1	勇冠三军：增加力量89点
1326	1326	10	1	CJSH_skill_player_1_10			人物身体前置点			人物身体受击点	0	1	0	0						勇冠三军：增加力量106点	1	勇冠三军：增加力量106点
1327	1327	10	1	CJSH_skill_player_1_10			人物身体前置点			人物身体受击点	0	1	0	0						勇冠三军：增加力量123点	1	勇冠三军：增加力量123点
1328	1328	10	1	CJSH_skill_player_1_10			人物身体前置点			人物身体受击点	0	1	0	0						勇冠三军：增加力量140点	1	勇冠三军：增加力量140点
1329	1329	10	1	CJSH_skill_player_1_10			人物身体前置点			人物身体受击点	0	1	0	0						勇冠三军：增加力量157点	1	勇冠三军：增加力量157点
1330	1330	10	1	CJSH_skill_player_1_10			人物身体前置点			人物身体受击点	0	1	0	0						勇冠三军：增加力量174点	1	勇冠三军：增加力量174点
																				0	1	
																				0	1	
																				0	1	
																				0		
																				0		
																				0		
																				0		
																				0		
																				0		
																				0		
																				0		
																				0		
																				0		
1381	1381	10	1	CJSH_skill_player_1_7			人物身体中心点	状态_热血沸腾_01		人物身体受击点	0	1	0	0						热血沸腾：基础生命上限提高30%	1	热血沸腾：基础生命上限提高30%
1382	1382	10	1	CJSH_skill_player_1_7			人物身体中心点	状态_热血沸腾_01		人物身体受击点	0	1	0	0						热血沸腾：基础生命上限提高35%	1	热血沸腾：基础生命上限提高35%
1383	1383	10	1	CJSH_skill_player_1_7			人物身体中心点	状态_热血沸腾_01		人物身体受击点	0	1	0	0						热血沸腾：基础生命上限提高40%	1	热血沸腾：基础生命上限提高40%
1384	1384	10	1	CJSH_skill_player_1_7			人物身体中心点	状态_热血沸腾_01		人物身体受击点	0	1	0	0						热血沸腾：基础生命上限提高45%	1	热血沸腾：基础生命上限提高45%
1385	1385	10	1	CJSH_skill_player_1_7			人物身体中心点	状态_热血沸腾_01		人物身体受击点	0	1	0	0						热血沸腾：基础生命上限提高50%	1	热血沸腾：基础生命上限提高50%
1386	1386	10	1	CJSH_skill_player_1_7			人物身体中心点	状态_热血沸腾_01		人物身体受击点	0	1	0	0						热血沸腾：基础生命上限提高55%	1	热血沸腾：基础生命上限提高55%
1387	1387	10	1	CJSH_skill_player_1_7			人物身体中心点	状态_热血沸腾_01		人物身体受击点	0	1	0	0						热血沸腾：基础生命上限提高60%	1	热血沸腾：基础生命上限提高60%
1388	1388	10	1	CJSH_skill_player_1_7			人物身体中心点	状态_热血沸腾_01		人物身体受击点	0	1	0	0						热血沸腾：基础生命上限提高65%	1	热血沸腾：基础生命上限提高65%
1389	1389	10	1	CJSH_skill_player_1_7			人物身体中心点	状态_热血沸腾_01		人物身体受击点	0	1	0	0						热血沸腾：基础生命上限提高70%	1	热血沸腾：基础生命上限提高70%
1390	1390	10	1	CJSH_skill_player_1_7			人物身体中心点	状态_热血沸腾_01		人物身体受击点	0	1	0	0						热血沸腾：基础生命上限提高75%	1	热血沸腾：基础生命上限提高75%























1391	1391	10	1	CJSH_skill_player_1_2			人物身体前置点	状态武士_冲锋斩_01		人物头部绑定点	0	1	1	0						冲锋斩：眩晕	1	冲锋斩：眩晕
1392	1392	10	1	CJSH_skill_player_1_2			人物身体前置点	状态武士_冲锋斩_01		人物头部绑定点	0	1	1	0						冲锋斩：眩晕	1	冲锋斩：眩晕
1393	1393	10	1	CJSH_skill_player_1_2			人物身体前置点	状态武士_冲锋斩_01		人物头部绑定点	0	1	1	0						冲锋斩：眩晕	1	冲锋斩：眩晕
1394	1394	10	1	CJSH_skill_player_1_2			人物身体前置点	状态武士_冲锋斩_01		人物头部绑定点	0	1	1	0						冲锋斩：眩晕	1	冲锋斩：眩晕
1395	1395	10	1	CJSH_skill_player_1_2			人物身体前置点	状态武士_冲锋斩_01		人物头部绑定点	0	1	1	0						冲锋斩：眩晕	1	冲锋斩：眩晕
1396	1396	10	1	CJSH_skill_player_1_2			人物身体前置点	状态武士_冲锋斩_01		人物头部绑定点	0	1	1	0						冲锋斩：眩晕	1	冲锋斩：眩晕
1397	1397	10	1	CJSH_skill_player_1_2			人物身体前置点	状态武士_冲锋斩_01		人物头部绑定点	0	1	1	0						冲锋斩：眩晕	1	冲锋斩：眩晕
1398	1398	10	1	CJSH_skill_player_1_2			人物身体前置点	状态武士_冲锋斩_01		人物头部绑定点	0	1	1	0						冲锋斩：眩晕	1	冲锋斩：眩晕
1399	1399	10	1	CJSH_skill_player_1_2			人物身体前置点	状态武士_冲锋斩_01		人物头部绑定点	0	1	1	0						冲锋斩：眩晕	1	冲锋斩：眩晕
1400	1400	10	1	CJSH_skill_player_1_2			人物身体前置点	状态武士_冲锋斩_01		人物头部绑定点	0	1	1	0						冲锋斩：眩晕	1	冲锋斩：眩晕

1440	1440	10	1	CJSH_skill_player_1_4			人物身体前置点	状态武士_冲锋斩_01		人物头部绑定点	0	1	1	0						眩晕	1	眩晕
1441	1441	10	1	CJSH_skill_player_1_4			人物身体前置点	状态武士_冲锋斩_01		人物头部绑定点	0	1	1	0						眩晕	1	眩晕
1442	1442	10	1	CJSH_skill_player_1_4			人物身体前置点	状态武士_冲锋斩_01		人物头部绑定点	0	1	1	0						眩晕	1	眩晕
1443	1443	10	1	CJSH_skill_player_1_4			人物身体前置点	状态武士_冲锋斩_01		人物头部绑定点	0	1	1	0						眩晕	1	眩晕
1444	1444	10	1	CJSH_skill_player_1_4			人物身体前置点	状态武士_冲锋斩_01		人物头部绑定点	0	1	1	0						眩晕	1	眩晕
1445	1445	10	1	CJSH_skill_player_1_4			人物身体前置点	状态武士_冲锋斩_01		人物头部绑定点	0	1	1	0						眩晕	1	眩晕
1446	1446	10	1	CJSH_skill_player_1_4			人物身体前置点	状态武士_冲锋斩_01		人物头部绑定点	0	1	1	0						眩晕	1	眩晕
1447	1447	10	1	CJSH_skill_player_1_4			人物身体前置点	状态武士_冲锋斩_01		人物头部绑定点	0	1	1	0						眩晕	1	眩晕
1448	1448	10	1	CJSH_skill_player_1_4			人物身体前置点	状态武士_冲锋斩_01		人物头部绑定点	0	1	1	0						眩晕	1	眩晕
1449	1449	10	1	CJSH_skill_player_1_4			人物身体前置点	状态武士_冲锋斩_01		人物头部绑定点	0	1	1	0						眩晕	1	眩晕













#	剑侠						人物身体前置点															
2021	2021	10	1	CJSH_skill_player_1_16			人物身体前置点	状态剑侠_穴打风池_01		人物头部绑定点	0	1	1	0						穴打风池：眩晕	1	穴打风池：眩晕
2022	2022	10	1	CJSH_skill_player_1_16			人物身体前置点	状态剑侠_穴打风池_01		人物头部绑定点	0	1	1	0						穴打风池：眩晕	1	穴打风池：眩晕
2023	2023	10	1	CJSH_skill_player_1_16			人物身体前置点	状态剑侠_穴打风池_01		人物头部绑定点	0	1	1	0						穴打风池：眩晕	1	穴打风池：眩晕
2024	2024	10	1	CJSH_skill_player_1_16			人物身体前置点	状态剑侠_穴打风池_01		人物头部绑定点	0	1	1	0						穴打风池：眩晕	1	穴打风池：眩晕
2025	2025	10	1	CJSH_skill_player_1_16			人物身体前置点	状态剑侠_穴打风池_01		人物头部绑定点	0	1	1	0						穴打风池：眩晕	1	穴打风池：眩晕
2026	2026	10	1	CJSH_skill_player_1_16			人物身体前置点	状态剑侠_穴打风池_01		人物头部绑定点	0	1	1	0						穴打风池：眩晕	1	穴打风池：眩晕
2027	2027	10	1	CJSH_skill_player_1_16			人物身体前置点	状态剑侠_穴打风池_01		人物头部绑定点	0	1	1	0						穴打风池：眩晕	1	穴打风池：眩晕
2028	2028	10	1	CJSH_skill_player_1_16			人物身体前置点	状态剑侠_穴打风池_01		人物头部绑定点	0	1	1	0						穴打风池：眩晕	1	穴打风池：眩晕
2029	2029	10	1	CJSH_skill_player_1_16			人物身体前置点	状态剑侠_穴打风池_01		人物头部绑定点	0	1	1	0						穴打风池：眩晕	1	穴打风池：眩晕
2030	2030	10	1	CJSH_skill_player_1_16			人物身体前置点	状态剑侠_穴打风池_01		人物头部绑定点	0	1	1	0						穴打风池：眩晕	1	穴打风池：眩晕
2041	2041	10	1	CJSH_skill_player_2_2			人物身体前置点	状态剑侠_御剑诀_01		人物身体受击点	0	1	1	0						御剑诀：受到剑侠攻击时伤害加深20%	1	御剑诀：受到剑侠攻击时伤害加深20%
2042	2042	10	1	CJSH_skill_player_2_2			人物身体前置点	状态剑侠_御剑诀_01		人物身体受击点	0	1	1	0						御剑诀：受到剑侠攻击时伤害加深20%	1	御剑诀：受到剑侠攻击时伤害加深20%
2043	2043	10	1	CJSH_skill_player_2_2			人物身体前置点	状态剑侠_御剑诀_01		人物身体受击点	0	1	1	0						御剑诀：受到剑侠攻击时伤害加深20%	1	御剑诀：受到剑侠攻击时伤害加深20%
2044	2044	10	1	CJSH_skill_player_2_2			人物身体前置点	状态剑侠_御剑诀_01		人物身体受击点	0	1	1	0						御剑诀：受到剑侠攻击时伤害加深20%	1	御剑诀：受到剑侠攻击时伤害加深20%
2045	2045	10	1	CJSH_skill_player_2_2			人物身体前置点	状态剑侠_御剑诀_01		人物身体受击点	0	1	1	0						御剑诀：受到剑侠攻击时伤害加深20%	1	御剑诀：受到剑侠攻击时伤害加深20%
2046	2046	10	1	CJSH_skill_player_2_2			人物身体前置点	状态剑侠_御剑诀_01		人物身体受击点	0	1	1	0						御剑诀：受到剑侠攻击时伤害加深20%	1	御剑诀：受到剑侠攻击时伤害加深20%
2047	2047	10	1	CJSH_skill_player_2_2			人物身体前置点	状态剑侠_御剑诀_01		人物身体受击点	0	1	1	0						御剑诀：受到剑侠攻击时伤害加深20%	1	御剑诀：受到剑侠攻击时伤害加深20%
2048	2048	10	1	CJSH_skill_player_2_2			人物身体前置点	状态剑侠_御剑诀_01		人物身体受击点	0	1	1	0						御剑诀：受到剑侠攻击时伤害加深20%	1	御剑诀：受到剑侠攻击时伤害加深20%
2049	2049	10	1	CJSH_skill_player_2_2			人物身体前置点	状态剑侠_御剑诀_01		人物身体受击点	0	1	1	0						御剑诀：受到剑侠攻击时伤害加深20%	1	御剑诀：受到剑侠攻击时伤害加深20%
2050	2050	10	1	CJSH_skill_player_2_2			人物身体前置点	状态剑侠_御剑诀_01		人物身体受击点	0	1	1	0						御剑诀：受到剑侠攻击时伤害加深20%	1	御剑诀：受到剑侠攻击时伤害加深20%
2061	2061	10	1	CJSH_skill_player_2_4			人物身体前置点	状态剑侠_剑走偏逢_01		人物身体受击点	0	1	0	0						剑走偏锋：能量回复增加20点	1	剑走偏锋：能量回复增加20点
2062	2062	10	1	CJSH_skill_player_2_4			人物身体前置点	状态剑侠_剑走偏逢_01		人物身体受击点	0	1	0	0						剑走偏锋：能量回复增加20点	1	剑走偏锋：能量回复增加20点
2063	2063	10	1	CJSH_skill_player_2_4			人物身体前置点	状态剑侠_剑走偏逢_01		人物身体受击点	0	1	0	0						剑走偏锋：能量回复增加20点	1	剑走偏锋：能量回复增加20点
2064	2064	10	1	CJSH_skill_player_2_4			人物身体前置点	状态剑侠_剑走偏逢_01		人物身体受击点	0	1	0	0						剑走偏锋：能量回复增加20点	1	剑走偏锋：能量回复增加20点
2065	2065	10	1	CJSH_skill_player_2_4			人物身体前置点	状态剑侠_剑走偏逢_01		人物身体受击点	0	1	0	0						剑走偏锋：能量回复增加20点	1	剑走偏锋：能量回复增加20点
2066	2066	10	1	CJSH_skill_player_2_4			人物身体前置点	状态剑侠_剑走偏逢_01		人物身体受击点	0	1	0	0						剑走偏锋：能量回复增加20点	1	剑走偏锋：能量回复增加20点
2067	2067	10	1	CJSH_skill_player_2_4			人物身体前置点	状态剑侠_剑走偏逢_01		人物身体受击点	0	1	0	0						剑走偏锋：能量回复增加20点	1	剑走偏锋：能量回复增加20点
2068	2068	10	1	CJSH_skill_player_2_4			人物身体前置点	状态剑侠_剑走偏逢_01		人物身体受击点	0	1	0	0						剑走偏锋：能量回复增加20点	1	剑走偏锋：能量回复增加20点
2069	2069	10	1	CJSH_skill_player_2_4			人物身体前置点	状态剑侠_剑走偏逢_01		人物身体受击点	0	1	0	0						剑走偏锋：能量回复增加20点	1	剑走偏锋：能量回复增加20点
2070	2070	10	1	CJSH_skill_player_2_4			人物身体前置点	状态剑侠_剑走偏逢_01		人物身体受击点	0	1	0	0						剑走偏锋：能量回复增加20点	1	剑走偏锋：能量回复增加20点
2071	2071	10	1	CJSH_skill_player_2_5			人物身体前置点	状态剑侠_七伤剑阵_01		人物头部绑定点	0	1	1	0						七伤剑阵：每2秒受到18点近攻。释放者近攻计算比率35%，目标近防计算比率21%	1	七伤剑阵：每2秒受到18点近攻。释放者近攻计算比率35%，目标近防计算比率21%
2072	2072	10	1	CJSH_skill_player_2_5			人物身体前置点	状态剑侠_七伤剑阵_01		人物头部绑定点	0	1	1	0						七伤剑阵：每2秒受到21点近攻。释放者近攻计算比率40%，目标近防计算比率24%	1	七伤剑阵：每2秒受到21点近攻。释放者近攻计算比率40%，目标近防计算比率24%
2073	2073	10	1	CJSH_skill_player_2_5			人物身体前置点	状态剑侠_七伤剑阵_01		人物头部绑定点	0	1	1	0						七伤剑阵：每2秒受到24点近攻。释放者近攻计算比率45%，目标近防计算比率27%	1	七伤剑阵：每2秒受到24点近攻。释放者近攻计算比率45%，目标近防计算比率27%
2074	2074	10	1	CJSH_skill_player_2_5			人物身体前置点	状态剑侠_七伤剑阵_01		人物头部绑定点	0	1	1	0						七伤剑阵：每2秒受到27点近攻。释放者近攻计算比率50%，目标近防计算比率30%	1	七伤剑阵：每2秒受到27点近攻。释放者近攻计算比率50%，目标近防计算比率30%
2075	2075	10	1	CJSH_skill_player_2_5			人物身体前置点	状态剑侠_七伤剑阵_01		人物头部绑定点	0	1	1	0						七伤剑阵：每2秒受到30点近攻。释放者近攻计算比率55%，目标近防计算比率33%	1	七伤剑阵：每2秒受到30点近攻。释放者近攻计算比率55%，目标近防计算比率33%
2076	2076	10	1	CJSH_skill_player_2_5			人物身体前置点	状态剑侠_七伤剑阵_01		人物头部绑定点	0	1	1	0						七伤剑阵：每2秒受到33点近攻。释放者近攻计算比率60%，目标近防计算比率36%	1	七伤剑阵：每2秒受到33点近攻。释放者近攻计算比率60%，目标近防计算比率36%
2077	2077	10	1	CJSH_skill_player_2_5			人物身体前置点	状态剑侠_七伤剑阵_01		人物头部绑定点	0	1	1	0						七伤剑阵：每2秒受到36点近攻。释放者近攻计算比率65%，目标近防计算比率39%	1	七伤剑阵：每2秒受到36点近攻。释放者近攻计算比率65%，目标近防计算比率39%
