INT	INT	STRING	STRING	INT	INT	INT	INT	INT
11082	-1	大内刺客		10422	-1	-1	-1	5
11083	-1	大内刺客		10423	-1	-1	-1	5
11084	-1	大内刺客		10424	-1	-1	-1	5
11085	-1	大内刺客		10425	-1	-1	-1	5
11086	-1	大内刺客		10426	-1	-1	-1	5
11087	-1	大内刺客		10427	-1	-1	-1	5
11088	-1	大内刺客		10428	-1	-1	-1	5
11089	-1	大内刺客		10429	-1	-1	-1	5
11090	-1	大内刺客		10430	-1	-1	-1	5
11091	-1	大内刺客		10431	-1	-1	-1	5
11092	-1	大内刺客		10432	-1	-1	-1	5
11093	-1	大内刺客		10433	-1	-1	-1	5
11094	-1	大内刺客		10434	-1	-1	-1	5
11095	-1	大内刺客		10435	-1	-1	-1	5
11410	-1	黑衣盗匪		1104	-1	-1	-1	5
11411	-1	高大的米底亚人		1502	-1	-1	-1	15
11412	-1	阿兰狼骑兵		1503	-1	-1	-1	15
11413	-1	阿兰座狼		1504	-1	-1	-1	15
11414	-1	疯狂的信徒		9079	-1	-1	-1	10
11415	-1	勃鲁合的猛兽		9081	-1	-1	-1	5
11416	-1	勃鲁合的猛禽		9082	-1	-1	-1	5
11417	-1	黑羽鹫		1505	-1	-1	-1	20
11418	-1	锁儿罕		1500	-1	-1	-1	1
11419	-1	米底亚武士		1507	-1	-1	-1	20
11420	-1	鬼蛛		1508	-1	-1	-1	25
11421	-1	深山雪人		1509	-1	-1	-1	30
11422	-1	迦色尼战士		1510	-1	-1	-1	30
11423	-1	迦色尼强盗		1511	-1	-1	-1	30
11424	-1	独眼马克		1512	-1	-1	-1	1
11425	-1	横行海蟹		1513	-1	-1	-1	30
11426	-1	迦色尼猎犬		1514	-1	-1	-1	30
11427	-1	迦色尼水手		1515	-1	-1	-1	30
11428	-1	月色魔		1516	-1	-1	-1	1
11429	-1	失魂矿工		1517	-1	-1	-1	25
11430	-1	铁皮将军		1518	-1	-1	-1	1
11431	-1	水蝎子		1519	-1	-1	-1	1
11450	-1	老鼠		1813	-1	-1	-1	8
11451	-1	野狐狸		1819	-1	-1	-1	10
11452	-1	野猪		1802	-1	-1	-1	10
11453	-1	蝙蝠		1816	-1	-1	-1	10
11460	-1	恐怖的巫师		1501	-1	-1	-1	20
11461	-1	狂热信徒		-1	-1	-1	-1	10
11462	-1	红狐狸		1830	-1	-1	-1	5
11463	-1	毒蝎子		1833	-1	-1	-1	7
11464	-1	海都叛军武士		1834	-1	-1	-1	10
11465	-1	海都叛军萨满		1835	-1	-1	-1	5
11466	-1	草原饿狼		1837	-1	-1	-1	5
11467	-1	长刀海盗		1105	-1	-1	-1	10
11468	-1	海都先锋军		1107	-1	-1	-1	10
11469	-1	光头罕木		1108	-1	-1	-1	1
11470	-1	海都先锋军		1107	-1	-1	-1	5
11471	-1	灰袍萨满		1110	-1	-1	-1	1
11472	-1	精英海贼		1111	-1	-1	-1	2
11473	-1	海都先锋军精锐		1107	-1	-1	-1	1
11474	-1		海都先锋军大都尉	1113	-1	-1	-1	1
11475	-1		蓝袍巫王	1120	-1	-1	-1	1
11476	-1	地底毒蛛		1132	-1	-1	-1	10
11477	-1	黑爪毒蝎		1131	-1	-1	-1	10
11478	-1	毒巫合萨儿		1141	-1	-1	-1	1
11479	-1	士兵		1133	-1	-1	-1	10
11480	-1	把阿秃尔		1134	-1	-1	-1	1
11481	-1	白毛大虫		1149	-1	-1	-1	1
11482	-1	黑甲头领		1144	-1	-1	-1	1
11500	-1	地底毒蛛		1132	-1	-1	-1	50
11501	-1	海都先锋军		1107	-1	-1	-1	50
11502	-1	黑爪毒蝎		1131	-1	-1	-1	50
11503	-1	被召唤的阴魂		1160	-1	-1	-1	2
11504	-1	拜山萨满		1162	-1	-1	-1	3
11505	-1	拜火萨满		1161	-1	-1	-1	1
11506	-1	黑甲头目		-1	-1	-1	-1	1
#	大都	11600	11999					
11600	-1	黑衣杀手		9076	-1	-1	-1	60
11601	-1	黑衣死誓者		9077	-1	-1	-1	6
11602	-1	杀手头领郝魁梧		9078	-1	-1	-1	1
11603	-1	勃鲁合的猛兽		9081	-1	-1	-1	1
11604	-1	勃鲁合的猛禽		9082	-1	-1	-1	1
11605	-1	勃鲁合		9080	-1	-1	-1	1
11700	-1	拜火教众		15000	-1	-1	-1	8
11800	-1	波斯残兵		1506	-1	-1	-1	50
11801	-1	草原斥候		1521	-1	-1	-1	50
11802	-1	石魔		1535	-1	-1	-1	50
#	太行山							
11900	-1	雾色山狼		3640	-1	-1	-1	5
11901	-1	黄斑斓虎		3641	-1	-1	-1	5
#	大元皇宫							
#	明教总舵							
#	武林总坛							
#	罕难河草原	12000	12049					
12000	-1	蔑里岂士兵		579	-1	-1	-1	5		
12001	-1	银狐		577	-1	-1	-1	8
12002	-1	蔑里岂头领		578	-1	-1	-1	1
12003	-1	黑熊		576	-1	-1	-1	5		
12004	-1	蔑里岂马贼		575	-1	-1	-1	6
12005	-1	蔑里岂士兵		579	-1	-1	-1	8
12006	-1		托尔歹三兄弟	621	-1	-1	-1	1
#	野外罕难河							
12010	-1	黑鬃狼		5812	-1	-1	-1	3
12011	-1	草原马匪		-1	-1	-1	-1	3
#	乞颜部大营	12050	12099					
12050	-1	雪狼王		560	-1	-1	-1	1
12052	-1	雪狼		554	-1	-1	-1	5
12053	-1	蔑里岂士兵		558	-1	-1	-1	5
#	野外乞颜部							
12060	-1	乞颜马匪		-1	-1	-1	-1	3
12061	-1	乞颜棕熊		5820	-1	-1	-1	8
#	塔塔尔部	12100	12149					
12100	-1	塔塔尔神射手		587	-1	-1	-1	1
12101	-1	潜伏士兵		594	-1	-1	-1	5
12102	-1	雪人王		589	-1	-1	-1	1
12103	-1	银狼		590	-1	-1	-1	20
12104	-1	前哨		607	-1	-1	-1	5
12105	-1	弓箭手		608	-1	-1	-1	5
12106	-1		金军校尉	615	-1	-1	-1	1
12107	-1	士兵		611	-1	-1	-1	20
12108	-1	雪人		588	-1	-1	-1	3
12130	-1	潜伏士兵		594	-1	-1	-1	3
12131	-1	弓箭手		608	-1	-1	-1	3
12132	-1	前哨		607	-1	-1	-1	3
#	野外塔塔尔部							
12140	-1	塔塔尔马匪		-1	-1	-1	-1	3
12141	-1	圣山雪人		5838	-1	-1	-1	3
#	克烈部大营	12150	12199					
12150	-1	乃蛮斥候		630	-1	-1	-1	5
12151	-1		乃蛮斥候队长	792	-1	-1	-1	1
12152	-1	恶狼		635	-1	-1	-1	4
12153	-1	屈出律		796	-1	-1	-1	1
12154	-1	苍狼勇士		633	-1	-1	-1	6
12155	-1	青狼牙勇士		634	-1	-1	-1	1
12156	-1		被饲养的噬人虎	793	-1	-1	-1	1
12180	-1	乃蛮斥候		630	-1	-1	-1	3
12181	-1	驯兽师		622	-1	-1	-1	1
12182	-1	苍狼勇士		633	-1	-1	-1	3
12183	-1	乃蛮部大先知		795	-1	-1	-1	1
#	野外克烈部							
12190	-1	克烈猛虎		5843	-1	-1	-1	3
12191	-1	克烈马匪		-1	-1	-1	-1	3
#	乃蛮部草原	12200	12249					
12200	-1	克烈部古列延		990	-1	-1	-1	25
12201	-1	桑昆		991	-1	-1	-1	1
12202	-1	札阑部步军		994	-1	-1	-1	1
12203	-1	乃蛮部巡哨兵		997	-1	-1	-1	12
12204	-1	乃蛮部重甲军		996	-1	-1	-1	12
12205	-1	塔塔尔部民兵		992	-1	-1	-1	12
12206	-1	蔑里岂部步兵		993	-1	-1	-1	12
12207	-1	札阑部步军		994	-1	-1	-1	13
12208	-1	札阑部马军彪将		995	-1	-1	-1	13
12209	-1	雪人		1000	-1	-1	-1	10
12210	-1	豁里速别赤		-1	-1	-1	-1	1
12230	-1	塔塔尔士兵		756	-1	-1	-1	3
12231	-1	克烈部古列延		990	-1	-1	-1	3
12232	-1	乃蛮部重甲军		996	-1	-1	-1	3
12233	-1	蔑儿真		-1	-1	-1	-1	1
12234	-1	塔塔尔士兵		-1	-1	-1	-1	3
12235	-1	脱黑塔		-1	-1	-1	-1	1
12236	-1	蔑里岂士兵		-1	-1	-1	-1	3
12237	-1	桑昆		-1	-1	-1	-1	1
12238	-1	克烈部士兵		-1	-1	-1	-1	3
12239	-1	朵脱		-1	-1	-1	-1	1
12240	-1	脱必塔		-1	-1	-1	-1	1
12241	-1	乃蛮部士兵		-1	-1	-1	-1	3
12242	-1	乃蛮部士兵		-1	-1	-1	-1	3
12243	-1	岱察儿		-1	-1	-1	-1	1
12244	-1	札阑部士兵		-1	-1	-1	-1	4
12245	-1	铜腰力士		-1	-1	-1	-1	3
12246	-1	山间巨熊		-1	-1	-1	-1	3		
12247	-1	乃蛮守卫		-1	-1	-1	-1	3
#	野外乃蛮部							
12248	-1	乃蛮棕熊		5861	-1	-1	-1	4
12249	-1	乃蛮马匪		-1	-1	-1	-1	4
#	金国乌沙堡	12250	12299					
12250	-1	银狼		1003	-1	-1	-1	10
12251	-1	术虎高琪		1005	-1	-1	-1	1
12252	-1	奇袭营金兵		1007	-1	-1	-1	3
12253	-1	西夏士兵		1002	-1	-1	-1	5
12254	-1	中军护卫营金兵		1006	-1	-1	-1	3
12255	-1	奇袭营金兵		1007	-1	-1	-1	10		
12256	-1	乌月营金兵		1008	-1	-1	-1	10		
12257	-1	乌月营金兵		1008	-1	-1	-1	2		
12258	-1	银狼幼崽		1010	-1	-1	-1	10		
12259	-1	金军逃兵		1011	-1	-1	-1	10		
12260	-1	西夏士兵		1101	-1	-1	-1	10		
12261	-1	中军护卫营金兵		1006	-1	-1	-1	10		
12262	-1	狂暴熊		1001	-1	-1	-1	4
12263	-1	乌月营金兵		1008	-1	-1	-1	10		
12264	-1	银狼		1003	-1	-1	-1	10		
12265	-1	银狼幼崽		1010	-1	-1	-1	5
12266	-1	沙通天		1011	-1	-1	-1	1
12267	-1	朵亚戈		1012	-1	-1	-1	1
12280	-1	银狼		1003	-1	-1	-1	3
12281	-1	奇袭营金兵		1007	-1	-1	-1	3
12282	-1	西夏士兵		1101	-1	-1	-1	3
#	金国居庸关	12300	12349					
12300	-1	群牧监守备		1013	-1	-1	-1	5		
12301	-1	牧马监		1014	-1	-1	-1	2
12302	-1	哗变的金国虬军		1017	-1	-1	-1	5		
12303	-1	金国虎刀侍卫		1018	-1	-1	-1	1
12304	-1	完颜合达		1024	-1	-1	-1	1
12305	-1	耶律家臣		1025	-1	-1	-1	1
12306	-1	秘密眼线		1020	-1	-1	-1	3
12307	-1	蓟皮巨熊王		1028	-1	-1	-1	1
12308	-1	胡沙虎		1030	-1	-1	-1	1
12309	-1	金国太行山守军		1023	-1	-1	-1	5
12310	-1	金国先锋援军		1022	-1	-1	-1	5
12311	-1	完颜纲		1031	-1	-1	-1	1
12312	-1	完颜洪烈		1032	-1	-1	-1	1
12330	-1	群牧监守备		1013	-1	-1	-1	3
12331	-1	金国太行山守军		1023	-1	-1	-1	3
12332	-1	哗变的金国虬军		1017	-1	-1	-1	3
#	野外居庸关							
12340	-1	关外凶狼		5877	-1	-1	-1	4
12341	-1	伪装的密探		5869	-1	-1	-1	1
12342	-1	关外流寇		-1	-1	-1	-1	4
#	金国凤翔府	12350	12399					
12350	-1	雪虎		644	-1	-1	-1	10		
12361	-1	游击		646	-1	-1	-1	8
12362	-1	伏兵		643	-1	-1	-1	8
12380	-1	伏兵		643	-1	-1	-1	3
12381	-1	游击		646	-1	-1	-1	3
12382	-1	雪虎		644	-1	-1	-1	3
12383	-1	武仙		655	-1	-1	-1	1
12384	-1	狼人		642	-1	-1	-1	3		
#	金国蔡州城	12400	12449					
12400	-1	猛安军校尉		688	-1	-1	-1	3
12401	-1	谋克军溃兵		686	-1	-1	-1	8
12402	-1	质子军溃兵		682	-1	-1	-1	8
12403	-1	皇族卫兵		692	-1	-1	-1	3
12404	-1	完颜守序		703	-1	-1	-1	1
12430	-1	猛安军溃兵		680	-1	-1	-1	3
12431	-1	皇族卫兵		692	-1	-1	-1	3
12432	-1	质子军溃兵		682	-1	-1	-1	3
#	西夏中兴府	12450	12499					
12450	-1	一品堂刺客		800	-1	-1	-1	5
12451	-1	塔拉		811	-1	-1	-1	1
12452	-1	铁塔		812	-1	-1	-1	1
12453	-1	一品堂杀手		807	-1	-1	-1	5
12454	-1	一品堂精英刺客		823	-1	-1	-1	5
12455	-1	李天煞		824	-1	-1	-1	1
12456	-1	巴伊的护卫		814	-1	-1	-1	1		
12480	-1	一品堂刺客		800	-1	-1	-1	3
12481	-1	一品堂杀手		807	-1	-1	-1	3
12482	-1	一品堂精英刺客		823	-1	-1	-1	3
#	西夏贺兰山	12500	12549					
12500	-1	吊额猛虎		1400	-1	-1	-1	1
12501	-1	吐舌兽		1409	-1	-1	-1	10
12502	-1	鲁万春		1401	-1	-1	-1	1
12503	-1	两界山鬼蝠		1411	-1	-1	-1	10		
12504	-1	逃亡西夏兵		1402	-1	-1	-1	10		
12505	-1	红眼狼人		1412	-1	-1	-1	10		
12506	-1	袁金涛		1406	-1	-1	-1	1
12507	-1	谢百宜		1407	-1	-1	-1	1
12508	-1	一品堂杀手		1403	-1	-1	-1	10		
12530	-1	吐舌兽		1409	-1	-1	-1	3
12531	-1	两界山鬼蝠		1411	-1	-1	-1	3
12532	-1	红眼狼人		1412	-1	-1	-1	3
#	西辽王城	12550	12579					
12550	-1	饥饿的狼		1685	-1	-1	-1	5		
12551	-1	突厥毒蝎		1691	-1	-1	-1	5
12552	-1	突厥毒蛛		1688	-1	-1	-1	5		
12553	-1	霍山刺客		1680	-1	-1	-1	5		
12554	-1	突厥黑豹		1683	-1	-1	-1	5
12555	-1	突厥俘虏		1687	-1	-1	-1	3
12556	-1	突厥先锋军		1682	-1	-1	-1	2
12557	-1	突厥先锋军		1682	-1	-1	-1	5		
#	阿尔泰山	12580	12599					
12580	-1	灵兽		1400	-1	-1	-1	1
12581	-1	完颜怒		1403	-1	-1	-1	1
12582	-1	萧远律		1405	-1	-1	-1	1
12583	-1	完颜桀		1405	-1	-1	-1	1
12584	-1	西辽士兵		1404	-1	-1	-1	5
12585	-1	完颜洪烈护卫		1406	-1	-1	-1	3
#	西辽碎叶城	12600	12649					
12600	-1	驯服的棕熊		1701	-1	-1	-1	3
12601	-1	西辽守卫		1702	-1	-1	-1	5
12602	-1	耶律荣		1705	-1	-1	-1	1
12603	-1	西辽士兵		1702	-1	-1	-1	6
12604	-1	西辽伏兵		1702	-1	-1	-1	6
12605	-1	屈出律近卫		1713	-1	-1	-1	5
12606	-1	屈出律		1712	-1	-1	-1	1
12607	-1	吉丁达		1946	-1	-1	-1	1
12608	-1	吉石达		1946	-1	-1	-1	1
12609	-1	吉垒达		1946	-1	-1	-1	1
12610	-1	驯兽师		1703	-1	-1	-1	1
#	突厥红沙漠	12650	12699					
12650	-1	钦察武士		840	-1	-1	-1	5		
12651	-1	花剌子模骑兵		841	-1	-1	-1	5		
12652	-1	沙漠毒蝎		842	-1	-1	-1	5
12653	-1	塞尔柱长刀兵		844	-1	-1	-1	5		
12654	-1	亦难出		847	-1	-1	-1	1
#	突厥王城	12700	12749					
12700	-1	突厥侦察兵		893	-1	-1	-1	5		
12701	-1	护龙魔兽		907	-1	-1	-1	1
12702	-1	突厥伏击兵		894	-1	-1	-1	5		
12703	-1	突厥伏兵		908	-1	-1	-1	1
12704	-1	突厥轻步兵统领		898	-1	-1	-1	1
12705	-1	突厥重骑兵统领		897	-1	-1	-1	1
12706	-1	摩诃末		889	-1	-1	-1	1
12707	-1	左翼军统领		899	-1	-1	-1	1
12708	-1	右翼军统领		900	-1	-1	-1	1
12709	-1	突厥右翼军		902	-1	-1	-1	5		
12710	-1	斡思剌黑		888	-1	-1	-1	1
12711	-1	突厥残兵		912	-1	-1	-1	5		
#	波斯高原	12750	12799					
12750	-1	突厥近卫军		926	-1	-1	-1	5		
12751	-1	汗灭里		920	-1	-1	-1	1
12752	-1	剑灵		930	-1	-1	-1	1
12753	-1	北印度军		925	-1	-1	-1	5		
12754	-1		北印度之王	923	-1	-1	-1	1
12755	-1	札兰丁		918	-1	-1	-1	1
#	莫斯科公国	12800	12849					
12800	-1	切斯拉夫	斯拉夫联军头目	2130	-1	-1	-1	1
12801	-1	斯拉夫联军		2114	-1	-1	-1	5
12802	-1	图托佐夫		2131	-1	-1	-1	1
12803	-1	莫斯科亲卫军		2113	-1	-1	-1	2		
12804	-1	朱可夫斯基		2134	-1	-1	-1	1
#	基辅公国	12850	12899					
12850	-1	维京战士		2244	-1	-1	-1	3		
12851	-1	条顿骑士		2234	-1	-1	-1	5		
12852	-1	基辅大巫师		2245	-1	-1	-1	5		
12853	-1		基辅大公	2239	-1	-1	-1	1		
12855	-1	基辅龙骑兵		2236	-1	-1	-1	5		
12856	-1	基辅大巫师		2245	-1	-1	-1	5		
12857	-1	基辅近卫军		2235	-1	-1	-1	1		
#	波兰王国	12900	12949					
#	匈牙利王国	12950	12999					
#	日本福冈	13000	13049					
#	苏门答腊	13050	13099					
#	PVP	14000	14049					
14000	5	异域魔僧		9500	-1	-1	-1	1
14001	5	欢喜喇嘛		9501	-1	-1	-1	1
14002	6	吸血狼人		9502	-1	-1	-1	1
14003	6	冰雪巨人		9503	-1	-1	-1	1
14004	6	妖异之犀		9504	-1	-1	-1	1
14005	4	鬼眼魔鹰		9505	-1	-1	-1	1
14020	34	高等级怪		9500	-1	-1	-1	200
14021	51	大掌柜		9525	-1	-1	-1	1
14022	151	大掌柜		9525	-1	-1	-1	1
14023	251	大掌柜		9525	-1	-1	-1	1
14024	351	大掌柜		9525	-1	-1	-1	1
#	楼兰好友任务							
14025	-1			6903	-1	-1	-1	200
14026	-1			6905	-1	-1	-1	200
14027	-1			6907	-1	-1	-1	200
14028	-1			6909	-1	-1	-1	200
14029	-1			6911	-1	-1	-1	200
14030	-1			6913	-1	-1	-1	200
14031	-1			9514	-1	-1	-1	200
14032	7			28130	-1	-1	-1	200
#	仙人谷任务							
14033	9			9723	-1	-1	-1	1
14034	10			9724	-1	-1	-1	1
14035	10			9725	-1	-1	-1	1
14036	11			9726	-1	-1	-1	1
14037	11			9727	-1	-1	-1	1
14038	11			9728	-1	-1	-1	1
#	天山好友任务							
14045	-1			6923	-1	-1	-1	200
14046	-1			6925	-1	-1	-1	200
14047	-1			6927	-1	-1	-1	200
14048	-1			6929	-1	-1	-1	200
14049	-1			6931	-1	-1	-1	200
14050	-1			6933	-1	-1	-1	200
#	昆仑好友任务							
14055	-1			6943	-1	-1	-1	200
14056	-1			6945	-1	-1	-1	200
14057	-1			6947	-1	-1	-1	200
14058	-1			6949	-1	-1	-1	200
14059	-1			6951	-1	-1	-1	200
14060	-1			6953	-1	-1	-1	200
#	敦煌好友任务							
14065	-1			6963	-1	-1	-1	200
14066	-1			6965	-1	-1	-1	200
14067	-1			6967	-1	-1	-1	200
14068	-1			6969	-1	-1	-1	200
14069	-1			6971	-1	-1	-1	200
14070	-1			6973	-1	-1	-1	200
#	30级好友任务									
14080	-1			6901	-1	-1	-1	200		
14081	-1			6921	-1	-1	-1	200		
14082	-1			6941	-1	-1	-1	200		
14083	-1			6961	-1	-1	-1	200		
#	新好友任务							
14100	-1	草原饿狼		28130	-1	-1	-1	1
14101	-1	狂牙		3071	-1	-1	-1	1
14102	-1	鬼眼		3072	-1	-1	-1	1
14103	-1	弯角		3073	-1	-1	-1	1
14104	-1	黑蹄		3074	-1	-1	-1	1
14105	-1	攀山		3075	-1	-1	-1	1
14106	-1	尖牙		3076	-1	-1	-1	1
14107	-1	死亡爪		3077	-1	-1	-1	1
14108	-1	金刚狼		3078	-1	-1	-1	1
14109	-1	狂彘		3079	-1	-1	-1	1
14110	-1	刺毛		3080	-1	-1	-1	1
14111	-1	獠牙		3081	-1	-1	-1	1
14112	-1	弹腿		3082	-1	-1	-1	1
14113	-1	拳击		3083	-1	-1	-1	1
14114	-1	口袋		3084	-1	-1	-1	1
14115	-1	暗影		3085	-1	-1	-1	1
14116	-1	潜伏		3086	-1	-1	-1	1
14117	-1	烈风		3087	-1	-1	-1	1
14118	-1	红鼻		3088	-1	-1	-1	1
14119	-1	野嚎		3089	-1	-1	-1	1
14120	-1	长臂		3090	-1	-1	-1	1
14121	-1	血眸		3091	-1	-1	-1	1
14122	-1	伞蜥		3092	-1	-1	-1	1
14123	-1	国王		3093	-1	-1	-1	1
14124	-1	咆哮		3094	-1	-1	-1	1
14125	-1	猛击		3095	-1	-1	-1	1
14126	-1	狂力		3096	-1	-1	-1	1
14127	-1	啮齿		3097	-1	-1	-1	1
14128	-1	摇舌		3098	-1	-1	-1	1
14129	-1	黄皮		3099	-1	-1	-1	1
14130	-1	狂奔		3100	-1	-1	-1	1
14131	-1	利角		3101	-1	-1	-1	1
14132	-1	突袭		3102	-1	-1	-1	1
14133	-1	守护		3103	-1	-1	-1	1
14134	-1	霸王		3104	-1	-1	-1	1
14135	-1	烈鬃		3105	-1	-1	-1	1
14136	-1	蓝灵		3106	-1	-1	-1	1
14137	-1	魅影		3107	-1	-1	-1	1
14138	-1	残光		3108	-1	-1	-1	1
14139	-1	漫步		3109	-1	-1	-1	1
14140	-1	长鸣		3110	-1	-1	-1	1
14141	-1	震撼		3111	-1	-1	-1	1
#	迷宫任务	(15000-15500)						
#	外高加索	（15000-15050）						
15001	-1	苍莽熊		1421	-1	-1	-1	10
15002	-1	冰山恶狐		1420	-1	-1	-1	50
15003	-1	温泉猛虎		1422	-1	-1	-1	50		
15004	-1	狂暴雪人		1423	-1	-1	-1	50		
15005	-1	苍莽熊		1421	-1	-1	-1	50		
15006	-1	冰山恶狐		1420	-1	-1	-1	50		
#	葱岭西麓	（15051-15100）								
15051	-1	白额虎		1428	-1	-1	-1	12		
15052	-1	迅猛龙		1430	-1	-1	-1	8		
15053	-1	凶残狼人		1431	-1	-1	-1	8		
15054	-1	黑熊		1429	-1	-1	-1	12		 
15055	-1	白额虎		1428	-1	-1	-1	12		
15056	-1	黑熊		1429	-1	-1	-1	12		
#	乌孙古道	（15101-15150）								
15101	-1	恶毒蜘蛛		1424	-1	-1	-1	10		
15102	-1	黄沙蝎		1425	-1	-1	-1	10		
15103	-1	恶毒蜘蛛		1424	-1	-1	-1	12		
15104	-1	黄沙蝎		1425	-1	-1	-1	12		
15105	-1	沼泽毒蛤		1426	-1	-1	-1	8
15106	-1	黄沙蝎		1425	-1	-1	-1	12
15107	-1	狂暴野牛		1427	-1	-1	-1	8
15108	-1	狂暴野牛		1427	-1	-1	-1	8
#	保定路	（15151-15170）						
15151	-1	尖牙狐		1440	-1	-1	-1	10
15152	-1	何四贵手下		1442	-1	-1	-1	10
15153	-1	何四贵手下		1442	-1	-1	-1	10
#	大同路	（15171-15190）						
15171	-1	云中盗匪		1450	-1	-1	-1	15
15172	-1	云中盗匪		1450	-1	-1	-1	15
15173	-1	慕容家丁		1451	-1	-1	-1	15
15174	-1	慕容家丁		1451	-1	-1	-1	15
15175	-1	慕容家丁		1451	-1	-1	-1	15
#	济宁路	（15191-15200）						
15191	-1	长尾野狼		1460	-1	-1	-1	15
15192	-1	李璮叛军		1462	-1	-1	-1	15
15193	-1	李璮		1465	-1	-1	-1	1
#	马场任务	(15501-16000)						
15501	-1		马贼	-1	-1	-1	-1	10
#	引导	（16001~16500）						
16001	-1	花剌子模游灵兵		-1	-1	-1	-1	10
16002	-1	盗佛者		-1	-1	-1	-1	5
16003	-1	探宝矿工		-1	-1	-1	-1	3
16004	-1	蛮力矿工		-1	-1	-1	-1	3
