INT	INT	INT	INT	INT	INT	INT
22502	13040021	20	-1	0	-1	0
22503	13040029	1	-1	0	-1	0
#	西辽王城	22550	22589			
22550	13020421	1	-1	0	-1	0
22551	13020413	1	-1	0	-1	0
22552	13020418	1	-1	0	-1	0
#	阿尔泰山	22590	22599			
22590	13020442	1	-1	0	-1	0
22591	13020445	1	-1	0	-1	0
#	西辽碎叶城	22600	22649			
#	突厥红沙漠	22650	22699			
22650	-1	0	-1	0	-1	0
22651	13060005	1	-1	0	-1	0
22652	13060010	1	-1	0	-1	0
#	突厥王城	22700	22749			
22700	-1	0	-1	0	-1	0
#	波斯高原	22750	22799			
22750	-1	0	-1	0	-1	0
22751	13060030	1	-1	0	-1	0
22752	13060035	1	-1	0	-1	0
22753		1	-1	0	-1	0
#	莫斯科公国	22800	22849			
22800	-1	1	-1	0	-1	0
#	基辅公国	22850	22899			
22850	13040036	1	-1	0	-1	0
22851	13040037	1	-1	0	-1	0
22852	13040038	1	-1	0	-1	0
#	波兰王国	22900	22949			
#	匈牙利王国	22950	22999			
#	日本福冈	23000	23049			
#	苏门答腊	23050	23099			
#	PVP	24000	24049			
#	外高加索	24050	24099			
24050	-1	0	-1	0	-1	0
24051	13810002	1	-1	0	-1	0
24052	13810005	1	-1	0	-1	0
#	乌孙古道	24100	24149			
24100	-1	0	-1	0	-1	0
24101	13810013	1	-1	0	-1	0
#	葱岭西麓	24150	24199			
24150	-1	0	-1	0	-1	0
24151	13810021	1	-1	0	-1	0
#	大同路	24200	24209			
24200	13810031	1	-1	0	-1	0
#	济宁路	24210	24219			
24210	13810041	1	-1	0	-1	0
24211	13810042	1	-1	0	-1	0
#	保定路	24220	24229			
24220	13810048	1	-1	0	-1	0
#	威海卫引导	24230	24239			
24230	13040031	1	-1	0	-1	0
24231	13040032	1	-1	0	-1	0
24232	13040033	1	-1	0	-1	0
#	安庆路	24240	24249			
24240	13810050	1	-1	0	-1	0
24241	13810046	1	-1	0	-1	0
24242	13810054	1	-1	0	-1	0
24243	13810047	1	-1	0	-1	0
#	好友任务					
24300	13013800	1	-1	0	-1	0
#	成2楼兰王国	24400	24499			
24400	13060012	1	-1	0	-1	0
24401	13810201	1	-1	0	-1	0
24402	13810202	1	-1	0	-1	0
#	成2昆仑王国	24500	24510			
24500	13810255	1	-1	0	-1	0
24501	13810260	1	-1	0	-1	0
#	成2敦煌王城	24600	24649			
24600	13810399	1	-1	0	-1	0
#	成2泰山	24650	24654			
24650	13810400	1	-1	0	-1	0
