INT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT
50053	1	13015009	1	-1	-1	-1	暴戾剑龙		-1	-1	-1	-1	50	1
50054	1	13015010	1	-1	-1	-1	长爪翼龙		-1	-1	-1	-1	50	1
50055	1	13015011	1	-1	-1	-1	心魔		-1	-1	-1	-1	100	1
50056	1	13015001	1	-1	-1	-1		墓穴守护者	-1	-1	-1	-1	100	1
#	莱茵边境	50200	50399											
#	昆仑边境	50400	50599											
#	敦煌边境	50600	50799											
50600	2	13020200	5	300	1									
50601	1	13020202	1			-1			1502	-1	-1	-1	100	1
50602	1	13020201	3			-1			1501	-1	-1	-1	40	1
50603	1	13020203	1			-1			1503	-1	-1	-1	100	1
50604	1	13020204	1			-1			1507	-1	-1	-1	100	1
50605	2	13020205	1	301	1									
50606	1	13020207	3			-1			1510	-1	-1	-1	40	1
50607	2	13020208	3	302	1									
50608	2	13020210	1	303	1									
50609	1	13020211	1			-1			1512	-1	-1	-1	100	1
50610	1	13020213	1			-1			1514	-1	-1	-1	100	1
50611	0	13020214	1											
50612	1	13020216	1			-1			1517	-1	-1	-1	100	1
50613	2	13020217	1	304	1									
50614	1	13020218	1			-1			1519	-1	-1	-1	100	1
50615	2	13020219	1	305	1									
50616	1	13020220	1			-1			1523	-1	-1	-1	100	1
50617	1	13020221	1			-1			1527	-1	-1	-1	100	1
50618	2	13020222	5	306	1									
50619	2	13020223	5	307	1									
50620	2	13020224	1	308	1									
50621	1	13020226	3			-1			1534	-1	-1	-1	60	1
50622	2	13020227	2	309	1									
50623	1	13020228	1			-1			1536	-1	-1	-1	100	1
50624	1	13020229	1			-1			1537	-1	-1	-1	100	1
50625	1	13020230	5			-1			1538	-1	-1	-1	60	1
50626	1	13020231	2			-1			1539	-1	-1	-1	60	1
50627	2	13020234	5	310	1									
50628	1	13020232	5			-1			1540	-1	-1	-1	60	1
50629	1	13020233	3			-1			1541	-1	-1	-1	60	1
#	楼兰王城	50800	50999											
50880	2	13010028	1	800	1									
50881	1	13010025	1	-1	-1	86		马匪首领	2304	-1	-1	-1	100	1
50882	2	13030045	1	810	1									
50883	1	13020230	1	-1	-1	89	鬃毛野猪		2325	-1	-1	-1	100	1
50884	2	13020211	1	811	1									
#	楼兰葱岭牧场	50950	50999											
50950	1	13020437	5	-1	-1	87	草原灰熊		11970	-1	-1	-1	50	1
50951	2	13010121	1	195	1									
#	莱茵王城	51000	51199											
51080	2	13011006	1	103	1									
#	天山和田牧场	51190	50199											
51190	1	13020438	3	-1	-1	187	草原棕熊		12497	-1	-1	-1	80	1
#	昆仑王城	51200	51399											
51280	2	13011006	1	104	1									
#	敦煌王城	51400	51599											
51480	2	13011006	1	105	1									
51490	0	12010100	1	-1	-1	-1								
51500	2	13030098	1	180	1									
51501	2	13030099	5	181	1									
51551	0	12010100	1	-1	-1	-1								
51552	1	13030101	1	-1	-1	-1	黑甲武士		1143	-1	-1	-1	60	1
51553	1	13030102	1	-1	-1	-1	嗜灵雪怪		1148	-1	-1	-1	100	1
51554	2	13030103	1	182	1									
51555	2	13030104	3	183	1									
51556	2	13030107	5	186	1									
51557	2	13030108	5	187	1									
51558	1	13030105	1	-1	-1	-1	木之灵		1150	-1	-1	-1	100	1
51559	1	13030106	1	-1	-1	-1	守阵巨灵		1151	-1	-1	-1	100	1
51570	0	13020011	1	-1	-1									
51571	0	13020012	1	-1	-1									
51572	0	13020013	1	-1	-1									
51573	0	13020014	1	-1	-1									
51574	0	13020015	1	-1	-1									
51575	0	13020016	1	-1	-1									
51576	0	13020017	1	-1	-1									
51577	0	13020018	1	-1	-1									
51578	0	13020019	1	-1	-1									
51579	0	13020020	1	-1	-1									
51580	0	13020021	1	-1	-1									
51581	1	13020101	1	-1	-1	-1	狂热信徒		-1	-1	-1	-1	100	1
51582	1	13030071	1	-1	-1	-1	草原熊		1832	-1	-1	-1	50	1
51583	0	12010100	1	-1	-1									
51584	2	13030072	1	173	1									
51585	2	13030121	2	174	1									
51586	2	13030080	3	175	1									
51587	1	13030081	1	-1	-1	-1	小螃蟹		1838	-1	-1	-1	100	1
51588	0	13030087	1	-1	1									
51589	2	13030089	1	178	1									
51590	2	13030088	5	177	1									
51591	0	11990010	1	-1	-1									
51592	1	13030090	5	-1	-1	-1	长刀海盗		1105	-1	-1	-1	60	1
51593	2	13030091	3	179	1									
51594	1	13030092	1	-1	-1	-1	独眼海盗		1106	-1	-1	-1	100	1
51595	1	13030093	1	-1	-1	-1	铁爪		1109	-1	-1	-1	100	1
51596	1	13030094	1	-1	-1	-1	西域毒巫		1110	-1	-1	-1	70	1
51597	1	13030095	1	-1	-1	-1	虏沃开		1129	-1	-1	-1	100	1
51598	1	13030096	1	-1	-1	-1	术窝在		1130	-1	-1	-1	100	1
51599	1	13030097	1	-1	-1	-1	把阿秃尔		1134	-1	-1	-1	100	1
#	大都	51600	51999											
51600	0	13020302	1											
51601	1	13020303	1	-1	-1	-1			15005	-1	-1	-1	100	1
51602	1	13020307	1	-1	-1	-1			1613	-1	-1	-1	100	1
51603	2	13020304	5	12	1	-1								
51604	0	13020319	1											
51605	1	13020329	1	-1	-1	-1			1624	-1	-1	-1	100	1
51606	2	13020327	1	17	1	-1								
51700	2	13011750	1	120	1	-1								
51701	2	13011751	1	121	1	-1								
51702	2	13011752	1	122	1	-1								
51703	2	13011751	1	71	1	-1								
51704	2	13011753	1	73	1	-1								
51705	2	13011754	1	74	1	-1								
51706	2	13011755	1	75	1	-1								
51707	2	13011756	1	76	1	-1								
51708	2	13011757	1	77	1	-1								
51720	0	13011800	1	-1	-1	-1			-1	-1	-1	-1	-1	0
51721	0	13011801	1	-1	-1	-1			-1	-1	-1	-1	-1	0
51722	0	13011802	1	-1	-1	-1			-1	-1	-1	-1	-1	0
51723	0	13011803	1	-1	-1	-1			-1	-1	-1	-1	-1	0
51724	0	13011804	1	-1	-1	-1			-1	-1	-1	-1	-1	0
51725	0	13011805	1	-1	-1	-1			-1	-1	-1	-1	-1	0
51726	0	13011806	1	-1	-1	-1			-1	-1	-1	-1	-1	0
51727	1	13015012	50	-1	-1	-1	幼鲨		-1	-1	-1	-1	100	1
51728	0	11990113	1	-1	-1	-1			-1	-1	-1	-1	-1	0
#	威海港													
51750	1	13020329	1	-1	-1	-1			3901	-1	-1	-1	100	1
51751	2	13020327	1	17	1	-1								
#	太行山													
51800	1	13810261	3	-1	-1	-1	踏雪白熊		3643	-1	-1	-1	100	1
51801	0	13020017	1	-1	-1	-1			-1	-1	-1	-1	-1	0
#	大元皇宫													
#	明教总舵													
#	武林总坛													
#	罕难河草原	52000	52049											
52000	1	13010093	1	-1	-1	-1	蔑里岂马贼		575	-1	-1	-1	40	1
52001	1	13010094	5	-1	-1	-1	银狐		577	-1	-1	-1	90	1
52002	1	13010095	1	-1	-1	-1	蔑里岂士兵		579	-1	-1	-1	40	1
52003	1	13010096	1	-1	-1	-1	蔑里岂头领		578	-1	-1	-1	100	1
52004	1	13030036	1	-1	-1	-1		托尔歹三兄弟	621	-1	-1	-1	100	1
#	乞颜部大营	52050	52099											
52050	2	13010029	1	1	1									
52051	2	13010031	1	3	1									
52052	1	13010034	1			-1	雪猿王		556	-1	-1	-1	100	1
52053	1	13010035	5			-1	蔑里岂士兵		558	-1	-1	-1	100	1
52054	1	13010039	1			-1	泰赤乌巨人		559	-1	-1	-1	20	1
52055	2	13010040	2	2	1									
52056	0	13010038	1											
#	塔塔尔部	52100	52149											
52100	1	13010019	1			-1	萨满巫医		601	-1	-1	-1	100	1
52101	2	13030053	1	32	1									
52102	2	13010023	1	33	1									
52103	1	13010024	1	-1	-1	-1	百夫长		600	-1	-1	-1	100	1
52104	1	13010025	1	-1	-1	-1	传令兵		595	-1	-1	-1	100	1
52105	1	13010027	1	-1	-1	-1	银狼		512	-1	-1	-1	100	1
52106	1	13010028	1	-1	-1	-1	塔塔尔主帅		509	-1	-1	-1	100	1
52107	1	13010019	10	-1	-1	-1	银狼幼崽		566	-1	-1	-1	100	1
52108	2	13010023	1	34	1									
52109	1	13010085	3	-1	-1	-1	弓箭手		608	-1	-1	-1	80	1
52110	1	13010086	1	-1	-1	-1	先锋士兵		561	-1	-1	-1	50	1
52111	1	13010087	1	-1	-1	-1	先锋士兵		572	-1	-1	-1	50	1
52112	1	13010088	1	-1	-1	-1	先锋士兵		573	-1	-1	-1	50	1
52113	1	13010089	10	-1	-1	-1	左营士兵		559	-1	-1	-1	50	1
52114	1	13010090	10	-1	-1	-1	右营士兵		559	-1	-1	-1	50	1
52115	1	13010091	4	-1	-1	-1	雪人		588	-1	-1	-1	80	1
52116	1	13010092	1	-1	-1	-1	雪人王		589	-1	-1	-1	100	1
#	克烈部大营	52150	52199											
52150	1	13010051	1			-1	乃蛮部萨满		632	-1	-1	-1	100	1
52151	2	13030056	1	4	1									
52152	1	13010053	1			-1		乃蛮部大萨满	636	-1	-1	-1	100	1
52153	1	13010053	1			-1	屈出律		796	-1	-1	-1	100	1
52154	1	13010055	1			-1	桑昆		637	-1	-1	-1	100	1
52155	2	13030057	5	164	1									
52156	2	13030058	1	165	1									
#	乃蛮部草原	52200	52249											
52200	1	13010112	5			-1	札阑部步军		994	-1	-1	-1	35	1
52201	1	13010114	5			-1	乃蛮部重甲军		996	-1	-1	-1	35	1
52202	1	13010117	5			-1	克烈部古列延		990	-1	-1	-1	35	1
52203	1	13010118	5			-1	塔塔尔部民兵		992	-1	-1	-1	35	1
52204	2	13010119	5	64	1									
52205	2	13010120	1	65	1									
52206	2	13010115	1	66	1									
52207	1	13020400	1			-1	苍狼		-1	-1	-1	-1	100	1
52208	1	13020401	1			-1	铁甲巨人		-1	-1	-1	-1	100	1
#	金国乌沙堡	52250	52299											
52250	1	13010100	3			-1	银狼幼崽		1010	-1	-1	-1	60	1
52251	1	13010105	3			-1	西夏士兵		1002	-1	-1	-1	60	1
52252	1	13010106	1			-1	乌月营金兵		1008	-1	-1	-1	40	1
52253	2	13010107	5	62	1									
52254	2	13010108	5	63	1									
#	金国居庸关	52300	52349											
52300	2	13040000	2	200	1									
52301	2	13040001	3	201	1									
52302	2	13040002	1	202	1									
52303	2	13040003	3	203	1									
52304	2	13040004	3	204	1									
52305	1	13040012	1			-1	牧马监		1014	-1	-1	-1	100	1
52306	1	13040005	1			-1	金国钦差		1027	-1	-1	-1	100	1
52307	1	13040015	1			-1	黑衣刺客		1021	-1	-1	-1	100	1
52308	1	13040016	1			-1	形迹可疑的使臣		1029	-1	-1	-1	100	1
52309	1	13040018	1			-1	金朝居庸关守军		1023	-1	-1	-1	30	1
#	金国凤翔府	52350	52399											
52350	1	13030019	1			-1	忙谷		656	-1	-1	-1	100	1
52351	1	13030020	4			-1	红寡妇		641	-1	-1	-1	40	1
52352	1	13030021	1			-1	巨刺		645	-1	-1	-1	100	1
52353	1	13030022	1			-1	碎骨		647	-1	-1	-1	100	1
52354	2	13030022	1	157	1									
52355	1	13030024	1			-1	猛钳		648	-1	-1	-1	100	1
52356	2	13030023	5	158	1									
52357	2	13030023	1	158	1									
52358	1	13030025	1			-1	抹然尽忠		649	-1	-1	-1	100	1
52359	2	13030026	1	159	1									
52360	1	13030043	3			-1	黑蝎子		640	-1	-1	-1	40	1
52361	2	13030045	1	160	1									
52362	0	13020018	1	-1	-1	-1			-1	-1	-1	-1	-1	0
#	金国蔡州城	52400	52449											
52400	1	13030027	3			-1	猛安军溃兵		680	-1	-1	-1	100	1
52401	1	13030028	1			-1	扫尾		689	-1	-1	-1	100	1
52402	1	13030029	1			-1	完颜合周		690	-1	-1	-1	100	1
52403	1	13030030	1			-1	耶律啸		698	-1	-1	-1	100	1
52404	1	13030031	4			-1	奚军溃兵		691	-1	-1	-1	80	1
52405	1	13030032	1			-1	蒲鲜万奴		693	-1	-1	-1	100	1
52406	2	13030046	3	161	1									
52407	1	13030048	3			-1	辎重看守		695	-1	-1	-1	50	1
52408	1	13030047	1			-1	迷仆		707	-1	-1	-1	100	1
52409	2	13030049	1	162	1									
52410	2	13030050	3	163	1									
52411	1	13030051	1			-1	完颜守序		703	-1	-1	-1	100	1
52412	1	13030051	1			-1	完颜守序		703	-1	-1	-1	100	1
52413	0	13020019	1	-1	-1	-1			-1	-1	-1	-1	-1	0
#	西夏中兴府	52450	52499											
52450	1	13030060	1			-1	西夏匪兵		801	-1	-1	-1	25	1
52451	1	13030061	1			-1	山匪头目		804	-1	-1	-1	100	1
52452	1	13030064	3			-1	山猪		808	-1	-1	-1	100	1
52453	2	13030065	1	166	1									
52454	2	13030066	3	167	1									
52455	1	13030067	1			-1	半只耳		815	-1	-1	-1	100	1
52456	1	13030068	1			-1	沙蛇		816	-1	-1	-1	100	1
52457	2	13030069	3	169	1									
#	西夏贺兰山	52500	52549											
52500	1	13040022	5			-1	一品堂杀手		1403	-1	-1	-1	80	1
52501	1	13040023	10			-1	山猪		1404	-1	-1	-1	80	1
52502	1	13040024	10			-1	山羊		1405	-1	-1	-1	80	1
52503	2	13040027	10	205	1									
52504	2	13040028	10	206	1									
#	西辽王城	52550	52570											
52550	1	13020413	1			-1	霍山女刺客		1686	-1	-1	-1	20	1
52551	1	13020416	1			-1	阿克蓉姬		1689	-1	-1	-1	100	1
52552	1	13020417	2			-1	突厥毒蛙		1692	-1	-1	-1	80	1
52553	2	13020410	2	313	1									
52554	2	13020420	2	314	1									
52555	2	13020411	2	315	1									
52556	2	13020414	2	316	1									
52557	1	13020419	3			-1	突厥武士		1681	-1	-1	-1	100	1
#	阿尔泰山	52571	52599											
52571	2	13020441	3	193	1	-1								
52572	1	13010028	1			-1	完颜厄		1402	-1	-1	-1	100	1
52573	2	13020443	3	194	1	-1								
52574	1	13020444	3			-1	逃亡金兵		1401	-1	-1	-1	100	1
#	西辽碎叶城	52600	52649											
52600	1	13020425	1			-1	驯兽师		1703	-1	-1	-1	100	1
52601	1	13020427	1			-1	羊头怪人		1704	-1	-1	-1	100	1
52602	1	13020426	1			-1	唤龙萨满		1706	-1	-1	-1	70	1
52603	1	13020428	1			-1	烁金雏龙		1711	-1	-1	-1	100	1
52604	1	13020429	1			-1	厚土雏龙		1710	-1	-1	-1	100	1
52605	1	13020430	1			-1	烈火雏龙		1709	-1	-1	-1	100	1
52606	1	13020431	1			-1	坤木雏龙		1708	-1	-1	-1	100	1
52607	1	13020432	1			-1	怒水雏龙		1707	-1	-1	-1	100	1
52608	1	13020434	1			-1	屈出律		1712	-1	-1	-1	100	1
#	突厥红沙漠	52650	52699											
52650	2	13060006	3	318	1									
52651	1	13060005	2		1	-1	花剌子模骑兵		841	-1	-1	-1	60	1
52652	1	13060009	1		1	-1	沙漠毒王		850	-1	-1	-1	100	1
52653	2	13060015	1	319	1									
52654	1	13060010	2		1	-1	阿兰铁甲军		843	-1	-1	-1	60	1
52655	1	13060011	1		1	-1	哈喇察		845	-1	-1	-1	100	1
52656	1	13060013	1		1	-1	巴里黑		846	-1	-1	-1	100	1
52657	0	13060012	1											
52658	0	13060016	1											
52659	2	13060017	1	320	1									
#	突厥王城	52700	52749											
52700	2	13060019	1	321	1									
52701	1	13060020	1			-1	突厥伏兵		894	-1	-1	-1	50	1
52702	1	13060021	1			-1	亦合鲁		909	-1	-1	-1	100	1
52703	0	13060024	1											
52704														
52705														
#	波斯高原	52750	52799											
52750	1	13060032	1			-1	夔兽		929	-1	-1	-1	100	1
52751	2	13060034	2	332	1									
52752	2	13010120	2	333	1									
#	莫斯科公国	52800	52849											
52800	2	13060039	3	126	1									
#	基辅公国	52850	52899											
52850	1	13040035	1	-1	-1	-1		基辅大公	2239	-1	-1	-1	100	1
52851	1	13040034	1	-1	-1	-1	维京女巫		2242	-1	-1	-1	100	1
52852	2	13040039	2	222	1									
#	波兰王国	52900	52949											
#	匈牙利王国	52950	52999											
#	日本福冈	53000	53049											
#	苏门答腊	53050	53099											
#	PVP	54000	54049											
54000	2	13011005	5	101	3	-1			-1	-1	-1	-1	-1	0
54001	2	13080009	5	123	3	-1			-1	-1	-1	-1	-1	0
54002	2	13011602	5	124	3	-1			-1	-1	-1	-1	-1	0
54003	2	13011603	1	-1	-1	-1			-1	-1	-1	-1	-1	0
54004	2	13011604	5	130	3	-1			-1	-1	-1	-1	-1	0
54005	2	13011605	5	132	3	-1			-1	-1	-1	-1	-1	0
54006	2	13011606	5	133	3	-1			-1	-1	-1	-1	-1	0
54007	2	13011607	5	134	3	-1			-1	-1	-1	-1	-1	0
#	PVE	55000	55999											
55001	1	13013301	1			2				-1	-1	-1	10	1
55002	1	13013302	1			3				-1	-1	-1	10	1
55003	1	13013303	1			4				-1	-1	-1	10	1
55004	1	13013304	1			5				-1	-1	-1	10	1
55041	2	12030051	1											
55042	2	12030052	1											
55043	2	12030053	1											
55045	1	12030108	1	-1	-1	5	异域魔僧		9500	-1	-1	-1	100	1
55046	1	12030108	1	-1	-1	5	欢喜喇嘛		9501	-1	-1	-1	100	1
55047	1	12030108	1	-1	-1	6	吸血狼人		9502	-1	-1	-1	100	1
55048	1	12030108	1	-1	-1	6	冰雪巨人		9503	-1	-1	-1	100	1
55049	1	12030108	1	-1	-1	6	妖异之犀		9504	-1	-1	-1	100	1
55050	1	12030108	1	-1	-1	4	鬼眼魔鹰		9505	-1	-1	-1	100	1
55051	1	12030108	1	-1	-1	9	邪灵萨满		9723	-1	-1	-1	100	1
55052	1	12030108	1	-1	-1	10	嗜血人屠		9724	-1	-1	-1	100	1
55053	1	12030108	1	-1	-1	10	走尸人魔		9725	-1	-1	-1	100	1
55054	1	12030108	1	-1	-1	9	五通鬼婆		9726	-1	-1	-1	100	1
55055	1	12030108	1	-1	-1	10	铁甲尸王		9727	-1	-1	-1	100	1
55056	1	12030108	1	-1	-1	8	幽冥死神		9728	-1	-1	-1	100	1
#	国家任务子任务													
56080	0	10011101	1	-1	-1	-1								
56081	0	10021101	1	-1	-1	-1								
56082	0	10031101	1	-1	-1	-1								
56083	0	10041101	1	-1	-1	-1								
56084	0	10051101	1	-1	-1	-1								
56085	0	10061101	1	-1	-1	-1								
56086	0	10201101	1	-1	-1	-1								
56087	0	10231101	1	-1	-1	-1								
56088	0	10241101	1	-1	-1	-1								
56089	0	10251101	1	-1	-1	-1								
56090	0	10261101	1	-1	-1	-1								
56091	0	10271101	1	-1	-1	-1								
56092	0	10011102	1	-1	-1	-1								
56093	0	10021102	1	-1	-1	-1								
56094	0	10031102	1	-1	-1	-1								
56095	0	10041102	1	-1	-1	-1								
56096	0	10051102	1	-1	-1	-1								
56097	0	10061102	1	-1	-1	-1								
56098	0	10201102	1	-1	-1	-1								
56099	0	10231102	1	-1	-1	-1								
56100	0	10241102	1	-1	-1	-1								
56101	0	10251102	1	-1	-1	-1								
56102	0	10261102	1	-1	-1	-1								
56103	0	10271102	1	-1	-1	-1								
56104	0	10011106	1	-1	-1	-1								
56105	0	10021106	1	-1	-1	-1								
56106	0	10031106	1	-1	-1	-1								
56107	0	10041106	1	-1	-1	-1								
56108	0	10051106	1	-1	-1	-1								
56109	0	10061106	1	-1	-1	-1								
56110	0	10201106	1	-1	-1	-1								
56111	0	10231106	1	-1	-1	-1								
56112	0	10241106	1	-1	-1	-1								
56113	0	10251106	1	-1	-1	-1								
56114	0	10261106	1	-1	-1	-1								
56115	0	10271106	1	-1	-1	-1								
56160	0	11960002	1	-1	-1	-1								
56161	0	11960003	1	-1	-1	-1								
56162	0	11960004	1	-1	-1	-1								
56163	0	11960005	1	-1	-1	-1								
56164	0	11960006	1	-1	-1	-1								
56165	0	11960007	1	-1	-1	-1								
56166	0	11960008	1	-1	-1	-1								
56180	0	11990009	1	-1	-1	-1								
56181	0	12010001	1	-1	-1	-1								
56182	0	12010002	1	-1	-1	-1								
56183	0	12010003	1	-1	-1	-1								
56184	0	12010004	1	-1	-1	-1								
56185	0	12010005	1	-1	-1	-1								
56410	2	13011500	3	50	1	-1								
56411	2	13011505	3	55	1	-1								
56412	2	13011508	3	58	1	-1								
56413	2	13011506	3	56	1	-1								
56414	2	13011500	3	51	1	-1								
56415	2	13011508	3	53	1	-1								
56416	2	13011506	3	52	1	-1								
56420	0	12010100	1	-1	-1	-1								
56470	0	13013000	1	-1	-1	-1								
56471	0	13013001	1	-1	-1	-1								
56472	0	13013002	1	-1	-1	-1								
56473	0	13013003	1	-1	-1	-1								
56474	0	13013004	1	-1	-1	-1								
#	迷宫除恶													
56600	1	12030108	1	-1	-1	20	幽蛰之蜂	6901		-1	-1	-1	100	1
56601	1	12030108	1	-1	-1	20	幽纹之豹	6902		-1	-1	-1	100	1
56602	1	12030108	1	-1	-1	20	幽面之魈	6903		-1	-1	-1	100	1
56603	1	12030108	1	-1	-1	20	幽蛰之蜂	6921		-1	-1	-1	100	1
56604	1	12030108	1	-1	-1	20	幽纹之豹	6922		-1	-1	-1	100	1
56605	1	12030108	1	-1	-1	20	幽面之魈	6923		-1	-1	-1	100	1
56606	1	12030108	1	-1	-1	20	幽蛰之蜂	6941		-1	-1	-1	100	1
56607	1	12030108	1	-1	-1	20	幽纹之豹	6942		-1	-1	-1	100	1
56608	1	12030108	1	-1	-1	20	幽面之魈	6943		-1	-1	-1	100	1
56609	1	12030108	1	-1	-1	20	幽蛰之蜂	6961		-1	-1	-1	100	1
56610	1	12030108	1	-1	-1	20	幽纹之豹	6962		-1	-1	-1	100	1
56611	1	12030108	1	-1	-1	20	幽面之魈	6963		-1	-1	-1	100	1
#		pve迷宫	(57000--57500)											
#	保定路													
57000	1	13810049	1	-1	-1	16	何四贵		-1	-1	-1	-1	100	1
57001	2	13810048	1	207	1									
#	安庆路													
57004	2	13810050	1	218	1	22								
57005	2	13810051	1	219	1	22								
57006	2	13810052	1	220	1	22								
57007	2	13810053	1	221	1	22								
#	大同路													
57010	1	13810032	1	-1	-1	18	慕容家丁		-1	-1	-1	-1	10	1
#	济宁路													
57015	1	13810043	1	-1	-1	20	李璮叛军		-1	-1	-1	-1	10	1
57016	1	13810044	1	-1	-1	20	李璮叛军		-1	-1	-1	-1	10	1
#		pve马场	(57501--58000)											
57501	1	13060001	5	-1	-1	-1		马贼	-1	-1	-1	-1	60	1
57502	1	13060002	1	-1	-1	-1		马贼	-1	-1	-1	-1	40	1
		外高加索	58001-58030											
58001	1	13810001	3	-1	-1	86|186|286|386	狂暴雪人		-1	-1	-1	-1	50	1
58002	1	13810003	4	-1	-1	86|186|286|386	苍莽熊		-1	-1	-1	-1	50	1
58003	1	13810004	4	-1	-1	86|186|286|386	冰山恶狐		-1	-1	-1	-1	50	1
		乌孙古道	58031-58060											
58031	1	13810011	5	-1	-1	87|187|287|387	恶毒蜘蛛		-1	-1	-1	-1	50	1
58032	1	13810012	5	-1	-1	87|187|287|387	黄沙蝎		-1	-1	-1	-1	50	1
58033	1	13810014	5	-1	-1	87|187|287|387	沼泽毒蛤		-1	-1	-1	-1	50	1
58034	1	13810015	5	-1	-1	87|187|287|387	狂暴野牛		-1	-1	-1	-1	50	1
		葱岭西麓	58061-58090											
#		新增剧情	(59001-59500)											
#		新蒙古秘史												
59001	1	13030111	1			-1	拜山萨满		1162	-1	-1	-1	80	1
59002	1	13030112	1			-1		首领	1163	-1	-1	-1	100	1
#		新帮会内政	（20-29）											
59200	1	12010200	1	-1	-1	-1								
59201	1	12010300	1	-1	-1	-1								
59202	1	12052471	1	-1	-1	-1								
59203	1	12052481	1	-1	-1	-1								
59204	1	12052491	1	-1	-1	-1								
59205	1	12052531	1	-1	-1	-1								
59206	1	11020001	1	-1	-1	-1								
59207	1	11020002	1	-1	-1	-1								
59208	1	11030401	1	-1	-1	-1								
#		新帮会内政	（30-39）											
59210	1	12052541	1	-1	-1	-1								
59211	1	12052601	1	-1	-1	-1								
59212	1	12052631	1	-1	-1	-1								
59213	1	14030001	1	-1	-1	-1								
59214	1	14030006	1	-1	-1	-1								
59215	1	14030011	1	-1	-1	-1								
59216	1	12041060	1	-1	-1	-1								
59217	1	12041080	1	-1	-1	-1								
59218	1	12041070	1	-1	-1	-1								
59219	1	12010200	1	-1	-1	-1								
59220	1	12010300	1	-1	-1	-1								
59221	1	12052471	1	-1	-1	-1								
59222	1	12052481	1	-1	-1	-1								
59223	1	12052491	1	-1	-1	-1								
59224	1	12052531	1	-1	-1	-1								
#		新帮会内政	（40-49）											
59230	1	12010201	1	-1	-1	-1								
59231	1	12010301	1	-1	-1	-1								
59232	1	12041061	1	-1	-1	-1								
59233	1	12041081	1	-1	-1	-1								
59234	1	12041071	1	-1	-1	-1								
59235	1	14010001	1	-1	-1	-1								
59236	1	14010006	1	-1	-1	-1								
59237	1	14010011	1	-1	-1	-1								
59238	1	14030001	1	-1	-1	-1								
59239	1	14030006	1	-1	-1	-1								
59240	1	14030011	1	-1	-1	-1								
59241	1	12052661	1	-1	-1	-1								
59242	1	12052671	1	-1	-1	-1								
59243	1	12052681	1	-1	-1	-1								
59244	1	12052691	1	-1	-1	-1								
59245	1	12052701	1	-1	-1	-1								
