INT	INT	STRING	INT	INT	FLOAT	FLOAT	FLOAT	STRING	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	CNC	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	INT	STRING	STRING
11	1	汉-菜刀屠夫男	1	1	-1	200	100	set:CJSH_NPC_touxiang_26 image:CJSH_NPC_touxiang_26_1	2004	10	1	0	2000	1000									1		60	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
12	1	汉-富贵道士	1	1	-1	200	100	set:CJSH_NPC_touxiang_6 image:CJSH_NPC_touxiang_6_12	2015	10	1	0	2000	1000									1		60	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
13	1	汉-年轻和尚	1	1	-1	200	100	set:CJSH_NPC_touxiang_23 image:CJSH_NPC_touxiang_23_4	2016	10	1	0	2000	1000									1		60	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
14	1	汉-中年道童	1	1	-1	200	100	set:CJSH_NPC_touxiang_1 image:CJSH_NPC_touxiang_1_14	2014	10	1	0	2000	1000									1		60	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
15	1	汉-蓝帽男贵族	1	1	-1	200	100	set:CJSH_NPC_touxiang_23 image:CJSH_NPC_touxiang_23_6	2021	10	1	0	2000	1000									1		60	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
16	1	汉-棕衣书生	1	1	-1	200	100	set:CJSH_NPC_touxiang_9 image:CJSH_NPC_touxiang_9_16	2023	10	1	0	2000	1000									1		60	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
17	1	汉-红衣武官	1	1	-1	200	100	set:CJSH_NPC_touxiang_3 image:CJSH_NPC_touxiang_3_4	2019	10	1	0	2000	1000									1		60	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
18	1	汉-绿衣侠客	1	1	-1	200	100	set:CJSH_NPC_touxiang_23 image:CJSH_NPC_touxiang_23_7	2012	10	1	0	2000	1000									1		60	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
19	1	汉-黄衣少女	1	1	-1	200	100	set:CJSH_NPC_touxiang_4 image:CJSH_NPC_touxiang_4_3	2024	10	1	0	2000	1000									1		60	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
20	1	汉-紫衣少女	1	1	-1	200	100	set:CJSH_NPC_touxiang_23 image:CJSH_NPC_touxiang_23_8	2025	10	1	0	2000	1000									1		60	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
21	1	汉-阿福小男孩	1	1	-1	200	100	set:CJSH_NPC_touxiang_8 image:CJSH_NPC_touxiang_8_8	2032	10	1	0	2000	1000									1		60	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
22	1	汉-冲天小男孩	1	1	-1	200	100	set:CJSH_NPC_touxiang_17 image:CJSH_NPC_touxiang_17_16	2029	10	1	0	2000	1000									1		60	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
23	1	汉-粉衣小女孩	1	1	-1	200	100	set:CJSH_NPC_touxiang_14 image:CJSH_NPC_touxiang_14_13	2030	10	1	0	2000	1000									1		60	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
24	1	汉-冲天小男孩	1	1	-1	200	100	set:CJSH_NPC_touxiang_8 image:CJSH_NPC_touxiang_8_7	2031	10	1	0	2000	1000									1		60	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
25	1	汉-墨绿文官	1	1	-1	200	100	set:CJSH_NPC_touxiang_23 image:CJSH_NPC_touxiang_23_9	2010	10	1	0	2000	1000									1		60	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
26	1	汉-黑色文官	1	1	-1	200	100	set:CJSH_NPC_touxiang_1 image:CJSH_NPC_touxiang_1_15	2011	10	1	0	2000	1000									1		60	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
27	1	汉-棕色男贵族	1	1	-1	200	100	set:CJSH_NPC_touxiang_23 image:CJSH_NPC_touxiang_23_10	2020	10	1	0	2000	1000									1		60	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
28	1	汉-斗笠侠客男	1	1	-1	200	100	set:CJSH_NPC_touxiang_1 image:CJSH_NPC_touxiang_1_13	2013	10	1	0	2000	1000									1		60	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
29	1	汉-金衣少女	1	1	-1	200	100	set:CJSH_NPC_touxiang_4 image:CJSH_NPC_touxiang_4_3	2026	10	1	0	2000	1000									1		60	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
30	1	汉-绿衣丫鬟	1	1	-1	200	100	set:CJSH_NPC_touxiang_18 image:CJSH_NPC_touxiang_18_6	2027	10	1	0	2000	1000									1		60	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
31	1	汉-大和尚	1	1	-1	200	100	set:CJSH_NPC_touxiang_3 image:CJSH_NPC_touxiang_3_9	2017	10	1	0	2000	1000									1		60	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
32	1	蒙-辫子小男孩	1	1	-1	200	100	set:CJSH_NPC_touxiang_8 image:CJSH_NPC_touxiang_8_3	2089	10	1	0	2000	1000									1		60	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
33	1	紫衣贵族小男孩	1	1	-1	200	100	set:CJSH_NPC_touxiang_6 image:CJSH_NPC_touxiang_6_16	2090	10	1	0	2000	1000									1		60	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
34	1	金-黄衣文官	1	1	-1	200	100	set:CJSH_NPC_touxiang_5 image:CJSH_NPC_touxiang_5_6	2180	10	1	0	2000	1000									1		60	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
35	1	金-褐衣文官	1	1	-1	200	100	set:CJSH_NPC_touxiang_3 image:CJSH_NPC_touxiang_3_16	2181	10	1	0	2000	1000									1		60	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
36	1	金-蓝衣文官	1	1	-1	200	100	set:CJSH_NPC_touxiang_6 image:CJSH_NPC_touxiang_6_14	2092	10	1	0	2000	1000									1		60	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
37	1	色-小帽男青年	1	1	-1	200	100	set:CJSH_NPC_touxiang_23 image:CJSH_NPC_touxiang_23_11	2182	10	1	0	2000	1000									1		60	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
38	1	色-维族紫衣男青年	1	1	-1	200	100	set:CJSH_NPC_touxiang_24 image:CJSH_NPC_touxiang_24_11	2183	10	1	0	2000	1000									1		60	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
39	1	色-维族黄衣男青年	1	1	-1	200	100	set:HAN2_Monster_touxiang_12 image:HAN2_Monster_touxiang_12_14	2184	10	1	0	2000	1000									1		60	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
40	1	色-半裸喇嘛	1	1	-1	200	100	set:CJSH_NPC_touxiang_9 image:CJSH_NPC_touxiang_9_6	2185	10	1	0	2000	1000									1		60	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
41	1	色-全身喇嘛	1	1	-1	200	100	set:CJSH_NPC_touxiang_9 image:CJSH_NPC_touxiang_9_5	2186	10	1	0	2000	1000									1		60	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
42	1	欧-黑衣传教士	1	1	-1	200	100	set:CJSH_NPC_touxiang_8 image:CJSH_NPC_touxiang_8_14	2122	10	1	0	2000	1000									1		60	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
43	1	欧-红衣传教士	1	1	-1	200	100	set:CJSH_NPC_touxiang_23 image:CJSH_NPC_touxiang_23_12	2123	10	1	0	2000	1000									1		60	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
44	1	欧-金发传教士	1	1	-1	200	100	set:CJSH_NPC_touxiang_23 image:CJSH_NPC_touxiang_23_13	2124	10	1	0	2000	1000									1		60	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
45	1	欧-蓝衣传教士	1	1	-1	200	100	set:CJSH_NPC_touxiang_23 image:CJSH_NPC_touxiang_23_14	2125	10	1	0	2000	1000									1		60	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
46	1	蒙-白袍男子	1	1	-1	200	100	set:CJSH_NPC_touxiang_6 image:CJSH_NPC_touxiang_6_10	2060	10	1	0	2000	1000									1		60	10000	10	0	2	0	4174	10	10	10	18000000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
47	1	蒙-墨绿男子	1	1	-1	200	100	set:CJSH_NPC_touxiang_7 image:CJSH_NPC_touxiang_7_12	2061	10	1	0	2000	1000									1		60	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
48	1	蒙-棕衣大汉	1	1	-1	200	100	set:CJSH_NPC_touxiang_3 image:CJSH_NPC_touxiang_3_10	2062	10	1	0	2000	1000									1		60	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
49	1	欧-棕衣拿破仑	1	1	-1	200	100	set:CJSH_NPC_touxiang_8 image:CJSH_NPC_touxiang_8_15	2120	10	1	0	2000	1000									1		60	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
50	1	欧-绿衣拿破仑	1	1	-1	200	100	set:CJSH_NPC_touxiang_8 image:CJSH_NPC_touxiang_8_15	2121	10	1	0	2000	1000									1		60	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
51	1	色-粉衣小胡子	1	1	-1	200	100	set:CJSH_NPC_touxiang_7 image:CJSH_NPC_touxiang_7_7	2187	10	1	0	2000	1000									1		60	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
52	1	色-蓝衣小胡子	1	1	-1	200	100	set:CJSH_NPC_touxiang_5 image:CJSH_NPC_touxiang_5_5	2188	10	1	0	2000	1000									1		60	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
53	1	色-紫衣小胡子	1	1	-1	200	100	set:CJSH_NPC_touxiang_5 image:CJSH_NPC_touxiang_5_9	2189	10	1	0	2000	1000									1		60	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
54	1	色-黄衣小胡子	1	1	-1	200	100	set:CJSH_NPC_touxiang_5 image:CJSH_NPC_touxiang_5_11	2190	10	1	0	2000	1000									1		60	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
55	1	伊-黄衣贵族	1	1	-1	200	100	set:CJSH_NPC_touxiang_5 image:CJSH_NPC_touxiang_5_8	2192	10	1	0	2000	1000									1		60	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
56	1	伊-粉衣贵族	1	1	-1	200	100	set:CJSH_NPC_touxiang_3 image:CJSH_NPC_touxiang_3_3	2193	10	1	0	2000	1000									1		60	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
57	1	伊-蓝衣贵族	1	1	-1	200	100	set:CJSH_NPC_touxiang_5 image:CJSH_NPC_touxiang_5_3	2194	10	1	0	2000	1000									1		60	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
58	1	蒙-辫子小女孩	1	1	-1	200	100	set:CJSH_NPC_touxiang_6 image:CJSH_NPC_touxiang_6_13	2087	10	1	0	2000	1000									1		60	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
59	1	蒙-长帽蓝衣女	1	1	-1	200	100	set:CJSH_NPC_touxiang_8 image:CJSH_NPC_touxiang_8_10	2081	10	1	0	2000	1000									1		60	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
60	1	蒙-花帽粉衣女	1	1	-1	200	100	set:CJSH_NPC_touxiang_4 image:CJSH_NPC_touxiang_4_7	2082	10	1	0	2000	1000									1		60	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
61	1	蒙-环帽粉衣女	1	1	-1	200	100	set:CJSH_NPC_touxiang_4 image:CJSH_NPC_touxiang_4_11	2083	10	1	0	2000	1000									1		60	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
62	1	蒙-红衣牧民女	1	1	-1	200	100	set:CJSH_NPC_touxiang_4 image:CJSH_NPC_touxiang_4_9	2084	10	1	0	2000	1000									1		60	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
63	1	蒙-蓝衣牧民女	1	1	-1	200	100	set:CJSH_NPC_touxiang_4 image:CJSH_NPC_touxiang_4_10	2085	10	1	0	2000	1000									1		60	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
64	1	蒙-蓝衣白云女	1	1	-1	200	100	set:CJSH_NPC_touxiang_8 image:CJSH_NPC_touxiang_8_1	2086	10	1	0	2000	1000									1		60	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
65	1	欧-紫衣公主	1	1	-1	200	100	set:CJSH_NPC_touxiang_4 image:CJSH_NPC_touxiang_4_16	2126	10	1	0	2000	1000									1		60	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
66	1	欧-绿衣小帽女	1	1	-1	200	100	set:CJSH_NPC_touxiang_4 image:CJSH_NPC_touxiang_4_15	2127	10	1	0	2000	1000									1		60	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
67	1	欧-蓝衣公主	1	1	-1	200	100	set:CJSH_NPC_touxiang_4 image:CJSH_NPC_touxiang_4_14	2128	10	1	0	2000	1000									1		60	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
68	1	欧-绿衣小男孩	1	1	-1	200	100	set:CJSH_NPC_touxiang_8 image:CJSH_NPC_touxiang_8_5	2136	10	1	0	2000	1000									1		60	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
69	1	欧-棕衣小男孩	1	1	-1	200	100	set:CJSH_NPC_touxiang_8 image:CJSH_NPC_touxiang_8_5	2137	10	1	0	2000	1000									1		60	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
70	1	色-维族黄衣女	1	1	-1	200	100	set:CJSH_NPC_touxiang_23 image:CJSH_NPC_touxiang_23_15	2195	10	1	0	2000	1000									1		60	10000	10	0	2	0	4174	1568	1568	1568	10000	3795	0	0	110	0	5		0	0	0	0	0	0	0	0		400	3600	3600	0	-1	3	-1	20	0	-1	-1	20	0	-1	0	-1		功能	
