INT	INT	INT	INT	STRING	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING
13010018	13	1	18	CJSH_quest_xinjia_1_9	塔塔尔情报	一份折叠起来的情报，上面还有斑斑血迹。	1	0	0	4	1	-1	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13010019	13	1	19	CJSH_item_yaofen_1_5	药草包	军中常用的药草包，散发着淡淡的中药味。	1	0	0	4	1	-1	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13010020	13	1	20	CJSH_quest_xinjia_1_9	泻药	一包泻药，看起来分量不少。	1	0	0	4	1	-1	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13010021	13	1	21	CJSH_quest_xinjia_1_9	焰火	中原常见的喜庆焰火。	1	0	0	4	1	-1	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13010022	13	1	22	CJSH_quest_xinjia_1_9	火雷弹	乌黑的一个小罐子，掂起来沉甸甸的。	1	0	0	4	1	-1	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13010023	13	1	23	CJSH_equip_gong_1_2	铁胎弓	乌黑发亮的一把弓，可以看出把手处略微有些磨损。	1	0	0	4	1	-1	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13010024	13	1	24	CJSH_equip_jianzhi_1_6	穿云箭	看不出整支箭是用什么做成的，握在手里竟然会隐隐发热。	1	0	0	4	1	-1	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13010025	13	1	25	CJSH_quest_xinjia_1_9	密信	一封火漆密封着的信，不知道里面写了些什么。	1	0	0	4	1	-1	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13010026	13	1	26	CJSH_quest_xinjia_1_9	炮弹	乌黑发亮的圆形炮弹。	1	0	0	4	1	-1	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13010027	13	1	27	CJSH_quest_xinjia_1_9	银狼	一只通体雪白的狼，据说是塔塔尔人的圣兽。	1	0	0	4	1	-1	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13010028	13	1	28	CJSH_equip_dao_1_7	金刀	闪亮的金刀，通体金色，刀柄处雕刻着古朴的图案。	1	0	0	4	1	-1	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13010029	13	1	29	CJSH_equip_gong_1_1	郭靖的弓箭	乌木制的短弓闪闪发光，箭尾的羽毛均为黑色。	1	0	0	4	1	-1	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13010030	13	1	30	CJSH_equip_jianzhi_1_1	乌羽箭	据拖雷说这支箭和早晨射伤铁木真的箭是一样的。	1	0	0	4	1	-1	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13010031	13	1	31	CJSH_equip_dao_1_1	木华黎的弯刀	精铁打造而成。	1	0	0	4	1	-1	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13010032	13	1	32	CJSH_item_maopi_1_1	破损的狼皮	一些地方有破损。	1	0	0	4	5	-1	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13010033	13	1	33	CJSH_item_xiangzi_1_2	银狐围脖	古朴的红木箱子，里面装着珍贵的银狐围脖是铁木真与孛儿贴定情信物。	1	0	0	4	1	-1	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13010034	13	1	34	CJSH_item_bupi_1_3	雪猿王的毛皮	做衣服上等的材料。	1	0	0	4	1	-1	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13010035	13	1	35	CJSH_quest_rentou_1_4	濒死的蔑里岂人	已经奄奄一息，并且很重。	1	0	0	4	10	-1	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13010036	13	1	36	CJSH_item_yanhua_1_1	铁木真的烟花	为铁木真的安达指明方向。	1	0	0	6	1	400002	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13010037	13	1	37	CJSH_equip_jianzhi_1_1	乌羽箭	铁木真在乞颜部场景赠送你的箭支，它曾射伤国铁木真。	1	0	0	4	1	-1	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13010038	13	1	38	CJSH_quest_rongqi_1_3	灌满的水囊	装满了从灵泉取来的灵水。	1	0	0	4	1	-1	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13010039	13	1	39	CJSH_item_baoshi_3_6	星流石	从泰赤乌巨人那里夺来的。	1	0	0	4	1	-1	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13010040	13	1	40	CJSH_item_grass_1_4	七星草	生长在危险的地方。	1	0	0	4	10	-1	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13010050	13	1	50	CJSH_quest_xinjia_1_9	任务测试	任务测试	1	0	0	4	100	-1	-1	-1	-1	-1	1	-1	-1	0	0	任务道具	-1	00ccff
13010051	13	1	51	CJSH_item_huizhang_1_3	乃蛮部萨满的法器	一只白鹿在上面。	1	0	0	4	10	-1	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13010052	13	1	52	CJSH_item_grass_1_8	无名花	豁儿赤要用它配药。	1	0	0	4	1	-1	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13010053	13	1	53	CJSH_equip_fazhang_1_5	白鹿杖	草原王者的象征。	1	0	0	4	1	-1	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13010054	13	1	54	CJSH_quest_rentou_1_1	苍狼将军的头	还滴着血！	1	0	0	4	1	-1	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13010055	13	1	55	CJSH_quest_rentou_1_10	昏迷的桑昆	比上次背的奴隶还重！	1	0	0	4	1	-1	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13010082	13	1	82	CJSH_quest_mabian_1_1	赤蛇鞭	赤蛇鞭	1	0	0	4	100	-1	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13010083	13	1	83	CJSH_item_kuangshi_2_8	伊娃之泪	晶莹剔透，闪闪发光，似乎蕴含了巨大的能量。	1	0	0	4	100	-1	-1	-1	-1	-1	1	-1	-1	0	0	任务道具	-1	00ccff
13010084	13	1	84	CJSH_item_maopi_1_1	银狼皮	闪闪发亮的银狼皮，摸上去十分柔软	1	0	0	4	100	-1	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13010085	13	1	85	CJSH_equip_jianzhi_1_1	箭矢	作工精良的箭支，有着镔铁打制的箭头。	1	0	0	4	100	-1	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13010086	13	1	86	CJSH_quest_zawu_1_9	塔塔尔上衣	一件常见的塔塔尔士兵上衣	1	0	0	4	100	-1	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13010087	13	1	87	CJSH_quest_zawu_1_9	塔塔尔皮裤	一件常见的塔塔尔士兵皮裤	1	0	0	4	100	-1	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13010088	13	1	88	CJSH_quest_zawu_1_9	塔塔尔皮盔	一顶常见的塔塔尔士兵皮盔	1	0	0	4	100	-1	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13010089	13	1	89	CJSH_quest_xinjia_1_9	塔塔尔左营秘药	乌黑的小瓶子，散发着淡淡的药香。上面刻着一个“左”字。	1	0	0	4	100	-1	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13010090	13	1	90	CJSH_quest_xinjia_1_9	塔塔尔右营秘药	乌黑的小瓶子，散发着淡淡的药香。上面刻着一个“右”字。	1	0	0	4	100	-1	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13010091	13	1	91	CJSH_item_maopi_1_1	雪人皮	光洁发亮的雪人皮，摸上去柔软光滑。	1	0	0	4	100	-1	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13010092	13	1	92	CJSH_equip_xianglian_1_8	金钗	金钗顶端镶嵌着一粒珍珠，钗身上刻着凤凰。	1	0	0	4	1	-1	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13010093	13	1	93	CJSH_item_chengshuidaoju_1_10	鎏银碗	这是一只古色古香的鎏银碗，碗沿上雕刻有狩猎的场面。	1	0	0	4	1	-1	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13010094	13	1	94	CJSH_quest_qiguan_1_6	银狐尾	闪闪发亮的银狐尾巴，一看就是制作皮衣的上好材料。	1	0	0	4	100	-1	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13010095	13	1	94	CJSH_equip_yifu_1_7	蔑里岂皮甲	一套皮甲，上好的牛皮制成，虽然看起来有些陈旧，但是依然很结实。	1	0	0	4	1	-1	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13010096	13	1	94	CJSH_equip_dao_1_1	蔑里岂腰刀	闪着寒光的弯刀，刀柄处缠着趁手的布条。	1	0	0	4	1	-1	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13010097	13	1	94	CJSH_equip_shipin_1_6	玉佩	玉佩上刻着古朴的花纹，据说是木华黎的祖母留给他的。	1	0	0	4	1	-1	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13010098	13	1	94	CJSH_equip_xianglian_1_5	纯银头饰	纯银打造的头花，用精巧的银丝编出了百鸟朝凤的情景。	1	0	0	4	1	-1	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13010099	13	1	94	CJSH_item_xiangzi_1_2	银狐围脖	柔软的银狐围脖，看上去就很温暖。	1	0	0	4	1	-1	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13010100	13	1	100	CJSH_item_maopi_1_1	幼银狼皮	银狼幼崽的皮毛，可做御寒之物。	1	0	0	4	10	-1	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13010101	13	1	101	CJSH_equip_dao_1_1	乌黑的腰刀	一把精致的腰刀，一面刻着“靖”字，另一面刻着“大金赵王府”。	1	0	0	4	10	-1	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13010102	13	1	102	CJSH_quest_xinjia_1_1	包惜弱的信	包惜弱的信件，信封上用小楷，写着“康儿亲启”四个字。	1	0	0	4	10	-1	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13010103	13	1	103	CJSH_quest_zawu_1_2	完颜康的令牌	完颜康的令牌，可自由出入金营。	1	0	0	4	10	-1	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13010104	13	1	104	CJSH_quest_zawu_1_2	金军虎符	调动居庸关金朝兵马的虎符，纯金所制，狮纽银印，上刻有金无角龙。	1	0	0	4	10	-1	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13010105	13	1	105	CJSH_equip_maozi_1_4	西夏毡帽	西夏人经常戴的毡帽。	1	0	0	4	10	-1	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13010106	13	1	106	CJSH_item_grass_1_11	金国特产	金国的特产，贿赂上司必备。	1	0	0	4	10	-1	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13010107	13	3	107	CJSH_item_liangshi_1_2	军用物资	军队里常用的物资。	1	0	0	4	10	-1	-1	-1	-1	-1	-1	-1	-1	0	0	任务道具	-1	00ccff
13010108	13	3	108	CJSH_item_jinshuding_1_2	搜刮来的财宝	金军从各地搜刮来到财富。	1	0	0	4	10	-1	-1	-1	-1	-1	-1	-1	-1	0	0	任务道具	-1	00ccff
13010109	13	1	109	CJSH_item_liangshi_1_2	蒙古军需	蒙古大军所用的军需物资。	1	0	0	4	10	-1	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13010110	13	1	110	CJSH_item_shujuan_1_5	信件	木华黎所写，表达对阔阔出的崇敬。	1	0	0	4	10	-1	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13010111	13	1	111	CJSH_quest_rongqi_1_7	圣水	阔阔出祝福过的山泉，据说可以治愈伤痛。	1	0	0	4	10	-1	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13010112	13	1	112	CJSH_item_yaowan_1_1	金疮药	治疗外伤的良药。	1	0	0	4	10	-1	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13010113	13	1	113	CJSH_item_shujuan_1_1	铁木真的亲笔信	铁木真表达和札木合安答之情的信件。	1	0	0	4	10	-1	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13010114	13	1	114	CJSH_equip_maozi_1_10	乃蛮部盔甲	乃蛮部是全蒙古文明程度最高的部落，他们的盔甲制作精良。	1	0	0	4	10	-1	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13010115	13	1	115	CJSH_item_huizhang_1_3	战神大旗	神秘的战无不胜之旗，拥有者拥有全蒙古。	1	0	0	4	10	-1	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13010116	13	1	116	CJSH_item_zipian_1_2	作战计划图	哲别绘制的作战图。	1	0	0	4	10	-1	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13010117	13	1	117	CJSH_equip_maozi_1_5	克烈部皮帽	克烈部士兵所用的皮帽，保暖性很好。	1	0	0	4	10	-1	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13010118	13	1	118	CJSH_equip_haojiao_1_8	塔塔尔部皮鞭	塔塔尔部人所用的皮鞭。	1	0	0	4	10	-1	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13010119	13	1	119	CJSH_item_kuangshi_2_13	高山玉石	产自高山上的玉石，温软滑润。	1	0	0	4	10	-1	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13010120	13	1	120	CJSH_equip_dao_1_1	郭靖的腰刀	作战用的腰刀。	1	0	0	4	10	-1	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13010121	13	1	120	CJSH_item_xiangzi_1_1	新兵装备	王国为每位新兵发放的必备物品。	1	0	0	4	10	-1	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13010122	13	1	120	CJSH_item_xiangzi_1_1	新兵装备	王国为每位新兵发放的必备物品。#G（右键点击打开）	1	0	0	6	10	203400	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
#	国家任务																		-1	0	0		-1	
13011001	13	2	99	CJSH_item_zhipian_1_6	飞鸽信	送信专用信件	1	0	0	4	99	-1	-1	-1	-1	-1	-1	-1	-1	0	0	任务道具	-1	00ccff
13011002	13	3	3	CJSH_quest_zawu_1_3	戒指	穆林老师送给不死婆婆的礼物	1	0	0	4	99	-1	-1	-1	-1	-1	-1	-1	-1	0	0	任务道具	-1	00ccff
13011003	13	3	3	CJSH_quest_zawu_1_3	五色花	神圣的五色话	1	0	0	4	1	-1	51	-1	-1	-1	-1	-1	-1	0	0	任务道具	-1	00ccff
13011004	13	3	3	CJSH_quest_zawu_1_3	宝箱	神秘的宝箱	1	0	0	4	1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	任务道具	-1	00ccff
13011005	13	3	3	Han2_Item_Shixiang_1_1	灰色图腾	古老的灰色图腾，上面充满神圣的气息。	1	0	0	4	30	-1	-1	-1	-1	-1	-1	-1	-1	0	0	任务道具	-1	00ccff
13011006	13	3	3	CJSH_item_zipian_1_4	密报	敌国机密的情报	1	0	0	4	1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	任务道具	-1	00ccff
13011007	13	3	3	CJSH_item_wanfa_1_2	甘草	异国杀怪任务物品	1	0	0	4	1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	任务道具	-1	00ccff
13011008	13	3	3	CJSH_item_wanfa_1_3	珍贵药材	弱国任务任务物品	1	0	0	4	1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	任务道具	-1	00ccff
13011009	13	3	3	CJSH_quest_zawu_1_2	将军令	敌国刺杀任务物品	1	0	0	4	1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	任务道具	-1	00ccff
13011010	13	3	3	CJSH_item_wanfa_1_5	白色丝线	寻找红绳任务物品	1	0	0	4	1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	任务道具	-1	00ccff
13011011	13	3	3	CJSH_item_wanfa_1_6	红色颜料	寻找红绳任务物品	1	0	0	4	1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	任务道具	-1	00ccff
13011012	13	3	3	CJSH_item_wanfa_1_4	红绳	结婚信物	1	0	0	4	1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	任务道具	-1	00ccff
13011500	13	1	3	CJSH_item_add_0_10	苹果	刚摘下来的苹果，看起来很甜。	1	0	0	4	99	-1	-1	-1	-1	-1	-1	-1	-1	0	0	任务道具	-1	00ccff
13011501	13	1	3	CJSH_quest_zawu_1_3	海螺	能听到海的声音。	1	0	0	4	99	-1	-1	-1	-1	-1	-1	-1	-1	0	0	任务道具	-1	00ccff
13011502	13	1	3	CJSH_quest_zawu_1_3	铁锹	矿工剩下的铁锹。	1	0	0	4	99	-1	-1	-1	-1	-1	-1	-1	-1	0	0	任务道具	-1	00ccff
13011503	13	1	3	CJSH_quest_zawu_1_3	神针	传说中仙人落下的神针，不知道有什么作用。	1	0	0	4	99	-1	-1	-1	-1	-1	-1	-1	-1	0	0	任务道具	-1	00ccff
13011504	13	1	3	CJSH_quest_zawu_1_3	火蜥蜴之尾	听说可以治风湿。	1	0	0	4	99	-1	-1	-1	-1	-1	-1	-1	-1	0	0	任务道具	-1	00ccff
13011505	13	1	3	CJSH_item_add_0_11	玉米	游牧民族重要的食粮。	1	0	0	4	99	-1	-1	-1	-1	-1	-1	-1	-1	0	0	任务道具	-1	00ccff
13011506	13	1	3	CJSH_item_grass_1_8	野花	平凡的野花。	1	0	0	4	99	-1	-1	-1	-1	-1	-1	-1	-1	0	0	任务道具	-1	00ccff
13011507	13	1	3	CJSH_quest_zawu_1_3	稻草	随处可见的稻草。	1	0	0	4	99	-1	-1	-1	-1	-1	-1	-1	-1	0	0	任务道具	-1	00ccff
13011508	13	1	3	CJSH_item_xiangzi_1_1	黑箱子	不可思议的黑色箱子。	1	0	0	4	99	-1	-1	-1	-1	-1	-1	-1	-1	0	0	任务道具	-1	00ccff
13011509	13	1	3	CJSH_quest_zawu_1_3	红箱子	不可思议的红色箱子。	1	0	0	4	99	-1	-1	-1	-1	-1	-1	-1	-1	0	0	任务道具	-1	00ccff
13011510	13	1	3	CJSH_quest_zawu_1_3	皮球	不知从哪里出现的皮球。	1	0	0	4	99	-1	-1	-1	-1	-1	-1	-1	-1	0	0	任务道具	-1	00ccff
13011511	13	1	3	CJSH_quest_zawu_1_3	冰晶	闪烁七彩光芒的冰晶石。	1	0	0	4	99	-1	-1	-1	-1	-1	-1	-1	-1	0	0	任务道具	-1	00ccff
13011600	13	1	3	CJSH_item_zhipian_1_6	信件	委托你转交的信件，还是不要打开看的好。	1	0	0	4	99	-1	-1	-1	-1	-1	-1	-1	-1	0	0	任务道具	-1	00ccff
13011601	13	1	3	CJSH_quest_zawu_1_4	军粮	军用粮草	1	0	0	4	99	-1	-1	-1	-1	-1	-1	-1	-1	0	0	任务道具	-1	00ccff
13011602	13	3	3	Han2_Item_Shixiang_1_10	褐色图腾	古老的褐色图腾，上面充满神圣的气息。	1	0	0	4	30	-1	-1	-1	-1	-1	-1	-1	-1	0	0	任务道具	-1	00ccff
13011603	13	3	3	CJSH_item_huizhang_2_2	恶魔面具	血色的面具，上面充满邪恶的气息。	1	0	0	4	1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	任务道具	-1	00ccff
13011604	13	3	3	Han2_Item_Shixiang_1_9	橙色图腾	古老的橙色图腾，上面充满神圣的气息。	1	0	0	4	30	-1	-1	-1	-1	-1	-1	-1	-1	0	0	任务道具	-1	00ccff
13011605	13	3	3	Han2_Item_Shixiang_1_5	青色图腾	古老的青色图腾，上面充满神圣的气息。	1	0	0	4	30	-1	-1	-1	-1	-1	-1	-1	-1	0	0	任务道具	-1	00ccff
13011606	13	3	3	Han2_Item_Shixiang_1_7	绿色图腾	古老的绿色图腾，上面充满神圣的气息。	1	0	0	4	30	-1	-1	-1	-1	-1	-1	-1	-1	0	0	任务道具	-1	00ccff
13011607	13	3	3	Han2_Item_Shixiang_1_5	蓝色图腾	古老的蓝色图腾，上面充满神圣的气息。	1	0	0	4	30	-1	-1	-1	-1	-1	-1	-1	-1	0	0	任务道具	-1	00ccff
#	童趣																		-1	0	0		-1	
#	童趣使用																		-1	0	0		-1	
13011700	13	1	3	CJSH_quest_zawu_1_3	风筝	风筝是用来飞的	1	0	0	6	1	413201	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13011701	13	1	3	CJSH_quest_zawu_1_3	呼啦圈	呼啦圈是用来转的	1	0	0	6	1	413199	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13011702	13	1	3	CJSH_quest_zawu_1_3	陀螺	陀螺是用来抽的	1	0	0	6	1	413199	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13011703	13	1	3	CJSH_quest_zawu_1_3	跳绳	跳绳是用来跳的	1	0	0	6	1	413199	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13011704	13	1	3	CJSH_quest_zawu_1_3	毽子	毽子是用来踢的	1	0	0	6	1	413199	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13011705	13	1	3	CJSH_quest_zawu_1_3	竹蜻蜓	竹蜻蜓是用来飞的	1	0	0	6	1	413199	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13011706	13	1	3	CJSH_quest_zawu_1_3	鞭泡	鞭炮是用来放的	1	0	0	6	1	413200	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13011707	13	1	3	CJSH_quest_zawu_1_3	肥皂水	肥皂水是用来吹的	1	0	0	6	1	413202	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13011708	13	1	3	CJSH_quest_zawu_1_3	纸船	纸船是用来放的	1	0	0	6	1	413203	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13011709	13	1	3	CJSH_quest_zawu_1_3	歌谱	歌谱是用来唱的	1	0	0	6	1	413199	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13011710	13	1	3	CJSH_quest_zawu_1_3	岗哨	岗哨是用来吹的	1	0	0	6	1	413199	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
13011711	13	1	3	CJSH_quest_zawu_1_3	木马	木马是用来S……骑的	1	0	0	6	1	413199	-1	-1	-1	-1	4	-1	-1	0	0	任务道具	-1	00ccff
#	童趣采集																		-1	0	0		-1	
13011750	13	1	3	CJSH_item_add_0_10	苹果	生长在马蜂窝附近的红色的苹果#r#Y成分：#r蜂蜜：52%#r纤维：30%#rThe Pain：18%#W	1	0	0	4	99	-1	-1	-1	-1	-1	-1	-1	-1	0	0	任务道具	-1	00ccff
13011751	13	1	3	CJSH_quest_zawu_1_3	南瓜	邻家农田的南瓜#r#Y成分：#r水：22%#r脂肪：53%#r龙宫使之泪：25%#W	1	0	0	4	99	-1	-1	-1	-1	-1	-1	-1	-1	0	0	任务道具	-1	00ccff
13011752	13	1	3	CJSH_item_grass_1_8	鲜花	路边随处可见的小红花#r#Y成分：#r苏丹红：32%#r叶绿素：45%#r天地凝精：23%#W	1	0	0	4	99	-1	-1	-1	-1	-1	-1	-1	-1	0	0	任务道具	-1	00ccff
13011753	13	1	3	CJSH_quest_zawu_1_3	鸡蛋	邻家母鸡的鸡蛋#r#Y成分：#r蛋清：60%#r蛋黄：33%#r防弹蛋壳：7%#W	1	0	0	4	99	-1	-1	-1	-1	-1	-1	-1	-1	0	0	任务道具	-1	00ccff
13011754	13	1	3	CJSH_quest_zawu_1_3	西瓜	邻家田地的西瓜#r#Y成分：#r鲜果肉：71%#r糖：28%#r葫芦娃之素：1%#W	1	0	0	4	99	-1	-1	-1	-1	-1	-1	-1	-1	0	0	任务道具	-1	00ccff
13011755	13	1	3	CJSH_quest_zawu_1_3	弹弓子	可以当弹弓子的橡树果#r#Y成分：#r木材：61%#r果实：22%#r复仇者之魂：17%#W	1	0	0	4	99	-1	-1	-1	-1	-1	-1	-1	-1	0	0	任务道具	-1	00ccff
13011756	13	1	3	CJSH_quest_zawu_1_3	蚯蚓	雨天过后遍地爬行的蚯蚓#r#Y成分：#r软组织关节：55%#r头：30%#r治愈结界：15%#W	1	0	0	4	99	-1	-1	-1	-1	-1	-1	-1	-1	0	0	任务道具	-1	00ccff
13011757	13	1	3	CJSH_quest_zawu_1_3	馒头	贡台上的馒头#r#Y成分：#r面：90%#r气孔：9%#r肉：1%#W	1	0	0	4	99	-1	-1	-1	-1	-1	-1	-1	-1	0	0	任务道具	-1	00ccff
#	童趣捕捉																		-1	0	0		-1	
