INT	STRING	STRING	INT	INT	FLOAT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
10	名字很NB		1	1	1	0	0	0	100000	40	0	0	0	11010001	1	1	-1	100	11010002	1	1	-1	100	11010003	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100
11	名字很NB		1	1	1	0	0	0	100000	40	0	0	0	12051000	1	1	-1	100	12051001	1	1	-1	100	12051002	1	1	-1	100	12051003	1	1	-1	100	12051004	1	1	-1	100	12051005	1	1	-1	100	12051006	1	1	-1	100	12051007	1	1	-1	100	12051008	1	1	-1	100	12051009	1	1	-1	100	12052000	1	1	-1	100	12052001	1	1	-1	100	12052002	1	1	-1	100	12052003	1	1	-1	100	12052004	1	1	-1	100	12052005	1	1	-1	100	12052006	1	1	-1	100	12052007	1	1	-1	100	12052008	1	1	-1	100	12052009	1	1	-1	100	12053000	1	1	-1	100	12053001	1	1	-1	100	12053002	1	1	-1	100	12053003	1	1	-1	100	12053004	1	1	-1	100	12053005	1	1	-1	100	12053006	1	1	-1	100	12053007	1	1	-1	100	12053008	1	1	-1	100	12053009	1	1	-1	100	12054000	1	1	-1	100	12054001	1	1	-1	100	12054002	1	1	-1	100	12054003	1	1	-1	100	12054004	1	1	-1	100	12054005	1	1	-1	100	12054006	1	1	-1	100	12054007	1	1	-1	100	12054008	1	1	-1	100	12054009	1	1	-1	100
12	名字很NB		1	1	1	0	0	0	100000	40	0	0	0	12055000	1	1	-1	100	12055001	1	1	-1	100	12055002	1	1	-1	100	12055003	1	1	-1	100	12055004	1	1	-1	100	12055005	1	1	-1	100	12055006	1	1	-1	100	12055007	1	1	-1	100	12055008	1	1	-1	100	12055009	1	1	-1	100	12056000	1	1	-1	100	12056001	1	1	-1	100	12056002	1	1	-1	100	12056003	1	1	-1	100	12056004	1	1	-1	100	12056005	1	1	-1	100	12056006	1	1	-1	100	12056007	1	1	-1	100	12056008	1	1	-1	100	12056009	1	1	-1	100	12057000	1	1	-1	100	12057001	1	1	-1	100	12057002	1	1	-1	100	12057003	1	1	-1	100	12057004	1	1	-1	100	12057005	1	1	-1	100	12057006	1	1	-1	100	12057007	1	1	-1	100	12057008	1	1	-1	100	12057009	1	1	-1	100	12058000	1	1	-1	100	12058001	1	1	-1	100	12058002	1	1	-1	100	12058003	1	1	-1	100	12058004	1	1	-1	100	12058005	1	1	-1	100	12058006	1	1	-1	100	12058007	1	1	-1	100	12058008	1	1	-1	100	12058009	1	1	-1	100
13	名字很NB		1	1	1	0	0	0	100000	40	0	0	0	14000001	1	1	-1	100	14000002	1	1	-1	100	14000003	1	1	-1	100	14000004	1	1	-1	100	14000005	1	1	-1	100	14000006	1	1	-1	100	14000007	1	1	-1	100	14000008	1	1	-1	100	14000009	1	1	-1	100	14000010	1	1	-1	100	14000011	1	1	-1	100	14000012	1	1	-1	100	14000013	1	1	-1	100	14000014	1	1	-1	100	14000015	1	1	-1	100	14000016	1	1	-1	100	14000017	1	1	-1	100	14000018	1	1	-1	100	14000019	1	1	-1	100	14000020	1	1	-1	100	14000021	1	1	-1	100	14000022	1	1	-1	100	14000023	1	1	-1	100	14000024	1	1	-1	100	14000025	1	1	-1	100	14000026	1	1	-1	100	14000027	1	1	-1	100	14000028	1	1	-1	100	14000029	1	1	-1	100	14000030	1	1	-1	100	14000031	1	1	-1	100	14000032	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100
14	名字很NB		1	1	1	100	1	12007	0	10	0	0	0	1	1	1	-1	100	2	1	1	-1	100	3	1	1	-1	100	4	1	1	-1	100	5	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100
15	名字很NB		1	1	1	100	1	0	60000	20	0	0	0	6	1	1	-1	100	7	1	1	-1	100	8	1	1	-1	100	9	1	1	-1	100	10	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100
16	名字很NB		1	1	1	0	0	0	100000	40	0	0	0	12090001	1	1	-1	100	12090002	1	1	-1	100	12090003	1	1	-1	100	12090004	1	1	-1	100	12090005	1	1	-1	100	12090006	1	1	-1	100	12090007	1	1	-1	100	12090008	1	1	-1	100	12090009	1	1	-1	100	12090010	1	1	-1	100	12100001	1	1	-1	100	12100002	1	1	-1	100	12100003	1	1	-1	100	12100004	1	1	-1	100	12100005	1	1	-1	100	12100006	1	1	-1	100	12100007	1	1	-1	100	12100008	1	1	-1	100	12100009	1	1	-1	100	12100010	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100	0	1	1	-1	100
####以下是	各职业荣誉商店	各职业荣誉商店																																																																																																																																																																																																																			
20	荣誉商店	武士40荣誉多彩	1	5	1	0	0	0	100000	40	0	0	0	14000001	1	-1	2500	100	14000002	1	1	2500	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100
21	荣誉商店	武士50荣誉多彩	1	5	1	0	0	0	100000	40	0	0	0	14000003	1	-1	3500	100	14000004	1	1	3500	100	14000005	1	-1	3500	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100
22	荣誉商店	武士60荣誉多彩	1	5	1	0	0	0	100000	40	0	0	0	14000006	1	-1	6000	100	14000007	1	1	6000	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100	0	1	-1	-1	100
