INT	INT	STRING	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	CNC	INT	STRING	FLOAT	FLOAT	INT	FLOAT	INT	INT
23	1103	set:CJSH_Monster_touxiang_2 image:CJSH_Monster_touxiang_2_16	387										1000	Ð¡Âí¾Ô	88	126	-1	1000	0	2
24	1102	set:CJSH_Monster_touxiang_1 image:CJSH_Monster_touxiang_1_15	387										1000	Ð¡Âí¾Ô	94	124	-1	1000	0	2
25	4267	set:CJSH_wanfa_add_0 image:CJSH_wanfa_add_0_9	0										0	Éß	97.5	92.5	13011800	1000	0	2
26	4267	set:CJSH_wanfa_add_0 image:CJSH_wanfa_add_0_9	0										0	Éß	95.75	95.5	13011800	1000	0	2
27	4267	set:CJSH_wanfa_add_0 image:CJSH_wanfa_add_0_9	0										0	Éß	95.75	104.5	13011800	1000	0	2
28	4267	set:CJSH_wanfa_add_0 image:CJSH_wanfa_add_0_9	0										0	Éß	115.25	92.75	13011800	1000	0	2
29	4267	set:CJSH_wanfa_add_0 image:CJSH_wanfa_add_0_9	0										0	Éß	96.25	83	13011800	1000	0	2
30	4267	set:CJSH_wanfa_add_0 image:CJSH_wanfa_add_0_9	0										0	Éß	97.75	76	13011800	1000	0	2
31	4267	set:CJSH_wanfa_add_0 image:CJSH_wanfa_add_0_9	0										0	Éß	105.25	91.5	13011800	1000	0	2
32	4267	set:CJSH_wanfa_add_0 image:CJSH_wanfa_add_0_9	0										0	Éß	101	96.75	13011800	1000	0	2
33	4267	set:CJSH_wanfa_add_0 image:CJSH_wanfa_add_0_9	0										0	Éß	101.25	102.25	13011800	1000	0	2
34	4267	set:CJSH_wanfa_add_0 image:CJSH_wanfa_add_0_9	0										0	Éß	99.5	107.75	13011800	1000	0	2
35	4076	set:CJSH_wanfa_add_0 image:CJSH_wanfa_add_0_8	0										0	¸òó¡	352.75	172.5	13011801	1000	0	2
36	4076	set:CJSH_wanfa_add_0 image:CJSH_wanfa_add_0_8	0										0	¸òó¡	356.5	174	13011801	1000	0	2
37	4076	set:CJSH_wanfa_add_0 image:CJSH_wanfa_add_0_8	0										0	¸òó¡	360.5	173.25	13011801	1000	0	2
38	4076	set:CJSH_wanfa_add_0 image:CJSH_wanfa_add_0_8	0										0	¸òó¡	356.25	165.5	13011801	1000	0	2
39	4076	set:CJSH_wanfa_add_0 image:CJSH_wanfa_add_0_8	0										0	¸òó¡	364	166.5	13011801	1000	0	2
40	4076	set:CJSH_wanfa_add_0 image:CJSH_wanfa_add_0_8	0										0	¸òó¡	365.5	170.25	13011801	1000	0	2
41	4076	set:CJSH_wanfa_add_0 image:CJSH_wanfa_add_0_8	0										0	¸òó¡	357.25	159.25	13011801	1000	0	2
42	4076	set:CJSH_wanfa_add_0 image:CJSH_wanfa_add_0_8	0										0	¸òó¡	360.25	161.25	13011801	1000	0	2
43	4076	set:CJSH_wanfa_add_0 image:CJSH_wanfa_add_0_8	0										0	¸òó¡	372	170.5	13011801	1000	0	2
44	4076	set:CJSH_wanfa_add_0 image:CJSH_wanfa_add_0_8	0										0	¸òó¡	368.75	165.75	13011801	1000	0	2
45	4269	set:CJSH_Monster_touxiang_2 image:CJSH_Monster_touxiang_2_14	0										0	Ö©Öë	461.75	295.75	13011802	1000	0	2
46	4269	set:CJSH_Monster_touxiang_2 image:CJSH_Monster_touxiang_2_14	0										0	Ö©Öë	464	292	13011802	1000	0	2
47	4269	set:CJSH_Monster_touxiang_2 image:CJSH_Monster_touxiang_2_14	0										0	Ö©Öë	455.5	291.75	13011802	1000	0	2
48	4269	set:CJSH_Monster_touxiang_2 image:CJSH_Monster_touxiang_2_14	0										0	Ö©Öë	466	298.5	13011802	1000	0	2
49	4269	set:CJSH_Monster_touxiang_2 image:CJSH_Monster_touxiang_2_14	0										0	Ö©Öë	456.75	297.5	13011802	1000	0	2
50	4269	set:CJSH_Monster_touxiang_2 image:CJSH_Monster_touxiang_2_14	0										0	Ö©Öë	460.75	301.25	13011802	1000	0	2
51	4269	set:CJSH_Monster_touxiang_2 image:CJSH_Monster_touxiang_2_14	0										0	Ö©Öë	464	302.25	13011802	1000	0	2
52	4269	set:CJSH_Monster_touxiang_2 image:CJSH_Monster_touxiang_2_14	0										0	Ö©Öë	466.75	308	13011802	1000	0	2
53	4269	set:CJSH_Monster_touxiang_2 image:CJSH_Monster_touxiang_2_14	0										0	Ö©Öë	462.25	307.25	13011802	1000	0	2
54	4269	set:CJSH_wanfa_add_0 image:CJSH_wanfa_add_0_7	0										0	Ö©Öë	464.25	312	13011802	1000	0	2
55	5123	set:CJSH_Add_0 image:CJSH_Add_0_11	0										0	°ß³áÂéÈ¸	356.75	393.5	13011803	300	0	2
56	5123	set:CJSH_Add_0 image:CJSH_Add_0_11	0										0	°ß³áÂéÈ¸	356.5	388.75	13011803	300	0	2
57	5123	set:CJSH_Add_0 image:CJSH_Add_0_11	0										0	°ß³áÂéÈ¸	363.5	390	13011803	300	0	2
58	5123	set:CJSH_Add_0 image:CJSH_Add_0_11	0										0	°ß³áÂéÈ¸	363.25	393.5	13011803	300	0	2
59	5123	set:CJSH_Add_0 image:CJSH_Add_0_11	0										0	°ß³áÂéÈ¸	348.5	395	13011803	300	0	2
60	5123	set:CJSH_Add_0 image:CJSH_Add_0_11	0										0	°ß³áÂéÈ¸	352.25	395.75	13011803	300	0	2
61	5123	set:CJSH_Add_0 image:CJSH_Add_0_11	0										0	°ß³áÂéÈ¸	343.75	388.25	13011803	300	0	2
62	5123	set:CJSH_Add_0 image:CJSH_Add_0_11	0										0	°ß³áÂéÈ¸	348.5	387.75	13011803	300	0	2
63	5123	set:CJSH_Add_0 image:CJSH_Add_0_11	0										0	°ß³áÂéÈ¸	354.75	380.75	13011803	300	0	2
64	5123	set:CJSH_Add_0 image:CJSH_Add_0_11	0										0	°ß³áÂéÈ¸	360.25	383.25	13011803	300	0	2
65	5122	set:CJSH_Add_0 image:CJSH_Add_0_13	0										0	°×³áºûµû	466	399.25	13011804	1000	0	2
66	5122	set:CJSH_Add_0 image:CJSH_Add_0_13	0										0	°×³áºûµû	471.5	402.75	13011804	1000	0	2
67	5122	set:CJSH_Add_0 image:CJSH_Add_0_13	0										0	°×³áºûµû	466.25	404	13011804	1000	0	2
68	5122	set:CJSH_Add_0 image:CJSH_Add_0_13	0										0	°×³áºûµû	461	400.75	13011804	1000	0	2
69	5122	set:CJSH_Add_0 image:CJSH_Add_0_13	0										0	°×³áºûµû	462.5	393.5	13011804	1000	0	2
70	5122	set:CJSH_Add_0 image:CJSH_Add_0_13	0										0	°×³áºûµû	456.5	394	13011804	1000	0	2
71	5122	set:CJSH_Add_0 image:CJSH_Add_0_13	0										0	°×³áºûµû	458	403.25	13011804	1000	0	2
72	5122	set:CJSH_Add_0 image:CJSH_Add_0_13	0										0	°×³áºûµû	462.25	406.25	13011804	1000	0	2
73	5122	set:CJSH_Add_0 image:CJSH_Add_0_13	0										0	°×³áºûµû	467	411.75	13011804	1000	0	2
74	5122	set:CJSH_Add_0 image:CJSH_Add_0_13	0										0	°×³áºûµû	472.25	409.5	13011804	1000	0	2
75	1166	set:CJSH_Monster_touxiang_8 image:CJSH_Monster_touxiang_8_15	0										0	¼ôµ¶ÊÖó«òë	115.25	326.75	13011805	1000	0	2
76	1166	set:CJSH_Monster_touxiang_8 image:CJSH_Monster_touxiang_8_15	0										0	¼ôµ¶ÊÖó«òë	108.75	327.5	13011805	1000	0	2
77	1166	set:CJSH_Monster_touxiang_8 image:CJSH_Monster_touxiang_8_15	0										0	¼ôµ¶ÊÖó«òë	114.75	321.25	13011805	1000	0	2
78	1166	set:CJSH_Monster_touxiang_8 image:CJSH_Monster_touxiang_8_15	0										0	¼ôµ¶ÊÖó«òë	119	321.75	13011805	1000	0	2
79	1166	set:CJSH_Monster_touxiang_8 image:CJSH_Monster_touxiang_8_15	0										0	¼ôµ¶ÊÖó«òë	118.5	316	13011805	1000	0	2
80	1166	set:CJSH_Monster_touxiang_8 image:CJSH_Monster_touxiang_8_15	0										0	¼ôµ¶ÊÖó«òë	123.25	322.5	13011805	1000	0	2
81	1166	set:CJSH_Monster_touxiang_8 image:CJSH_Monster_touxiang_8_15	0										0	¼ôµ¶ÊÖó«òë	118	326.5	13011805	1000	0	2
82	1166	set:CJSH_Monster_touxiang_8 image:CJSH_Monster_touxiang_8_15	0										0	¼ôµ¶ÊÖó«òë	116.5	331.5	13011805	1000	0	2
83	1166	set:CJSH_Monster_touxiang_8 image:CJSH_Monster_touxiang_8_15	0										0	¼ôµ¶ÊÖó«òë	110.75	333	13011805	1000	0	2
84	1166	set:CJSH_Monster_touxiang_8 image:CJSH_Monster_touxiang_8_15	0										0	¼ôµ¶ÊÖó«òë	103.25	331	13011805	1000	0	2
85	5124	set:CJSH_Add_0 image:CJSH_Add_0_12	0										0	Õ³ÒºÃ«Ã«³æ	205.5	315.75	13011806	300	0	2
86	5124	set:CJSH_Add_0 image:CJSH_Add_0_12	0										0	Õ³ÒºÃ«Ã«³æ	206.25	320.25	13011806	300	0	2
87	5124	set:CJSH_Add_0 image:CJSH_Add_0_12	0										0	Õ³ÒºÃ«Ã«³æ	209.75	324.25	13011806	300	0	2
88	5124	set:CJSH_Add_0 image:CJSH_Add_0_12	0										0	Õ³ÒºÃ«Ã«³æ	210.75	318.5	13011806	300	0	2
89	5124	set:CJSH_Add_0 image:CJSH_Add_0_12	0										0	Õ³ÒºÃ«Ã«³æ	216.75	315.75	13011806	300	0	2
90	5124	set:CJSH_Add_0 image:CJSH_Add_0_12	0										0	Õ³ÒºÃ«Ã«³æ	220.5	320.5	13011806	300	0	2
91	5124	set:CJSH_Add_0 image:CJSH_Add_0_12	0										0	Õ³ÒºÃ«Ã«³æ	218.5	327.5	13011806	300	0	2
92	5124	set:CJSH_Add_0 image:CJSH_Add_0_12	0										0	Õ³ÒºÃ«Ã«³æ	216.25	321.25	13011806	300	0	2
93	5124	set:CJSH_Add_0 image:CJSH_Add_0_12	0										0	Õ³ÒºÃ«Ã«³æ	212	330.5	13011806	300	0	2
94	5124	set:CJSH_Add_0 image:CJSH_Add_0_12	0										0	Õ³ÒºÃ«Ã«³æ	205.5	332.5	13011806	300	0	2
