INT	INT	INT	INT	STRING	STRING	STRING	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT
11000101	11	0	101	CJSH_item_dakong_3	生铁钻	粗糙的生铁所制成的小钻头。#r #r在王城#S装备镶嵌大师（王城装备强化区）#cC8B88E或大都#S装备镶嵌大师（大都装备强化区）#cC8B88E处使用，可以为装备增加第二个孔。#r #r#g印度珠宝术（3级）#cC8B88E制作。#r #r适用装备：#O帽子、披风、衣服、护手、腰带、靴子、手镯#cC8B88E。	35	-1	-1	99	6000	10	5	20	-1	-1	-1	-1	-1	4	0	-1	0	0	打孔道具	掉落打孔_07.lmodel	cj_yingguang_huang	0	ffffff	-1	3	-1	0	-1	-1	-1	1
11000102	11	0	102	CJSH_item_dakong_7	白玉钻	天然白玉所制成的精巧钻头。#r #r在王城#S装备镶嵌大师（王城装备强化区）#cC8B88E或大都#S装备镶嵌大师（大都装备强化区）#cC8B88E处使用，可以为装备增加第三个孔。#r #r#g印度珠宝术（5级）#cC8B88E制作。#r #r适用装备：#O手镯、护手、靴子#cC8B88E。	35	-1	-1	99	10000	10	5	20	-1	-1	-1	-1	-1	4	0	-1	0	0	打孔道具	掉落打孔_02.lmodel	cj_yingguang_huang	0	ffffff	-1	5	-1	0	-1	-1	-1	1
11000103	11	0	103	CJSH_item_dakong_10	炼银钻	炼银所制成的精巧钻头，可以为装备打第四个孔。#r #r在王城#S装备镶嵌大师（王城装备强化区）#cC8B88E或大都#S装备镶嵌大师（大都装备强化区）#cC8B88E处使用，可以为装备增加第四个孔。#r #r#g印度珠宝术（9级）#cC8B88E制作。#r #r适用装备：#O主武器、副武器#cC8B88E。	35	-1	-1	99	14000	10	5	20	-1	-1	-1	-1	-1	4	0	-1	0	0	打孔道具	掉落牙齿.lmodel	cj_yingguang_huang	0	ffffff	-1	7	-1	0	-1	-1	-1	1
11000104	11	0	104	CJSH_quest_mabian_1_1	血玉髓	鲜红的玉髓，可以为装备打第五个孔。	35	-1	-1	99	18000	10	5	20	-1	-1	-1	-1	-1	4	0	-1	0	0	打孔道具	掉落牙齿.lmodel	cj_yingguang_huang	0	ffffff	-1	8	-1	0	-1	-1	-1	1
11000105	11	0	105	CJSH_quest_mabian_1_1	冰种玉	如寒冰一般的玉石，可以为装备打第六个孔。	35	-1	-1	99	20000	10	5	20	-1	-1	-1	-1	-1	4	0	-1	0	0	打孔道具	掉落牙齿.lmodel	cj_yingguang_huang	0	ffffff	-1	9	-1	0	-1	-1	-1	1
11000106	11	0	106	CJSH_quest_mabian_1_1	蛟王齿	及其罕见的蛟王牙齿，可以为装备打第七个孔。	35	-1	-1	99	25000	10	5	20	-1	-1	-1	-1	-1	4	0	-1	0	0	打孔道具	掉落牙齿.lmodel	cj_yingguang_huang	0	ffffff	-1	10	-1	0	-1	-1	-1	1
11000110	11	0	110	CJSH_item_dakong_2	青铜钻	青铜所制造的小巧的钻头。#r #r在王城#S装备镶嵌大师（王城装备强化区）#cC8B88E或大都#S装备镶嵌大师（大都装备强化区）#cC8B88E处使用，可以为装备增加第一个孔。#r #r#g印度珠宝术（1级）#cC8B88E制作。#r #r适用装备：#O主武器、副武器、徽章、项链、戒指#cC8B88E。	35	-1	-1	99	25000	10	5	20	-1	-1	-1	-1	-1	4	0	-1	0	0	打孔道具	掉落打孔_05.lmodel	cj_yingguang_huang	0	ffffff	-1	1	-1	0	-1	-1	-1	1
11000111	11	0	111	CJSH_item_dakong_4	铸铁钻	质地较为坚硬的铸铁所制造而成的小钻头。#r #r在王城#S装备镶嵌大师（王城装备强化区）#cC8B88E或大都#S装备镶嵌大师（大都装备强化区）#cC8B88E处使用，可以为装备增加第二个孔。#r #r#g印度珠宝术（3级）#cC8B88E制作。#r #r适用装备：#O主武器、副武器、徽章、项链、戒指#cC8B88E。	35	-1	-1	99	25000	10	5	20	-1	-1	-1	-1	-1	4	0	-1	0	0	打孔道具	掉落打孔_04.lmodel	cj_yingguang_huang	0	ffffff	-1	3	-1	0	-1	-1	-1	1
11000120	11	0	120	CJSH_item_dakong_14	翠玉钻	天然翠玉所制成的精巧钻头。#r #r在王城#S装备镶嵌大师（王城装备强化区）#cC8B88E或大都#S装备镶嵌大师（大都装备强化区）#cC8B88E处使用，可以为装备增加第三个孔。#r #r#g金币商城（快捷键J）#O装备打造区#N宝石加工类#cC8B88E出售。#r #r适用装备：#O帽子、衣服、腰带#cC8B88E。	35	-1	-1	99	25000	10	5	20	-1	-1	-1	-1	-1	4	0	-1	0	0	打孔道具	掉落打孔_02.lmodel	cj_yingguang_huang	0	ffffff	-1	5	-1	0	-1	-1	-1	1
11000121	11	0	121	CJSH_item_dakong_6	釉玉钻	天然釉玉所制成的精巧钻头。#r #r在王城#S装备镶嵌大师（王城装备强化区）#cC8B88E或大都#S装备镶嵌大师（大都装备强化区）#cC8B88E处使用，可以为装备增加第三个孔。#r #r大都#S战场积分商人#cC8B88E处出售。#r #r适用装备：#O主武器、副武器#cC8B88E。	35	-1	-1	99	25000	10	27	20	-1	-1	-1	-1	-1	4	0	-1	0	0	打孔道具	掉落打孔_02.lmodel	cj_yingguang_huang	0	ffffff	-1	5	-1	0	-1	-1	-1	1
11000123	11	0	123	CJSH_item_dakong_5	墨玉钻	天然墨玉所制成的精巧钻头。#r #r在王城#S装备镶嵌大师（王城装备强化区）#cC8B88E或大都#S装备镶嵌大师（大都装备强化区）#cC8B88E处使用，可以为装备增加第三个孔。#r #r副本#g勾栏曲台#cC8B88E和#g画皮#cC8B88E产出。#r #r适用装备：#O项链、戒指#cC8B88E。	35	-1	-1	99	25000	10	5	20	-1	-1	-1	-1	-1	4	0	-1	0	0	打孔道具	掉落打孔_02.lmodel	cj_yingguang_huang	0	ffffff	-1	5	-1	0	-1	-1	-1	1
11000124	11	0	124	CJSH_item_dakong_12	血玉钻	天然血玉所制成的精巧钻头。#r #r在王城#S装备镶嵌大师（王城装备强化区）#cC8B88E或大都#S装备镶嵌大师（大都装备强化区）#cC8B88E处使用，可以为装备增加第三个孔。#r #r#g印度珠宝术（7级）#cC8B88E制造。#r #r适用装备：#O披风、徽章#cC8B88E。	35	-1	-1	99	25000	10	5	20	-1	-1	-1	-1	-1	4	0	-1	0	0	打孔道具	掉落打孔_02.lmodel	cj_yingguang_huang	0	ffffff	-1	5	-1	0	-1	-1	-1	1
11000130	11	0	130	CJSH_item_dakong_9	淬银钻	淬银所制成的精巧钻头。#r #r在王城#S装备镶嵌大师（王城装备强化区）#cC8B88E或大都#S装备镶嵌大师（大都装备强化区）#cC8B88E处使用，可以为装备增加第四个孔。#r #r#g罗马铸甲术（9级）#cC8B88E制造。#r #r适用装备：#O帽子、衣服、腰带#cC8B88E。	35	-1	-1	99	25000	10	5	20	-1	-1	-1	-1	-1	4	0	-1	0	0	打孔道具	掉落牙齿.lmodel	cj_yingguang_huang	0	ffffff	-1	7	-1	0	-1	-1	-1	1
11000131	11	0	131	CJSH_item_dakong_8	血银钻	血银所制成的精巧钻头。#r #r在王城#S装备镶嵌大师（王城装备强化区）#cC8B88E或大都#S装备镶嵌大师（大都装备强化区）#cC8B88E处使用，可以为装备增加第四个孔。#r #r#g突厥锻造术（9级）#cC8B88E制作。#r #r适用装备：#O披风、徽章#cC8B88E。	35	-1	-1	99	25000	10	5	20	-1	-1	-1	-1	-1	4	0	-1	0	0	打孔道具	掉落牙齿.lmodel	cj_yingguang_huang	0	ffffff	-1	7	-1	0	-1	-1	-1	1
11000132	11	0	132	CJSH_item_dakong_11	玄银钻	玄银所制成的精巧钻头。#r #r在王城#S装备镶嵌大师（王城装备强化区）#cC8B88E或大都#S装备镶嵌大师（大都装备强化区）#cC8B88E处使用，可以为装备增加第四个孔。#r #r#g波斯工艺术（9级）#cC8B88E制造。#r #r适用装备：#O项链、戒指#cC8B88E。	35	-1	-1	99	25000	10	5	20	-1	-1	-1	-1	-1	4	0	-1	0	0	打孔道具	掉落牙齿.lmodel	cj_yingguang_huang	0	ffffff	-1	7	-1	0	-1	-1	-1	1
11000133	11	0	133	CJSH_item_dakong_13	铭银钻	铭银所制成的精巧钻头。#r #r在王城#S装备镶嵌大师（王城装备强化区）#cC8B88E或大都#S装备镶嵌大师（大都装备强化区）#cC8B88E处使用，可以为装备增加第四个孔。#r #r#g金币商城（快捷键J）#O装备打造区#N宝石加工类#cC8B88E出售。#r #r适用装备：#O手镯、护手、靴子#cC8B88E。	35	-1	-1	99	25000	10	5	20	-1	-1	-1	-1	-1	4	0	-1	0	0	打孔道具	掉落牙齿.lmodel	cj_yingguang_huang	0	ffffff	-1	7	-1	0	-1	-1	-1	1
11000134	11	0	134	CJSH_item_dakong_10	炼金钻	炼金所制成的精巧钻头，可以为装备打第五个孔。#r #r在王城#S装备镶嵌大师（王城装备强化区）#cC8B88E或大都#S装备镶嵌大师（大都装备强化区）#cC8B88E处使用，可以为装备增加第五个孔。#r #r适用装备：#O主武器、副武器#cC8B88E。	35	-1	-1	99	25000	10	5	20	-1	-1	-1	-1	-1	4	0	-1	0	0	打孔道具	掉落牙齿.lmodel	cj_yingguang_huang	0	ffffff	-1	7	-1	0	-1	-1	-1	1
11000135	11	0	135	CJSH_item_dakong_9	淬金钻	淬金所制成的精巧钻头。#r #r在王城#S装备镶嵌大师（王城装备强化区）#cC8B88E或大都#S装备镶嵌大师（大都装备强化区）#cC8B88E处使用，可以为装备增加第五个孔。#r #r适用装备：#O帽子、衣服、腰带#cC8B88E。	35	-1	-1	99	25000	10	5	20	-1	-1	-1	-1	-1	4	0	-1	0	0	打孔道具	掉落牙齿.lmodel	cj_yingguang_huang	0	ffffff	-1	7	-1	0	-1	-1	-1	1
11000136	11	0	136	CJSH_item_dakong_8	血金钻	血金所制成的精巧钻头。#r #r在王城#S装备镶嵌大师（王城装备强化区）#cC8B88E或大都#S装备镶嵌大师（大都装备强化区）#cC8B88E处使用，可以为装备增加第五个孔。#r #r适用装备：#O披风、徽章#cC8B88E。	35	-1	-1	99	25000	10	5	20	-1	-1	-1	-1	-1	4	0	-1	0	0	打孔道具	掉落牙齿.lmodel	cj_yingguang_huang	0	ffffff	-1	7	-1	0	-1	-1	-1	1
11000137	11	0	137	CJSH_item_dakong_11	玄金钻	玄金所制成的精巧钻头。#r #r在王城#S装备镶嵌大师（王城装备强化区）#cC8B88E或大都#S装备镶嵌大师（大都装备强化区）#cC8B88E处使用，可以为装备增加第五个孔。#r #r适用装备：#O项链、戒指#cC8B88E。	35	-1	-1	99	25000	10	5	20	-1	-1	-1	-1	-1	4	0	-1	0	0	打孔道具	掉落牙齿.lmodel	cj_yingguang_huang	0	ffffff	-1	7	-1	0	-1	-1	-1	1
11000138	11	0	138	CJSH_item_dakong_13	铭金钻	铭金所制成的精巧钻头。#r #r在王城#S装备镶嵌大师（王城装备强化区）#cC8B88E或大都#S装备镶嵌大师（大都装备强化区）#cC8B88E处使用，可以为装备增加第五个孔。#r #r适用装备：#O手镯、护手、靴子#cC8B88E。	35	-1	-1	99	25000	10	5	20	-1	-1	-1	-1	-1	4	0	-1	0	0	打孔道具	掉落牙齿.lmodel	cj_yingguang_huang	0	ffffff	-1	7	-1	0	-1	-1	-1	1
11000139	11	0	139	CJSH_item_dakong_7	白玉	坚硬的白玉，可以为装备打第四个孔。适用装备：护手	35	-1	-1	99	25000	10	5	20	-1	-1	-1	-1	-1	4	0	-1	0	0	打孔道具	掉落牙齿.lmodel	cj_yingguang_huang	0	ffffff	-1	7	-1	0	-1	-1	-1	1
11000140	11	0	140	CJSH_item_dakong_7	白玉	坚硬的白玉，可以为装备打第四个孔。适用装备：靴子	35	-1	-1	99	25000	10	5	20	-1	-1	-1	-1	-1	4	0	-1	0	0	打孔道具	掉落牙齿.lmodel	cj_yingguang_huang	0	ffffff	-1	7	-1	0	-1	-1	-1	1
11000200	11	0	200	CJSH_item_baoshi_3_1	世传水晶	由天地之间的灵气凝聚而成。#r #r在王城#S装备升星大师（王城装备强化区）#cC8B88E或大都#S装备升星大师（大都装备强化区）#cC8B88E处使用，可以提升装备属性。#r #r#g副本藏宝洞、轮回台#cC8B88E产出，#g金币商店（快捷键J）#O装备打造区#N装备升星类#cC8B88E也在出售，同时普通的怪物也有概率掉落。#r #r可用来#O升级1-39级的装备#cC8B88E基础属性。	1	-1	-1	99	1000	10	5	250	-1	-1	-1	-1	-1	4	0	-1	0	0	打星道具	掉落矿石1.lmodel	cj_yingguang_huang	0	ffffff	-1	1	-1	0	-1	-1	-1	1
11000201	11	0	201	CJSH_item_baoshi_2_1	国传水晶	传说中只有地壳运动时才会有机会见到此类水晶，因其数量稀少而被传之为国宝。#r #r在王城#S装备升星大师（王城装备强化区）#cC8B88E或大都#S装备升星大师（大都装备强化区）#cC8B88E处使用，可以提升装备属性。#r #r#g副本藏宝洞、轮回台#cC8B88E产出，#g金币商店（快捷键J）#O装备打造区#N装备升星类#cC8B88E也在出售，同时普通的怪物也有概率掉落。#r #r可用来#O升级40-59级的装备#cC8B88E基础属性。	40	-1	-1	99	10000	10	5	250	-1	-1	-1	-1	-1	4	0	-1	0	0	打星道具	掉落矿石2.lmodel	cj_yingguang_huang	0	ffffff	-1	2	-1	0	-1	-1	-1	1
11000202	11	0	202	CJSH_item_baoshi_4_1	神传水晶	神传水晶通常被包含在极少见的玄铁中。#r #r在王城#S装备升星大师（王城装备强化区）#cC8B88E或大都#S装备升星大师（大都装备强化区）#cC8B88E处使用，可以提升装备属性。#r #r#g副本藏宝洞、轮回台#cC8B88E产出，#g金币商店（快捷键J）#O装备打造区#N装备升星类#cC8B88E也在出售，同时普通的怪物也有概率掉落。#r #r可用来#O升级60-79级的装备#cC8B88E基础属性。	60	-1	-1	99	20000	10	5	250	-1	-1	-1	-1	-1	4	0	-1	0	0	打星道具	掉落矿石3.lmodel	cj_yingguang_huang	0	ffffff	-1	3	-1	0	-1	-1	-1	1
11000203	11	0	203	CJSH_item_baoshi_1_1	天传水晶	天传水晶通常被包含在极少见的玄铁中。#r #r在王城#S装备升星大师（王城装备强化区）#cC8B88E或大都#S装备升星大师（大都装备强化区）#cC8B88E处使用，可以提升装备属性。#r #r#g副本藏宝洞、轮回台、祝家庄#cC8B88E产出，#g金币商店（快捷键J）#O装备打造区#N装备升星类#cC8B88E也在出售，同时普通的怪物也有概率掉落。#r #r可用来#O升级80级以上的装备#cC8B88E基础属性。	80	-1	-1	99	20000	10	5	250	-1	-1	-1	-1	-1	4	0	-1	0	0	打星道具	掉落矿石3.lmodel	cj_yingguang_huang	0	ffffff	-1	4	-1	0	-1	-1	-1	1
11000204	11	0	204	CJSH_item_common_2_14	冥传水晶	冥传水晶通常被包含在极少见的玄铁中。#r #r在王城#S装备升星大师（王城装备强化区）#cC8B88E或大都#S装备升星大师（大都装备强化区）#cC8B88E处使用，可以提升装备属性。#r #r#g副本藏宝洞、轮回台、祝家庄#cC8B88E产出，#g金币商店（快捷键J）#O装备打造区#N装备升星类#cC8B88E也在出售，同时普通的怪物也有概率掉落。#r #r可用来#O升级80级以上的装备#cC8B88E基础属性。	100	50	90	99	20000	10	5	250	-1	-1	-1	-1	-1	4	0	-1	0	0	打星道具	掉落矿石3.lmodel	cj_yingguang_huang	0	ffffff	-1	5	-1	0	-1	-1	-1	1
11000210	11	0	210	CJSH_item_baoshi_9_4	世传海蓝钻石	闪闪发光的钻石，人见人爱的宝贝。#r #r在王城#S装备升星大师（王城装备强化区）#cC8B88E或大都#S装备升星大师（大都装备强化区）#cC8B88E处使用，可以提升装备属性。#r #r#g金币商城（快捷键J）#OVIP专属区#N一星麒麟类#cC8B88E出售，购买后绑定。#r #r此物可用来#O升级1-39级装备中的主武器、副武器，打星失败后装备星级不会下降#cC8B88E。	1	-1	-1	99	10000	10	27	20	-1	-1	-1	-1	-1	4	0	-1	0	0	打星道具	掉落矿石1.lmodel	cj_yingguang_huang	0	ffffff	-1	1	-1	0	-1	-1	-1	1
11000211	11	0	211	CJSH_item_baoshi_7_4	世传水火钻石	闪闪发光的钻石，人见人爱的宝贝。#r #r在王城#S装备升星大师（王城装备强化区）#cC8B88E或大都#S装备升星大师（大都装备强化区）#cC8B88E处使用，可以提升装备属性。#r #r#g金币商城（快捷键J）#OVIP专属区#N三星麒麟类#cC8B88E出售。#r #r此物可用来#O升级1-39级装备中的项链、戒指，打星失败后装备星级不会下降#cC8B88E。	1	-1	-1	99	10000	10	27	20	-1	-1	-1	-1	-1	4	0	-1	0	0	打星道具	掉落矿石2.lmodel	cj_yingguang_huang	0	ffffff	-1	2	-1	0	-1	-1	-1	1
11000212	11	0	212	CJSH_item_baoshi_8_4	世传晕光钻石	闪闪发光的钻石，人见人爱的宝贝。#r #r在王城#S装备升星大师（王城装备强化区）#cC8B88E或大都#S装备升星大师（大都装备强化区）#cC8B88E处使用，可以提升装备属性。#r #r#g金币商城（快捷键J）#OVIP专属区#N二星麒麟类#cC8B88E出售，购买后绑定。#r #r此物可用来#O升级1-39级装备中的衣服、帽子、披风和腰带，打星失败后装备星级不会下降#cC8B88E。	1	-1	-1	99	10000	10	27	20	-1	-1	-1	-1	-1	4	0	-1	0	0	打星道具	掉落矿石3.lmodel	cj_yingguang_huang	0	ffffff	-1	3	-1	0	-1	-1	-1	1
11000213	11	0	213	CJSH_item_baoshi_10_4	世传炫彩钻石	闪闪发光的钻石，人见人爱的宝贝。#r #r在王城#S装备升星大师（王城装备强化区）#cC8B88E或大都#S装备升星大师（大都装备强化区）#cC8B88E处使用，可以提升装备属性。#r #r#g金币商城（快捷键J）#OVIP专属区#N三星麒麟类#cC8B88E出售。#r #r此物可用来#O升级1-39级装备中的护手、靴子和手镯，打星失败后装备星级不会下降#cC8B88E。	1	-1	-1	99	10000	10	27	20	-1	-1	-1	-1	-1	4	0	-1	0	0	打星道具	掉落矿石3.lmodel	cj_yingguang_huang	0	ffffff	-1	4	-1	0	-1	-1	-1	1
11000214	11	0	214	CJSH_item_baoshi_9_4	国传海蓝钻石	传说只有地壳运动时才会有少量的这种国传钻石随之而出，因其数量稀少而被传之为国宝。可用来升级40-59级的装备。使用该道具给装备打星，失败后装备星级不会下降。适用装备：主武器、副武器、徽章	1	-1	-1	99	10000	10	5	20	-1	-1	-1	-1	-1	4	0	-1	0	0	打星道具	掉落矿石2.lmodel	cj_yingguang_huang	0	ffffff	-1	2	-1	0	-1	-1	-1	1
11000215	11	0	215	CJSH_item_baoshi_7_4	国传水火钻石	传说只有地壳运动时才会有少量的这种国传钻石随之而出，因其数量稀少而被传之为国宝。可用来升级40-59级的装备。使用该道具给装备打星，失败后装备星级不会下降。适用装备：项链、戒指	1	-1	-1	99	10000	10	5	20	-1	-1	-1	-1	-1	4	0	-1	0	0	打星道具	掉落矿石2.lmodel	cj_yingguang_huang	0	ffffff	-1	2	-1	0	-1	-1	-1	1
11000216	11	0	216	CJSH_item_baoshi_8_4	国传晕光钻石	传说只有地壳运动时才会有少量的这种国传钻石随之而出，因其数量稀少而被传之为国宝。可用来升级40-59级的装备。使用该道具给装备打星，失败后装备星级不会下降。适用装备：衣服、帽子、披风、腰带	1	-1	-1	99	10000	10	5	20	-1	-1	-1	-1	-1	4	0	-1	0	0	打星道具	掉落矿石2.lmodel	cj_yingguang_huang	0	ffffff	-1	2	-1	0	-1	-1	-1	1
11000217	11	0	217	CJSH_item_baoshi_10_4	国传炫彩钻石	传说只有地壳运动时才会有少量的这种国传钻石随之而出，因其数量稀少而被传之为国宝。可用来升级40-59级的装备。使用该道具给装备打星，失败后装备星级不会下降。适用装备：护手、靴子、手镯	1	-1	-1	99	10000	10	5	20	-1	-1	-1	-1	-1	4	0	-1	0	0	打星道具	掉落矿石2.lmodel	cj_yingguang_huang	0	ffffff	-1	2	-1	0	-1	-1	-1	1
11000218	11	0	218	CJSH_item_baoshi_9_1	海蓝钻石	珍贵无比的海蓝钻石。#r #r在王城#S装备升星大师（王城装备强化区）#cC8B88E或大都#S装备升星大师（大都装备强化区）#cC8B88E处使用，可以提升装备属性。#r #r大都#S[钻石金刚兑换]上官石（大都兑换商店区）#cC8B88E处兑换。#r #r此物可用来升级#O不低于60级的装备中的主武器、副武器、徽章，打星失败后装备星级不会下降#cC8B88E。	60	-1	-1	99	20000	10	27	20	-1	-1	-1	-1	-1	4	0	-1	0	0	打星道具	掉落矿石3.lmodel	cj_yingguang_huang	0	ffffff	-1	3	-1	0	-1	-1	-1	1
11000219	11	0	219	CJSH_item_baoshi_7_1	水火钻石	珍贵无比的水火钻石。#r #r在王城#S装备升星大师（王城装备强化区）#cC8B88E或大都#S装备升星大师（大都装备强化区）#cC8B88E处使用，可以提升装备属性。#r #r大都#S[钻石金刚兑换]上官石（大都兑换商店区）#cC8B88E处兑换。#r #r此物可用来升级#O不低于60级的装备中的项链、戒指，打星失败后装备星级不会下降#cC8B88E。	60	-1	-1	99	20000	10	27	20	-1	-1	-1	-1	-1	4	0	-1	0	0	打星道具	掉落矿石3.lmodel	cj_yingguang_huang	0	ffffff	-1	3	-1	0	-1	-1	-1	1
11000220	11	0	220	CJSH_item_baoshi_8_1	晕光钻石	珍贵无比的晕光钻石。#r #r在王城#S装备升星大师（王城装备强化区）#cC8B88E或大都#S装备升星大师（大都装备强化区）#cC8B88E处使用，可以提升装备属性。#r #r大都#S[钻石金刚兑换]上官石（大都兑换商店区）#cC8B88E处兑换。#r #r此物可用来升级#O不低于60级的装备中的衣服、帽子、披风、腰带，打星失败后装备星级不会下降#cC8B88E。	60	-1	-1	99	20000	10	27	20	-1	-1	-1	-1	-1	4	0	-1	0	0	打星道具	掉落矿石3.lmodel	cj_yingguang_huang	0	ffffff	-1	3	-1	0	-1	-1	-1	1
11000221	11	0	221	CJSH_item_baoshi_10_1	炫彩钻石	珍贵无比的炫彩钻石。#r #r在王城#S装备升星大师（王城装备强化区）#cC8B88E或大都#S装备升星大师（大都装备强化区）#cC8B88E处使用，可以提升装备属性。#r #r大都#S[钻石金刚兑换]上官石（大都兑换商店区）#cC8B88E处兑换。#r #r此物可用来升级#O不低于60级的装备中的护手、靴子、手镯，打星失败后装备星级不会下降#cC8B88E。	60	-1	-1	99	20000	10	27	20	-1	-1	-1	-1	-1	4	0	-1	0	0	打星道具	掉落矿石3.lmodel	cj_yingguang_huang	0	ffffff	-1	3	-1	0	-1	-1	-1	1
11000222	11	0	222	CJSH_item_baoshi_9_1	天传海蓝钻石	世所罕见的天传海蓝钻石，可以用来给不低于80级的装备升级10-12星。使用天传钻石给装备升星，失败后装备星级不会下降。适用装备：主武器、副武器、徽章	1	-1	-1	99	20000	10	5	20	-1	-1	-1	-1	-1	4	0	-1	0	0	打星道具	掉落矿石3.lmodel	cj_yingguang_huang	0	ffffff	-1	3	-1	0	-1	-1	-1	1
11000223	11	0	223	CJSH_item_baoshi_7_1	天传水火钻石	世所罕见的天传水火钻石，可以用来给不低于80级的装备升级10-12星。使用天传钻石给装备升星，失败后装备星级不会下降。适用装备：项链、戒指	1	-1	-1	99	20000	10	5	20	-1	-1	-1	-1	-1	4	0	-1	0	0	打星道具	掉落矿石3.lmodel	cj_yingguang_huang	0	ffffff	-1	3	-1	0	-1	-1	-1	1
11000224	11	0	224	CJSH_item_baoshi_8_1	天传晕光钻石	世所罕见的天传晕光钻石，可以用来给不低于80级的装备升级10-12星。使用天传钻石给装备升星，失败后装备星级不会下降。适用装备：衣服、帽子、披风、腰带	1	-1	-1	99	20000	10	5	20	-1	-1	-1	-1	-1	4	0	-1	0	0	打星道具	掉落矿石3.lmodel	cj_yingguang_huang	0	ffffff	-1	3	-1	0	-1	-1	-1	1
11000225	11	0	225	CJSH_item_baoshi_10_1	天传炫彩钻石	世所罕见的天传炫彩钻石，可以用来给不低于80级的装备升级10-12星。使用天传钻石给装备升星，失败后装备星级不会下降。适用装备：护手、靴子、手镯	1	-1	-1	99	20000	10	5	20	-1	-1	-1	-1	-1	4	0	-1	0	0	打星道具	掉落矿石3.lmodel	cj_yingguang_huang	0	ffffff	-1	3	-1	0	-1	-1	-1	1
