INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	STRING	INT	INT	INT	STRING
33	18	4	大都-[40级]太行山	144	38	105	1	1	x:0.1 y:0.8	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	0	126.8	173	大都驿卒
34	11	0	大都-[40级]大都·中心城	126.8	173	106	1	1	x:0.5 y:0.5	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	37	128.5	123	大都-[40级]大都·东
35	16	0	大都-[40级]大都·崇天门	127	81	106	1	1	x:0.5 y:0.3	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	37	128.5	123	大都-[40级]大都·东
36	14	0	大都-[40级]大都·大相国寺	43	92	106	1	1	x:0.4 y:0.4	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	37	128.5	123	大都-[40级]大都·东
37	19	0	大都-[40级]大都·赵王府	210	76	106	1	1	x:0.6 y:0.4	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	37	128.5	123	大都-[40级]大都·东
38	15	38	大都-[40级]大都·西	157	135	106	1	1	x:0.2 y:0.5	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	37	128.5	123	大都-[40级]大都·东
39	12	37	大都-[40级]大都·东	128.5	123	106	1	1	x:0.8 y:0.5	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	37	128.5	123	大都-[40级]大都·东
40	13	36	大都-[40级]大都·南	128	98	106	1	1	x:0.5 y:0.8	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	37	128.5	123	大都-[40级]大都·东
41	17	2	大都-[40级]泰山	168	145	106	1	1	x:0.9 y:0.9	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	37	128.5	123	大都-[40级]大都·东
42	18	4	大都-[40级]太行山	144	38	106	1	1	x:0.1 y:0.8	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	37	128.5	123	大都-[40级]大都·东
43	11	0	大都-[40级]大都·中心城	126.8	173	107	1	1	x:0.5 y:0.5	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	36	128	98	大都-[40级]大都·南
44	16	0	大都-[40级]大都·崇天门	127	81	107	1	1	x:0.5 y:0.3	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	36	128	98	大都-[41级]大都·南
45	14	0	大都-[40级]大都·大相国寺	43	92	107	1	1	x:0.4 y:0.4	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	36	128	98	大都-[40级]大都·南
46	19	0	大都-[40级]大都·赵王府	210	76	107	1	1	x:0.6 y:0.4	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	36	128	98	大都-[40级]大都·南
47	15	38	大都-[40级]大都·西	157	135	107	1	1	x:0.2 y:0.5	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	36	128	98	大都-[40级]大都·南
48	12	37	大都-[40级]大都·东	128.5	123	107	1	1	x:0.8 y:0.5	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	36	128	98	大都-[40级]大都·南
49	13	36	大都-[40级]大都·南	128	98	107	1	1	x:0.5 y:0.8	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	36	128	98	大都-[40级]大都·南
50	17	2	大都-[40级]泰山	168	145	107	1	1	x:0.9 y:0.9	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	36	128	98	大都-[40级]大都·南
51	18	4	大都-[40级]太行山	144	38	107	1	1	x:0.1 y:0.8	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	36	128	98	大都-[40级]大都·南
52	20	50	王国-[10级]王城中心广场	127.95	118	122	1	1	x:0.2 y:0.1	0	-1	1520	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	50	127.95	118	王城-中心广场
53	21	98	王国草原-[10级]罕难河	141	56	122	1	1	x:0.5 y:0.3	0	-1	1514	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	50	127.95	118	王城-中心广场
54	22	99	王国草原-[15级]乞颜部	97	150	122	1	1	x:0.5 y:0.5	0	-1	1515	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	50	127.95	118	王城-中心广场
55	23	100	王国草原-[20级]塔塔尔	200	200	122	1	1	x:0.7 y:0.5	0	-1	1516	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	50	127.95	118	王城-中心广场
56	25	101	王国草原-[25级]克烈部	181	173	122	1	1	x:0.5 y:0.8	0	-1	1518	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	50	127.95	118	王城-中心广场
57	24	102	王国草原-[30级]乃蛮部	80	131	122	1	1	x:0.3 y:0.5	0	-1	1517	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	50	127.95	118	王城-中心广场
58	26	103	王国草原-[35级]居庸关外	133	127	122	1	1	x:0.3 y:0.9	0	-1	1519	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_10	50	127.95	118	王城-中心广场
59	20	50	王国-[10级]王城中心广场	127.95	118	123	1	1	x:0.2 y:0.1	0	-1	1520	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	98	141	56	蒙古罕难河
60	21	98	王国草原-[10级]罕难河	141	56	123	1	1	x:0.5 y:0.3	0	-1	1514	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	98	141	56	蒙古罕难河
61	22	99	王国草原-[15级]乞颜部	97	150	123	1	1	x:0.5 y:0.5	0	-1	1515	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	98	141	56	蒙古罕难河
62	23	100	王国草原-[20级]塔塔尔	200	200	123	1	1	x:0.7 y:0.5	0	-1	1516	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_10	98	141	56	蒙古罕难河
63	25	101	王国草原-[25级]克烈部	181	173	123	1	1	x:0.5 y:0.8	0	-1	1518	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_12	98	141	56	蒙古罕难河
64	24	102	王国草原-[30级]乃蛮部	80	131	123	1	1	x:0.3 y:0.5	0	-1	1517	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_11	98	141	56	蒙古罕难河
65	26	103	王国草原-[35级]居庸关外	133	127	123	1	1	x:0.3 y:0.9	0	-1	1519	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_12	98	141	56	蒙古罕难河
66	20	50	王国-[10级]王城中心广场	127.95	118	124	1	1	x:0.2 y:0.1	0	-1	1520	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	99	97	150	蒙古乞颜部
67	21	98	王国草原-[10级]罕难河	141	56	124	1	1	x:0.5 y:0.3	0	-1	1514	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	99	97	150	蒙古乞颜部
68	22	99	王国草原-[15级]乞颜部	97	150	124	1	1	x:0.5 y:0.5	0	-1	1515	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	99	97	150	蒙古乞颜部
69	23	100	王国草原-[20级]塔塔尔	200	200	124	1	1	x:0.7 y:0.5	0	-1	1516	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_10	99	97	150	蒙古乞颜部
70	25	101	王国草原-[25级]克烈部	181	173	124	1	1	x:0.5 y:0.8	0	-1	1518	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_12	99	97	150	蒙古乞颜部
71	24	102	王国草原-[30级]乃蛮部	80	131	124	1	1	x:0.3 y:0.5	0	-1	1517	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_11	99	97	150	蒙古乞颜部
72	26	103	王国草原-[35级]居庸关外	133	127	124	1	1	x:0.3 y:0.9	0	-1	1519	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_12	99	97	150	蒙古乞颜部
73	31	15	大都-[40级]威海怒威号	177.399994	135.300003	125	1	1	x:0.2 y:0.5	0	-1	1506	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	15	177.399994	135.300003	威海怒威号
74	32	26	领地-[110级]对马岛	100	100	125	1	999	x:0.6 y:0.4	2300	-1	1506	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	15	177.399994	135.300003	威海怒威号
75	33	33	领地-[130级]婆罗洲	100	100	125	1	999	x:0.5 y:0.8	2900	-1	1506	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	15	177.399994	135.300003	威海怒威号
76	31	15	大都-[40级]威海怒威号	177.399994	135.300003	126	1	1	x:0.2 y:0.5	0	-1	1506	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	32	100	100	对马岛
77	32	26	领地-[110级]对马岛	100	100	126	1	1	x:0.5 y:0.8	0	-1	1506	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	32	100	100	对马岛
78	31	15	大都-[40级]威海怒威号	177.399994	135.300003	127	1	1	x:0.2 y:0.8	0	-1	1506	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	33	100	100	婆罗洲
79	33	33	领地-[130级]婆罗洲	100	100	127	1	1	x:0.9 y:0.6	0	-1	1506	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	33	100	100	婆罗洲
80	41	50	王国-[10级]王城中心广场	127.95	118	128	1	1	x:0.2 y:0.5	0	-1	1520	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	50	127.95	118	王城-中心广场
81	42	0	大都-[40级]大都·中心城	126.8	173	128	1	1	x:0.7 y:0.5	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	50	127.95	118	王城-中心广场
82	41	50	王国-[10级]王城中心广场	127.95	118	129	1	1	x:0.2 y:0.5	0	-1	1520	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	0	126.8	173	大都驿卒
83	42	0	大都-[40级]大都·中心城	126.8	173	129	1	1	x:0.7 y:0.5	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	0	126.8	173	大都驿卒
84	11	0	大都-[40级]大都·中心城	126.8	173	130	1	1	x:0.5 y:0.5	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	38	157	135	大都-[40级]大都·西
85	16	0	大都-[40级]大都·崇天门	127	81	130	1	1	x:0.5 y:0.3	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	38	157	135	大都-[40级]大都·西
86	14	0	大都-[40级]大都·大相国寺	43	92	130	1	1	x:0.4 y:0.4	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	38	157	135	大都-[40级]大都·西
87	19	0	大都-[40级]大都·赵王府	210	76	130	1	1	x:0.6 y:0.4	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	38	157	135	大都-[40级]大都·西
88	15	38	大都-[40级]大都·西	157	135	130	1	1	x:0.2 y:0.5	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	38	157	135	大都-[40级]大都·西
89	12	37	大都-[40级]大都·东	128.5	123	130	1	1	x:0.8 y:0.5	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	38	157	135	大都-[40级]大都·西
90	13	36	大都-[40级]大都·南	128	98	130	1	1	x:0.5 y:0.8	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	38	157	135	大都-[40级]大都·西
91	17	2	大都-[40级]泰山	168	145	130	1	1	x:0.9 y:0.9	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	38	157	135	大都-[40级]大都·西
92	18	4	大都-[40级]太行山	144	38	130	1	1	x:0.1 y:0.8	0	-1	1522	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	38	157	135	大都-[40级]大都·西
93	20	50	王国-[10级]王城中心广场	127.95	118	131	1	1	x:0.2 y:0.1	0	-1	1520	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	100	200	200	王国草原-塔塔尔
94	21	98	王国草原-[10级]罕难河	141	56	131	1	1	x:0.5 y:0.3	0	-1	1514	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	100	200	200	王国草原-塔塔尔
95	22	99	王国草原-[15级]乞颜部	97	150	131	1	1	x:0.5 y:0.5	0	-1	1515	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	100	200	200	王国草原-塔塔尔
96	23	100	王国草原-[20级]塔塔尔	200	200	131	1	1	x:0.7 y:0.5	0	-1	1516	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_10	100	200	200	王国草原-塔塔尔
97	24	102	王国草原-[30级]乃蛮部	80	131	131	1	1	x:0.5 y:0.8	0	-1	1517	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_11	100	200	200	王国草原-塔塔尔
98	25	101	王国草原-[25级]克烈部	181	173	131	1	1	x:0.3 y:0.5	0	-1	1518	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_12	100	200	200	王国草原-塔塔尔
99	26	103	王国草原-[35级]居庸关外	133	127	131	1	1	x:0.3 y:0.9	0	-1	1519	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_13	100	200	200	王国草原-塔塔尔
100	20	50	王国-[10级]王城中心广场	127.95	118	132	1	1	x:0.2 y:0.1	0	-1	1520	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	102	80	131	王国草原-乃蛮部
101	21	98	王国草原-[10级]罕难河	141	56	132	1	1	x:0.5 y:0.3	0	-1	1514	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	102	80	131	王国草原-乃蛮部
102	22	99	王国草原-[15级]乞颜部	97	150	132	1	1	x:0.5 y:0.5	0	-1	1515	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	102	80	131	王国草原-乃蛮部
103	23	100	王国草原-[20级]塔塔尔	200	200	132	1	1	x:0.7 y:0.5	0	-1	1516	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_10	102	80	131	王国草原-乃蛮部
104	25	101	王国草原-[25级]克烈部	181	173	132	1	1	x:0.5 y:0.8	0	-1	1518	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_12	102	80	131	王国草原-乃蛮部
105	24	102	王国草原-[30级]乃蛮部	80	131	132	1	1	x:0.3 y:0.5	0	-1	1517	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_11	102	80	131	王国草原-乃蛮部
106	26	103	王国草原-[35级]居庸关外	133	127	132	1	1	x:0.3 y:0.9	0	-1	1519	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_12	102	80	131	王国草原-乃蛮部
107	20	50	王国-[10级]王城中心广场	127.95	118	133	1	1	x:0.2 y:0.1	0	-1	1520	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	101	181	173	王国草原-克列部
108	21	98	王国草原-[10级]罕难河	141	56	133	1	1	x:0.5 y:0.3	0	-1	1514	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	101	181	173	王国草原-克列部
109	22	99	王国草原-[15级]乞颜部	97	150	133	1	1	x:0.5 y:0.5	0	-1	1515	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	101	181	173	王国草原-克列部
110	23	100	王国草原-[20级]塔塔尔	200	200	133	1	1	x:0.7 y:0.5	0	-1	1516	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_10	101	181	173	王国草原-克列部
111	25	101	王国草原-[25级]克烈部	181	173	133	1	1	x:0.5 y:0.8	0	-1	1518	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_12	101	181	173	王国草原-克列部
112	24	102	王国草原-[30级]乃蛮部	80	131	133	1	1	x:0.3 y:0.5	0	-1	1517	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_11	101	181	173	王国草原-克列部
113	26	103	王国草原-[35级]居庸关外	133	127	133	1	1	x:0.3 y:0.9	0	-1	1519	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_11	101	181	173	王国草原-克列部
114	20	50	王国-[10级]王城中心广场	127.95	118	134	1	1	x:0.2 y:0.1	0	-1	1520	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	103	133	127	居庸关外
115	21	98	王国草原-[10级]罕难河	141	56	134	1	1	x:0.5 y:0.3	0	-1	1514	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	103	133	127	居庸关外
116	22	99	王国草原-[15级]乞颜部	97	150	134	1	1	x:0.5 y:0.5	0	-1	1515	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	103	133	127	居庸关外
117	23	100	王国草原-[20级]塔塔尔	200	200	134	1	1	x:0.7 y:0.5	0	-1	1516	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_10	103	133	127	居庸关外
118	25	101	王国草原-[25级]克烈部	181	173	134	1	1	x:0.5 y:0.8	0	-1	1518	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_12	103	133	127	居庸关外
119	24	102	王国草原-[30级]乃蛮部	80	131	134	1	1	x:0.3 y:0.5	0	-1	1517	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_11	103	133	127	居庸关外
120	26	103	王国草原-[35级]居庸关外	133	127	134	1	1	x:0.3 y:0.9	0	-1	1519	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_11	103	133	127	居庸关外
121	41	50	王国-[10级]王城中心广场	127.95	118	135	1	1	x:0.5 y:0.3	0	-1	1520	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	50	127.95	118	王城-中心广场
122	43	51	边塞-[20级]边塞	126.599998	64	135	1	1	x:0.5 y:0.7	0	-1	1502	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_10	50	127.95	118	王城-中心广场
123	41	50	王国-[10级]王城中心广场	127.95	118	136	1	1	x:0.5 y:0.3	0	-1	1520	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	51	126.599998	64	玉门关
124	43	51	边塞-[20级]边塞	126.599998	64	136	1	1	x:0.5 y:0.7	0	-1	1502	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_10	51	126.599998	64	玉门关
