INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT
12052354	四级无双	4	-1	1	12603	100	0	0	0
12052355	五级无双	4	-1	1	12604	100	80	0	0
12052356	六级无双	4	-1	1	12605	100	80	0	0
12052361	一级无畏	4	-1	1	12610	100	0	0	0
12052362	二级无畏	4	-1	1	12611	100	80	0	0
12052363	三级无畏	4	-1	1	12612	100	90	0	0
12052364	四级无畏	4	-1	1	12613	100	0	0	0
12052365	五级无畏	4	-1	1	12614	100	80	0	0
12052366	六级无畏	4	-1	1	12615	100	80	0	0
12052371	一级勇猛	4	-1	1	12620	100	0	0	0
12052372	二级勇猛	4	-1	1	12621	100	80	0	0
12052373	三级勇猛	4	-1	1	12622	100	90	0	0
12052374	四级勇猛	4	-1	1	12623	100	0	0	0
12052375	五级勇猛	4	-1	1	12624	100	80	0	0
12052376	六级勇猛	4	-1	1	12625	100	80	0	0
12052381	一级致命	4	-1	1	12630	100	0	0	0
12052382	二级致命	4	-1	1	12631	100	80	0	0
12052383	三级致命	4	-1	1	12632	100	90	0	0
12052384	四级致命	4	-1	1	12633	100	0	0	0
12052385	五级致命	4	-1	1	12634	100	80	0	0
12052386	六级致命	4	-1	1	12635	100	80	0	0
12052391	一级幻法	4	-1	1	12640	100	0	0	0
12052392	二级幻法	4	-1	1	12641	100	80	0	0
12052393	三级幻法	4	-1	1	12642	100	90	0	0
12052394	四级幻法	4	-1	1	12643	100	0	0	0
12052395	五级幻法	4	-1	1	12644	100	80	0	0
12052396	六级幻法	4	-1	1	12645	100	80	0	0
12052401	一级强攻	3	-1	1	11170	100	0	0	0
12052402	二级强攻	3	-1	1	11171	100	0	0	0
12052403	三级强攻	3	-1	1	11172	100	0	0	0
12052404	四级强攻	3	-1	1	11173	100	0	0	0
12052405	五级强攻	3	-1	1	11174	100	80	0	0
12052406	六级强攻	3	-1	1	11175	100	80	0	0
12052411	一级瞄准	3	-1	1	11180	100	0	0	0
12052412	二级瞄准	3	-1	1	11181	100	0	0	0
12052413	三级瞄准	3	-1	1	11182	100	0	0	0
12052414	四级瞄准	3	-1	1	11183	100	0	0	0
12052415	五级瞄准	3	-1	1	11184	100	80	0	0
12052416	六级瞄准	3	-1	1	11185	100	80	0	0
12052421	一级施法	3	-1	1	11190	100	0	0	0
12052422	二级施法	3	-1	1	11191	100	0	0	0
12052423	三级施法	3	-1	1	11192	100	0	0	0
12052424	四级施法	3	-1	1	11193	100	0	0	0
12052425	五级施法	3	-1	1	11194	100	80	0	0
12052426	六级施法	3	-1	1	11195	100	80	0	0
12052431	一级强韧	3	-1	1	11130	100	0	0	0
12052432	二级强韧	3	-1	1	11131	100	0	0	0
12052433	三级强韧	3	-1	1	11132	100	0	0	0
12052434	四级强韧	3	-1	1	11133	100	0	0	0
12052435	五级强韧	3	-1	1	11134	100	80	0	0
12052436	六级强韧	3	-1	1	11135	100	80	0	0
12052441	一级杀伤	3	-1	1	11140	100	0	0	0
12052442	二级杀伤	3	-1	1	11141	100	0	0	0
12052443	三级杀伤	3	-1	1	11142	100	0	0	0
12052444	四级杀伤	3	-1	1	11143	100	0	0	0
12052445	五级杀伤	3	-1	1	11144	100	80	0	0
12052446	六级杀伤	3	-1	1	11145	100	80	0	0
12052451	一级悟性	3	-1	1	11150	100	0	0	0
12052452	二级悟性	3	-1	1	11151	100	0	0	0
12052453	三级悟性	3	-1	1	11152	100	0	0	0
12052454	四级悟性	3	-1	1	11153	100	0	0	0
12052455	五级悟性	3	-1	1	11154	100	80	0	0
12052456	六级悟性	3	-1	1	11155	100	80	0	0
12052461	一级活力	3	-1	1	11160	100	0	0	0
12052462	二级活力	3	-1	1	11161	100	0	0	0
12052463	三级活力	3	-1	1	11162	100	0	0	0
12052464	四级活力	3	-1	1	11163	100	0	0	0
12052465	五级活力	3	-1	1	11164	100	80	0	0
12052466	六级活力	3	-1	1	11165	100	80	0	0
12052471	一级狂攻	3	-1	1	11730	100	0	0	0
12052472	二级狂攻	3	-1	1	11731	100	0	0	0
12052473	三级狂攻	3	-1	1	11732	100	0	0	0
12052474	四级狂攻	3	-1	1	11733	100	0	0	0
12052475	五级狂攻	3	-1	1	11734	100	80	0	0
12052476	六级狂攻	3	-1	1	11735	100	80	0	0
12052481	一级精确	3	-1	1	11750	100	0	0	0
12052482	二级精确	3	-1	1	11751	100	0	0	0
12052483	三级精确	3	-1	1	11752	100	0	0	0
12052484	四级精确	3	-1	1	11753	100	0	0	0
12052485	五级精确	3	-1	1	11754	100	80	0	0
12052486	六级精确	3	-1	1	11755	100	80	0	0
12052491	一级精研	3	-1	1	11770	100	0	0	0
12052492	二级精研	3	-1	1	11771	100	0	0	0
12052493	三级精研	3	-1	1	11772	100	0	0	0
12052494	四级精研	3	-1	1	11773	100	0	0	0
12052495	五级精研	3	-1	1	11774	100	80	0	0
12052496	六级精研	3	-1	1	11775	100	80	0	0
12052501	一级狂暴	3	-1	1	11790	100	0	0	0
12052502	二级狂暴	3	-1	1	11791	100	0	0	0
12052503	三级狂暴	3	-1	1	11792	100	0	0	0
12052504	四级狂暴	3	-1	1	11793	100	0	0	0
12052505	五级狂暴	3	-1	1	11794	100	80	0	0
12052506	六级狂暴	3	-1	1	11795	100	80	0	0
12052511	一级免伤	3	-1	1	11651	100	0	0	0
12052512	二级免伤	3	-1	1	11652	100	0	0	0
12052513	三级免伤	3	-1	1	11653	100	0	0	0
12052514	四级免伤	3	-1	1	11654	100	0	0	0
12052515	五级免伤	3	-1	1	11655	100	80	0	0
12052516	六级免伤	3	-1	1	11656	100	80	0	0
12052521	一级灵巧	3	-1	1	11671	100	0	0	0
12052522	二级灵巧	3	-1	1	11672	100	0	0	0
12052523	三级灵巧	3	-1	1	11673	100	0	0	0
12052524	四级灵巧	3	-1	1	11674	100	0	0	0
12052525	五级灵巧	3	-1	1	11675	100	80	0	0
12052526	六级灵巧	3	-1	1	11676	100	80	0	0
12052531	一级热血	3	-1	1	11470	100	0	0	0
12052532	二级热血	3	-1	1	11471	100	0	0	0
12052533	三级热血	3	-1	1	11472	100	0	0	0
12052534	四级热血	3	-1	1	11473	100	0	0	0
12052535	五级热血	3	-1	1	11474	100	80	0	0
12052536	六级热血	3	-1	1	11475	100	80	0	0
12052541	一级淬毒	3	-1	1	11490	100	0	0	0
12052542	二级淬毒	3	-1	1	11491	100	0	0	0
12052543	三级淬毒	3	-1	1	11492	100	0	0	0
12052544	四级淬毒	3	-1	1	11493	100	0	0	0
12052545	五级淬毒	3	-1	1	11494	100	80	0	0
12052546	六级淬毒	3	-1	1	11495	100	80	0	0
12052551	一级伤筋	3	-1	1	11510	100	0	0	0
12052552	二级伤筋	3	-1	1	11511	100	0	0	0
12052553	三级伤筋	3	-1	1	11512	100	0	0	0
12052554	四级伤筋	3	-1	1	11513	100	0	0	0
12052555	五级伤筋	3	-1	1	11514	100	80	0	0
12052556	六级伤筋	3	-1	1	11515	100	80	0	0
12052561	一级击晕	3	-1	1	11530	100	0	0	0
12052562	二级击晕	3	-1	1	11531	100	0	0	0
12052563	三级击晕	3	-1	1	11532	100	0	0	0
12052564	四级击晕	3	-1	1	11533	100	0	0	0
12052565	五级击晕	3	-1	1	11534	100	80	0	0
12052566	六级击晕	3	-1	1	11535	100	80	0	0
12052571	一级狂吼	3	-1	1	11550	100	0	0	0
12052572	二级狂吼	3	-1	1	11551	100	0	0	0
12052573	三级狂吼	3	-1	1	11552	100	0	0	0
12052574	四级狂吼	3	-1	1	11553	100	0	0	0
12052575	五级狂吼	3	-1	1	11554	100	80	0	0
12052576	六级狂吼	3	-1	1	11555	100	80	0	0
12052581	一级沉寂	3	-1	1	11570	100	0	0	0
12052582	二级沉寂	3	-1	1	11571	100	0	0	0
12052583	三级沉寂	3	-1	1	11572	100	0	0	0
12052584	四级沉寂	3	-1	1	11573	100	0	0	0
12052585	五级沉寂	3	-1	1	11574	100	80	0	0
12052586	六级沉寂	3	-1	1	11575	100	80	0	0
12052591	一级定身	3	-1	1	11590	100	0	0	0
12052592	二级定身	3	-1	1	11591	100	0	0	0
12052593	三级定身	3	-1	1	11592	100	0	0	0
12052594	四级定身	3	-1	1	11593	100	0	0	0
12052595	五级定身	3	-1	1	11594	100	80	0	0
12052596	六级定身	3	-1	1	11595	100	80	0	0
12052601	一级裂甲	3	-1	1	12660	100	0	0	0
12052602	二级裂甲	3	-1	1	12661	100	0	0	0
12052603	三级裂甲	3	-1	1	12662	100	0	0	0
12052604	四级裂甲	3	-1	1	12663	100	0	0	0
12052605	五级裂甲	3	-1	1	12664	100	80	0	0
12052606	六级裂甲	3	-1	1	12665	100	80	0	0
12052611	一级盲目	3	-1	1	12680	100	0	0	0
12052612	二级盲目	3	-1	1	12681	100	0	0	0
12052613	三级盲目	3	-1	1	12682	100	0	0	0
12052614	四级盲目	3	-1	1	12683	100	0	0	0
12052615	五级盲目	3	-1	1	12684	100	80	0	0
12052616	六级盲目	3	-1	1	12685	100	80	0	0
12052621	一级破兵	3	-1	1	12700	100	0	0	0
12052622	二级破兵	3	-1	1	12701	100	0	0	0
12052623	三级破兵	3	-1	1	12702	100	0	0	0
12052624	四级破兵	3	-1	1	12703	100	0	0	0
12052625	五级破兵	3	-1	1	12704	100	80	0	0
12052626	六级破兵	3	-1	1	12705	100	80	0	0
12052631	一级集中	3	-1	1	12720	100	0	0	0
12052632	二级集中	3	-1	1	12721	100	0	0	0
12052633	三级集中	3	-1	1	12722	100	0	0	0
12052634	四级集中	3	-1	1	12723	100	0	0	0
12052635	五级集中	3	-1	1	12724	100	80	0	0
12052636	六级集中	3	-1	1	12725	100	80	0	0
12052641	一级无视	3	-1	1	12740	100	0	0	0
12052642	二级无视	3	-1	1	12741	100	0	0	0
12052643	三级无视	3	-1	1	12742	100	0	0	0
12052644	四级无视	3	-1	1	12743	100	0	0	0
12052645	五级无视	3	-1	1	12744	100	80	0	0
12052646	六级无视	3	-1	1	12745	100	80	0	0
12052651	一级冷静	3	-1	1	12760	100	0	0	0
12052652	二级冷静	3	-1	1	12761	100	0	0	0
12052653	三级冷静	3	-1	1	12762	100	0	0	0
12052654	四级冷静	3	-1	1	12763	100	0	0	0
12052655	五级冷静	3	-1	1	12764	100	80	0	0
12052656	六级冷静	3	-1	1	12765	100	80	0	0
12052661	一级怒气	3	-1	1	12780	100	0	0	0
12052662	二级怒气	3	-1	1	12781	100	0	0	0
12052663	三级怒气	3	-1	1	12782	100	0	0	0
12052664	四级怒气	3	-1	1	12783	100	0	0	0
12052665	五级怒气	3	-1	1	12784	100	80	0	0
12052666	六级怒气	3	-1	1	12785	100	80	0	0
12052671	一级精力	3	-1	1	12800	100	0	0	0
12052672	二级精力	3	-1	1	12801	100	0	0	0
12052673	三级精力	3	-1	1	12802	100	0	0	0
12052674	四级精力	3	-1	1	12803	100	0	0	0
12052675	五级精力	3	-1	1	12804	100	80	0	0
12052676	六级精力	3	-1	1	12805	100	80	0	0
12052681	一级箭囊	3	-1	1	12820	100	0	0	0
12052682	二级箭囊	3	-1	1	12821	100	0	0	0
12052683	三级箭囊	3	-1	1	12822	100	0	0	0
12052684	四级箭囊	3	-1	1	12823	100	0	0	0
12052685	五级箭囊	3	-1	1	12824	100	80	0	0
12052686	六级箭囊	3	-1	1	12825	100	80	0	0
12052691	一级弹药	3	-1	1	12840	100	0	0	0
12052692	二级弹药	3	-1	1	12841	100	0	0	0
12052693	三级弹药	3	-1	1	12842	100	0	0	0
12052694	四级弹药	3	-1	1	12843	100	0	0	0
12052695	五级弹药	3	-1	1	12844	100	80	0	0
12052696	六级弹药	3	-1	1	12845	100	80	0	0
12052701	一级法力	3	-1	1	12860	100	0	0	0
12052702	二级法力	3	-1	1	12861	100	0	0	0
12052703	三级法力	3	-1	1	12862	100	0	0	0
12052704	四级法力	3	-1	1	12863	100	0	0	0
12052705	五级法力	3	-1	1	12864	100	80	0	0
12052706	六级法力	3	-1	1	12865	100	80	0	0
12052711	一级圣力	3	-1	1	12880	100	0	0	0
12052712	二级圣力	3	-1	1	12881	100	0	0	0
12052713	三级圣力	3	-1	1	12882	100	0	0	0
12052714	四级圣力	3	-1	1	12883	100	0	0	0
12052715	五级圣力	3	-1	1	12884	100	80	0	0
12052716	六级圣力	3	-1	1	12885	100	80	0	0
12052721	一级天命	4	-1	1	12900	100	0	80	1
12052722	二级天命	4	-1	1	12901	100	80	0	0
12052723	三级天命	4	-1	1	12902	100	90	0	0
12052724	四级天命	4	-1	1	12903	100	0	0	0
12052725	五级天命	4	-1	1	12904	100	80	0	0
12052726	六级天命	4	-1	1	12905	100	80	0	0
12053224	马奶	4	-1	1	11640	100	0	0	0
12054300	还童书	13	-1	-1	-1	-1	0	0	0
12054301	还龙书	15	-1	-1	-1	-1	0	80	0
12055000	潜能点书	14	-1	5	-1	-1	0	0	0
