INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT
10010091	55	金帐凝风刀	产地：欧洲	CJSH_equip_dao_1_1	刀	掉落刀.lmodel	cj_yingguang_huang	0	0bc0cb																																		1
10010092	55	中兴破日刀	产地：西域	CJSH_equip_dao_2_11	刀	掉落刀.lmodel	cj_yingguang_huang	0	0bc0cb																																		1
10010093	55	西辽梵音刀	产地：西域	CJSH_equip_dao_2_7	刀	掉落刀.lmodel	cj_yingguang_huang	0	0bc0cb																																		1
10010094	55	碎叶旋经刀	产地：西域	CJSH_equip_dao_2_10	刀	掉落刀.lmodel	cj_yingguang_huang	0	0bc0cb																																		1
10010095	55	沙漠飞晶刀	产地：西域	CJSH_equip_dao_2_2	刀	掉落刀.lmodel	cj_yingguang_huang	0	0bc0cb																																		1
10010096	55	波斯大明王刀	产地：欧洲	CJSH_equip_dao_1_5	刀	掉落刀.lmodel	cj_yingguang_huang	0	0bc0cb																																		1
10010097	55	基辅神谱刀	产地：欧洲	CJSH_equip_dao_1_4	刀	掉落刀.lmodel	cj_yingguang_huang	0	0bc0cb																																		1
10010098	55	波兰金刚杵刀	产地：欧洲	CJSH_equip_dao_1_4	刀	掉落刀.lmodel	cj_yingguang_huang	0	0bc0cb																																		1
10010099	55	匈牙利真言刀	产地：欧洲	CJSH_equip_dao_1_4	刀	掉落刀.lmodel	cj_yingguang_huang	0	0bc0cb																																		1
10010201	55	打造刀一级成品	产地：莫斯科	CJSH_equip_dao_2_7	刀	掉落刀.lmodel	cj_yingguang_huang	0	950cff																																	-1	1
10010202	55	打造刀二级成品	产地：波斯地区	CJSH_equip_dao_2_10	刀	掉落刀.lmodel	cj_yingguang_huang	0	950cff																																	-1	1
10010203	55	打造刀三级成品	产地：莱茵河畔	CJSH_equip_dao_2_9	刀	掉落刀.lmodel	cj_yingguang_huang	0	950cff																																	-1	1
10010204	55	打造刀四级成品	产地：印度地区	CJSH_equip_dao_2_11	刀	掉落刀.lmodel	cj_yingguang_huang	0	950cff																																	-1	1
10010205	55	繁星碎	产地：西域	CJSH_equip_dao_1_9	刀	掉落刀.lmodel	cj_yingguang_huang	0	950cff																																	-1	1
10010206	55	打造刀六级成品	产地：南疆	CJSH_equip_dao_1_6	刀	掉落刀.lmodel	cj_yingguang_huang	0	950cff																																	-1	1
10010207	55	打造刀七级成品	产地：中原地区	CJSH_equip_dao_1_2	刀	掉落刀.lmodel	cj_yingguang_huang	0	950cff																																	-1	1
10010208	55	暴虎烈	产地：波斯地区	CJSH_equip_dao_1_10	刀	掉落刀.lmodel	cj_yingguang_huang	0	950cff																																	-1	1
10010209	55	打造刀九级成品	产地：蒙古	CJSH_equip_dao_1_8	刀	掉落刀.lmodel	cj_yingguang_huang	0	950cff																																	-1	1
10010210	55	破山	产地：莫斯科	CJSH_equip_dao_1_8	刀	掉落刀.lmodel	cj_yingguang_huang	0	950cff																																	-1	1
10011001	67	新手之刀	产地：蒙古	HAN2_Equip_common_weapon_2_9	刀	掉落刀.lmodel	cj_yingguang_huang	0	ffffff																																	-1	1
10011002	55	废弃	产地：蒙古	CJSH_equip_dao_1_1	刀	掉落刀.lmodel	cj_yingguang_huang	0	ffffff																																	-1	1
10011101	55	草原之刀	产地：蒙古	CJSH_equip_dao_2_11	刀	掉落刀.lmodel	cj_yingguang_huang	0	ffffff																																	-1	1
10011102	55	克烈之刀	产地：蒙古	CJSH_equip_dao_2_7	刀	掉落刀.lmodel	cj_yingguang_huang	0	ffffff																																	-1	1
10011103	55	鞑靼之刀	产地：蒙古	CJSH_equip_dao_2_10	刀	掉落刀.lmodel	cj_yingguang_huang	0	ffffff																																	-1	1
10011104	55	乃蛮之刀	产地：蒙古	CJSH_equip_dao_2_2	刀	掉落刀.lmodel	cj_yingguang_huang	0	ffffff																																	-1	1
10011105	55	乌月之刀	产地：金国	CJSH_equip_dao_1_5	刀	掉落刀.lmodel	cj_yingguang_huang	0	ffffff																																	-1	1
10011106	55	凤翔之刀	产地：金国	CJSH_equip_dao_1_4	刀	掉落刀.lmodel	cj_yingguang_huang	0	ffffff																																	-1	1
10011107	55	西辽之刀	产地：西域	CJSH_equip_dao_1_4	刀	掉落刀.lmodel	cj_yingguang_huang	0	ffffff																																	-1	1
10011108	55	突厥之刀	产地：西域	CJSH_equip_dao_1_4	刀	掉落刀.lmodel	cj_yingguang_huang	0	ffffff																																	-1	1
10011109	55	金帐之刀	产地：欧洲	CJSH_equip_dao_1_5	刀	掉落刀.lmodel	cj_yingguang_huang	0	ffffff																																	-1	1
10011110	55	破日刀	产地：莫斯科	CJSH_equip_dao_1_5	刀	掉落刀.lmodel	cj_yingguang_huang	0	ffffff																																	-1	1
10012001	55	梵音刀	产地：印度地区	CJSH_equip_dao_1_1	刀	掉落刀.lmodel	cj_yingguang_huang	0	ffffff																																	-1	1
10012201	55	旋经刀	产地：西域	CJSH_equip_dao_2_7	刀	掉落刀.lmodel	cj_yingguang_huang	0	ffffff																																	-1	1
10012202	55	飞晶刀	产地：南疆	CJSH_equip_dao_2_10	刀	掉落刀.lmodel	cj_yingguang_huang	0	ffffff																																	-1	1
10012203	55	大明王刀	产地：中原地区	CJSH_equip_dao_2_9	刀	掉落刀.lmodel	cj_yingguang_huang	0	ffffff																																	-1	1
10012204	55	神谱刀	产地：波斯地区	CJSH_equip_dao_2_11	刀	掉落刀.lmodel	cj_yingguang_huang	0	ffffff																																	-1	1
10012205	55	金刚杵刀	产地：蒙古	CJSH_equip_dao_2_5	刀	掉落刀.lmodel	cj_yingguang_huang	0	ffffff																																	-1	1
10012206	55	真言刀	产地：莫斯科	CJSH_equip_dao_2_2	刀	掉落刀.lmodel	cj_yingguang_huang	0	ffffff																																	-1	1
10012207	55	圣音刀	产地：波斯地区	CJSH_equip_dao_2_3	刀	掉落刀.lmodel	cj_yingguang_huang	0	ffffff																																	-1	1
10012208	55	神光刀	产地：莱茵河畔	CJSH_equip_dao_2_8	刀	掉落刀.lmodel	cj_yingguang_huang	0	ffffff																																	-1	1
10012209	55	天石刀	产地：印度地区	CJSH_equip_dao_1_9	刀	掉落刀.lmodel	cj_yingguang_huang	0	ffffff																																	-1	1
10012210	55	落风刀	产地：西域	CJSH_equip_dao_1_9	刀	掉落刀.lmodel	cj_yingguang_huang	0	ffffff																																	-1	1
10013001	55	巴鲁湾地泉鲸浪斩	产地：南疆	CJSH_equip_dao_2_6	刀	掉落刀.lmodel	cj_yingguang_huang	0	ffcc00																																	-1	1
10013002	55	高加索炼狱魔刀	产地：中原地区	CJSH_equip_dao_2_1	刀	掉落刀.lmodel	cj_yingguang_huang	0	ffcc00																																	-1	1
10013003	55	十三翼追潮	产地：波斯地区	CJSH_equip_dao_2_1	刀	掉落刀.lmodel	cj_yingguang_huang	0	ffcc00																																	-1	1
10014001	57	世传君主之刀	产地：蒙古	HAN2_Equip_shichuan_wushi_5	刀	掉落刀.lmodel	cj_yingguang_huang	0	ffcc00																																	-1	1
10014002	59	国传君主之刀	产地：金国	HAN2_Equip_guochuan_wushi_5	刀	掉落刀.lmodel	cj_yingguang_huang	0	ffcc00																																	-1	1
10014003	61	神传君主之刀	产地：西域	HAN2_Equip_shenchuan_wushi_5	刀	掉落刀.lmodel	cj_yingguang_huang	0	ffcc00																																	-1	1
10014004	63	天传君主之刀	产地：莱茵河畔	HAN2_Equip_tianchuan_wushi_5	刀	掉落刀.lmodel	cj_yingguang_huang	0	ffcc00																																		1
10016001	55	轻骑兵征服之刀	产地：蒙古	CJSH_equip_dao_2_11	刀	掉落刀.lmodel	cj_yingguang_huang	0	26d12b																																	-1	1
10016002	55	重骑兵冲锋之刀	产地：蒙古	CJSH_equip_dao_2_11	刀	掉落刀.lmodel	cj_yingguang_huang	0	26d12b																																	-1	1
10016010	55	轻骑兵守卫之刀	产地：蒙古	CJSH_equip_dao_2_11	刀	掉落刀.lmodel	cj_yingguang_huang	0	26d12b																																	-1	1
10016020	55	塔塔尔杀手之刀	产地：印度地区	CJSH_equip_dao_2_7	刀	掉落刀.lmodel	cj_yingguang_huang	0	26d12b																																	-1	1
10016030	55	穿云之刀	产地：印度地区	CJSH_equip_dao_2_7	刀	掉落刀.lmodel	cj_yingguang_huang	0	26d12b																																	-1	1
10016040	55	一统蒙古之刀	产地：印度地区	CJSH_equip_dao_2_10	刀	掉落刀.lmodel	cj_yingguang_huang	0	26d12b																																	-1	1
10016050	55	一统蒙古之刀	产地：印度地区	CJSH_equip_dao_2_10	刀	掉落刀.lmodel	cj_yingguang_huang	0	26d12b																																	-1	1
10016060	55	凤翔日暮之刀	产地：印度地区	CJSH_equip_dao_2_2	刀	掉落刀.lmodel	cj_yingguang_huang	0	26d12b																																	-1	1
10016070	55	逼反楚材之刀	产地：印度地区	CJSH_equip_dao_2_2	刀	掉落刀.lmodel	cj_yingguang_huang	0	26d12b																																	-1	1
10016080	55	金国挽歌之刀	产地：印度地区	CJSH_equip_dao_1_5	刀	掉落刀.lmodel	cj_yingguang_huang	0	26d12b																																	-1	1
10016090	55	贺兰山之刀	产地：印度地区	CJSH_equip_dao_1_5	刀	掉落刀.lmodel	cj_yingguang_huang	0	26d12b																																	-1	1
10016100	67	十夫长名将之刀	产地：蒙古	HAN2_Equip_common_weapon_2_9	刀	掉落刀.lmodel	cj_yingguang_huang	0	26d12b																																	-1	1
10016110	69	百夫长名将之刀	产地：蒙古	HAN2_Equip_common_weapon_2_10	刀	掉落刀.lmodel	cj_yingguang_huang	0	26d12b																																	-1	1
10016120	71	千夫长名将之刀	产地：蒙古	HAN2_Equip_common_weapon_2_11	刀	掉落刀.lmodel	cj_yingguang_huang	0	26d12b																																	-1	1
10016130	55	任务刀	产地：印度地区	CJSH_equip_dao_1_1	刀	掉落刀.lmodel	cj_yingguang_huang	0	26d12b																																	-1	1
10016140	55	任务刀	产地：印度地区	CJSH_equip_dao_1_1	刀	掉落刀.lmodel	cj_yingguang_huang	0	26d12b																																	-1	1
10016150	55	任务刀	产地：印度地区	CJSH_equip_dao_1_1	刀	掉落刀.lmodel	cj_yingguang_huang	0	26d12b																																	-1	1
10016160	55	任务刀	产地：印度地区	CJSH_equip_dao_1_1	刀	掉落刀.lmodel	cj_yingguang_huang	0	26d12b																																	-1	1
10016170	55	任务刀	产地：印度地区	CJSH_equip_dao_1_1	刀	掉落刀.lmodel	cj_yingguang_huang	0	26d12b																																	-1	1
10016180	55	任务刀	产地：印度地区	CJSH_equip_dao_1_1	刀	掉落刀.lmodel	cj_yingguang_huang	0	26d12b																																	-1	1
10016190	55	任务刀	产地：印度地区	CJSH_equip_dao_1_1	刀	掉落刀.lmodel	cj_yingguang_huang	0	26d12b																																	-1	1
10016200	55	任务刀	产地：印度地区	CJSH_equip_dao_1_1	刀	掉落刀.lmodel	cj_yingguang_huang	0	26d12b																																	-1	1
10016210	55	任务刀	产地：印度地区	CJSH_equip_dao_1_1	刀	掉落刀.lmodel	cj_yingguang_huang	0	26d12b																																	-1	1
10016220	55	任务刀	产地：印度地区	CJSH_equip_dao_1_1	刀	掉落刀.lmodel	cj_yingguang_huang	0	26d12b																																	-1	1
10016230	55	任务刀	产地：印度地区	CJSH_equip_dao_1_1	刀	掉落刀.lmodel	cj_yingguang_huang	0	26d12b																																	-1	1
10016240	55	任务刀	产地：印度地区	CJSH_equip_dao_1_1	刀	掉落刀.lmodel	cj_yingguang_huang	0	26d12b																																	-1	1
10016250	55	任务刀	产地：印度地区	CJSH_equip_dao_1_1	刀	掉落刀.lmodel	cj_yingguang_huang	0	26d12b																																	-1	1
10016260	55	任务刀	产地：印度地区	CJSH_equip_dao_1_1	刀	掉落刀.lmodel	cj_yingguang_huang	0	26d12b																																	-1	1
10016270	55	任务刀	产地：印度地区	CJSH_equip_dao_1_1	刀	掉落刀.lmodel	cj_yingguang_huang	0	26d12b																																	-1	1
10016280	55	任务刀	产地：印度地区	CJSH_equip_dao_1_1	刀	掉落刀.lmodel	cj_yingguang_huang	0	26d12b																																	-1	1
10016290	55	任务刀	产地：印度地区	CJSH_equip_dao_1_1	刀	掉落刀.lmodel	cj_yingguang_huang	0	26d12b																																	-1	1
10016300	55	任务刀	产地：印度地区	CJSH_equip_dao_1_1	刀	掉落刀.lmodel	cj_yingguang_huang	0	26d12b																																	-1	1
10017001	55	真言刀	产地：西域	CJSH_equip_dao_1_1	刀	掉落刀.lmodel	cj_yingguang_huang	0	26d12b																																	-1	1
10018001	163	叹为观止升级版	GM专用	CJSH_equip_dao_1_1	刀	掉落刀.lmodel	cj_yingguang_huang	0	26d12b																																	-1	1
10019000	55	百度护法之刀	产地：蒙古	CJSH_equip_dao_2_7	刀	掉落刀.lmodel	cj_yingguang_huang	0	26d12b																																		1
10019100	55	男爵骑士之刀	产地：蒙古	CJSH_equip_dao_1_5	刀	掉落刀.lmodel	cj_yingguang_huang	0	26d12b																																		1
10019200	55	千寻护法之刀	产地：蒙古	CJSH_equip_dao_2_2	刀	掉落刀.lmodel	cj_yingguang_huang	0	26d12b																																		1
10019300	55	子爵骑士之刀	产地：蒙古	CJSH_equip_dao_1_8	刀	掉落刀.lmodel	cj_yingguang_huang	0	26d12b																																		1
10019400	69	四象江湖之刀	产地：蒙古	HAN2_Equip_common_weapon_2_10	刀	掉落刀.lmodel	cj_yingguang_huang	0	26d12b																																		1
10019500	71	六合江湖之刀	产地：蒙古	HAN2_Equip_common_weapon_2_11	刀	掉落刀.lmodel	cj_yingguang_huang	0	26d12b																																		1
10019600	61	神龙掌门之刀	产地：西域	CJSH_equip_dao_2_4	刀	掉落刀.lmodel	cj_yingguang_huang	0	ffcc00																																		1
10019700	73	神赐金牌之刀	产地：西域	HAN2_Equip_shenci_weapon_1_8	刀	掉落刀.lmodel	cj_yingguang_huang	0	ffcc00																																		1
10019701	75	天赐金牌之刀	产地：西域	HAN2_Equip_tianci_weapon_1_8	刀	掉落刀.lmodel	cj_yingguang_huang	0	ffcc00																																		1
10019801	57	世传君主之刀	产地：蒙古	HAN2_Equip_shichuan_wushi_5	刀	掉落刀.lmodel	cj_yingguang_huang	0	950cff	武器_世传刀_01	武器绑定点_01																																1
10019802	59	国传君主之刀	产地：金国	HAN2_Equip_guochuan_wushi_5	刀	掉落刀.lmodel	cj_yingguang_huang	0	950cff	武器_国传刀_01	武器绑定点_01																																1
10019803	61	神传君主之刀	产地：西域	HAN2_Equip_shenchuan_wushi_5	刀	掉落刀.lmodel	cj_yingguang_huang	0	950cff	武器_神传刀_01	武器绑定点_01																																1
10019804	61	神龙掌门之刀	产地：西域	CJSH_equip_dao_2_4	刀	掉落刀.lmodel	cj_yingguang_huang	0	950cff	武器_神传刀_01	武器绑定点_01																																1
10019805	73	神赐金牌之刀	产地：西域	HAN2_Equip_shenci_weapon_1_8	刀	掉落刀.lmodel	cj_yingguang_huang	0	950cff	武器_神赐刀_01	武器绑定点_01																																1
10019810	63	天传君主之刀	产地：莱茵河畔	HAN2_Equip_tianchuan_wushi_5	刀	掉落刀.lmodel	cj_yingguang_huang	0	950cff	武器_天传刀_01	武器绑定点_01																																1
10019811	75	天赐金牌之刀	产地：西域	HAN2_Equip_tianci_weapon_1_8	刀	掉落刀.lmodel	cj_yingguang_huang	0	950cff	武器_天赐刀_01	武器绑定点_01																																1
10019850	65	冥传君主之刀	产地：莱茵河畔	HAN2_Equip_mingchuan_wushi_5	刀	掉落刀.lmodel	cj_yingguang_huang	0	ffcc00																																		1
10019851	77	冥赐金牌之刀	产地：西域	HAN2_Equip_mingci_weapon_1_8	刀	掉落刀.lmodel	cj_yingguang_huang	0	ffcc00																																		1
10019852	65	冥传君主之刀	产地：莱茵河畔	HAN2_Equip_mingchuan_wushi_5	刀	掉落刀.lmodel	cj_yingguang_huang	0	950cff	武器_冥传刀_01	武器绑定点_01																																1
10019853	77	冥赐金牌之刀	产地：西域	HAN2_Equip_mingci_weapon_1_8	刀	掉落刀.lmodel	cj_yingguang_huang	0	950cff	武器_冥赐刀_01	武器绑定点_01																																1
10019900	61	神传远征之刀	产地：西域	HAN2_Equip_shenchuan_wushi_5	刀	掉落刀.lmodel	cj_yingguang_huang	0	ffcc00																																		1
10019901	73	神赐可汗之刀	产地：西域	HAN2_Equip_shenci_weapon_1_8	刀	掉落刀.lmodel	cj_yingguang_huang	0	ffcc00																																		1
10019902	61	神龙刺陵之刀	产地：西域	CJSH_equip_dao_2_4	刀	掉落刀.lmodel	cj_yingguang_huang	0	ffcc00																																		1
10019903	63	天传远征之刀	产地：莱茵河畔	HAN2_Equip_tianchuan_wushi_5	刀	掉落刀.lmodel	cj_yingguang_huang	0	ffcc00																																		1
10019904	75	天赐可汗之刀	产地：西域	HAN2_Equip_tianci_weapon_1_8	刀	掉落刀.lmodel	cj_yingguang_huang	0	ffcc00																																		1
10019905	65	冥传君主之刀	产地：西域	HAN2_Equip_mingchuan_wushi_5	刀	掉落刀.lmodel	cj_yingguang_huang	0	ffcc00																																		1
10019910	61	神传远征之刀	产地：西域	HAN2_Equip_shenchuan_wushi_5	刀	掉落刀.lmodel	cj_yingguang_huang	0	950cff	武器_神传刀_01	武器绑定点_01																																1
10019911	73	神赐可汗之刀	产地：西域	HAN2_Equip_shenci_weapon_1_8	刀	掉落刀.lmodel	cj_yingguang_huang	0	950cff	武器_神赐刀_01	武器绑定点_01																																1
10019912	61	神龙刺陵之刀	产地：西域	CJSH_equip_dao_2_4	刀	掉落刀.lmodel	cj_yingguang_huang	0	950cff	武器_神传刀_01	武器绑定点_01																																1
10019913	63	天传远征之刀	产地：莱茵河畔	HAN2_Equip_tianchuan_wushi_5	刀	掉落刀.lmodel	cj_yingguang_huang	0	950cff	武器_天传刀_01	武器绑定点_01																																1
10019914	75	天赐可汗之刀	产地：西域	HAN2_Equip_tianci_weapon_1_8	刀	掉落刀.lmodel	cj_yingguang_huang	0	950cff	武器_天赐刀_01	武器绑定点_01																																1
10019915	65	冥传君主之刀	产地：西域	HAN2_Equip_mingchuan_wushi_5	刀	掉落刀.lmodel	cj_yingguang_huang	0	950cff	武器_冥传刀_01	武器绑定点_01																																1
#1002XXXX剑																																										-1	
10020010	155	家传之剑	产地：蒙古	HAN2_Equip_jiachuan_4_5	剑	掉落剑.lmodel	cj_yingguang_huang	0	0bc0cb																																	-1	2
10020020	155	草原短刃剑	产地：蒙古	CJSH_equip_zhushoujian_1_3	剑	掉落剑.lmodel	cj_yingguang_huang	0	0bc0cb																																	-1	2
10020030	155	克烈长虹剑	产地：蒙古	CJSH_equip_zhushoujian_1_6	剑	掉落剑.lmodel	cj_yingguang_huang	0	0bc0cb																																	-1	2
10020040	155	鞑靼白刃剑	产地：蒙古	CJSH_equip_zhushoujian_1_2	剑	掉落剑.lmodel	cj_yingguang_huang	0	0bc0cb																																	-1	2
10020050	155	乃蛮锐步剑	产地：蒙古	CJSH_equip_jian_1_8	剑	掉落剑.lmodel	cj_yingguang_huang	0	0bc0cb																																	-1	2
10020060	155	乌月紫极剑	产地：金国	CJSH_equip_jian_1_5	剑	掉落剑.lmodel	cj_yingguang_huang	0	0bc0cb																																	-1	2
10020070	155	凤翔奔日剑	产地：金国	CJSH_equip_zhushoujian_1_4	剑	掉落剑.lmodel	cj_yingguang_huang	0	0bc0cb																																	-1	2
10020080	155	西辽粲星剑	产地：西域	CJSH_equip_zhushoujian_1_4	剑	掉落剑.lmodel	cj_yingguang_huang	0	0bc0cb																																	-1	2
10020090	155	突厥蛟牙剑	产地：西域	CJSH_equip_zhushoujian_1_4	剑	掉落剑.lmodel	cj_yingguang_huang	0	0bc0cb																																	-1	2
10020091	155	金帐封炉剑	产地：欧洲	CJSH_equip_zhushoujian_1_4	剑	掉落剑.lmodel	cj_yingguang_huang	0	0bc0cb																																		2
10020092	155	中兴繁云剑	产地：西域	CJSH_equip_zhushoujian_1_4	剑	掉落剑.lmodel	cj_yingguang_huang	0	0bc0cb																																		2
10020093	155	西辽蝉翼剑	产地：西域	CJSH_equip_zhushoujian_1_6	剑	掉落剑.lmodel	cj_yingguang_huang	0	0bc0cb																																		2
10020094	155	碎叶逆水剑	产地：西域	CJSH_equip_zhushoujian_1_3	剑	掉落剑.lmodel	cj_yingguang_huang	0	0bc0cb																																		2
10020095	155	沙漠问天剑	产地：西域	CJSH_equip_zhushoujian_1_2	剑	掉落剑.lmodel	cj_yingguang_huang	0	0bc0cb																																		2
10020096	155	波斯破天剑	产地：欧洲	CJSH_equip_zhushoujian_1_1	剑	掉落剑.lmodel	cj_yingguang_huang	0	0bc0cb																																		2
10020097	155	基辅乾坤剑	产地：欧洲	CJSH_equip_zhushoujian_1_8	剑	掉落剑.lmodel	cj_yingguang_huang	0	0bc0cb																																		2
10020098	155	波兰双鳞剑	产地：欧洲	CJSH_equip_zhushoujian_1_11	剑	掉落剑.lmodel	cj_yingguang_huang	0	0bc0cb																																		2
10020099	155	匈牙利君子剑	产地：欧洲	CJSH_equip_zhushoujian_1_10	剑	掉落剑.lmodel	cj_yingguang_huang	0	0bc0cb																																		2
10020201	155	打造剑一级成品	产地：蒙古	CJSH_equip_zhushoujian_1_6	剑	掉落剑.lmodel	cj_yingguang_huang	0	950cff																																	-1	2
10020202	155	打造剑二级成品	产地：莫斯科	CJSH_equip_zhushoujian_1_3	剑	掉落剑.lmodel	cj_yingguang_huang	0	950cff																																	-1	2
10020203	155	打造剑三级成品	产地：波斯地区	CJSH_equip_zhushoujian_1_2	剑	掉落剑.lmodel	cj_yingguang_huang	0	950cff																																	-1	2
10020204	155	打造剑四级成品	产地：莱茵河畔	CJSH_equip_zhushoujian_1_1	剑	掉落剑.lmodel	cj_yingguang_huang	0	950cff																																	-1	2
10020205	155	短歌行	产地：印度地区	CJSH_equip_jian_1_9	剑	掉落剑.lmodel	cj_yingguang_huang	0	950cff																																	-1	2
10020206	155	打造剑六级成品	产地：西域	CJSH_equip_jian_1_5	剑	掉落剑.lmodel	cj_yingguang_huang	0	950cff																																	-1	2
10020207	155	打造剑七级成品	产地：南疆	CJSH_equip_jian_1_2	剑	掉落剑.lmodel	cj_yingguang_huang	0	950cff																																	-1	2
10020208	155	挑灯剑	产地：中原地区	CJSH_equip_jian_1_3	剑	掉落剑.lmodel	cj_yingguang_huang	0	950cff																																	-1	2
10020209	155	打造剑九级成品	产地：波斯地区	CJSH_equip_jian_1_8	剑	掉落剑.lmodel	cj_yingguang_huang	0	950cff																																	-1	2
10020210	155	屠魂	产地：蒙古	CJSH_equip_jian_1_8	剑	掉落剑.lmodel	cj_yingguang_huang	0	950cff																																	-1	2
10021001	167	新手之剑	产地：蒙古	HAN2_Equip_common_weapon_2_13	剑	掉落剑.lmodel	cj_yingguang_huang	0	ffffff																																	-1	2
10021002	155	废弃	产地：蒙古	CJSH_equip_jian_1_1	剑	掉落剑.lmodel	cj_yingguang_huang	0	ffffff																																	-1	2
10021101	155	草原之剑	产地：蒙古	CJSH_equip_zhushoujian_1_3	剑	掉落剑.lmodel	cj_yingguang_huang	0	ffffff																																	-1	2
10021102	155	克烈之剑	产地：蒙古	CJSH_equip_zhushoujian_1_6	剑	掉落剑.lmodel	cj_yingguang_huang	0	ffffff																																	-1	2
10021103	155	鞑靼之剑	产地：蒙古	CJSH_equip_zhushoujian_1_2	剑	掉落剑.lmodel	cj_yingguang_huang	0	ffffff																																	-1	2
10021104	155	乃蛮之剑	产地：蒙古	CJSH_equip_jian_1_8	剑	掉落剑.lmodel	cj_yingguang_huang	0	ffffff																																	-1	2
10021105	155	乌月之剑	产地：金国	CJSH_equip_jian_1_5	剑	掉落剑.lmodel	cj_yingguang_huang	0	ffffff																																	-1	2
10021106	155	凤翔之剑	产地：金国	CJSH_equip_zhushoujian_1_4	剑	掉落剑.lmodel	cj_yingguang_huang	0	ffffff																																	-1	2
10021107	155	西辽之剑	产地：西域	CJSH_equip_zhushoujian_1_4	剑	掉落剑.lmodel	cj_yingguang_huang	0	ffffff																																	-1	2
10021108	155	突厥之剑	产地：西域	CJSH_equip_zhushoujian_1_4	剑	掉落剑.lmodel	cj_yingguang_huang	0	ffffff																																	-1	2
10021109	155	金帐之剑	产地：欧洲	CJSH_equip_zhushoujian_1_4	剑	掉落剑.lmodel	cj_yingguang_huang	0	ffffff																																	-1	2
10021110	155	繁云剑	产地：蒙古	CJSH_equip_zhushoujian_1_4	剑	掉落剑.lmodel	cj_yingguang_huang	0	ffffff																																	-1	2
10022201	155	蝉翼剑	产地：莱茵河畔	CJSH_equip_zhushoujian_1_6	剑	掉落剑.lmodel	cj_yingguang_huang	0	ffffff																																	-1	2
10022202	155	逆水剑	产地：印度地区	CJSH_equip_zhushoujian_1_3	剑	掉落剑.lmodel	cj_yingguang_huang	0	ffffff																																	-1	2
10022203	155	问天剑	产地：西域	CJSH_equip_zhushoujian_1_2	剑	掉落剑.lmodel	cj_yingguang_huang	0	ffffff																																	-1	2
10022204	155	破天剑	产地：南疆	CJSH_equip_zhushoujian_1_1	剑	掉落剑.lmodel	cj_yingguang_huang	0	ffffff																																	-1	2
10022205	155	乾坤剑	产地：中原地区	CJSH_equip_zhushoujian_1_8	剑	掉落剑.lmodel	cj_yingguang_huang	0	ffffff																																	-1	2
10022206	155	双鳞剑	产地：波斯地区	CJSH_equip_zhushoujian_1_11	剑	掉落剑.lmodel	cj_yingguang_huang	0	ffffff																																	-1	2
