INT	STRING	INT	INT	INT	INT	INT
113	国家场景预留	-1	1	2	123	57
114	国家场景预留	-1	1	2	123	57
115	国家场景预留	-1	1	2	123	57
116	国家场景预留	-1	1	2	123	57
117	国家场景预留	-1	1	2	123	57
118	国家场景预留	-1	1	2	123	57
119	国家场景预留	-1	1	2	123	57
120	国家场景预留	-1	1	2	123	57
121	国家场景预留	-1	1	2	123	57
122	国家场景预留	-1	1	2	123	57
123	国家场景预留	-1	1	2	123	57
124	国家场景预留	-1	1	2	123	57
125	国家场景预留	-1	1	2	123	57
126	国家场景预留	-1	1	2	123	57
127	国家场景预留	-1	1	2	123	57
128	国家场景预留	-1	1	2	123	57
129	国家场景预留	-1	1	2	123	57
130	国家场景预留	-1	1	2	123	57
131	国家场景预留	-1	1	2	123	57
132	副本场景预留	132	1	1	100	100
133	副本场景预留	133	1	1	100	100
134	副本场景预留	134	1	1	100	100
135	副本场景预留	135	1	1	100	100
136	副本场景预留	136	1	1	100	100
137	副本场景预留	137	1	1	100	100
138	副本场景预留	138	1	1	100	100
139	副本场景预留	139	1	1	100	100
140	副本场景预留	140	1	1	100	100
141	副本场景预留	141	1	1	100	100
142	副本场景预留	142	1	1	100	100
143	副本场景预留	143	1	1	100	100
144	副本场景预留	144	1	1	100	100
145	副本场景预留	145	1	1	100	100
146	副本场景预留	146	1	1	100	100
147	副本场景预留	147	1	1	100	100
148	副本场景预留	148	1	1	100	100
149	基辅城战场	149	1	1	100	100
150	天山王城	-1	1	2	250	110
151	天山边塞	-1	1	2	250	110
152	蒙古罕难河草原	152	1	1	55	204
153	蒙古乞颜部	153	1	1	97	183
154	蒙古克烈部	154	1	1	180	115
155	蒙古塔塔尔部	155	1	1	210	190
156	蒙古乃蛮部	156	1	1	39	125
157	居庸关	157	1	1	68	61
158	天山外城	-1	1	2	250	110
159	国家场景预留	159	1	1	130	130
160	凤翔府	160	1	1	100	60
161	国家场景预留	161	1	1	115	82
162	国家场景预留	162	1	1	171	64
163	国家场景预留	163	1	1	45	122
164	国家场景预留	164	1	1	113	146
165	国家场景预留	165	1	1	196	209
166	国家场景预留	166	1	1	192.2	228.2
167	国家场景预留	167	1	1	193	204
168	国家场景预留	-1	1	2	250	110
169	国家场景预留	169	1	1	115	258
170	国家场景预留	170	1	1	115	258
171	国家场景预留	171	1	1	115	258
172	国家场景预留	172	1	1	115	258
173	测试王城	173	1	1	100	100
174	测试边境	174	1	1	100	100
175	突厥里海魔岛迷宫	-1	1	2	250	110
176	暗道	-1	1	2	250	110
177	国家场景预留	177	1	1	100	100
178	俄罗斯公国	178	1	1	149	226
179	圣山地宫	-1	1	2	250	110
180	对马岛迷宫	-1	1	2	250	110
181	国家场景预留	-1	1	2	250	110
182	国家场景预留	182	1	1	97	106
183	圣山地宫	-1	1	2	250	110
184	圣山地宫	-1	1	2	250	110
185	圣山地宫	-1	1	2	250	110
186	和田古道	-1	1	2	250	110
187	和田牧场	187	1	1	57	81
188	国家场景预留	-1	1	2	250	110
189	和田草场	-1	1	2	250	110
190	东瀛岛	190	1	1	100	100
191	轮回之地	-1	1	2	32	32
192	国家场景预留	192	1	1	100	100
193	副本场景预留	193	1	1	100	100
194	副本场景预留	194	1	1	100	100
195	副本场景预留	195	1	1	100	100
196	圣山地宫	-1	1	2	123	57
197	圣山地宫	-1	1	2	123	57
198	蒙古罕难河草原	-1	1	2	123	57
199	蒙古乞颜部	-1	1	2	123	57
200	蒙古塔塔尔部	-1	1	2	123	57
201	蒙古克烈部	-1	1	2	123	57
202	蒙古乃蛮部	-1	1	2	123	57
203	居庸关	-1	1	2	123	57
204	国家场景预留	-1	1	2	123	57
205	国家场景预留	-1	1	2	123	57
206	国家场景预留	-1	1	2	123	57
207	国家场景预留	-1	1	2	123	57
208	国家场景预留	-1	1	2	123	57
209	国家场景预留	-1	1	2	123	57
210	国家场景预留	-1	1	2	123	57
211	国家场景预留	-1	1	2	123	57
212	国家场景预留	-1	1	2	123	57
213	国家场景预留	-1	1	2	123	57
214	国家场景预留	-1	1	2	123	57
215	国家场景预留	-1	1	2	123	57
216	国家场景预留	-1	1	2	123	57
217	国家场景预留	-1	1	2	123	57
218	国家场景预留	-1	1	2	123	57
219	国家场景预留	-1	1	2	123	57
220	国家场景预留	-1	1	2	123	57
221	国家场景预留	-1	1	2	123	57
222	国家场景预留	-1	1	2	123	57
223	国家场景预留	-1	1	2	123	57
224	国家场景预留	-1	1	2	123	57
225	国家场景预留	-1	1	2	123	57
226	国家场景预留	-1	1	2	123	57
227	国家场景预留	-1	1	2	123	57
228	国家场景预留	-1	1	2	123	57
229	国家场景预留	-1	1	2	123	57
230	国家场景预留	-1	1	2	123	57
231	国家场景预留	-1	1	2	123	57
232	副本场景预留	232	1	1	100	100
233	副本场景预留	233	1	1	100	100
234	副本场景预留	234	1	1	100	100
235	副本场景预留	235	1	1	100	100
236	副本场景预留	236	1	1	100	100
237	副本场景预留	237	1	1	100	100
238	副本场景预留	238	1	1	100	100
239	副本场景预留	239	1	1	100	100
240	副本场景预留	240	1	1	100	100
241	副本场景预留	241	1	1	100	100
242	副本场景预留	242	1	1	100	100
243	副本场景预留	243	1	1	100	100
244	副本场景预留	244	1	1	100	100
245	副本场景预留	245	1	1	100	100
246	副本场景预留	246	1	1	100	100
247	副本场景预留	247	1	1	100	100
248	副本场景预留	248	1	1	100	100
249	副本场景预留	249	1	1	100	100
250	昆仑王城	-1	1	2	250	110
251	昆仑边塞	-1	1	2	250	110
252	蒙古罕难河草原	252	1	1	55	204
253	蒙古乞颜部	253	1	1	97	183
254	蒙古克烈部	254	1	1	180	115
255	蒙古塔塔尔部	255	1	1	210	190
256	蒙古乃蛮部	256	1	1	39	125
257	居庸关	257	1	1	68	61
258	昆仑外城	-1	1	2	250	110
259	国家场景预留	259	1	1	130	130
260	凤翔府	260	1	1	100	60
261	国家场景预留	261	1	1	115	82
262	国家场景预留	262	1	1	171	64
263	国家场景预留	263	1	1	45	122
264	国家场景预留	264	1	1	113	146
265	国家场景预留	265	1	1	196	209
266	国家场景预留	266	1	1	192.2	228.2
267	国家场景预留	267	1	1	193	204
268	国家场景预留	-1	1	2	250	110
269	国家场景预留	269	1	1	115	258
270	国家场景预留	270	1	1	115	258
271	国家场景预留	271	1	1	115	258
272	国家场景预留	272	1	1	115	258
273	测试王城	273	1	1	100	100
274	测试边境	274	1	1	100	100
275	突厥里海魔岛迷宫	-1	1	2	250	110
276	暗道	-1	1	2	250	110
277	国家场景预留	277	1	1	100	100
278	俄罗斯公国	278	1	1	149	226
279	圣山地宫	-1	1	2	250	110
280	对马岛迷宫	-1	1	2	250	110
281	国家场景预留	-1	1	2	250	110
282	国家场景预留	282	1	1	97	106
283	圣山地宫	-1	1	2	250	110
284	圣山地宫	-1	1	2	250	110
285	圣山地宫	-1	1	2	250	110
286	青海古道	-1	1	2	250	110
287	青海牧场	287	1	1	49	47
288	国家场景预留	-1	1	2	250	110
289	青海草场	-1	1	2	250	110
290	东瀛岛	290	1	1	100	100
291	轮回之地	-1	1	2	32	32
292	国家场景预留	292	1	1	100	100
293	副本场景预留	293	1	1	100	100
294	副本场景预留	294	1	1	100	100
295	副本场景预留	295	1	1	100	100
296	圣山地宫	-1	1	2	123	57
297	圣山地宫	-1	1	2	123	57
298	蒙古罕难河草原	-1	1	2	123	57
299	蒙古乞颜部	-1	1	2	123	57
300	蒙古塔塔尔部	-1	1	2	123	57
301	蒙古克烈部	-1	1	2	123	57
302	蒙古乃蛮部	-1	1	2	123	57
303	居庸关	-1	1	2	123	57
304	国家场景预留	-1	1	2	123	57
305	国家场景预留	-1	1	2	123	57
306	国家场景预留	-1	1	2	123	57
307	国家场景预留	-1	1	2	123	57
308	国家场景预留	-1	1	2	123	57
309	国家场景预留	-1	1	2	123	57
310	国家场景预留	-1	1	2	123	57
311	国家场景预留	-1	1	2	123	57
312	国家场景预留	-1	1	2	123	57
313	国家场景预留	-1	1	2	123	57
314	国家场景预留	-1	1	2	123	57
315	国家场景预留	-1	1	2	123	57
316	国家场景预留	-1	1	2	123	57
317	国家场景预留	-1	1	2	123	57
318	国家场景预留	-1	1	2	123	57
319	国家场景预留	-1	1	2	123	57
320	国家场景预留	-1	1	2	123	57
321	国家场景预留	-1	1	2	123	57
322	国家场景预留	-1	1	2	123	57
323	国家场景预留	-1	1	2	123	57
324	国家场景预留	-1	1	2	123	57
325	国家场景预留	-1	1	2	123	57
326	国家场景预留	-1	1	2	123	57
327	国家场景预留	-1	1	2	123	57
328	国家场景预留	-1	1	2	123	57
329	国家场景预留	-1	1	2	123	57
330	国家场景预留	-1	1	2	123	57
331	国家场景预留	-1	1	2	123	57
332	副本场景预留	332	1	1	100	100
333	副本场景预留	333	1	1	100	100
334	副本场景预留	334	1	1	100	100
335	副本场景预留	335	1	1	100	100
336	副本场景预留	336	1	1	100	100
337	副本场景预留	337	1	1	100	100
338	副本场景预留	338	1	1	100	100
339	副本场景预留	339	1	1	100	100
340	副本场景预留	340	1	1	100	100
341	副本场景预留	341	1	1	100	100
342	副本场景预留	342	1	1	100	100
343	副本场景预留	343	1	1	100	100
344	副本场景预留	344	1	1	100	100
345	副本场景预留	345	1	1	100	100
346	副本场景预留	346	1	1	100	100
347	副本场景预留	347	1	1	100	100
348	副本场景预留	348	1	1	100	100
349	副本场景预留	349	1	1	100	100
350	敦煌王城	-1	1	2	250	110
351	敦煌边境	-1	1	2	250	110
352	蒙古罕难河草原	352	1	1	55	204
353	蒙古乞颜部	353	1	1	97	183
354	蒙古克烈部	354	1	1	180	115
355	蒙古塔塔尔部	355	1	1	210	190
356	蒙古乃蛮部	356	1	1	39	125
357	居庸关	357	1	1	68	61
358	敦煌外城	-1	1	2	250	110
359	国家场景预留	359	1	1	130	130
360	凤翔府	360	1	1	100	60
361	国家场景预留	361	1	1	115	82
362	国家场景预留	362	1	1	171	64
363	国家场景预留	363	1	1	45	122
364	国家场景预留	364	1	1	113	146
365	国家场景预留	365	1	1	196	209
366	国家场景预留	366	1	1	192.2	228.2
367	国家场景预留	367	1	1	193	204
368	国家场景预留	-1	1	2	250	110
369	国家场景预留	369	1	1	115	258
370	国家场景预留	370	1	1	115	258
371	国家场景预留	371	1	1	115	258
372	国家场景预留	372	1	1	115	258
373	测试王城	373	1	1	100	100
374	测试边境	374	1	1	100	100
375	突厥里海魔岛迷宫	-1	1	2	250	110
376	暗道	-1	1	2	250	110
377	国家场景预留	377	1	1	100	100
378	俄罗斯公国	378	1	1	149	226
379	圣山地宫	-1	1	2	250	110
380	对马岛迷宫	-1	1	2	250	110
381	国家场景预留	-1	1	2	250	110
382	国家场景预留	382	1	1	97	106
383	圣山地宫	-1	1	2	250	110
384	圣山地宫	-1	1	2	250	110
385	圣山地宫	-1	1	2	250	110
386	甘州古道	-1	1	2	250	110
387	甘州牧场	387	1	1	210	199
388	国家场景预留	-1	1	2	250	110
389	甘州草场	-1	1	2	250	110
390	东瀛岛	390	1	1	100	100
391	轮回之地	-1	1	2	32	32
392	国家场景预留	392	1	1	100	100
393	副本场景预留	393	1	1	100	100
394	副本场景预留	394	1	1	100	100
395	副本场景预留	395	1	1	100	100
396	圣山地宫	-1	1	2	123	57
397	圣山地宫	-1	1	2	123	57
398	蒙古罕难河草原	-1	1	2	123	57
399	蒙古乞颜部	-1	1	2	123	57
400	蒙古塔塔尔部	-1	1	2	123	57
401	蒙古克烈部	-1	1	2	123	57
402	蒙古乃蛮部	-1	1	2	123	57
403	居庸关	-1	1	2	123	57
404	国家场景预留	-1	1	2	123	57
405	国家场景预留	-1	1	2	123	57
406	国家场景预留	-1	1	2	123	57
407	国家场景预留	-1	1	2	123	57
408	国家场景预留	-1	1	2	123	57
409	国家场景预留	-1	1	2	123	57
410	国家场景预留	-1	1	2	123	57
411	国家场景预留	-1	1	2	123	57
412	国家场景预留	-1	1	2	123	57
413	国家场景预留	-1	1	2	123	57
414	国家场景预留	-1	1	2	123	57
415	国家场景预留	-1	1	2	123	57
416	国家场景预留	-1	1	2	123	57
417	国家场景预留	-1	1	2	123	57
418	国家场景预留	-1	1	2	123	57
419	国家场景预留	-1	1	2	123	57
420	国家场景预留	-1	1	2	123	57
421	国家场景预留	-1	1	2	123	57
422	国家场景预留	-1	1	2	123	57
423	国家场景预留	-1	1	2	123	57
424	国家场景预留	-1	1	2	123	57
425	国家场景预留	-1	1	2	123	57
426	国家场景预留	-1	1	2	123	57
427	国家场景预留	-1	1	2	123	57
428	国家场景预留	-1	1	2	123	57
429	国家场景预留	-1	1	2	123	57
430	国家场景预留	-1	1	2	123	57
431	国家场景预留	-1	1	2	123	57
432	副本场景预留	432	1	1	100	100
433	副本场景预留	433	1	1	100	100
434	副本场景预留	434	1	1	100	100
435	副本场景预留	435	1	1	100	100
436	副本场景预留	436	1	1	100	100
437	副本场景预留	437	1	1	100	100
438	副本场景预留	438	1	1	100	100
439	副本场景预留	439	1	1	100	100
440	副本场景预留	440	1	1	100	100
441	副本场景预留	441	1	1	100	100
442	副本场景预留	442	1	1	100	100
443	副本场景预留	443	1	1	100	100
444	副本场景预留	444	1	1	100	100
445	副本场景预留	445	1	1	100	100
446	副本场景预留	446	1	1	100	100
447	副本场景预留	447	1	1	100	100
448	副本场景预留	448	1	1	100	100
449	副本场景预留	449	1	1	100	100
450	千佛窟	450	1	1	109	14
451	副本场景预留	451	1	1	100	100
452	囚龙岛	452	1	1	25	98
453	囚龙城堡	453	1	1	25	88
454	龙穴	454	1	1	24	25
455	东海眼	455	1	1	24	38
456	和氏璧	456	1	1	61	56
457	金銮殿	457	1	1	64	21
458	逐日之穴	458	1	1	19	32
459	揽月之穴	459	1	1	27	35
460	劈天之穴	460	1	1	22	81
461	勾栏曲台	461	1	1	38	43
462	金矿洞	462	1	1	111	18
463	永夜天牢	463	1	1	112	15
464	轮回台	464	1	1	64	60
465	战神墓	465	1	1	113	15
466	黄河坞	466	1	1	119	10
467	景教堂	467	1	1	18	103
468	虚空境	468	1	1	10	10
469	财神殿	469	1	1	23	104
470	金佛手	470	1	1	33	58
471	钧窑厂	471	1	1	121	119
472	侏罗纪	472	1	1	22	24
473	印度神庙	473	1	1	67	106
474	一打祝家庄	474	1	1	130	46
475	二打祝家庄	475	1	1	130	37
476	三打祝家庄	476	1	1	145	210
477	仙人谷四层	477	1	1	16	106
478	贺兰山谷	478	1	1	196	53
479	夏王陵	479	1	1	24	99
480	夏王墓穴	480	1	1	113	15
481	囚龙岛海滩	481	1	1	134	181
482	囚龙岭	482	1	1	18	106
483	囚龙堡	483	1	1	25	86
484	北印度丛林	484	1	1	112	49
485	象神谷	485	1	1	34	27
486	印度神庙	486	1	1	112	15
487	麻雀岭	487	1	1	192	65
488	熔岩沼泽	488	1	1	24	63
489	大教堂	489	1	1	18	103
490	禁宫大内	490	1	1	130	215
491	副本场景预留	491	1	1	10	10
492	副本场景预留	492	1	1	23	104
493	对马岛	493	1	1	185	121
494	水师大营	494	1	1	107	80
495	赤血号	495	1	1	116	31
496	倩女幽魂	496	1	1	109	14
497	画皮	497	1	1	69	27
498	副本场景预留	498	1	1	25	98
499	副本场景预留	499	1	1	25	88
500	泰山	500	1	1	24	25
501	中兴府	501	1	1	129	129
502	太行山	502	1	1	145	48
503	凤翔府	503	1	1	108	65
504	蔡州城	504	1	1	113	81
505	秦岭	505	1	1	27	35
506	金山	506	1	1	193	119
507	碎叶城	507	1	1	163	53
508	红沙漠	508	1	1	211	211
509	撒马尔罕	509	1	1	130	115
510	巴格达	510	1	1	180	210
511	波斯高原	511	1	1	119	56
512	莫斯科公国	512	1	1	142	215
513	基辅公国	513	1	1	82	207
514	波兰王国	514	1	1	10	10
515	匈牙利	515	1	1	23	104
516	神圣罗马帝国	516	1	1	33	58
517	拜占庭帝国	517	1	1	121	119
518	大马士革	518	1	1	22	24
519	副本场景预留	519	1	1	109	14
520	副本场景预留	520	1	1	100	100
521	副本场景预留	521	1	1	25	98
522	副本场景预留	522	1	1	25	88
523	副本场景预留	523	1	1	24	25
524	副本场景预留	524	1	1	24	38
525	副本场景预留	525	1	1	61	56
526	副本场景预留	526	1	1	64	21
527	副本场景预留	527	1	1	19	32
528	副本场景预留	528	1	1	27	35
529	副本场景预留	529	1	1	22	87
530	副本场景预留	530	1	1	56	33
531	副本场景预留	531	1	1	111	18
532	副本场景预留	532	1	1	112	15
533	副本场景预留	533	1	1	54	50
534	副本场景预留	534	1	1	113	15
535	副本场景预留	535	1	1	119	10
536	副本场景预留	536	1	1	15	96
537	副本场景预留	537	1	1	10	10
538	副本场景预留	538	1	1	23	104
539	副本场景预留	539	1	1	33	58
540	副本场景预留	540	1	1	121	119
541	副本场景预留	541	1	1	22	24
542	副本场景预留	542	1	1	109	14
543	副本场景预留	543	1	1	100	100
544	副本场景预留	544	1	1	25	98
545	副本场景预留	545	1	1	25	88
546	副本场景预留	546	1	1	24	25
547	副本场景预留	547	1	1	24	38
548	副本场景预留	548	1	1	61	56
549	副本场景预留	549	1	1	64	21
550	副本场景预留	550	1	1	19	32
551	副本场景预留	551	1	1	27	35
552	副本场景预留	552	1	1	22	87
553	副本场景预留	553	1	1	56	33
554	副本场景预留	554	1	1	111	18
555	副本场景预留	555	1	1	112	15
556	副本场景预留	556	1	1	54	50
557	副本场景预留	557	1	1	113	15
558	副本场景预留	558	1	1	119	10
559	副本场景预留	559	1	1	15	96
560	副本场景预留	560	1	1	10	10
561	副本场景预留	561	1	1	23	104
562	副本场景预留	562	1	1	33	58
563	副本场景预留	563	1	1	121	119
564	副本场景预留	564	1	1	22	24
565	副本场景预留	565	1	1	100	100
566	副本场景预留	566	1	1	100	100
567	副本场景预留	567	1	1	100	100
568	副本场景预留	568	1	1	100	100
569	副本场景预留	569	1	1	100	100
570	副本场景预留	570	1	1	100	100
571	副本场景预留	571	1	1	100	100
572	副本场景预留	572	1	1	100	100
573	副本场景预留	573	1	1	100	100
574	副本场景预留	574	1	1	100	100
575	副本场景预留	575	1	1	100	100
576	副本场景预留	576	1	1	100	100
577	副本场景预留	577	1	1	100	100
578	副本场景预留	578	1	1	100	100
579	副本场景预留	579	1	1	100	100
580	副本场景预留	580	1	1	100	100
581	副本场景预留	581	1	1	100	100
582	副本场景预留	582	1	1	100	100
583	副本场景预留	583	1	1	100	100
584	副本场景预留	584	1	1	100	100
585	副本场景预留	585	1	1	100	100
586	副本场景预留	586	1	1	100	100
587	副本场景预留	587	1	1	100	100
588	副本场景预留	588	1	1	100	100
589	副本场景预留	589	1	1	100	100
590	副本场景预留	590	1	1	100	100
591	副本场景预留	591	1	1	100	100
592	副本场景预留	592	1	1	100	100
593	副本场景预留	593	1	1	100	100
594	副本场景预留	594	1	1	100	100
595	副本场景预留	595	1	1	100	100
596	副本场景预留	596	1	1	100	100
597	副本场景预留	597	1	1	100	100
598	副本场景预留	598	1	1	100	100
599	副本场景预留	599	1	1	100	100
600	副本场景预留	600	1	1	100	100
601	副本场景预留	601	1	1	100	100
602	副本场景预留	602	1	1	100	100
603	副本场景预留	603	1	1	100	100
604	副本场景预留	604	1	1	100	100
605	副本场景预留	605	1	1	100	100
606	副本场景预留	606	1	1	100	100
607	副本场景预留	607	1	1	100	100
608	副本场景预留	608	1	1	100	100
609	副本场景预留	609	1	1	100	100
610	副本场景预留	610	1	1	100	100
611	副本场景预留	611	1	1	100	100
612	副本场景预留	612	1	1	100	100
613	副本场景预留	613	1	1	100	100
614	副本场景预留	614	1	1	100	100
615	副本场景预留	615	1	1	100	100
616	副本场景预留	616	1	1	100	100
617	副本场景预留	617	1	1	100	100
618	副本场景预留	618	1	1	100	100
619	副本场景预留	619	1	1	100	100
620	副本场景预留	620	1	1	100	100
621	副本场景预留	621	1	1	100	100
622	副本场景预留	622	1	1	100	100
623	副本场景预留	623	1	1	100	100
624	副本场景预留	624	1	1	100	100
625	副本场景预留	625	1	1	100	100
626	副本场景预留	626	1	1	100	100
627	副本场景预留	627	1	1	100	100
628	副本场景预留	628	1	1	100	100
629	副本场景预留	629	1	1	100	100
630	副本场景预留	630	1	1	100	100
631	副本场景预留	631	1	1	100	100
632	副本场景预留	632	1	1	100	100
633	副本场景预留	633	1	1	100	100
634	副本场景预留	634	1	1	100	100
635	副本场景预留	635	1	1	100	100
636	副本场景预留	636	1	1	100	100
637	副本场景预留	637	1	1	100	100
638	副本场景预留	638	1	1	100	100
639	副本场景预留	639	1	1	100	100
640	副本场景预留	640	1	1	100	100
641	副本场景预留	641	1	1	100	100
642	副本场景预留	642	1	1	100	100
643	副本场景预留	643	1	1	100	100
644	副本场景预留	644	1	1	100	100
645	副本场景预留	645	1	1	100	100
646	副本场景预留	646	1	1	100	100
647	副本场景预留	647	1	1	100	100
648	副本场景预留	648	1	1	100	100
649	副本场景预留	649	1	1	100	100
650	高加索战场	650	1	1	100	100
651	高加索战场	651	1	1	100	100
652	高加索战场	652	1	1	100	100
653	高加索战场	653	1	1	100	100
654	高加索战场	654	1	1	100	100
655	高加索战场	655	1	1	100	100
656	高加索战场	656	1	1	100	100
657	高加索战场	657	1	1	100	100
658	高加索战场	658	1	1	100	100
659	高加索战场	659	1	1	100	100
660	高加索战场	660	1	1	100	100
661	高加索战场	661	1	1	100	100
662	高加索战场	662	1	1	100	100
663	高加索战场	663	1	1	100	100
664	高加索战场	664	1	1	100	100
665	高加索战场	665	1	1	100	100
666	高加索战场	666	1	1	100	100
667	高加索战场	667	1	1	100	100
668	高加索战场	668	1	1	100	100
669	高加索战场	669	1	1	100	100
670	高加索战场	670	1	1	100	100
671	高加索战场	671	1	1	100	100
672	高加索战场	672	1	1	100	100
673	高加索战场	673	1	1	100	100
674	高加索战场	674	1	1	100	100
675	高加索战场	675	1	1	100	100
676	高加索战场	676	1	1	100	100
677	高加索战场	677	1	1	100	100
678	高加索战场	678	1	1	100	100
679	高加索战场	679	1	1	100	100
680	高加索战场	680	1	1	100	100
681	高加索战场	681	1	1	100	100
682	高加索战场	682	1	1	100	100
683	高加索战场	683	1	1	100	100
684	高加索战场	684	1	1	100	100
685	高加索战场	685	1	1	100	100
686	高加索战场	686	1	1	100	100
687	高加索战场	687	1	1	100	100
688	高加索战场	688	1	1	100	100
689	高加索战场	689	1	1	100	100
690	高加索战场	690	1	1	100	100
691	高加索战场	691	1	1	100	100
692	高加索战场	692	1	1	100	100
693	高加索战场	693	1	1	100	100
694	高加索战场	694	1	1	100	100
695	高加索战场	695	1	1	100	100
696	高加索战场	696	1	1	100	100
697	高加索战场	697	1	1	100	100
698	高加索战场	698	1	1	100	100
699	高加索战场	699	1	1	100	100
700	高加索战场	700	1	1	100	100
701	高加索战场	701	1	1	100	100
702	高加索战场	702	1	1	100	100
703	高加索战场	703	1	1	100	100
704	高加索战场	704	1	1	100	100
705	高加索战场	705	1	1	100	100
706	高加索战场	706	1	1	100	100
707	高加索战场	707	1	1	100	100
708	高加索战场	708	1	1	100	100
709	高加索战场	709	1	1	100	100
710	高加索战场	710	1	1	100	100
711	高加索战场	711	1	1	100	100
712	高加索战场	712	1	1	100	100
713	高加索战场	713	1	1	100	100
714	高加索战场	714	1	1	100	100
715	高加索战场	715	1	1	100	100
716	高加索战场	716	1	1	100	100
717	高加索战场	717	1	1	100	100
718	高加索战场	718	1	1	100	100
719	高加索战场	719	1	1	100	100
720	高加索战场	720	1	1	100	100
721	高加索战场	721	1	1	100	100
722	高加索战场	722	1	1	100	100
