INT	INT	STRING	STRING	STRING	STRING	STRING
218	0	加内特是在哪年的选秀大会被选中的？	1992年	1994年	1995年	1997年
219	0	下列哪只球队不是NBA东部联盟的球队？	山猫队	快船队	步行者队	鹰队
220	0	在户外锻炼的最佳时间是什么时候？	早晨、下午	中午、下午	早晨、傍晚	凌晨
221	0	在野外旅行过程中三层着装法是中间的是哪层？	速干衣	皮衣	棉衣	风衣
222	0	古诗名句“两个黄鹂鸣翠柳”的下句是	一行白鹭上青天	一条大河向东流	一骑红尘妃子笑	一条大河波浪宽
223	0	寻寻觅觅，冷冷清清，凄凄惨惨戚戚。是哪位词人的作品？	苏轼	杜甫	李清照	王安石
224	0	莫道不销魂，帘卷西风，人比黄花瘦。是哪位词人的作品？	王维	苏洵	李白	李清照
225	0	“床前明月光”的作者是谁？	孟浩然	李白	杜牧	王勃
226	0	“长风破浪会有时，直挂云帆济沧海”出自李白的哪首诗? 	行路难	望庐山瀑布	将进酒	夜宿山寺
227	0	“蒹葭苍苍，白露为霜”的下句是：	所谓伊人，在水之湄 	所谓伊人，在水涘	所谓伊人，在水之畔 	所谓伊人，在水一方
228	0	《小窗幽记》的作者是谁？	曹雪芹	陈继儒	巴金	鲁迅
229	0	古诗名句“几处早莺争暖树”的下句是？	无人持剑远处来	谁家柴门叩未开	谁家新燕啄春泥	自寻情念踏春来
230	0	以下哪个是化妆品品牌？	奥迪	迪奥	奥拓	澳洲
231	0	以下哪个是时尚之都？	埃及	法国	伊拉克	朝鲜
232	0	卡通人物加菲是什么动物？	猫	狗	马	老鼠
233	0	葫芦娃总共兄弟几人？	5	6	7	8
234	0	世界四大文明古国没有以下哪一个？	古印度	古巴比伦	古埃及	古希腊
235	0	爱琴海是哪个国家的一大旅游标志？	澳大利亚	美国夏威夷	希腊	中国香港
236	0	埃及的标志之一是？	金字塔	巨石阵	自由女神像	万里长城
237	0	哪个平原不是古代文明的发源地？	美索不达米亚平原	恒河平原	西欧平原	印度河平原
238	0	阿努比斯是埃及的什么神？	太阳神	冥界之神	猫神	月神
239	0	古希腊里太阳神阿波罗的妹妹是谁？	丘比特	狄安娜	宙斯	雅典娜
240	0	哪个不是埃及的法老名字？	拉美西斯	图坦卡蒙	阿肯那顿	宙斯
241	0	哪个是日本漫画里的人物？	黑猫警长	超人	阿拉蕾	葫芦娃
242	0	哪个人物性别是女的？	凌波丽	机器猫	蜡笔小新	怪医秦博士
243	0	内衣外穿最有名的漫画人物是？	蜡笔小新	超人	金刚狼	钢铁侠
244	0	谁是全世界女生最爱的猫？	机器猫	加菲猫	Hello Kitty	黑猫警长
245	0	哪一个不是时尚类杂志？	瑞丽	昕薇	时尚芭莎	漫友
246	0	哪一个女影星凭借《英雄》走进国际影坛？	巩俐	张曼玉	章子怡	杨紫琼
247	0	哪一个不是二战同盟国？	中国	美国	意大利	英国
248	0	墨索里尼是哪国人？	德国	美国	意大利	英国
249	0	哪一个是古印度的著名史诗？	《摩诃婆罗多》	《荷马史诗》	《吉尔伽美什》	《奥德赛》
250	0	哪个不是珠宝品牌？	周大福	宝格丽	梵克雅宝	美宝莲
251	0	哪个不是护肤品？	洗面奶	乳液	眼霜	睫毛膏
252	0	冬天用来保暖的是？	凉鞋	墨镜	迷你裙	围巾
253	0	哪个不是手机品牌？	索爱	诺基亚	香奈儿	摩托罗拉
254	0	哪个不是奢侈品？	阿尔法罗密欧	保时捷911	法拉利	摩托罗拉V70
255	0	哪个是化妆师？	吕燕	陈娟红	毛戈平	胡兵
256	0	哪个不是洋酒？	威士忌	茅台	芝华士	白兰地
257	0	北京潮流购物地不包括？	西单	五道口	王府井	天安门
258	0	哪个不是运动品牌？	阿迪达斯	耐克	匡威	百丽
259	0	哪个是男鞋品牌？	接吻猫	Aee	金利来	达芙妮
260	0	布兰妮的外号是？	小可爱	小淘气	小甜心	小甜甜
261	0	国际著名四大时装周不包括？	北极时装周	米兰时装周	巴黎时装周	纽约时装周
262	0	小强是？	蚊子	蜘蛛	蟑螂	蚂蚁
263	0	哪个不是新新名词？	宅男	丁克	日范儿	同性恋
264	0	哪个不是时尚的事物？	走秀	shopping	拍艺术照	吃饭
265	0	哪个不是“范儿”的解释？	气质	外貌	派头	口音
266	0	哪个是历史上的女君主？	汉武帝	路易十四	伊丽莎白	秦始皇
267	0	第一次工业革命标志是？	蒸汽机的发明	电气化	微电子技术的发展和普遍应用	技术革命
268	0	二战爆发的时间是1939年9月几号？	1	2	3	4
269	0	哪个人曾经是美国元首？	凯撒	罗斯福	比卡丘	拿破仑
270	0	男同性恋叫“同志”，女同性恋叫做？	“姐姐”	“拉拉”	“妹妹”	“玻璃”
271	0	《灌篮高手》里，晴子暗恋的人是？	樱木花道	仙道	流川枫	宫城良田
272	0	蜡笔小新的狗叫做？	小黑	小白	小宝	小花
273	0	米奇的女朋友叫做？	米妮	米娜	米露	米雪
274	0	睡美人是被什么东西刺到然后昏睡的？	玫瑰花	缝衣针	纺针	尖冰
275	0	白雪公主吃了什么然后“死了”？	桔子	梨	苹果	芒果
276	0	三只小猪里，第二只小猪的房子是什么材料建筑的？	草	砖头	木头	树枝
277	0	维尼的好朋友没有谁？	跳跳虎	小猪皮杰	小驴咿唷	小马
278	0	哪个不是迪士尼公司出品的动画片？	《美女与野兽》	《狮子王》	《小美人鱼》	《犬夜叉》
279	0	龙珠里悟空的儿子叫做？	悟吉塔	悟饭	饺子	小林
280	0	野比最害怕谁？	机器猫	小夫	爸爸	妈妈
281	0	甲骨文是写在哪上面的？ 	龟骨 	石头 	树木 	贝壳 
282	0	火影里背着个葫芦的是？	我爱罗　	你爱罗	我恨罗	我爱锣
283	0	青学的一年级正选是？	越前龙马	越后龙马	坂本龙马	越中龙马
284	0	灌高里有“电光火石”之称的是？	宫城良田	宫殿良田	宫城良地	宫城良土
285	0	被ＳＡＩ附身的是？	进藤光	进藤亮	进藤暗	进藤明
286	0	哪个不是洗发水品牌？	夏士莲	潘婷	伊卡璐	六神
287	0	3K党是哪个国家的组织？	意大利	美国	英国	德国
288	0	美国第十六任总统领导了拯救联邦和结束奴隶制度的伟大斗争，他是谁？	林肯	华盛顿	克林顿	罗斯福
289	0	火影里面，鸣人体内是几尾狐？	6	7	8	9
290	0	克里特岛的克诺索斯宫殿又叫做？	迷宫	花园	神庙	天台
291	0	特洛伊最著名的是？	赛马	木马	牧马	马术
292	0	罗马历史上最出名的古城？	泰姬陵	庞贝古城	玛雅	雅典
293	0	玛雅文明是在那个洲？	亚洲	大洋洲	中美洲	非洲
294	0	吴哥古迹是在哪个国家？	朝鲜	柬埔寨	哈萨克斯坦	越南
295	0	海底永远沉睡的宫殿是？	泰姬陵	亚特兰蒂斯	百慕大	米诺亚王宫
296	0	“空中花园”属于下面哪个古国？	古印度	古巴比伦	古希腊	古埃及
297	0	“奔奔族”所指的年龄段是？	1965-1975	1975-1985	1985-1995	1995-2005
298	0	《千与千寻》的导演是？	宫骏崎	野崎俊	宫崎骏	野俊崎
299	0	哪个不是宫崎骏的作品？	《千与千寻》	《天空之城》	《幽灵公主》	《犬夜叉》
300	0	《NANA》的作者是？	由贵香织里	细川由美子	矢泽爱	藤田惠美
301	0	柯南最喜欢的运动？	篮球	足球	乒乓球	游泳
