INT	INT	INT	STRING	STRING	INT	INT	STRING	INT	INT	INT	INT	STRING	INT	INT	INT	STRING	INT	INT	INT	STRING	INT	INT	INT
48	59	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	2542	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
49	59	-1	Combat	-1	-1	-1	-1	-1	-1	-1	1	BehaviorStateToSpeak	65	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
50	59	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	900	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
51	60	-1	Combat	-1	-1	59	-1	-1	-1	-1	-1	BehaviorStateToSkill	2542	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
52	60	-1	Combat	-1	-1	79	-1	-1	-1	-1	-1	BehaviorStateToSkill	2001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
53	60	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	900	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
54	70	-1	-1	OnDamage	-1	-1	-1	-1	-1	-1	1	BehaviorStateToSummon	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
55	70	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	900	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
56	100	-1	Idle	-1	3	-1	-1	-1	-1	-1	-1	BehaviorStateToSpeak	74	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
57	100	-1	Idle	-1	3	-1	-1	-1	-1	-1	-1	BehaviorStateToSpeak	75	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
58	101	-1	Idle	-1	1	-1	-1	-1	-1	-1	-1	BehaviorStateToSpeak	76	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
59	102	-1	-1	OnDamage	-1	-1	-1	-1	-1	-1	1	BehaviorStateToSummon	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
60	102	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	922	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
61	200	-1	Combat	-1	10	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	1001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
62	200	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	920	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
63	201	-1	Combat	-1	-1	-1	-1	-1	-1	-1	5	BehaviorStateToSkill	1001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
64	202	-1	-1	OnDamage	-1	-1	-1	-1	-1	-1	1	BehaviorStateToSummon	7	-1	-1	-1	-1	-1	-1	-1	0	-1	-1
65	202	-1	Combat	-1	3	-1	-1	-1	-1	-1	1	BehaviorStateToSpeak	24	2	-1	-1	-1	-1	-1	-1	-1	-1	-1
66	202	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	920	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
67	203	-1	Combat	-1	-1	30	-1	-1	-1	-1	1	BehaviorStateToSkill	2001	-1	-1	BehaviorStateToSpeak	25	1	-1	-1	-1	-1	-1
68	203	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	922	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
69	203	-1	Combat	-1	-1	-1	-1	-1	-1	-1	1	BehaviorStateToSpeak	21	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
70	203	-1	-1	OnDamage	-1	-1	-1	-1	-1	-1	1	BehaviorStateToSummon	7	-1	-1	-1	-1	1	-1	-1	0	-1	-1
71	204	-1	Combat	-1	-1	30	-1	-1	-1	-1	1	BehaviorStateToSkill	4005	-1	-1	BehaviorStateToSpeak	29	1	-1	-1	-1	-1	-1
72	204	-1	Combat	-1	-1	50	-1	-1	-1	-1	2	BehaviorStateToSkill	2002	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
73	204	-1	Combat	-1	-1	50	-1	-1	-1	-1	1	BehaviorStateToSpeak	28	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
74	204	-1	Combat	-1	40	80	-1	-1	-1	-1	-1	BehaviorStateToSkill	1016	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
75	204	-1	Combat	-1	-1	80	-1	-1	-1	-1	1	BehaviorStateToSpeak	27	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
76	204	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	920	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
77	204	-1	-1	OnDamage	-1	-1	-1	-1	-1	-1	1	BehaviorStateToSpeak	26	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
78	205	-1	-1	OnDamage	-1	-1	-1	-1	-1	-1	1	BehaviorStateToSummon	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
79	205	-1	Combat	-1	40	80	-1	-1	-1	-1	-1	BehaviorStateToSkill	2002	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
80	205	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	920	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
81	206	-1	-1	OnDamage	-1	-1	-1	-1	-1	-1	1	BehaviorStateToSummon	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
82	206	-1	Combat	-1	-1	20	-1	-1	-1	-1	1	BehaviorStateToSkill	3000	-1	-1	BehaviorStateToSpeak	71	1	-1	-1	-1	-1	-1
83	206	-1	Combat	-1	-1	50	-1	-1	-1	-1	1	BehaviorStateToSkill	2424	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
84	206	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	3001	-1	-1	BehaviorStateToSpeak	70	1	-1	-1	-1	-1	-1
85	206	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	920	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
86	207	-1	-1	OnDamage	-1	-1	-1	-1	-1	-1	1	BehaviorStateToSummon	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
87	207	-1	Combat	-1	-1	50	-1	-1	-1	-1	1	BehaviorStateToSkill	2209	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
88	207	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	2002	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
89	207	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	920	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
90	208	-1	-1	OnDamage	-1	-1	-1	-1	-1	-1	1	BehaviorStateToSummon	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
91	208	-1	Combat	-1	-1	90	-1	-1	-1	-1	-1	BehaviorStateToSkill	2139	-1	-1	BehaviorStateToSpeak	73	1	-1	-1	-1	-1	-1
92	208	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	2002	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
93	208	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	920	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
94	209	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	1008	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
95	209	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	922	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
96	210	-1	Combat	-1	50	30	-1	-1	-1	-1	-1	BehaviorStateToSkill	3002	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
97	210	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	920	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
98	211	-1	Combat	-1	-1	80	-1	-1	-1	-1	-1	BehaviorStateToSkill	4001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
99	211	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	921	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
100	212	-1	Combat	-1	-1	30	-1	-1	-1	-1	-1	BehaviorStateToSkill	3002	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
101	212	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	4003	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
102	212	-1	Combat	-1	50	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	1007	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
103	212	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	920	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
104	213	-1	Combat	-1	5	90	-1	-1	-1	-1	1	BehaviorStateToFlee	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
105	213	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	920	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
106	214	-1	Combat	-1	-1	50	-1	-1	-1	-1	1	BehaviorStateToSkill	4001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
107	214	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	920	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
108	215	-1	Combat	-1	-1	10	-1	-1	-1	-1	1	BehaviorStateToSkill	3000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
109	215	-1	Combat	-1	-1	50	-1	-1	-1	-1	1	BehaviorStateToSkill	3000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
110	215	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	4017	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
111	215	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	2002	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
112	215	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	920	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
113	216	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	4009	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
114	216	-1	Combat	-1	2	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	4001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
115	216	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	921	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
116	217	-1	-1	OnDamage	-1	50	-1	-1	-1	-1	1	BehaviorStateToSpeak	31	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
117	217	-1	Combat	-1	50	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	1016	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
118	217	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	920	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
119	218	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	920	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
120	219	-1	Combat	-1	-1	30	-1	-1	-1	-1	-1	BehaviorStateToSkill	3002	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
121	219	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	4000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
122	219	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	920	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
123	220	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	4006	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
124	220	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	1011	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
125	220	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	922	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
126	221	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	4008	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
127	221	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	2000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
128	221	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	920	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
129	222	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	3007	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
130	222	-1	Combat	-1	50	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	1001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
131	222	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	920	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
132	223	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
133	223	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	2001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
134	223	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	920	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
135	224	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	4002	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
136	224	-1	Combat	-1	50	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	1016	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
137	224	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	920	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
138	225	-1	Combat	-1	50	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	1016	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
139	225	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	1013	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
140	225	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	920	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
141	226	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
142	226	-1	Combat	-1	50	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	1016	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
143	226	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	920	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
144	227	-1	Combat	-1	-1	30	-1	-1	-1	-1	-1	BehaviorStateToSkill	3002	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
145	227	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	3001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
146	227	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	921	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
147	228	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	4000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
148	228	-1	Combat	-1	50	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	1016	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
149	228	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	920	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
150	229	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	4004	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
151	229	-1	Combat	-1	50	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	1016	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
152	229	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	1013	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
153	229	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	921	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
154	230	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	5001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
155	230	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	1013	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
156	230	-1	Combat	-1	50	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	1001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
157	230	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	920	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
158	231	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	5001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
159	231	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
160	231	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	4003	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
161	231	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	1013	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
162	231	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	920	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
163	232	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	5000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
164	232	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	920	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
165	233	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	1003	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
166	233	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	922	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
167	234	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	4004	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
168	234	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	920	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
169	235	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	4006	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
170	235	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	921	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
171	236	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	1001	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
172	236	-1	Combat	-1	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	920	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
173	237	-1	-1	OnDamage	-1	-1	-1	-1	-1	-1	-1	BehaviorStateToSkill	4000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
