INT	INT	STRING	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
31	9	领地·缅甸	0	test/test.scn	5	0	1	-1	1	100	100	31	20	-1
32	9	领地·印度河	0	test/test.scn	5	0	1	-1	1	100	100	32	20	-1
33	11	领地·婆罗洲	0	yewai_poluozhou/yewai_poluozhou.scn	5	0	1	-1	1	100	100	33	20	-1
34	12	领地·爪哇岛	0	test/test.scn	5	0	1	-1	1	100	100	34	20	-1
35	9	领地·苏门答腊	0	test/test.scn	5	0	1	-1	1	100	100	35	20	-1
36	2	大都·南	1	city_dadunanjiao/city_dadunanjiao.scn	5	0	0	-1	0	100	100	36	20	-1
37	2	大都·东	1	city_dadudongjiao/city_dadudongjiao.scn	5	0	0	-1	0	100	100	37	20	-1
38	2	大都·西	1	city_daduxijiao/city_daduxijiao.scn	5	0	0	-1	0	100	100	38	20	-1
39	2	天上人间·麒麟	1	city_goulanyuan/city_goulanyuan.scn	5	0	0	-1	0	100	100	39	20	-1
40	9	天上人间·梦聊	1	fuben_daguanyuan/fuben_daguanyuan.scn	5	0	0	-1	0	100	100	40	20	-1
41	9	大都·皇城	1	city_huanggong/city_huanggong.scn	5	0	0	-1	0	100	100	41	20	-1
42	9	大都·大都密室	1	migong_dadushinei01/migong_dadushinei01.scn	5	0	0	-1	1	100	100	42	20	-1
43	9	大都·大都民居	1	migong_dadushinei02/migong_dadushinei02.scn	5	0	0	-1	1	100	100	43	20	-1
44	9	test	0	test/test.scn	5	0	1	-1	1	100	100	44	20	-1
45	9	test	0	test/test.scn	5	0	1	-1	1	100	100	45	20	-1
46	9	公共场景预留	0	test/test.scn	5	0	1	-1	1	100	100	46	20	-1
47	9	公共场景预留	0	test/test.scn	5	0	1	-1	1	100	100	47	20	-1
48	9	公共场景预留	0	test/test.scn	5	0	1	-1	1	100	100	48	20	-1
49	9	公共场景预留	0	test/test.scn	5	0	1	-1	1	100	100	49	20	-1
50	0	王国·楼兰王城	1	city_loulanwangcheng/city_loulanwangcheng.scn	0	0	1	-1	1	123	57	50	16	0
51	1	边塞·楼兰边塞	1	city_loulanbiansai/city_loulanbiansai.scn	0	0	1	-1	1	274	196	51	16	-1
52	2	罕难河剧场	1	juqing_hannanhecaoyuan/juqing_hannanhecaoyuan.scn	0	0	0	-1	1	55	204	52	16	-1
53	2	乞颜部剧场	1	juqing_qiyanbu/juqing_qiyanbu.scn	0	0	0	-1	1	86	174	53	16	-1
54	2	克烈部剧场	1	juqing_keliebu/juqing_keliebu.scn	0	0	0	-1	1	175	64	54	16	-1
55	2	塔塔尔部剧场	1	juqing_tataerbu/juqing_tataerbu.scn	0	0	0	-1	1	199	202	55	16	-1
56	2	乃蛮部剧场	1	juqing_naimanbu/juqing_naimanbu.scn	0	0	0	-1	1	59	91	56	16	-1
57	2	居庸关剧场	1	juqing_juyongguan/juqing_juyongguan.scn	0	0	0	-1	1	210	233	57	16	-1
58	2	王国·楼兰外城	1	city_loulanwaicheng/city_loulanwaicheng.scn	0	0	1	-1	1	95	105	58	16	-1
59	7	边塞·楼兰密室	1	migong_loulanshinei01/migong_loulanshinei01.scn	0	0	0	-1	0	191	29	59	16	-1
60	7	边塞·楼兰小屋	1	migong_loulanshinei02/migong_loulanshinei02.scn	0	0	0	-1	0	36	209	60	16	-1
61	7	边塞·楼兰民居	1	migong_loulanshinei03/migong_loulanshinei03.scn	0	0	0	-1	1	227	38	61	16	-1
62	7	王国·王国密室	1	migong_loulanshinei04/migong_loulanshinei04.scn	0	0	0	-1	1	100	100	62	16	-1
63	7	王国·王国小屋	1	migong_loulanshinei05/migong_loulanshinei05.scn	0	0	0	-1	1	100	100	63	16	-1
64	7	国家场景预留	0	test/test.scn	0	0	1	-1	1	100	100	64	16	-1
65	8	国家场景预留	0	test/test.scn	0	0	1	-1	1	100	100	65	16	-1
66	8	国家场景预留	0	test/test.scn	0	0	1	-1	1	100	100	66	16	-1
67	8	国家场景预留	0	test/test.scn	0	0	1	-1	1	100	100	67	16	-1
68	2	矿洞	1	city_huangjinkuangdong/city_huangjinkuangdong.scn	0	0	1	-1	1	100	100	68	16	-1
69	18	国家场景预留	0	test/test.scn	0	0	1	-1	1	100	100	69	16	-1
70	18	国家场景预留	0	test/test.scn	0	0	1	-1	1	100	100	70	16	-1
71	18	国家场景预留	0	test/test.scn	0	0	1	-1	1	100	100	71	16	-1
72	18	国家场景预留	0	test/test.scn	0	0	1	-1	1	100	100	72	16	-1
73	7	测试王城	0	test/test.scn	0	0	1	-1	1	100	100	73	16	-1
74	8	测试边境	0	test/test.scn	0	0	1	-1	1	100	100	74	16	-1
75	3	突厥里海魔岛迷宫	1	migong_tujuelihaiemodao/migong_tujuelihaiemodao.scn	0	0	1	-1	1	100	100	75	16	-1
76	3	边塞·楼兰暗道	1	migong_loulanandao/migong_loulanandao.scn	0	0	1	-1	1	64	64	76	16	-1
77	10	国家场景预留	0	test/test.scn	0	0	1	-1	1	64	64	77	16	-1
78	10	俄罗斯公国	0	test/test.scn	0	0	1	-1	1	100	100	78	16	-1
79	4	圣山地宫	1	migong_shengshan/migong_shengshan.scn	0	0	0	-1	1	100	100	79	16	-1
80	4	对马岛迷宫	1	migong_duimadaomigong/migong_duimadaomigong.scn	0	0	1	-1	1	18	103	80	16	-1
81	18	公共场景预留	0	test/test.scn	0	0	1	-1	1	64	95	81	16	-1
82	4	国家场景预留	0	test/test.scn	0	0	1	-1	1	100	100	82	16	-1
83	5	圣山地宫	1	migong_shengshan/migong_shengshan.scn	0	0	0	-1	1	100	100	83	16	-1
84	6	圣山地宫	1	migong_shengshan/migong_shengshan.scn	0	0	0	-1	1	100	100	84	16	-1
85	7	圣山地宫	1	migong_shengshan/migong_shengshan.scn	0	0	0	-1	1	100	100	85	16	-1
86	8	王国·楼兰古道	1	yewai_conglinggudao/yewai_conglinggudao.scn	0	0	1	-1	1	100	100	86	16	-1
87	2	王国·楼兰猎场	1	yewai_conglingmuchang/yewai_conglingmuchang.scn	0	0	0	-1	1	100	100	87	16	-1
88	17	国家场景预留	0	test/test.scn	0	0	1	-1	1	100	100	88	16	-1
89	9	王国·楼兰马场	1	yewai_conglingcaochang/yewai_conglingcaochang.scn	0	0	0	-1	1	100	100	89	16	0
90	19	东瀛岛	0	migong_dongyingdao/migong_dongyingdao.scn	0	0	0	-1	1	100	100	90	16	-1
91	10	轮回之地	1	city_lunhuizhidi/city_lunhuizhidi.scn	0	0	0	-1	1	100	100	91	20	-1
92	9	国家场景预留	0	test/test.scn	0	0	1	-1	1	100	100	92	16	-1
93	11	副本场景预留	1	test/test.scn	0	1	1	-1	1	100	100	93	20	-1
94	11	副本场景预留	1	test/test.scn	0	1	1	-1	1	100	100	94	20	-1
95	11	圣山地宫	1	migong_shengshan/migong_shengshan.scn	0	0	0	-1	1	100	100	95	20	-1
96	11	圣山地宫	1	migong_shengshan/migong_shengshan.scn	0	0	0	-1	1	100	100	96	16	-1
97	12	圣山地宫	1	migong_shengshan/migong_shengshan.scn	0	0	0	-1	1	100	100	97	16	-1
98	2	王国草原罕难河	1	yewai_hannanhecaoyuan/yewai_hannanhecaoyuan.scn	0	0	0	-1	1	100	100	98	16	-1
99	2	王国草原乞颜部	1	yewai_qiyanbu/yewai_qiyanbu.scn	0	0	0	-1	1	100	100	99	16	-1
100	13	王国草原塔塔尔	1	yewai_tataerbu/yewai_tataerbu.scn	0	0	0	-1	1	100	100	100	16	-1
101	13	王国草原克烈部	1	yewai_keliebu/yewai_keliebu.scn	0	0	0	-1	1	100	100	101	16	-1
102	13	王国草原乃蛮部	1	yewai_naimanbu/yewai_naimanbu.scn	0	0	0	-1	1	100	100	102	16	-1
103	14	王国草原居庸关	1	yewai_juyongguan/yewai_juyongguan.scn	0	0	0	-1	1	100	100	103	16	-1
104	14	王国迷宫一层	1	migong_loulanmigong1/migong_loulanmigong1.scn	0	0	0	-1	1	100	100	104	16	-1
105	14	王国迷宫二层	1	migong_loulanmigong2/migong_loulanmigong2.scn	0	0	0	-1	1	100	100	105	16	-1
106	14	王国迷宫三层	1	migong_loulanmigong3/migong_loulanmigong3.scn	0	0	0	-1	1	100	100	106	16	-1
107	14	王国迷宫四层	1	migong_loulanmigong4/migong_loulanmigong4.scn	0	0	0	-1	1	100	100	107	16	-1
108	14	王国迷宫五层	1	migong_loulanmigong5/migong_loulanmigong5.scn	0	0	0	-1	1	100	100	108	16	-1
109	14	王国迷宫六层	1	migong_loulanmigong6/migong_loulanmigong6.scn	0	0	0	-1	1	100	100	109	16	-1
110	14	王国迷宫七层	1	migong_loulanmigong7/migong_loulanmigong7.scn	0	0	0	-1	1	100	100	110	16	-1
111	14	王国迷宫八层	1	migong_loulanmigong8/migong_loulanmigong8.scn	0	0	0	-1	1	100	100	111	16	-1
112	11	圣山地宫	1	migong_shengshan/migong_shengshan.scn	0	0	0	-1	1	100	100	96	16	-1
113	12	圣山地宫	1	migong_shengshan/migong_shengshan.scn	0	0	0	-1	1	100	100	97	16	-1
114	9	国家场景预留	0	test/test.scn	0	0	1	-1	1	100	100	114	16	-1
115	9	国家场景预留	0	test/test.scn	0	0	1	-1	1	100	100	115	16	-1
116	9	国家场景预留	0	test/test.scn	0	0	1	-1	1	100	100	116	16	-1
117	9	国家场景预留	0	test/test.scn	0	0	1	-1	1	100	100	117	16	-1
118	9	国家场景预留	0	test/test.scn	0	0	1	-1	1	100	100	118	16	-1
119	9	国家场景预留	0	test/test.scn	0	0	1	-1	1	100	100	119	16	-1
120	9	国家场景预留	0	test/test.scn	0	0	1	-1	1	100	100	120	16	-1
121	9	国家场景预留	0	test/test.scn	0	0	1	-1	1	100	100	121	16	-1
122	9	国家场景预留	0	test/test.scn	0	0	1	-1	1	100	100	122	16	-1
123	9	国家场景预留	0	test/test.scn	0	0	1	-1	1	100	100	123	16	-1
124	9	国家场景预留	0	test/test.scn	0	0	1	-1	1	100	100	124	16	-1
125	9	国家场景预留	0	test/test.scn	0	0	1	-1	1	100	100	125	16	-1
126	9	国家场景预留	0	test/test.scn	0	0	1	-1	1	100	100	126	16	-1
127	9	国家场景预留	0	test/test.scn	0	0	1	-1	1	100	100	127	16	-1
128	9	国家场景预留	0	test/test.scn	0	0	1	-1	1	100	100	128	16	-1
129	9	国家场景预留	0	test/test.scn	0	0	1	-1	1	100	100	129	16	-1
130	9	国家场景预留	0	test/test.scn	0	0	1	-1	1	100	100	130	16	-1
131	9	国家场景预留	0	test/test.scn	0	0	1	-1	1	100	100	131	16	-1
132	15	副本场景预留	1	test/test.scn	0	1	1	-1	1	100	100	132	20	-1
133	15	副本场景预留	1	test/test.scn	0	1	1	-1	1	100	100	133	20	-1
134	15	副本场景预留	1	test/test.scn	0	1	1	-1	1	100	100	134	20	-1
135	15	副本场景预留	1	test/test.scn	0	1	1	-1	1	100	100	135	20	-1
136	15	副本场景预留	1	test/test.scn	0	1	1	-1	1	100	100	136	20	-1
137	15	副本场景预留	1	test/test.scn	0	1	1	-1	1	100	100	137	20	-1
138	15	副本场景预留	1	test/test.scn	0	1	1	-1	1	100	100	138	20	-1
139	15	副本场景预留	1	test/test.scn	0	1	1	-1	1	100	100	139	20	-1
140	15	副本场景预留	1	test/test.scn	0	1	1	-1	1	100	100	140	20	-1
141	15	副本场景预留	1	test/test.scn	0	1	1	-1	1	100	100	141	20	-1
142	15	副本场景预留	1	test/test.scn	0	1	1	-1	1	100	100	142	20	-1
143	15	副本场景预留	1	test/test.scn	0	1	1	-1	1	100	100	143	20	-1
144	15	副本场景预留	1	test/test.scn	0	1	1	-1	1	39	83	144	20	-1
145	15	副本场景预留	1	test/test.scn	0	1	1	-1	1	39	83	145	20	-1
146	15	副本场景预留	1	test/test.scn	0	1	1	-1	1	39	83	146	20	-1
147	15	副本场景预留	1	test/test.scn	0	1	1	-1	1	39	83	147	20	-1
148	0	国王战场	1	zhanchang_guowangzhanchang/zhanchang_guowangzhanchang.scn	6	2	1	0	1	100	100	149	20	-1
149	0	国王战场	1	zhanchang_guowangzhanchang/zhanchang_guowangzhanchang.scn	6	2	1	0	1	100	100	149	20	-1
150	0	王国·天山王城	1	city_tianshanwangcheng/city_tianshanwangcheng.scn	1	0	1	-1	1	123	57	150	17	1
151	1	边塞·天山边塞	1	city_tianshanbiansai/city_tianshanbiansai.scn	1	0	1	-1	1	274	196	151	17	-1
152	3	罕难河剧场	1	juqing_hannanhecaoyuan/juqing_hannanhecaoyuan.scn	1	0	0	-1	1	55	204	152	17	-1
153	3	乞颜部剧场	1	juqing_qiyanbu/juqing_qiyanbu.scn	1	0	0	-1	1	86	174	153	17	-1
154	2	克烈部剧场	1	juqing_keliebu/juqing_keliebu.scn	1	0	0	-1	1	175	64	154	17	-1
155	2	塔塔尔部剧场	1	juqing_tataerbu/juqing_tataerbu.scn	1	0	0	-1	1	199	202	155	17	-1
156	2	乃蛮部剧场	1	juqing_naimanbu/juqing_naimanbu.scn	1	0	0	-1	1	59	91	156	17	-1
157	2	居庸关剧场	1	juqing_juyongguan/juqing_juyongguan.scn	1	0	0	-1	1	210	233	157	17	-1
158	2	王国·天山外城	1	city_tianshanwaicheng/city_tianshanwaicheng.scn	1	0	1	-1	1	95	105	158	17	-1
159	9	边塞·天山密室	1	migong_tianshanshinei01/migong_tianshanshinei01.scn	1	0	0	-1	0	191	29	159	17	-1
160	9	边塞·天山小屋	1	migong_tianshanshinei02/migong_tianshanshinei02.scn	1	0	0	-1	0	36	209	160	17	-1
161	9	边塞·天山民居	1	migong_tianshanshinei03/migong_tianshanshinei03.scn	1	0	0	-1	1	227	38	161	17	-1
162	6	王国·王国密室	1	migong_tianshanshinei04/migong_tianshanshinei04.scn	1	0	0	-1	1	100	100	162	17	-1
163	7	王国·王国小屋	1	migong_tianshanshinei05/migong_tianshanshinei05.scn	1	0	0	-1	1	100	100	163	17	-1
164	10	国家场景预留	0	test/test.scn	1	0	1	-1	1	100	100	164	17	-1
165	10	国家场景预留	0	test/test.scn	1	0	1	-1	1	100	100	165	17	-1
166	10	国家场景预留	0	test/test.scn	1	0	1	-1	1	100	100	166	17	-1
167	10	国家场景预留	0	test/test.scn	1	0	1	-1	1	100	100	167	17	-1
168	2	矿洞	1	city_huangjinkuangdong/city_huangjinkuangdong.scn	1	0	1	-1	1	100	100	168	17	-1
169	68	国家场景预留	0	test/test.scn	1	0	1	-1	1	100	100	169	17	-1
170	68	国家场景预留	0	test/test.scn	1	0	1	-1	1	100	100	170	17	-1
171	68	国家场景预留	0	test/test.scn	1	0	1	-1	1	100	100	171	17	-1
172	68	国家场景预留	0	test/test.scn	1	0	1	-1	1	100	100	172	17	-1
173	12	测试王城	0	test/test.scn	1	0	1	-1	1	100	100	173	17	-1
174	12	测试边境	0	test/test.scn	1	0	1	-1	1	100	100	174	17	-1
175	2	突厥里海魔岛迷宫	1	migong_tujuelihaiemodao/migong_tujuelihaiemodao.scn	1	0	1	-1	1	100	100	175	17	-1
176	2	边塞·天山暗道	1	migong_tianshanandao/migong_tianshanandao.scn	1	0	1	-1	1	64	64	176	17	-1
177	14	国家场景预留	0	test/test.scn	1	0	1	-1	1	64	64	177	17	-1
178	2	俄罗斯公国	1	test/test.scn	1	0	1	-1	1	100	100	178	17	-1
179	3	圣山地宫	1	migong_shengshan/migong_shengshan.scn	1	0	0	-1	1	100	100	179	17	-1
180	4	对马岛迷宫	1	migong_duimadaomigong/migong_duimadaomigong.scn	1	0	1	-1	1	18	103	180	17	-1
181	68	国家场景预留	0	test/test.scn	1	0	1	-1	1	64	95	181	17	-1
182	7	国家场景预留	0	test/test.scn	1	0	1	-1	1	100	100	182	17	-1
183	4	圣山地宫	1	migong_shengshan/migong_shengshan.scn	1	0	0	-1	1	100	100	183	17	-1
184	5	圣山地宫	1	migong_shengshan/migong_shengshan.scn	1	0	0	-1	1	100	100	184	17	-1
185	6	圣山地宫	1	migong_shengshan/migong_shengshan.scn	1	0	0	-1	1	100	100	185	17	-1
186	7	王国·天山古道	1	yewai_hetiangudao/yewai_hetiangudao.scn	1	0	1	-1	1	100	100	186	17	-1
187	3	王国·天山猎场	1	yewai_hetianmuchang/yewai_hetianmuchang.scn	1	0	0	-1	1	100	100	187	17	-1
188	21	国家场景预留	0	test/test.scn	1	0	1	-1	1	100	100	188	17	-1
189	7	王国·天山马场	1	yewai_hetiancaochang/yewai_hetiancaochang.scn	1	0	0	-1	1	100	100	189	17	1
190	7	东瀛岛	1	migong_dongyingdao/migong_dongyingdao.scn	1	0	0	-1	1	100	100	190	17	-1
191	8	轮回之地	1	city_lunhuizhidi/city_lunhuizhidi.scn	1	0	0	-1	1	100	100	191	20	-1
192	9	国家场景预留	0	test/test.scn	1	0	1	-1	1	100	100	192	17	-1
193	9	副本场景预留	1	test/test.scn	1	1	1	-1	1	100	100	193	20	-1
194	9	副本场景预留	1	test/test.scn	1	1	1	-1	1	100	100	194	20	-1
195	10	圣山地宫	1	migong_shengshan/migong_shengshan.scn	1	0	0	-1	1	100	100	195	20	-1
196	10	圣山地宫	1	migong_shengshan/migong_shengshan.scn	1	0	0	-1	1	100	100	196	17	-1
197	11	圣山地宫	1	migong_shengshan/migong_shengshan.scn	1	0	0	-1	1	100	100	197	17	-1
198	3	王国草原罕难河	1	yewai_hannanhecaoyuan/yewai_hannanhecaoyuan.scn	1	0	0	-1	1	100	100	198	17	-1
199	3	王国草原乞颜部	1	yewai_qiyanbu/yewai_qiyanbu.scn	1	0	0	-1	1	100	100	199	17	-1
200	12	王国草原塔塔尔	1	yewai_tataerbu/yewai_tataerbu.scn	1	0	0	-1	1	100	100	200	17	-1
201	12	王国草原克烈部	1	yewai_keliebu/yewai_keliebu.scn	1	0	0	-1	1	100	100	201	17	-1
202	12	王国草原乃蛮部	1	yewai_naimanbu/yewai_naimanbu.scn	1	0	0	-1	1	100	100	202	17	-1
203	12	王国草原居庸关	1	yewai_juyongguan/yewai_juyongguan.scn	1	0	0	-1	1	100	100	203	17	-1
204	12	王国迷宫一层	1	migong_tianshanmigong1/migong_tianshanmigong1.scn	1	0	0	-1	1	100	100	204	17	-1
205	12	王国迷宫二层	1	migong_tianshanmigong2/migong_tianshanmigong2.scn	1	0	0	-1	1	100	100	205	17	-1
206	12	王国迷宫三层	1	migong_tianshanmigong3/migong_tianshanmigong3.scn	1	0	0	-1	1	100	100	206	17	-1
207	12	王国迷宫四层	1	migong_tianshanmigong4/migong_tianshanmigong4.scn	1	0	0	-1	1	100	100	207	17	-1
208	12	王国迷宫五层	1	migong_tianshanmigong5/migong_tianshanmigong5.scn	1	0	0	-1	1	100	100	208	17	-1
209	12	王国迷宫六层	1	migong_tianshanmigong6/migong_tianshanmigong6.scn	1	0	0	-1	1	100	100	209	17	-1
210	12	王国迷宫七层	1	migong_tianshanmigong7/migong_tianshanmigong7.scn	1	0	0	-1	1	100	100	210	17	-1
211	12	王国迷宫八层	1	migong_tianshanmigong8/migong_tianshanmigong8.scn	1	0	0	-1	1	100	100	211	17	-1
212	11	圣山地宫	1	migong_shengshan/migong_shengshan.scn	1	0	0	-1	1	100	100	96	17	-1
213	12	圣山地宫	1	migong_shengshan/migong_shengshan.scn	1	0	0	-1	1	100	100	97	17	-1
214	9	国家场景预留	0	test/test.scn	1	0	1	-1	1	100	100	214	17	-1
215	9	国家场景预留	0	test/test.scn	1	0	1	-1	1	100	100	215	17	-1
216	9	国家场景预留	0	test/test.scn	1	0	1	-1	1	100	100	216	17	-1
217	9	国家场景预留	0	test/test.scn	1	0	1	-1	1	100	100	217	17	-1
218	9	国家场景预留	0	test/test.scn	1	0	1	-1	1	100	100	218	17	-1
219	9	国家场景预留	0	test/test.scn	1	0	1	-1	1	100	100	219	17	-1
220	9	国家场景预留	0	test/test.scn	1	0	1	-1	1	100	100	220	17	-1
221	9	国家场景预留	0	test/test.scn	1	0	1	-1	1	100	100	221	17	-1
222	9	国家场景预留	0	test/test.scn	1	0	1	-1	1	100	100	222	17	-1
223	9	国家场景预留	0	test/test.scn	1	0	1	-1	1	100	100	223	17	-1
224	9	国家场景预留	0	test/test.scn	1	0	1	-1	1	100	100	224	17	-1
225	9	国家场景预留	0	test/test.scn	1	0	1	-1	1	100	100	225	17	-1
226	9	国家场景预留	0	test/test.scn	1	0	1	-1	1	100	100	226	17	-1
227	9	国家场景预留	0	test/test.scn	1	0	1	-1	1	100	100	227	17	-1
228	9	国家场景预留	0	test/test.scn	1	0	1	-1	1	100	100	228	17	-1
229	9	国家场景预留	0	test/test.scn	1	0	1	-1	1	100	100	229	17	-1
230	9	国家场景预留	0	test/test.scn	1	0	1	-1	1	100	100	230	17	-1
231	9	国家场景预留	0	test/test.scn	1	0	1	-1	1	100	100	231	17	-1
232	13	副本场景预留	1	test/test.scn	1	1	1	-1	1	100	100	232	20	-1
233	13	副本场景预留	1	test/test.scn	1	1	1	-1	1	100	100	233	20	-1
234	13	副本场景预留	1	test/test.scn	1	1	1	-1	1	100	100	234	20	-1
235	13	副本场景预留	1	test/test.scn	1	1	1	-1	1	100	100	235	20	-1
236	13	副本场景预留	1	test/test.scn	1	1	1	-1	1	100	100	236	20	-1
237	13	副本场景预留	1	test/test.scn	1	1	1	-1	1	100	100	237	20	-1
238	13	副本场景预留	1	test/test.scn	1	1	1	-1	1	100	100	238	20	-1
239	13	副本场景预留	1	test/test.scn	1	1	1	-1	1	100	100	239	20	-1
240	13	副本场景预留	1	test/test.scn	1	1	1	-1	1	100	100	240	20	-1
241	13	副本场景预留	1	test/test.scn	1	1	1	-1	1	100	100	241	20	-1
242	13	副本场景预留	1	test/test.scn	1	1	1	-1	1	100	100	242	20	-1
243	13	副本场景预留	1	test/test.scn	1	1	1	-1	1	100	100	243	20	-1
244	13	副本场景预留	1	test/test.scn	1	1	1	-1	1	39	83	244	20	-1
245	13	副本场景预留	1	test/test.scn	1	1	1	-1	1	39	83	245	20	-1
246	13	副本场景预留	1	test/test.scn	1	1	1	-1	1	39	83	246	20	-1
247	13	副本场景预留	1	test/test.scn	1	1	1	-1	1	39	83	247	20	-1
248	14	国王战场	1	zhanchang_guowangzhanchang/zhanchang_guowangzhanchang.scn	6	2	1	0	1	100	100	248	20	-1
249	14	国王战场	1	zhanchang_guowangzhanchang/zhanchang_guowangzhanchang.scn	1	2	1	0	1	100	100	249	20	-1
250	0	王国·昆仑王城	1	city_kunlunwangcheng/city_kunlunwangcheng.scn	3	0	1	-1	1	123	57	250	18	2
251	1	边塞·昆仑边塞	1	city_kunlunbiansai/city_kunlunbiansai.scn	3	0	1	-1	1	274	196	251	18	-1
252	3	罕难河剧场	1	juqing_hannanhecaoyuan/juqing_hannanhecaoyuan.scn	3	0	0	-1	1	55	204	252	18	-1
253	3	乞颜部剧场	1	juqing_qiyanbu/juqing_qiyanbu.scn	3	0	0	-1	1	86	174	253	18	-1
254	1	克烈部剧场	1	juqing_keliebu/juqing_keliebu.scn	3	0	0	-1	1	175	64	254	18	-1
255	1	塔塔尔部剧场	1	juqing_tataerbu/juqing_tataerbu.scn	3	0	0	-1	1	199	202	255	18	-1
256	1	乃蛮部剧场	1	juqing_naimanbu/juqing_naimanbu.scn	3	0	0	-1	1	59	91	256	18	-1
257	1	居庸关剧场	1	juqing_juyongguan/juqing_juyongguan.scn	3	0	0	-1	1	210	233	257	18	-1
258	1	王国·昆仑外城	1	city_kunlunwaicheng/city_kunlunwaicheng.scn	3	0	1	-1	1	95	105	258	18	-1
259	10	边塞·昆仑密室	1	migong_kunlunshinei01/migong_kunlunshinei01.scn	3	0	0	-1	0	191	29	259	18	-1
260	10	边塞·昆仑小屋	1	migong_kunlunshinei02/migong_kunlunshinei02.scn	3	0	0	-1	0	36	209	260	18	-1
261	10	边塞·昆仑民居	1	migong_kunlunshinei03/migong_kunlunshinei03.scn	3	0	0	-1	1	227	38	261	18	-1
