INT	STRING	INT	STRING	STRING	STRING	STRING	STRING	STRING
25	把画着刀的图标找出来	5	set:CJSH_Monster_touxiang_13 image:CJSH_Monster_touxiang_13_6	set:CJSH_Monster_touxiang_13 image:CJSH_Monster_touxiang_13_7	set:CJSH_Monster_touxiang_13 image:CJSH_Monster_touxiang_13_8	set:CJSH_Monster_touxiang_13 image:CJSH_Monster_touxiang_13_9	set:CJSH_Monster_touxiang_13 image:CJSH_Monster_touxiang_13_10	set:CJSH_equip_dao_2 image:CJSH_equip_dao_2_6
26	把画着刀的图标找出来	4	set:CJSH_Monster_touxiang_13 image:CJSH_Monster_touxiang_13_7	set:CJSH_Monster_touxiang_13 image:CJSH_Monster_touxiang_13_8	set:CJSH_Monster_touxiang_13 image:CJSH_Monster_touxiang_13_9	set:CJSH_Monster_touxiang_13 image:CJSH_Monster_touxiang_13_10	set:CJSH_equip_dao_2 image:CJSH_equip_dao_2_7	set:CJSH_Monster_touxiang_13 image:CJSH_Monster_touxiang_13_2
27	把画着刀的图标找出来	3	set:CJSH_Monster_touxiang_13 image:CJSH_Monster_touxiang_13_8	set:CJSH_Monster_touxiang_13 image:CJSH_Monster_touxiang_13_9	set:CJSH_Monster_touxiang_13 image:CJSH_Monster_touxiang_13_10	set:CJSH_equip_dao_2 image:CJSH_equip_dao_2_8	set:CJSH_Monster_touxiang_13 image:CJSH_Monster_touxiang_13_2	set:CJSH_Monster_touxiang_13 image:CJSH_Monster_touxiang_13_3
28	把画着刀的图标找出来	2	set:CJSH_Monster_touxiang_13 image:CJSH_Monster_touxiang_13_9	set:CJSH_Monster_touxiang_13 image:CJSH_Monster_touxiang_13_10	set:CJSH_equip_dao_2 image:CJSH_equip_dao_2_9	set:CJSH_Monster_touxiang_13 image:CJSH_Monster_touxiang_13_2	set:CJSH_Monster_touxiang_13 image:CJSH_Monster_touxiang_13_3	set:CJSH_Monster_touxiang_13 image:CJSH_Monster_touxiang_13_4
29	把画着刀的图标找出来	1	set:CJSH_Monster_touxiang_13 image:CJSH_Monster_touxiang_13_10	set:CJSH_equip_dao_2 image:CJSH_equip_dao_2_10	set:CJSH_Monster_touxiang_13 image:CJSH_Monster_touxiang_13_2	set:CJSH_Monster_touxiang_13 image:CJSH_Monster_touxiang_13_3	set:CJSH_Monster_touxiang_13 image:CJSH_Monster_touxiang_13_4	set:CJSH_Monster_touxiang_13 image:CJSH_Monster_touxiang_13_5
30	把画着箭的图标找出来	0	set:CJSH_equip_jianzhi_1 image:CJSH_equip_jianzhi_1_1	set:CJSH_Monster_touxiang_10 image:CJSH_Monster_touxiang_10_2	set:CJSH_Monster_touxiang_10 image:CJSH_Monster_touxiang_10_3	set:CJSH_Monster_touxiang_10 image:CJSH_Monster_touxiang_10_4	set:CJSH_Monster_touxiang_10 image:CJSH_Monster_touxiang_10_5	set:CJSH_Monster_touxiang_10 image:CJSH_Monster_touxiang_10_6
31	把画着箭的图标找出来	1	set:CJSH_Monster_touxiang_10 image:CJSH_Monster_touxiang_10_2	set:CJSH_equip_jianzhi_1 image:CJSH_equip_jianzhi_1_2	set:CJSH_Monster_touxiang_10 image:CJSH_Monster_touxiang_10_4	set:CJSH_Monster_touxiang_10 image:CJSH_Monster_touxiang_10_5	set:CJSH_Monster_touxiang_10 image:CJSH_Monster_touxiang_10_6	set:CJSH_Monster_touxiang_10 image:CJSH_Monster_touxiang_10_7
32	把画着箭的图标找出来	2	set:CJSH_Monster_touxiang_10 image:CJSH_Monster_touxiang_10_3	set:CJSH_Monster_touxiang_10 image:CJSH_Monster_touxiang_10_4	set:CJSH_equip_jianzhi_1 image:CJSH_equip_jianzhi_1_5	set:CJSH_Monster_touxiang_10 image:CJSH_Monster_touxiang_10_6	set:CJSH_Monster_touxiang_10 image:CJSH_Monster_touxiang_10_7	set:CJSH_Monster_touxiang_10 image:CJSH_Monster_touxiang_10_8
33	把画着箭的图标找出来	3	set:CJSH_Monster_touxiang_10 image:CJSH_Monster_touxiang_10_4	set:CJSH_Monster_touxiang_10 image:CJSH_Monster_touxiang_10_5	set:CJSH_Monster_touxiang_10 image:CJSH_Monster_touxiang_10_6	set:CJSH_equip_jianzhi_1 image:CJSH_equip_jianzhi_1_6	set:CJSH_Monster_touxiang_10 image:CJSH_Monster_touxiang_10_8	set:CJSH_Monster_touxiang_10 image:CJSH_Monster_touxiang_10_9
34	把画着箭的图标找出来	4	set:CJSH_Monster_touxiang_10 image:CJSH_Monster_touxiang_10_5	set:CJSH_Monster_touxiang_10 image:CJSH_Monster_touxiang_10_6	set:CJSH_Monster_touxiang_10 image:CJSH_Monster_touxiang_10_7	set:CJSH_Monster_touxiang_10 image:CJSH_Monster_touxiang_10_8	set:CJSH_equip_jianzhi_1 image:CJSH_equip_jianzhi_1_9	set:CJSH_Monster_touxiang_10 image:CJSH_Monster_touxiang_10_10
35	把画着箭的图标找出来	5	set:CJSH_Monster_touxiang_10 image:CJSH_Monster_touxiang_10_6	set:CJSH_Monster_touxiang_10 image:CJSH_Monster_touxiang_10_7	set:CJSH_Monster_touxiang_10 image:CJSH_Monster_touxiang_10_8	set:CJSH_Monster_touxiang_10 image:CJSH_Monster_touxiang_10_9	set:CJSH_Monster_touxiang_10 image:CJSH_Monster_touxiang_10_10	set:CJSH_equip_jianzhi_1 image:CJSH_equip_jianzhi_1_10
36	把画着箭的图标找出来	4	set:CJSH_Monster_touxiang_10 image:CJSH_Monster_touxiang_10_7	set:CJSH_Monster_touxiang_10 image:CJSH_Monster_touxiang_10_8	set:CJSH_Monster_touxiang_10 image:CJSH_Monster_touxiang_10_9	set:CJSH_Monster_touxiang_10 image:CJSH_Monster_touxiang_10_10	set:CJSH_equip_jianzhi_1 image:CJSH_equip_jianzhi_1_8	set:CJSH_Monster_touxiang_10 image:CJSH_Monster_touxiang_10_2
37	把画着箭的图标找出来	3	set:CJSH_Monster_touxiang_10 image:CJSH_Monster_touxiang_10_8	set:CJSH_Monster_touxiang_10 image:CJSH_Monster_touxiang_10_9	set:CJSH_Monster_touxiang_10 image:CJSH_Monster_touxiang_10_10	set:CJSH_equip_jianzhi_1 image:CJSH_equip_jianzhi_1_7	set:CJSH_Monster_touxiang_10 image:CJSH_Monster_touxiang_10_2	set:CJSH_Monster_touxiang_10 image:CJSH_Monster_touxiang_10_3
38	把画着箭的图标找出来	2	set:CJSH_Monster_touxiang_10 image:CJSH_Monster_touxiang_10_9	set:CJSH_Monster_touxiang_10 image:CJSH_Monster_touxiang_10_10	set:CJSH_equip_jianzhi_1 image:CJSH_equip_jianzhi_1_4	set:CJSH_Monster_touxiang_10 image:CJSH_Monster_touxiang_10_2	set:CJSH_Monster_touxiang_10 image:CJSH_Monster_touxiang_10_3	set:CJSH_Monster_touxiang_10 image:CJSH_Monster_touxiang_10_4
39	把画着箭的图标找出来	1	set:CJSH_Monster_touxiang_10 image:CJSH_Monster_touxiang_10_10	set:CJSH_equip_jianzhi_1 image:CJSH_equip_jianzhi_1_3	set:CJSH_Monster_touxiang_10 image:CJSH_Monster_touxiang_10_2	set:CJSH_Monster_touxiang_10 image:CJSH_Monster_touxiang_10_3	set:CJSH_Monster_touxiang_10 image:CJSH_Monster_touxiang_10_4	set:CJSH_Monster_touxiang_10 image:CJSH_Monster_touxiang_10_5
40	把画着弓的图标找出来	0	set:CJSH_equip_gong_2 image:CJSH_equip_gong_2_1	set:CJSH_item_baoshi_6 image:CJSH_item_baoshi_6_2	set:CJSH_item_baoshi_6 image:CJSH_item_baoshi_6_3	set:CJSH_item_baoshi_6 image:CJSH_item_baoshi_6_4	set:CJSH_item_baoshi_6 image:CJSH_item_baoshi_6_5	set:CJSH_item_baoshi_6 image:CJSH_item_baoshi_6_6
41	把画着弓的图标找出来	1	set:CJSH_item_baoshi_6 image:CJSH_item_baoshi_6_2	set:CJSH_equip_gong_2 image:CJSH_equip_gong_2_2	set:CJSH_item_baoshi_6 image:CJSH_item_baoshi_6_4	set:CJSH_item_baoshi_6 image:CJSH_item_baoshi_6_5	set:CJSH_item_baoshi_6 image:CJSH_item_baoshi_6_6	set:CJSH_item_baoshi_6 image:CJSH_item_baoshi_6_7
42	把画着弓的图标找出来	2	set:CJSH_item_baoshi_6 image:CJSH_item_baoshi_6_3	set:CJSH_item_baoshi_6 image:CJSH_item_baoshi_6_4	set:CJSH_equip_gong_2 image:CJSH_equip_gong_2_4	set:CJSH_item_baoshi_6 image:CJSH_item_baoshi_6_6	set:CJSH_item_baoshi_6 image:CJSH_item_baoshi_6_7	set:CJSH_item_baoshi_6 image:CJSH_item_baoshi_6_8
43	把画着弓的图标找出来	3	set:CJSH_item_baoshi_6 image:CJSH_item_baoshi_6_4	set:CJSH_item_baoshi_6 image:CJSH_item_baoshi_6_5	set:CJSH_item_baoshi_6 image:CJSH_item_baoshi_6_6	set:CJSH_equip_gong_2 image:CJSH_equip_gong_2_6	set:CJSH_item_baoshi_6 image:CJSH_item_baoshi_6_8	set:CJSH_item_baoshi_6 image:CJSH_item_baoshi_6_9
44	把画着弓的图标找出来	4	set:CJSH_item_baoshi_6 image:CJSH_item_baoshi_6_5	set:CJSH_item_baoshi_6 image:CJSH_item_baoshi_6_6	set:CJSH_item_baoshi_6 image:CJSH_item_baoshi_6_7	set:CJSH_item_baoshi_6 image:CJSH_item_baoshi_6_8	set:CJSH_equip_gong_2 image:CJSH_equip_gong_2_8	set:CJSH_item_baoshi_6 image:CJSH_item_baoshi_6_10
45	把画着弓的图标找出来	5	set:CJSH_item_baoshi_6 image:CJSH_item_baoshi_6_6	set:CJSH_item_baoshi_6 image:CJSH_item_baoshi_6_7	set:CJSH_item_baoshi_6 image:CJSH_item_baoshi_6_8	set:CJSH_item_baoshi_6 image:CJSH_item_baoshi_6_9	set:CJSH_item_baoshi_6 image:CJSH_item_baoshi_6_10	set:CJSH_equip_gong_2 image:CJSH_equip_gong_2_10
46	把画着弓的图标找出来	4	set:CJSH_item_baoshi_6 image:CJSH_item_baoshi_6_7	set:CJSH_item_baoshi_6 image:CJSH_item_baoshi_6_8	set:CJSH_item_baoshi_6 image:CJSH_item_baoshi_6_9	set:CJSH_item_baoshi_6 image:CJSH_item_baoshi_6_10	set:CJSH_equip_gong_2 image:CJSH_equip_gong_2_9	set:CJSH_item_baoshi_6 image:CJSH_item_baoshi_6_2
47	把画着弓的图标找出来	3	set:CJSH_item_baoshi_6 image:CJSH_item_baoshi_6_8	set:CJSH_item_baoshi_6 image:CJSH_item_baoshi_6_9	set:CJSH_item_baoshi_6 image:CJSH_item_baoshi_6_10	set:CJSH_equip_gong_2 image:CJSH_equip_gong_2_7	set:CJSH_item_baoshi_6 image:CJSH_item_baoshi_6_2	set:CJSH_item_baoshi_6 image:CJSH_item_baoshi_6_3
48	把画着弓的图标找出来	2	set:CJSH_item_baoshi_6 image:CJSH_item_baoshi_6_9	set:CJSH_item_baoshi_6 image:CJSH_item_baoshi_6_10	set:CJSH_equip_gong_2 image:CJSH_equip_gong_2_5	set:CJSH_item_baoshi_6 image:CJSH_item_baoshi_6_2	set:CJSH_item_baoshi_6 image:CJSH_item_baoshi_6_3	set:CJSH_item_baoshi_6 image:CJSH_item_baoshi_6_4
49	把画着弓的图标找出来	1	set:CJSH_item_baoshi_6 image:CJSH_item_baoshi_6_10	set:CJSH_equip_gong_2 image:CJSH_equip_gong_2_3	set:CJSH_item_baoshi_6 image:CJSH_item_baoshi_6_2	set:CJSH_item_baoshi_6 image:CJSH_item_baoshi_6_3	set:CJSH_item_baoshi_6 image:CJSH_item_baoshi_6_4	set:CJSH_item_baoshi_6 image:CJSH_item_baoshi_6_5
50	把画着盾牌的图标找出来	0	set:CJSH_equip_dun_2 image:CJSH_equip_dun_2_1	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_2	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_3	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_4	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_5	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_6
51	把画着盾牌的图标找出来	1	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_2	set:CJSH_equip_dun_2 image:CJSH_equip_dun_2_3	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_4	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_5	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_6	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_7
52	把画着盾牌的图标找出来	2	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_3	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_4	set:CJSH_equip_dun_2 image:CJSH_equip_dun_2_4	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_6	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_7	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_8
53	把画着盾牌的图标找出来	3	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_4	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_5	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_6	set:CJSH_equip_dun_2 image:CJSH_equip_dun_2_7	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_8	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9
54	把画着盾牌的图标找出来	4	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_5	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_6	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_7	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_8	set:CJSH_equip_dun_2 image:CJSH_equip_dun_2_8	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_10
55	把画着盾牌的图标找出来	5	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_6	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_7	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_8	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_10	set:CJSH_equip_dun_2 image:CJSH_equip_dun_2_10
56	把画着盾牌的图标找出来	4	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_7	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_8	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_10	set:CJSH_equip_dun_2 image:CJSH_equip_dun_2_9	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_2
57	把画着盾牌的图标找出来	3	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_8	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_10	set:CJSH_equip_dun_2 image:CJSH_equip_dun_2_6	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_2	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_3
58	把画着盾牌的图标找出来	2	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_9	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_10	set:CJSH_equip_dun_2 image:CJSH_equip_dun_2_5	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_2	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_3	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_4
59	把画着盾牌的图标找出来	1	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_10	set:CJSH_equip_dun_2 image:CJSH_equip_dun_2_2	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_2	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_3	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_4	set:CJSH_item_biaoqing_icon_1 image:CJSH_item_biaoqing_icon_1_5
