INT	INT	INT
338	2	-1
339	3	-1
340	2	-1
341	2	-1
342	1	-1
343	1	-1
344	3	-1
345	1	-1
346	2	-1
347	3	-1
348	1	-1
349	0	-1
350	3	-1
351	1	-1
352	3	-1
353	1	-1
354	2	-1
355	3	-1
356	2	-1
357	3	-1
358	3	-1
359	2	-1
360	1	-1
361	2	-1
362	0	-1
363	2	-1
364	2	-1
365	1	-1
366	0	-1
367	0	-1
368	3	-1
369	1	-1
370	3	-1
371	2	-1
372	3	-1
373	1	-1
374	0	-1
375	0	-1
376	2	-1
377	1	-1
378	2	-1
379	1	-1
380	2	-1
381	2	-1
382	1	-1
383	0	-1
384	3	-1
385	2	-1
386	2	-1
387	3	-1
388	3	-1
389	3	-1
390	3	-1
391	2	-1
392	0	-1
393	1	-1
394	1	-1
395	3	-1
396	0	-1
397	1	-1
398	2	-1
399	2	-1
400	0	-1
401	3	-1
402	3	-1
403	2	-1
404	3	-1
405	3	-1
406	1	-1
407	2	-1
408	0	-1
409	2	-1
410	2	-1
411	1	-1
412	2	-1
413	1	-1
414	1	-1
415	1	-1
416	3	-1
417	0	-1
418	0	-1
419	0	-1
420	1	-1
421	1	-1
422	1	-1
423	1	-1
424	0	-1
425	1	-1
426	1	-1
427	1	-1
428	0	-1
429	1	-1
430	0	-1
431	1	-1
432	1	-1
433	0	-1
434	2	-1
435	0	-1
436	0	-1
437	3	-1
438	0	-1
439	0	-1
440	1	-1
441	0	-1
442	3	-1
443	2	-1
444	1	-1
445	1	-1
446	0	-1
447	0	-1
448	1	-1
449	0	-1
450	1	-1
451	0	-1
452	2	-1
453	0	-1
454	0	-1
455	3	-1
456	3	-1
457	0	-1
458	2	-1
459	2	-1
460	2	-1
461	3	-1
462	2	-1
463	1	-1
464	0	-1
465	2	-1
466	0	-1
467	3	-1
468	0	-1
469	2	-1
470	3	-1
471	0	-1
472	1	-1
473	0	-1
474	0	-1
475	2	-1
476	2	-1
477	3	-1
478	3	-1
479	0	-1
480	3	-1
481	3	-1
482	1	-1
483	0	-1
484	1	-1
485	2	-1
486	3	-1
487	0	-1
488	0	-1
489	1	-1
490	2	-1
491	0	-1
492	3	-1
493	1	-1
494	2	-1
495	3	-1
496	2	-1
497	0	-1
498	0	-1
499	1	-1
500	2	-1
501	0	-1
502	3	-1
503	1	-1
504	0	-1
505	2	-1
506	0	-1
507	2	-1
508	1	-1
509	0	-1
510	2	-1
511	3	-1
512	0	-1
513	1	-1
514	0	-1
515	2	-1
516	1	-1
517	0	-1
518	2	-1
519	1	-1
520	0	-1
521	3	-1
522	1	-1
523	3	-1
524	0	-1
525	2	-1
526	1	-1
527	0	-1
528	2	-1
529	0	-1
530	0	-1
531	2	-1
532	3	-1
533	0	-1
534	0	-1
535	0	-1
536	3	-1
537	0	-1
538	0	-1
539	2	-1
540	1	-1
541	3	-1
542	0	-1
543	0	-1
544	3	-1
545	3	-1
546	3	-1
547	0	-1
548	0	-1
549	2	-1
550	3	-1
551	2	-1
552	0	-1
553	2	-1
554	1	-1
555	0	-1
556	2	-1
557	1	-1
558	0	-1
559	1	-1
560	3	-1
561	3	-1
562	3	-1
563	0	-1
564	1	-1
565	3	-1
566	2	-1
567	1	-1
568	2	-1
569	1	-1
570	1	-1
571	2	-1
572	0	-1
573	3	-1
574	1	-1
575	1	-1
576	0	-1
577	3	-1
578	2	-1
579	0	-1
580	3	-1
581	3	-1
582	0	-1
583	0	-1
584	0	-1
585	1	-1
586	3	-1
587	0	-1
588	2	-1
589	0	-1
590	2	-1
591	0	-1
592	1	-1
593	1	-1
594	2	-1
595	2	-1
596	0	-1
597	3	-1
598	0	-1
599	1	-1
600	2	-1
601	1	-1
602	3	-1
603	3	-1
604	3	-1
605	0	-1
606	0	-1
607	0	-1
608	3	-1
609	3	-1
610	3	-1
611	1	-1
612	0	-1
613	0	-1
614	1	-1
615	0	-1
616	3	-1
617	0	-1
618	2	-1
619	1	-1
620	3	-1
621	2	-1
622	1	-1
623	1	-1
624	2	-1
625	0	-1
626	3	-1
627	3	-1
628	2	-1
629	0	-1
630	0	-1
631	0	-1
632	0	-1
633	0	-1
634	0	-1
635	1	-1
636	1	-1
637	1	-1
638	0	-1
639	2	-1
640	3	-1
641	0	-1
642	1	-1
643	0	-1
644	0	-1
645	0	-1
646	2	-1
647	2	-1
648	1	-1
649	2	-1
650	2	-1
651	0	-1
652	2	-1
653	2	-1
654	0	-1
655	1	-1
656	1	-1
657	0	-1
658	0	-1
659	2	-1
660	3	-1
661	3	-1
662	1	-1
663	3	-1
664	0	-1
665	0	-1
666	3	-1
667	1	-1
668	0	-1
669	2	-1
670	2	-1
671	3	-1
672	0	-1
673	0	-1
674	1	-1
675	2	-1
676	1	-1
677	0	-1
678	2	-1
679	0	-1
680	2	-1
681	3	-1
682	2	-1
683	1	-1
684	3	-1
685	0	-1
686	0	-1
687	2	-1
688	1	-1
689	0	-1
690	1	-1
691	0	-1
692	2	-1
693	2	-1
694	0	-1
695	3	-1
696	1	-1
697	0	-1
698	0	-1
699	3	-1
700	0	-1
701	1	-1
702	2	-1
703	0	-1
704	2	-1
705	1	-1
706	0	-1
707	3	-1
708	0	-1
709	2	-1
710	1	-1
711	1	-1
712	2	-1
713	2	-1
714	1	-1
715	0	-1
716	3	-1
717	2	-1
718	0	-1
719	2	-1
720	0	-1
721	2	-1
722	3	-1
723	3	-1
724	3	-1
725	1	-1
726	1	-1
727	0	-1
728	3	-1
729	1	-1
730	0	-1
731	2	-1
732	2	-1
733	1	-1
734	3	-1
735	2	-1
736	1	-1
737	2	-1
738	1	-1
739	2	-1
740	3	-1
741	2	-1
742	3	-1
743	1	-1
744	0	-1
745	3	-1
746	1	-1
747	0	-1
748	3	-1
749	2	-1
750	3	-1
751	0	-1
752	0	-1
753	2	-1
754	3	-1
755	2	-1
756	2	-1
757	2	-1
758	2	-1
759	2	-1
760	1	-1
761	0	-1
762	0	-1
763	3	-1
764	0	-1
765	3	-1
766	1	-1
767	0	-1
768	2	-1
769	0	-1
770	2	-1
771	2	-1
772	1	-1
773	1	-1
774	3	-1
775	0	-1
776	0	-1
777	1	-1
778	0	-1
779	3	-1
780	2	-1
781	3	-1
782	0	-1
783	0	-1
784	2	-1
785	3	-1
786	0	-1
787	0	-1
788	1	-1
789	1	-1
790	3	-1
791	3	-1
792	3	-1
793	2	-1
794	1	-1
795	2	-1
796	2	-1
797	3	-1
798	1	-1
799	3	-1
800	3	-1
801	3	-1
802	1	-1
803	3	-1
804	1	-1
805	0	-1
806	0	-1
807	1	-1
808	2	-1
809	3	-1
810	2	-1
811	2	-1
812	1	-1
813	0	-1
814	3	-1
815	1	-1
816	3	-1
817	0	-1
818	1	-1
819	0	-1
820	0	-1
821	0	-1
822	1	-1
823	2	-1
824	3	-1
825	0	-1
826	1	-1
827	0	-1
828	0	-1
829	3	-1
830	1	-1
831	2	-1
832	0	-1
833	1	-1
834	3	-1
835	1	-1
836	2	-1
837	1	-1
838	0	-1
839	0	-1
840	2	-1
841	2	-1
842	3	-1
843	0	-1
844	2	-1
845	3	-1
846	0	-1
847	0	-1
848	2	-1
849	1	-1
850	0	-1
851	3	-1
852	1	-1
853	0	-1
854	1	-1
855	0	-1
856	1	-1
857	3	-1
858	1	-1
859	3	-1
860	0	-1
861	2	-1
862	0	-1
863	1	-1
864	0	-1
865	0	-1
866	2	-1
867	1	-1
868	1	-1
869	2	-1
870	0	-1
871	2	-1
872	3	-1
873	0	-1
874	0	-1
875	1	-1
876	1	-1
877	2	-1
878	1	-1
879	2	-1
880	2	-1
881	1	-1
882	0	-1
883	1	-1
884	1	-1
885	2	-1
886	0	-1
887	1	-1
888	3	-1
889	3	-1
890	2	-1
891	1	-1
892	2	-1
893	3	-1
894	2	-1
895	0	-1
896	1	-1
897	3	-1
898	1	-1
899	1	-1
900	1	-1
901	3	-1
902	1	-1
903	3	-1
904	1	-1
905	0	-1
906	2	-1
907	1	-1
908	2	-1
909	0	-1
910	2	-1
911	2	-1
912	1	-1
913	1	-1
914	2	-1
915	3	-1
916	2	-1
917	0	-1
918	0	-1
919	2	-1
920	2	-1
921	3	-1
922	1	-1
923	0	-1
924	2	-1
925	2	-1
926	0	-1
927	2	-1
928	3	-1
929	0	-1
930	2	-1
931	0	-1
932	3	-1
933	3	-1
934	2	-1
935	1	-1
936	0	-1
937	2	-1
938	3	-1
939	0	-1
940	3	-1
941	3	-1
942	1	-1
943	2	-1
944	1	-1
945	2	-1
946	2	-1
947	0	-1
948	2	-1
949	1	-1
950	3	-1
951	1	-1
952	3	-1
953	0	-1
954	2	-1
955	2	-1
956	0	-1
957	1	-1
958	1	-1
959	3	-1
960	3	-1
961	3	-1
962	2	-1
963	0	-1
964	1	-1
965	1	-1
966	2	-1
967	1	-1
968	2	-1
969	0	-1
970	2	-1
971	0	-1
972	3	-1
973	0	-1
974	1	-1
975	3	-1
976	0	-1
977	2	-1
978	2	-1
979	0	-1
980	1	-1
981	0	-1
982	2	-1
983	3	-1
984	1	-1
985	1	-1
986	0	-1
987	1	-1
988	0	-1
989	3	-1
990	3	-1
991	0	-1
992	1	-1
993	0	-1
994	1	-1
995	1	-1
996	0	-1
997	0	-1
998	1	-1
999	2	-1
1000	2	-1
1001	1	-1
1002	0	-1
1003	2	-1
1004	3	-1
1005	0	-1
1006	1	-1
1007	0	-1
1008	2	-1
1009	1	-1
1010	1	-1
1011	0	-1
1012	3	-1
1013	1	-1
1014	2	-1
1015	2	-1
1016	1	-1
1017	3	-1
1018	3	-1
1019	0	-1
1020	1	-1
1021	2	-1
1022	1	-1
1023	0	-1
1024	1	-1
1025	3	-1
1026	0	-1
1027	2	-1
1028	1	-1
1029	1	-1
1030	2	-1
1031	2	-1
1032	3	-1
1033	3	-1
1034	1	-1
1035	0	-1
1036	2	-1
1037	3	-1
1038	0	-1
1039	1	-1
1040	1	-1
1041	3	-1
1042	2	-1
1043	1	-1
1044	0	-1
1045	0	-1
1046	1	-1
1047	0	-1
1048	1	-1
1049	2	-1
1050	0	-1
1051	1	-1
1052	2	-1
1053	2	-1
1054	1	-1
1055	2	-1
1056	0	-1
1057	0	-1
1058	3	-1
1059	2	-1
1060	1	-1
1061	0	-1
1062	0	-1
1063	0	-1
1064	1	-1
1065	3	-1
1066	2	-1
1067	1	-1
1068	3	-1
1069	1	-1
1070	1	-1
1071	1	-1
1072	1	-1
1073	2	-1
1074	0	-1
1075	2	-1
1076	2	-1
1077	2	-1
1078	3	-1
1079	2	-1
1080	3	-1
1081	2	-1
1082	0	-1
1083	3	-1
1084	1	-1
1085	0	-1
1086	3	-1
1087	1	-1
1088	0	-1
1089	0	-1
1090	2	-1
1091	1	-1
1092	2	-1
1093	3	-1
1094	1	-1
1095	1	-1
1096	2	-1
1097	3	-1
1098	2	-1
1099	1	-1
1100	3	-1
1101	1	-1
1102	0	-1
1103	0	-1
1104	3	-1
1105	2	-1
1106	1	-1
1107	2	-1
1108	3	-1
1109	0	-1
1110	1	-1
1111	2	-1
1112	2	-1
1113	2	-1
1114	0	-1
1115	3	-1
1116	3	-1
1117	2	-1
1118	1	-1
1119	0	-1
1120	1	-1
1121	0	-1
1122	0	-1
1123	2	-1
1124	0	-1
1125	2	-1
1126	1	-1
1127	2	-1
1128	3	-1
1129	3	-1
1130	2	-1
1131	2	-1
1132	1	-1
1133	0	-1
1134	1	-1
1135	1	-1
1136	3	-1
1137	2	-1
1138	3	-1
1139	0	-1
1140	1	-1
1141	0	-1
1142	2	-1
1143	2	-1
1144	2	-1
1145	1	-1
1146	3	-1
1147	2	-1
1148	1	-1
1149	2	-1
1150	0	-1
1151	1	-1
1152	1	-1
1153	3	-1
1154	2	-1
1155	1	-1
1156	1	-1
1157	0	-1
1158	0	-1
1159	2	-1
1160	3	-1
1161	3	-1
1162	2	-1
1163	0	-1
1164	3	-1
1165	2	-1
1166	1	-1
1167	2	-1
1168	3	-1
1169	0	-1
1170	1	-1
1171	1	-1
1172	2	-1
1173	3	-1
1174	0	-1
1175	1	-1
1176	2	-1
1177	3	-1
1178	1	-1
1179	2	-1
1180	0	-1
1181	1	-1
1182	0	-1
1183	1	-1
1184	2	-1
1185	0	-1
1186	3	-1
1187	0	-1
1188	2	-1
1189	3	-1
1190	1	-1
1191	1	-1
1192	2	-1
1193	3	-1
1194	2	-1
1195	3	-1
1196	2	-1
1197	2	-1
1198	1	-1
1199	0	-1
1200	1	-1
1201	0	-1
1202	3	-1
1203	1	-1
1204	2	-1
1205	1	-1
1206	0	-1
1207	1	-1
1208	1	-1
1209	1	-1
1210	0	-1
1211	2	-1
1212	0	-1
1213	3	-1
1214	2	-1
1215	3	-1
1216	2	-1
1217	1	-1
1218	0	-1
1219	0	-1
1220	2	-1
1221	3	-1
1222	1	-1
1223	0	-1
1224	3	-1
1225	1	-1
1226	1	-1
1227	0	-1
1228	2	-1
1229	3	-1
1230	2	-1
1231	0	-1
1232	0	-1
1233	3	-1
1234	2	-1
1235	1	-1
1236	0	-1
1237	3	-1
1238	2	-1
1239	1	-1
1240	0	-1
1241	3	-1
1242	2	-1
1243	1	-1
1244	3	-1
1245	0	-1
1246	3	-1
1247	2	-1
1248	2	-1
1249	2	-1
1250	2	-1
1251	2	-1
1252	0	-1
1253	0	-1
1254	0	-1
1255	0	-1
1256	1	-1
1257	1	-1
1258	1	-1
1259	1	-1
1260	2	-1
1261	2	-1
1262	2	-1
1263	2	-1
1264	3	-1
1265	3	-1
1266	3	-1
1267	3	-1
1268	0	-1
1269	0	-1
1270	0	-1
1271	0	-1
1272	1	-1
1273	1	-1
1274	1	-1
1275	1	-1
1276	1	-1
1277	1	-1
1278	1	-1
1279	0	-1
1280	0	-1
1281	0	-1
1282	0	-1
1283	0	-1
1284	1	-1
1285	1	-1
1286	1	-1
1287	1	-1
1288	1	-1
1289	1	-1
1290	2	-1
1291	2	-1
1292	2	-1
1293	2	-1
1294	3	-1
1295	3	-1
1296	3	-1
1297	3	-1
1298	0	-1
1299	0	-1
1300	0	-1
1301	0	-1
1302	1	-1
1303	1	-1
1304	1	-1
1305	1	-1
1306	2	-1
1307	2	-1
1308	2	-1
1309	2	-1
1310	3	-1
1311	3	-1
1312	3	-1
1313	3	-1
1314	0	-1
1315	0	-1
1316	0	-1
1317	0	-1
1318	1	-1
1319	1	-1
1320	1	-1
1321	1	-1
1322	2	-1
1323	2	-1
1324	2	-1
1325	2	-1
1326	2	-1
1327	0	-1
1328	0	-1
1329	0	-1
1330	0	-1
1331	0	-1
1332	0	-1
1333	1	-1
1334	1	-1
1335	1	-1
1336	1	-1
1337	1	-1
1338	1	-1
1339	2	-1
1340	2	-1
1341	2	-1
1342	2	-1
1343	2	-1
1344	2	-1
1345	3	-1
1346	3	-1
1347	3	-1
1348	3	-1
1349	3	-1
1350	3	-1
1351	0	-1
1352	0	-1
1353	0	-1
1354	0	-1
1355	0	-1
1356	0	-1
1357	1	-1
1358	1	-1
1359	1	-1
1360	1	-1
1361	1	-1
1362	1	-1
1363	2	-1
1364	2	-1
1365	2	-1
1366	2	-1
1367	2	-1
1368	2	-1
1369	3	-1
1370	3	-1
1371	3	-1
1372	3	-1
1373	3	-1
1374	3	-1
1375	0	-1
1376	0	-1
1377	0	-1
1378	0	-1
1379	0	-1
1380	0	-1
1381	0	-1
1382	0	-1
1383	0	-1
1384	0	-1
1385	0	-1
1386	0	-1
1387	0	-1
1388	0	-1
1389	0	-1
1390	0	-1
1391	0	-1
1392	0	-1
1393	0	-1
1394	0	-1
1395	0	-1
1396	0	-1
1397	0	-1
1398	0	-1
1399	0	-1
1400	0	-1
1401	0	-1
1402	0	-1
1403	0	-1
1404	0	-1
1405	0	-1
1406	0	-1
1407	0	-1
1408	0	-1
1409	0	-1
1410	0	-1
1411	0	-1
1412	0	-1
1413	0	-1
1414	0	-1
1415	0	-1
1416	0	-1
1417	0	-1
1418	0	-1
1419	0	-1
1420	0	-1
1421	0	-1
1422	0	-1
1423	0	-1
1424	0	-1
1425	0	-1
1426	0	-1
1427	0	-1
1428	0	-1
1429	0	-1
1430	0	-1
1431	0	-1
1432	0	-1
1433	0	-1
1434	0	-1
1435	0	-1
1436	0	-1
1437	0	-1
1438	0	-1
1439	0	-1
1440	0	-1
1441	0	-1
1442	0	-1
1443	0	-1
1444	0	-1
1445	0	-1
1446	0	-1
1447	0	-1
1448	0	-1
1449	0	-1
1450	0	-1
1451	0	-1
1452	0	-1
1453	0	-1
1454	0	-1
1455	0	-1
1456	0	-1
1457	0	-1
1458	0	-1
1459	0	-1
1460	0	-1
1461	0	-1
1462	0	-1
1463	0	-1
1464	0	-1
1465	0	-1
1466	0	-1
1467	0	-1
1468	0	-1
1469	0	-1
1470	0	-1
1471	0	-1
1472	0	-1
1473	0	-1
1474	0	-1
1475	0	-1
1476	0	-1
1477	0	-1
1478	0	-1
1479	0	-1
1480	0	-1
1481	0	-1
1482	0	-1
1483	0	-1
1484	0	-1
1485	0	-1
1486	0	-1
1487	0	-1
1488	0	-1
1489	0	-1
1490	0	-1
1491	0	-1
1492	0	-1
1493	0	-1
1494	0	-1
1495	0	-1
1496	0	-1
1497	0	-1
1498	0	-1
1499	0	-1
1500	0	-1
1501	0	-1
1502	0	-1
1503	0	-1
1504	0	-1
1505	0	-1
1506	0	-1
1507	0	-1
1508	0	-1
1509	0	-1
1510	0	-1
1511	0	-1
1512	0	-1
1513	0	-1
1514	0	-1
1515	0	-1
1516	0	-1
1517	0	-1
1518	0	-1
1519	0	-1
1520	0	-1
1521	0	-1
1522	0	-1
1523	0	-1
1524	0	-1
1525	0	-1
1526	0	-1
1527	0	-1
1528	0	-1
1529	0	-1
1530	0	-1
1531	0	-1
1532	0	-1
1533	0	-1
1534	0	-1
1535	0	-1
1536	0	-1
1537	0	-1
1538	0	-1
1539	0	-1
1540	1	-1
1541	1	-1
1542	1	-1
1543	1	-1
1544	2	-1
1545	2	-1
1546	2	-1
1547	2	-1
1548	3	-1
1549	3	-1
1550	3	-1
1551	3	-1
1552	0	-1
1553	0	-1
1554	0	-1
1555	0	-1
1556	1	-1
1557	1	-1
1558	1	-1
1559	1	-1
1560	1	-1
1561	1	-1
1562	1	-1
1563	0	-1
1564	0	-1
1565	0	-1
1566	0	-1
1567	0	-1
1568	0	-1
1569	0	-1
1570	0	-1
1571	0	-1
1572	0	-1
1573	0	-1
1574	0	-1
1575	0	-1
1576	0	-1
1577	0	-1
1578	0	-1
1579	0	-1
1580	0	-1
1581	0	-1
1582	0	-1
1583	0	-1
1584	0	-1
1585	0	-1
1586	0	-1
1587	0	-1
1588	0	-1
1589	0	-1
1590	0	-1
1591	0	-1
1592	0	-1
1593	0	-1
1594	0	-1
1595	0	-1
1596	0	-1
1597	0	-1
1598	0	-1
1599	0	-1
1600	0	-1
1601	0	-1
1602	0	-1
1603	0	-1
1604	0	-1
1605	1	-1
1606	1	-1
1607	1	-1
1608	1	-1
1609	1	-1
1610	1	-1
1611	1	-1
1612	1	-1
1613	1	-1
1614	1	-1
1615	1	-1
1616	1	-1
1617	1	-1
1618	1	-1
1619	1	-1
1620	1	-1
1621	1	-1
1622	1	-1
1623	1	-1
1624	1	-1
1625	1	-1
1626	1	-1
1627	1	-1
1628	1	-1
1629	1	-1
1630	1	-1
1631	1	-1
1632	1	-1
1633	1	-1
1634	1	-1
1635	1	-1
1636	1	-1
1637	1	-1
1638	1	-1
1639	1	-1
1640	1	-1
1641	1	-1
1642	1	-1
1643	1	-1
1644	1	-1
1645	1	-1
1646	1	-1
1647	2	-1
1648	2	-1
1649	2	-1
1650	2	-1
1651	2	-1
1652	2	-1
1653	2	-1
1654	2	-1
1655	2	-1
1656	2	-1
1657	2	-1
1658	2	-1
1659	2	-1
1660	2	-1
1661	2	-1
1662	2	-1
1663	2	-1
1664	2	-1
1665	2	-1
1666	2	-1
1667	2	-1
1668	2	-1
1669	2	-1
1670	2	-1
1671	2	-1
1672	2	-1
1673	2	-1
1674	2	-1
1675	2	-1
1676	2	-1
1677	2	-1
1678	2	-1
1679	2	-1
1680	2	-1
1681	2	-1
1682	2	-1
1683	2	-1
1684	2	-1
1685	2	-1
1686	2	-1
1687	2	-1
1688	2	-1
1689	3	-1
1690	3	-1
1691	3	-1
1692	3	-1
1693	3	-1
1694	3	-1
1695	3	-1
1696	3	-1
1697	3	-1
1698	3	-1
1699	3	-1
1700	3	-1
1701	3	-1
1702	3	-1
1703	3	-1
1704	3	-1
1705	3	-1
1706	3	-1
1707	3	-1
1708	3	-1
1709	3	-1
1710	3	-1
1711	3	-1
1712	3	-1
1713	3	-1
1714	3	-1
1715	3	-1
1716	3	-1
1717	3	-1
1718	3	-1
1719	3	-1
1720	3	-1
1721	3	-1
1722	3	-1
1723	3	-1
1724	3	-1
1725	3	-1
1726	3	-1
1727	3	-1
1728	3	-1
1729	3	-1
1730	3	-1
1731	0	-1
1732	0	-1
1733	0	-1
1734	0	-1
1735	0	-1
1736	0	-1
1737	0	-1
1738	0	-1
1739	0	-1
1740	0	-1
1741	0	-1
1742	0	-1
1743	0	-1
1744	0	-1
1745	0	-1
1746	0	-1
1747	0	-1
1748	0	-1
1749	0	-1
1750	0	-1
1751	0	-1
1752	0	-1
1753	0	-1
1754	0	-1
1755	0	-1
1756	0	-1
1757	0	-1
1758	0	-1
1759	0	-1
1760	0	-1
1761	0	-1
1762	0	-1
1763	0	-1
1764	0	-1
1765	0	-1
1766	0	-1
1767	0	-1
1768	0	-1
1769	0	-1
1770	0	-1
1771	0	-1
1772	0	-1
1773	0	-1
1774	0	-1
1775	0	-1
1776	0	-1
1777	0	-1
1778	0	-1
1779	0	-1
1780	0	-1
1781	0	-1
1782	0	-1
1783	1	-1
1784	1	-1
1785	1	-1
1786	1	-1
1787	1	-1
1788	1	-1
1789	1	-1
1790	1	-1
1791	1	-1
1792	1	-1
1793	1	-1
1794	1	-1
1795	1	-1
1796	1	-1
1797	1	-1
1798	1	-1
1799	1	-1
1800	1	-1
1801	1	-1
1802	1	-1
1803	1	-1
1804	1	-1
1805	1	-1
1806	1	-1
1807	1	-1
1808	1	-1
1809	1	-1
1810	1	-1
1811	1	-1
1812	1	-1
1813	1	-1
1814	1	-1
1815	1	-1
1816	1	-1
1817	1	-1
1818	1	-1
1819	1	-1
1820	1	-1
1821	1	-1
1822	1	-1
1823	1	-1
1824	1	-1
1825	1	-1
1826	1	-1
1827	1	-1
1828	1	-1
1829	1	-1
1830	1	-1
1831	1	-1
1832	1	-1
1833	1	-1
1834	1	-1
1835	2	-1
1836	2	-1
1837	2	-1
1838	2	-1
1839	2	-1
1840	2	-1
1841	2	-1
1842	2	-1
1843	2	-1
1844	2	-1
1845	2	-1
1846	2	-1
1847	2	-1
1848	2	-1
1849	2	-1
1850	2	-1
1851	2	-1
1852	2	-1
1853	2	-1
1854	2	-1
1855	2	-1
1856	2	-1
1857	2	-1
1858	2	-1
1859	2	-1
1860	2	-1
1861	2	-1
1862	2	-1
1863	2	-1
1864	2	-1
1865	2	-1
1866	2	-1
1867	2	-1
1868	2	-1
1869	2	-1
1870	2	-1
