INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
54	2	1	0	1	0	2	1	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	2	2	1	0	2	1	0	1	0	2	1	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	2	2	1	0
55	1	2	0	0	0	1	1	1	1	0	1	1	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	0	1	2	0	0	0	1	1	1	1	0	1	1	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	0
56	1	2	1	1	0	2	2	0	1	0	1	1	1	2	0	1	1	1	2	0	1	1	2	1	0	1	1	1	1	0	1	2	1	1	0	2	2	0	1	0	1	1	1	2	0	1	1	1	2	0	1	1	2	1	0	1	1	1	1	0
57	2	1	0	1	0	2	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	2	2	1	0	2	1	0	1	0	2	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	2	2	1	0
58	1	2	0	1	0	2	1	0	1	0	1	1	0	2	0	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0	1	2	0	1	0	2	1	0	1	0	1	1	0	2	0	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0
59	1	2	0	1	0	2	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0	1	2	0	1	0	2	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0
60	1	1	0	0	0	1	1	0	1	0	1	1	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	0	1	1	0	0	0	1	1	0	1	0	1	1	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	0
61	2	2	1	1	0	2	2	1	1	0	1	1	1	2	0	1	1	1	2	0	1	1	2	1	0	1	2	2	1	0	2	2	1	1	0	2	2	1	1	0	1	1	1	2	0	1	1	1	2	0	1	1	2	1	0	1	2	2	1	0
62	1	2	0	1	0	2	1	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0	1	2	0	1	0	2	1	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0
63	1	2	0	1	0	2	1	1	1	0	1	1	0	2	0	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0	1	2	0	1	0	2	1	1	1	0	1	1	0	2	0	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0
64	2	1	0	1	0	2	1	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	2	2	1	0	2	1	0	1	0	2	1	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	2	2	1	0
65	1	2	0	0	0	1	1	1	1	0	1	1	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	0	1	2	0	0	0	1	1	1	1	0	1	1	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	0
66	1	2	1	1	0	2	2	0	1	0	1	1	1	2	0	1	1	1	2	0	1	1	2	1	0	1	1	1	1	0	1	2	1	1	0	2	2	0	1	0	1	1	1	2	0	1	1	1	2	0	1	1	2	1	0	1	1	1	1	0
67	2	1	0	1	0	2	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	2	2	1	0	2	1	0	1	0	2	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	2	2	1	0
68	1	2	0	1	0	2	1	0	1	0	1	1	0	2	0	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0	1	2	0	1	0	2	1	0	1	0	1	1	0	2	0	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0
69	1	2	0	1	0	2	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0	1	2	0	1	0	2	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0
70	1	1	0	0	0	1	1	0	1	0	1	1	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	0	1	1	0	0	0	1	1	0	1	0	1	1	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	0
71	2	2	1	1	0	2	2	1	1	0	1	1	1	2	0	1	1	1	2	0	1	1	2	1	0	1	2	2	1	0	2	2	1	1	0	2	2	1	1	0	1	1	1	2	0	1	1	1	2	0	1	1	2	1	0	1	2	2	1	0
72	1	2	0	1	0	2	1	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0	1	2	0	1	0	2	1	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0
73	1	2	0	1	0	2	1	1	1	0	1	1	0	2	0	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0	1	2	0	1	0	2	1	1	1	0	1	1	0	2	0	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0
74	2	1	0	1	0	2	1	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	2	2	1	0	2	1	0	1	0	2	1	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	2	2	1	0
75	1	2	0	0	0	1	1	1	1	0	1	1	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	0	1	2	0	0	0	1	1	1	1	0	1	1	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	0
76	1	2	1	1	0	2	2	0	1	0	1	1	1	2	0	1	1	1	2	0	1	1	2	1	0	1	1	1	1	0	1	2	1	1	0	2	2	0	1	0	1	1	1	2	0	1	1	1	2	0	1	1	2	1	0	1	1	1	1	0
77	2	1	0	1	0	2	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	2	2	1	0	2	1	0	1	0	2	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	2	2	1	0
78	1	2	0	1	0	2	1	0	1	0	1	1	0	2	0	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0	1	2	0	1	0	2	1	0	1	0	1	1	0	2	0	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0
79	1	2	0	1	0	2	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0	1	2	0	1	0	2	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0
80	1	1	0	0	0	1	1	0	1	0	1	1	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	0	1	1	0	0	0	1	1	0	1	0	1	1	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	0
81	2	2	1	1	0	2	2	1	1	0	1	1	1	2	0	1	1	1	2	0	1	1	2	1	0	1	2	2	1	0	2	2	1	1	0	2	2	1	1	0	1	1	1	2	0	1	1	1	2	0	1	1	2	1	0	1	2	2	1	0
82	1	2	0	1	0	2	1	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0	1	2	0	1	0	2	1	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0
83	1	2	0	1	0	2	1	1	1	0	1	1	0	2	0	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0	1	2	0	1	0	2	1	1	1	0	1	1	0	2	0	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0
84	2	1	0	1	0	2	1	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	2	2	1	0	2	1	0	1	0	2	1	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	2	2	1	0
85	1	2	0	0	0	1	1	1	1	0	1	1	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	0	1	2	0	0	0	1	1	1	1	0	1	1	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	0
86	1	2	1	1	0	2	2	0	1	0	1	1	1	2	0	1	1	1	2	0	1	1	2	1	0	1	1	1	1	0	1	2	1	1	0	2	2	0	1	0	1	1	1	2	0	1	1	1	2	0	1	1	2	1	0	1	1	1	1	0
87	2	1	0	1	0	2	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	2	2	1	0	2	1	0	1	0	2	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	2	2	1	0
88	1	2	0	1	0	2	1	0	1	0	1	1	0	2	0	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0	1	2	0	1	0	2	1	0	1	0	1	1	0	2	0	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0
89	1	2	0	1	0	2	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0	1	2	0	1	0	2	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0
90	1	1	0	0	0	1	1	0	1	0	1	1	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	0	1	1	0	0	0	1	1	0	1	0	1	1	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	0
91	2	2	1	1	0	2	2	1	1	0	1	1	1	2	0	1	1	1	2	0	1	1	2	1	0	1	2	2	1	0	2	2	1	1	0	2	2	1	1	0	1	1	1	2	0	1	1	1	2	0	1	1	2	1	0	1	2	2	1	0
92	1	2	0	1	0	2	1	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0	1	2	0	1	0	2	1	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0
93	1	2	0	1	0	2	1	1	1	0	1	1	0	2	0	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0	1	2	0	1	0	2	1	1	1	0	1	1	0	2	0	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0
94	2	1	0	1	0	2	1	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	2	2	1	0	2	1	0	1	0	2	1	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	2	2	1	0
95	1	2	0	0	0	1	1	1	1	0	1	1	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	0	1	2	0	0	0	1	1	1	1	0	1	1	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	0
96	1	2	1	1	0	2	2	0	1	0	1	1	1	2	0	1	1	1	2	0	1	1	2	1	0	1	1	1	1	0	1	2	1	1	0	2	2	0	1	0	1	1	1	2	0	1	1	1	2	0	1	1	2	1	0	1	1	1	1	0
97	2	1	0	1	0	2	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	2	2	1	0	2	1	0	1	0	2	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	2	2	1	0
98	1	2	0	1	0	2	1	0	1	0	1	1	0	2	0	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0	1	2	0	1	0	2	1	0	1	0	1	1	0	2	0	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0
99	1	2	0	1	0	2	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0	1	2	0	1	0	2	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0
100	1	1	0	0	0	1	1	0	1	0	1	1	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	0	1	1	0	0	0	1	1	0	1	0	1	1	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	0
101	2	2	1	1	0	2	2	1	1	0	1	1	1	2	0	1	1	1	2	0	1	1	2	1	0	1	2	2	1	0	2	2	1	1	0	2	2	1	1	0	1	1	1	2	0	1	1	1	2	0	1	1	2	1	0	1	2	2	1	0
102	1	2	0	1	0	2	1	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0	1	2	0	1	0	2	1	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	1	1	1	0
103	1	2	0	1	0	2	1	1	1	0	1	1	0	2	0	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0	1	2	0	1	0	2	1	1	1	0	1	1	0	2	0	1	1	1	1	0	0	1	1	1	0	0	1	1	1	0
104	2	1	0	1	0	2	1	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	2	2	1	0	2	1	0	1	0	2	1	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	2	2	1	0
105	1	2	0	0	0	1	1	1	1	0	1	1	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	0	1	2	0	0	0	1	1	1	1	0	1	1	0	1	0	1	1	0	1	0	0	1	1	0	0	0	1	1	0	0
106	1	2	1	1	0	2	2	0	1	0	1	1	1	2	0	1	1	1	2	0	1	1	2	1	0	1	1	1	1	0	1	2	1	1	0	2	2	0	1	0	1	1	1	2	0	1	1	1	2	0	1	1	2	1	0	1	1	1	1	0
107	2	1	0	1	0	2	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	2	2	1	0	2	1	0	1	0	2	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	2	1	0	1	2	2	1	0
