INT	INT	INT	INT	INT	INT	STRING	INT
516	374	752	212	889	800101	OnEncryptArith91	10800
517	492	745	853	290	800101	OnEncryptArith92	-1279531
518	346	107	870	794	800101	OnEncryptArith93	48806436
519	291	190	846	607	800101	OnEncryptArith94	1660980
520	790	408	379	780	800101	OnEncryptArith95	2331
521	342	388	180	434	800101	OnEncryptArith96	7725200
522	809	338	422	116	800101	OnEncryptArith97	6710529
523	293	816	883	642	800101	OnEncryptArith98	-3744
524	918	366	412	358	800101	OnEncryptArith99	-9792
525	332	590	714	535	800101	OnEncryptArith100	1731243
526	882	352	405	591	800101	OnEncryptArith1	5061
