INT	STRING	INT	INT	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING	INT	STRING
39	敏捷+生命值+远攻伤害+采集	50	30	2	3|4|9|10|37|38|43|44|20~29	22	1~12|20~29|35~46	14	3|4|9|10|37|38|43|44|20~29	166	25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
40	智力+生命值+魔攻伤害+活力上限	100	30	4	5|6|11|12|39|40|45|46|20~29	22	1~12|20~29|35~46	10	5|6|11|12|39|40|45|46|20~29	164	26	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
41	力量+生命值+近攻伤害+活力上限	100	30	0	1|2|7|8|35|36|41|42|20~29	22	1~12|20~29|35~46	12	1|2|7|8|35|36|41|42|20~29	164	26	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
42	敏捷+生命值+远攻伤害+活力上限	100	30	2	3|4|9|10|37|38|43|44|20~29	22	1~12|20~29|35~46	14	3|4|9|10|37|38|43|44|20~29	164	26	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
43	智力+魔功伤害+命中	100	40	22	1~6|20~23|35~40	4	5|6|11|12|39|40|45|46|20~29	10	5|6|11|12|39|40|45|46|20~29	50	7~12|24~29|41~46	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
44	体质+魔功伤害+命中	100	40	6	1~12|20~29|35~46	10	5|6|11|12|39|40|45|46|20~29	50	7~12|24~29|41~46	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
45	力量+近功伤害+命中	100	40	22	1~6|20~23|35~40	0	1|2|7|8|35|36|41|42|20~29	12	1|2|7|8|35|36|41|42|20~29	50	7~12|24~29|41~46	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
46	体质+近功伤害+命中	100	40	6	1~12|20~29|35~46	12	1|2|7|8|35|36|41|42|20~29	50	7~12|24~29|41~46	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
47	敏捷+远功伤害+命中	100	40	22	1~6|20~23|35~40	2	3|4|9|10|37|38|43|44|20~29	14	3|4|9|10|37|38|43|44|20~29	50	7~12|24~29|41~46	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
48	体质+远功伤害+命中	100	40	6	1~12|20~29|35~46	14	3|4|9|10|37|38|43|44|20~29	50	7~12|24~29|41~46	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
49	智力+魔功伤害+闪避	100	40	22	1|2|3|4|7|8|9|10|35|36|37|38|42|43|45|46	4	5|6|11|12|39|40|45|46|20~29	10	5|6|11|12|39|40|45|46|20~29	51	28	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
50	体质+魔功伤害+闪避	100	40	6	1~12|20~29|35~46	10	5|6|11|12|39|40|45|46|20~29	51	28	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
51	力量+近功伤害+闪避	100	40	22	3|4|5|6|9|10|11|12|37|38|39|40|43|44|45|46|37|38|39|40|43|44|45|46	0	1|2|7|8|35|36|41|42|20~29	12	1|2|7|8|35|36|41|42|20~29	51	28	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
52	体质+近功伤害+闪避	100	40	6	1~12|20~29|35~46	12	1|2|7|8|35|36|41|42|20~29	51	28	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
53	敏捷+远功伤害+闪避	100	40	22	1|2|5|6|7|8|11|12|35|36|39|40|41|42|45|46	2	3|4|9|10|37|38|43|44|20~29	14	3|4|9|10|37|38|43|44|20~29	51	28	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
54	体质+远功伤害+闪避	100	40	6	1~12|20~29|35~46	14	3|4|9|10|37|38|43|44|20~29	51	28	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
55	智力+生命值+魔功伤害+命中	100	40	4	5|6|11|12|39|40|45|46|20~29	22	1~12|20~29|35~46	10	5|6|11|12|39|40|45|46|20~29	50	7~12|24~29|41~46	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
56	力量+生命值+近功伤害+命中	100	40	0	1|2|7|8|35|36|41|42|20~29	22	1~12|20~29|35~46	12	1|2|7|8|35|36|41|42|20~29	50	7~12|24~29|41~46	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
57	敏捷+生命值+远功伤害+命中	100	40	2	3|4|9|10|37|38|43|44|20~29	22	1~12|20~29|35~46	14	3|4|9|10|37|38|43|44|20~29	50	7~12|24~29|41~46	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
58	智力+生命值+魔功伤害+闪避	100	40	4	5|6|11|12|39|40|45|46|20~29	22	1~12|20~29|35~46	10	5|6|11|12|39|40|45|46|20~29	51	28	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
59	力量+生命值+近功伤害+闪避	100	40	0	1|2|7|8|35|36|41|42|20~29	22	1~12|20~29|35~46	12	1|2|7|8|35|36|41|42|20~29	51	28	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
60	敏捷+生命值+远功伤害+闪避	100	40	2	3|4|9|10|37|38|43|44|20~29	22	1~12|20~29|35~46	14	3|4|9|10|37|38|43|44|20~29	51	28	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
61	智力+生命值+魔攻伤害+活力回复	50	40	4	5|6|11|12|39|40|45|46|20~29	22	1~12|20~29|35~46	10	5|6|11|12|39|40|45|46|20~29	165	24	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
62	力量+生命值+近攻伤害+活力回复	50	40	0	1|2|7|8|35|36|41|42|20~29	22	1~12|20~29|35~46	12	1|2|7|8|35|36|41|42|20~29	165	24	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
63	敏捷+生命值+远攻伤害+活力回复	50	40	2	3|4|9|10|37|38|43|44|20~29	22	1~12|20~29|35~46	14	3|4|9|10|37|38|43|44|20~29	165	24	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
64	智力+魔功伤害+暴击	100	60	22	1|2|3|4|7|8|9|10|35|36|37|38|42|43|45|46	4	5|6|11|12|39|40|45|46|20~29	10	5|6|11|12|39|40|45|46|20~29	53	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
65	体质+魔功伤害+暴击	100	60	6	1~12|20~29|35~46	10	5|6|11|12|39|40|45|46|20~29	53	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
66	力量+近功伤害+暴击	100	60	22	3|4|5|6|9|10|11|12|37|38|39|40|43|44|45|46|37|38|39|40|43|44|45|46	0	1|2|7|8|35|36|41|42|20~29	12	1|2|7|8|35|36|41|42|20~29	53	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
67	体质+近功伤害+暴击	100	60	6	1~12|20~29|35~46	12	1|2|7|8|35|36|41|42|20~29	53	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
68	敏捷+远功伤害+暴击	100	60	22	1|2|5|6|7|8|11|12|35|36|39|40|41|42|45|46	2	3|4|9|10|37|38|43|44|20~29	14	3|4|9|10|37|38|43|44|20~29	53	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
69	体质+远功伤害+暴击	100	60	6	1~12|20~29|35~46	14	3|4|9|10|37|38|43|44|20~29	53	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
70	智力+魔功伤害+韧性	100	60	22	1|2|3|4|7|8|9|10|35|36|37|38|42|43|45|46	4	5|6|11|12|39|40|45|46|20~29	10	5|6|11|12|39|40|45|46|20~29	54	26	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
71	体质+魔功伤害+韧性	100	60	6	1~12|20~29|35~46	10	5|6|11|12|39|40|45|46|20~29	54	26	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
72	力量+近功伤害+韧性	100	60	22	3|4|5|6|9|10|11|12|37|38|39|40|43|44|45|46|37|38|39|40|43|44|45|46	0	1|2|7|8|35|36|41|42|20~29	12	1|2|7|8|35|36|41|42|20~29	54	26	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
73	体质+近功伤害+韧性	100	60	6	1~12|20~29|35~46	12	1|2|7|8|35|36|41|42|20~29	54	26	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
74	敏捷+远功伤害+韧性	100	60	22	1|2|5|6|7|8|11|12|35|36|39|40|41|42|45|46	2	3|4|9|10|37|38|43|44|20~29	14	3|4|9|10|37|38|43|44|20~29	54	26	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
75	体质+远功伤害+韧性	100	60	6	1~12|20~29|35~46	14	3|4|9|10|37|38|43|44|20~29	54	26	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
76	智力+生命值+魔功伤害+暴击	100	60	4	5|6|11|12|39|40|45|46|20~29	22	1~12|20~29|35~46	10	5|6|11|12|39|40|45|46|20~29	53	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
77	力量+生命值+近功伤害+暴击	100	60	0	1|2|7|8|35|36|41|42|20~29	22	1~12|20~29|35~46	12	1|2|7|8|35|36|41|42|20~29	53	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
78	敏捷+生命值+远功伤害+暴击	100	60	2	3|4|9|10|37|38|43|44|20~29	22	1~12|20~29|35~46	14	3|4|9|10|37|38|43|44|20~29	53	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
79	智力+生命值+魔功伤害+韧性	100	60	4	5|6|11|12|39|40|45|46|20~29	22	1~12|20~29|35~46	10	5|6|11|12|39|40|45|46|20~29	54	26	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
80	力量+生命值+近功伤害+韧性	100	60	0	1|2|7|8|35|36|41|42|20~29	22	1~12|20~29|35~46	12	1|2|7|8|35|36|41|42|20~29	54	26	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
81	敏捷+生命值+远功伤害+韧性	100	60	2	3|4|9|10|37|38|43|44|20~29	22	1~12|20~29|35~46	14	3|4|9|10|37|38|43|44|20~29	54	26	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
82	智力+生命值+魔攻伤害+速度	60	60	4	5|6|11|12|39|40|45|46|20~29	22	1~12|20~29|35~46	10	5|6|11|12|39|40|45|46|20~29	88	27	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
83	力量+生命值+近攻伤害+速度	50	60	0	1|2|7|8|35|36|41|42|20~29	22	1~12|20~29|35~46	12	1|2|7|8|35|36|41|42|20~29	88	27	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
