INT	STRING	STRING	STRING	STRING	STRING	INT
46	现在的灯谜是：\n\t#G此客来意不善，猜一个字	宾	兵	查	殡	4
47	现在的灯谜是：\n\t#G死对头，猜一字	薮	寸	存	生	4
48	现在的灯谜是：\n\t#G江边点起两盏灯火，猜一字	洋	炎	赤	淡	4
49	现在的灯谜是：\n\t#G池里不见水，地上不见泥，猜一字	他	施	托	也	4
50	现在的灯谜是：\n\t#G百年前是草，百年后是木，猜一字	朋	呆	柏	叶	4
51	现在的灯谜是：\n\t#G自大加一点，猜一字	百	陌	思	臭	4
52	现在的灯谜是：\n\t#G自己话，猜一字	沿	誓	芹	语	4
53	现在的灯谜是：\n\t#G自有一日出头天，猜一字	忠	必	米	春	4
54	现在的灯谜是：\n\t#G自言自语，猜一字	已	巴	愤	记	4
55	现在的灯谜是：\n\t#G舌头没有，猜一字	壬	口	中	古	4
56	现在的灯谜是：\n\t#G行千里路，猜一字	衍	种	利	冲	4
57	现在的灯谜是：\n\t#G住在黄金屋，猜一字	句	狗	剧	锯	4
58	现在的灯谜是：\n\t#G伯父隔壁没住人，猜一字	白	百	思	劈	1
59	现在的灯谜是：\n\t#G吾妻，猜一个字	肉	丙	芮	闪	1
60	现在的灯谜是：\n\t#G吴头楚尾，猜一字	足	是	尸	屠	1
61	现在的灯谜是：\n\t#G坐定左右无人，猜一字	土	广	工	芜	1
62	现在的灯谜是：\n\t#G弄璋之喜，猜一字	甥	男	行	姓	1
63	现在的灯谜是：\n\t#G我丈夫也，猜一字	余	圣	和	省	1
64	现在的灯谜是：\n\t#G我没有他有，天没有地有，猜一字	也	托	侑	拖	1
65	现在的灯谜是：\n\t#G我的心，猜一字	悟	否	忠	芯	1
66	现在的灯谜是：\n\t#G把白米分给别人，猜一字	粉	芬	扮	拙	1
67	现在的灯谜是：\n\t#G没有哥哥，猜一字	歌	可	苛	器	1
68	现在的灯谜是：\n\t#G两人一般心，猜一字	患	忿	蜜	秘	1
69	现在的灯谜是：\n\t#G两地相思，猜一字	桂	杜	闺	圭	1
70	现在的灯谜是：\n\t#G两点一直，一直两点，猜一字	慎	值	渖	申	1
71	现在的灯谜是：\n\t#G两点水，猜一字	冰	涌	泳	宋	1
72	现在的灯谜是：\n\t#G和尚拜佛，猜一字	拿	盒	忿	必	1
73	现在的灯谜是：\n\t#G岳父大人，猜一字	张	仗	行	牟	2
74	现在的灯谜是：\n\t#G朋友半边不见了，猜一字	扮	月	伴	拌	2
75	现在的灯谜是：\n\t#G近朱者赤，猜一字	扯	赫	持	贺	2
76	现在的灯谜是：\n\t#G金木水火，猜一字	鑫	坎	侃	宝	2
77	现在的灯谜是：\n\t#G金字塔，猜一字	阙	鑫	楼	阁	2
78	现在的灯谜是：\n\t#G长明灯，猜一个字	就	灸	炎	芯	2
79	现在的灯谜是：\n\t#G门外来人月已斜，猜一字	休	闲	杰	忠	2
80	现在的灯谜是：\n\t#G门里阳光照，门外雨飘飘，猜一字	蒙	涧	宸	澹	2
81	现在的灯谜是：\n\t#G待到重阳日，猜一字	明	晶	岳	呈	2
82	现在的灯谜是：\n\t#G拱手让人，猜一字	恭	共	岩	研	2
83	现在的灯谜是：\n\t#G春秋配，猜一字	夏	秦	蠢	利	2
84	现在的灯谜是：\n\t#G昨日不可留，猜一字	窄	乍	怎	炸	2
85	现在的灯谜是：\n\t#G流眼泪对流眼泪，猜一字	硫	器	哭	苦	2
86	现在的灯谜是：\n\t#G风儿吐舌头，猜一字	凤	刮	苦	尖	2
87	现在的灯谜是：\n\t#G飞砂走石，猜一字	丙	少	兵	彻	2
88	现在的灯谜是：\n\t#G乘人不备，猜一字	剩	葵	乖	竟	3
89	现在的灯谜是：\n\t#G家中兄长多，一门共八个，猜一字	向	闲	阅	焖	3
90	现在的灯谜是：\n\t#G拿不出手，猜一字	吕	宫	合	澡	3
91	现在的灯谜是：\n\t#G草上飞，猜一字 	干	甘	早	甜	3
92	现在的灯谜是：\n\t#G草木之中有个人，猜一字	荏	苒	茶	认	3
93	现在的灯谜是：\n\t#G酒肉朋友，猜一字	茵	教	饺	饭	3
94	现在的灯谜是：\n\t#G饥荒，猜一字	请	答	欲	苛	3
95	现在的灯谜是：\n\t#G欲话无言听流水，猜一字	刮	甜	活	酷	3
96	现在的灯谜是：\n\t#G欲罢不能，猜一字	饮	迁	四	思	3
97	现在的灯谜是：\n\t#G添丁进口，猜一字	听	叮	可	盯	3
98	现在的灯谜是：\n\t#G眼看田上长青草，猜一字	笛	思	瞄	苗	3
99	现在的灯谜是：\n\t#G挥手告别，猜一字	浑	攘	军	嵌	3
