138	1	2	68	0	0	0	0	0	0	0	0	0	½£9	80_01
139	1	2	69	0	0	0	0	0	0	0	0	0	½£10	80_02
140	1	2	70	0	0	0	0	0	0	0	0	0	½£+¸±ÊÖ½£1	10_01
141	1	2	71	0	0	0	0	0	0	0	0	0	½£+¸±ÊÖ½£2	20_03
142	1	2	72	0	0	0	0	0	0	0	0	0	½£+¸±ÊÖ½£3	30_01
143	1	2	73	0	0	0	0	0	0	0	0	0	½£+¸±ÊÖ½£4	30_03
144	1	2	74	0	0	0	0	0	0	0	0	0	½£+¸±ÊÖ½£5	40_01
145	1	2	75	0	0	0	0	0	0	0	0	0	½£+¸±ÊÖ½£6	50_01
146	1	2	76	0	0	0	0	0	0	0	0	0	½£+¸±ÊÖ½£7	70_01
147	1	2	77	0	0	0	0	0	0	0	0	0	½£+¸±ÊÖ½£8	70_02
148	1	2	78	0	0	0	0	0	0	0	0	0	½£+¸±ÊÖ½£9	80_01
149	1	2	79	0	0	0	0	0	0	0	0	0	½£+¸±ÊÖ½£10	80_02
150	1	3	92	2	2	2	2	2	2	2	2	2	¹­1	10_01
151	1	3	93	2	2	2	2	2	2	2	2	2	¹­2	20_03
152	1	3	94	2	2	2	2	2	2	2	2	2	¹­3	30_01
153	1	3	95	2	2	2	2	2	2	2	2	2	¹­4	30_03
154	1	3	96	2	2	2	2	2	2	2	2	2	¹­5	40_01
155	1	3	97	2	2	2	2	2	2	2	2	2	¹­6	50_01
156	1	3	98	2	2	2	2	2	2	2	2	2	¹­7	70_01
157	1	3	99	2	2	2	2	2	2	2	2	2	¹­8	70_02
158	1	3	100	2	2	2	2	2	2	2	2	2	¹­9	80_01
159	1	3	101	2	2	2	2	2	2	2	2	2	¹­10	80_02
160	1	4	120	2	2	2	2	2	2	2	2	2	»ðÇ¹1	10_01
161	1	4	121	2	2	2	2	2	2	2	2	2	»ðÇ¹2	20_03
162	1	4	122	2	2	2	2	2	2	2	2	2	»ðÇ¹3	30_01
163	1	4	123	2	2	2	2	2	2	2	2	2	»ðÇ¹4	30_03
164	1	4	124	2	2	2	2	2	2	2	2	2	»ðÇ¹5	40_01
165	1	4	125	2	2	2	2	2	2	2	2	2	»ðÇ¹6	50_01
166	1	4	126	2	2	2	2	2	2	2	2	2	»ðÇ¹7	70_01
167	1	4	127	2	2	2	2	2	2	2	2	2	»ðÇ¹8	70_02
168	1	4	128	2	2	2	2	2	2	2	2	2	»ðÇ¹9	80_01
169	1	4	129	2	2	2	2	2	2	2	2	2	»ðÇ¹10	80_02
170	1	5	150	1	1	1	1	1	1	1	1	1	é³1	10_01
171	1	5	151	1	1	1	1	1	1	1	1	1	é³2	20_03
172	1	5	152	1	1	1	1	1	1	1	1	1	é³3	30_01
173	1	5	153	1	1	1	1	1	1	1	1	1	é³4	30_03
174	1	5	154	1	1	1	1	1	1	1	1	1	é³5	40_01
175	1	5	155	1	1	1	1	1	1	1	1	1	é³6	50_01
176	1	5	156	1	1	1	1	1	1	1	1	1	é³7	70_01
177	1	5	157	1	1	1	1	1	1	1	1	1	é³8	70_02
178	1	5	158	1	1	1	1	1	1	1	1	1	é³9	80_01
179	1	5	159	1	1	1	1	1	1	1	1	1	é³10	80_02
180	1	6	180	1	1	1	1	1	1	1	1	1	ÕÈ1	10_01
181	1	6	181	1	1	1	1	1	1	1	1	1	ÕÈ2	20_03
182	1	6	182	1	1	1	1	1	1	1	1	1	ÕÈ3	30_01
183	1	6	183	1	1	1	1	1	1	1	1	1	ÕÈ4	30_03
184	1	6	184	1	1	1	1	1	1	1	1	1	ÕÈ5	40_01
185	1	6	185	1	1	1	1	1	1	1	1	1	ÕÈ6	50_01
186	1	6	186	1	1	1	1	1	1	1	1	1	ÕÈ7	70_01
187	1	6	187	1	1	1	1	1	1	1	1	1	ÕÈ8	70_02
188	1	6	188	1	1	1	1	1	1	1	1	1	ÕÈ9	80_01
189	1	6	189	1	1	1	1	1	1	1	1	1	ÕÈ10	80_02
#ÌØÊâÐèÇó														
#¸±±¾¹ÖÎï														
200	1	1	200	0									´óÐÍ´ÉÆ÷	
230	1	1	230	0									¾ÞÈË´¸×Ó	
231	1	1	231	0									¾ÞÈË°ô×Ó	
#¹ÖÎïÎäÆ÷Ä£ÐÍ¶àÑùÐÔ£¨300-399£©														
300	1	0	0	0	0	0	0	0	0	0	0	0	¿ÕÊÖ	
301	1	1	30	0	0	0	0	0	0	0	0	0	µ¶1	10_01
302	1	1	31	0	0	0	0	0	0	0	0	0	µ¶2	20_03
303	1	1	32	0	0	0	0	0	0	0	0	0	µ¶3	30_01
304	1	1	33	0	0	0	0	0	0	0	0	0	µ¶4	30_03
305	1	2	60	0	0	0	0	0	0	0	0	0	½£1	10_01
306	1	2	61	0	0	0	0	0	0	0	0	0	½£2	20_03
307	1	2	63	0	0	0	0	0	0	0	0	0	½£4	30_03
308	1	2	70	0	0	0	0	0	0	0	0	0	½£+¸±ÊÖ½£1	10_01
309	1	2	71	0	0	0	0	0	0	0	0	0	½£+¸±ÊÖ½£2	20_03
310	1	2	73	0	0	0	0	0	0	0	0	0	½£+¸±ÊÖ½£4	30_03
311	1	1	1	0	0	0	0	0	0	0	0	0	µ¶+¶Ü1	10_01
312	1	1	2	0	0	0	0	0	0	0	0	0	µ¶+¶Ü2	20_03
313	1	1	3	0	0	0	0	0	0	0	0	0	µ¶+¶Ü3	30_01
314	1	3	92	2	2	2	2	2	2	2	2	2	¹­1	10_01
315	1	3	93	2	2	2	2	2	2	2	2	2	¹­2	20_03
316	1	3	94	2	2	2	2	2	2	2	2	2	¹­3	30_01
317	1	3	95	2	2	2	2	2	2	2	2	2	¹­4	30_03
318	1	4	120	2	2	2	2	2	2	2	2	2	»ðÇ¹1	10_01
319	1	4	121	2	2	2	2	2	2	2	2	2	»ðÇ¹2	20_03
320	1	4	122	2	2	2	2	2	2	2	2	2	»ðÇ¹3	30_01
321	1	4	123	2	2	2	2	2	2	2	2	2	»ðÇ¹4	30_03
322	1	4	127	2	2	2	2	2	2	2	2	2	»ðÇ¹8	70_02
323	1	6	180	1	1	1	1	1	1	1	1	1	ÕÈ1	10_01
324	1	6	181	1	1	1	1	1	1	1	1	1	ÕÈ2	20_03
325	1	6	182	1	1	1	1	1	1	1	1	1	ÕÈ3	30_01
#ÐÂÔö2														
327	1	1	40	0	0	0	0	0	0	0	0	0	µ¶+¶Ü1	80_03
328	1	1	41	0	0	0	0	0	0	0	0	0	µ¶+¶Ü2	70_03
329	1	1	42	0	0	0	0	0	0	0	0	0	µ¶+¶Ü3	60_02
330	1	1	43	0	0	0	0	0	0	0	0	0	µ¶+¶Ü4	60_01
331	1	1	44	0	0	0	0	0	0	0	0	0	µ¶+¶Ü5	50_02
332	1	1	45	0	0	0	0	0	0	0	0	0	µ¶+¶Ü6	30_02
333	1	1	46	0	0	0	0	0	0	0	0	0	µ¶+¶Ü7	20_04
334	1	1	47	0	0	0	0	0	0	0	0	0	µ¶+¶Ü8	20_02
335	1	1	48	0	0	0	0	0	0	0	0	0	µ¶+¶Ü9	20_01
336	1	1	49	0	0	0	0	0	0	0	0	0	µ¶+¶Ü10	10_04
337	1	1	50	0	0	0	0	0	0	0	0	0	µ¶+¶Ü11	10_03
338	1	1	51	0	0	0	0	0	0	0	0	0	µ¶+¶Ü12	10_02
339	1	2	80	0	0	0	0	0	0	0	0	0	½£+¸±ÊÖ½£1	80_03
340	1	2	81	0	0	0	0	0	0	0	0	0	½£+¸±ÊÖ½£2	70_03
341	1	2	82	0	0	0	0	0	0	0	0	0	½£+¸±ÊÖ½£3	60_02
342	1	2	83	0	0	0	0	0	0	0	0	0	½£+¸±ÊÖ½£4	60_01
343	1	2	84	0	0	0	0	0	0	0	0	0	½£+¸±ÊÖ½£5	50_02
344	1	2	85	0	0	0	0	0	0	0	0	0	½£+¸±ÊÖ½£6	30_02
345	1	2	86	0	0	0	0	0	0	0	0	0	½£+¸±ÊÖ½£7	20_04
346	1	2	87	0	0	0	0	0	0	0	0	0	½£+¸±ÊÖ½£8	20_02
347	1	2	88	0	0	0	0	0	0	0	0	0	½£+¸±ÊÖ½£9	20_01
348	1	2	89	0	0	0	0	0	0	0	0	0	½£+¸±ÊÖ½£10	10_04
349	1	2	90	0	0	0	0	0	0	0	0	0	½£+¸±ÊÖ½£11	10_03
350	1	2	91	0	0	0	0	0	0	0	0	0	½£+¸±ÊÖ½£12	10_02
351	1	3	102	2	2	2	2	2	2	2	2	2	¹­1	80_03
352	1	3	103	2	2	2	2	2	2	2	2	2	¹­2	70_03
353	1	3	104	2	2	2	2	2	2	2	2	2	¹­3	60_02
354	1	3	105	2	2	2	2	2	2	2	2	2	¹­4	60_01
355	1	3	106	2	2	2	2	2	2	2	2	2	¹­5	50_02
356	1	3	107	2	2	2	2	2	2	2	2	2	¹­6	30_02
357	1	3	108	2	2	2	2	2	2	2	2	2	¹­7	20_04
358	1	3	109	2	2	2	2	2	2	2	2	2	¹­8	20_02
359	1	3	110	2	2	2	2	2	2	2	2	2	¹­9	20_01
360	1	3	111	2	2	2	2	2	2	2	2	2	¹­10	10_04
361	1	3	112	2	2	2	2	2	2	2	2	2	¹­11	10_03
362	1	3	113	2	2	2	2	2	2	2	2	2	¹­12	10_02
363	1	4	130	2	2	2	2	2	2	2	2	2	Ç¹1	80_03
364	1	4	131	2	2	2	2	2	2	2	2	2	Ç¹2	70_03
365	1	4	132	2	2	2	2	2	2	2	2	2	Ç¹3	60_02
366	1	4	133	2	2	2	2	2	2	2	2	2	Ç¹4	60_01
367	1	4	134	2	2	2	2	2	2	2	2	2	Ç¹5	50_02
368	1	4	135	2	2	2	2	2	2	2	2	2	Ç¹6	30_02
369	1	4	136	2	2	2	2	2	2	2	2	2	Ç¹7	20_04
370	1	4	137	2	2	2	2	2	2	2	2	2	Ç¹8	20_02
371	1	4	138	2	2	2	2	2	2	2	2	2	Ç¹9	20_01
372	1	4	139	2	2	2	2	2	2	2	2	2	Ç¹10	10_04
373	1	4	140	2	2	2	2	2	2	2	2	2	Ç¹11	10_03
374	1	4	141	2	2	2	2	2	2	2	2	2	Ç¹12	10_04
375	1	5	160	1	1	1	1	1	1	1	1	1	é³+¹Ä1	80_03
376	1	5	161	1	1	1	1	1	1	1	1	1	é³+¹Ä2	70_03
377	1	5	162	1	1	1	1	1	1	1	1	1	é³+¹Ä3	60_02
378	1	5	163	1	1	1	1	1	1	1	1	1	é³+¹Ä4	60_01
379	1	5	164	1	1	1	1	1	1	1	1	1	é³+¹Ä5	50_02
380	1	5	165	1	1	1	1	1	1	1	1	1	é³+¹Ä6	30_02
381	1	5	166	1	1	1	1	1	1	1	1	1	é³+¹Ä7	20_04
382	1	5	167	1	1	1	1	1	1	1	1	1	é³+¹Ä8	20_02
383	1	5	168	1	1	1	1	1	1	1	1	1	é³+¹Ä9	10_04
384	1	5	169	1	1	1	1	1	1	1	1	1	é³+¹Ä10	10_03
385	1	5	170	1	1	1	1	1	1	1	1	1	é³+¹Ä11	10_02
386	1	5	171	1	1	1	1	1	1	1	1	1	é³+¹Ä12	20_01
387	1	6	190	1	1	1	1	1	1	1	1	1	ÕÈ+ºÅ½Ç1	80_03
388	1	6	191	1	1	1	1	1	1	1	1	1	ÕÈ+ºÅ½Ç2	70_03
389	1	6	192	1	1	1	1	1	1	1	1	1	ÕÈ+ºÅ½Ç3	60_02
390	1	6	193	1	1	1	1	1	1	1	1	1	ÕÈ+ºÅ½Ç4	60_01
391	1	6	194	1	1	1	1	1	1	1	1	1	ÕÈ+ºÅ½Ç5	50_02
392	1	6	195	1	1	1	1	1	1	1	1	1	ÕÈ+ºÅ½Ç6	30_02
393	1	6	196	1	1	1	1	1	1	1	1	1	ÕÈ+ºÅ½Ç7	20_04
394	1	6	197	1	1	1	1	1	1	1	1	1	ÕÈ+ºÅ½Ç8	20_02
395	1	6	198	1	1	1	1	1	1	1	1	1	ÕÈ+ºÅ½Ç9	20_01
396	1	6	199	1	1	1	1	1	1	1	1	1	ÕÈ+ºÅ½Ç10	10_04
397	1	6	200	1	1	1	1	1	1	1	1	1	ÕÈ+ºÅ½Ç11	10_03
398	1	6	201	1	1	1	1	1	1	1	1	1	ÕÈ+ºÅ½Ç12	10_02

400	1	8	239	0	0	0	0	0	0	0	0	0	Ë«ÊÖ¸«1	10_01
401	1	8	240	0	0	0	0	0	0	0	0	0	Ë«ÊÖ¸«2	10_02
402	1	8	241	0	0	0	0	0	0	0	0	0	Ë«ÊÖ¸«3	10_03
403	1	8	242	0	0	0	0	0	0	0	0	0	Ë«ÊÖ½£1	10_01
404	1	8	243	0	0	0	0	0	0	0	0	0	Ë«ÊÖ½£2	10_02
405	1	8	244	0	0	0	0	0	0	0	0	0	Ë«ÊÖ½£3	10_03
406	1	8	245	0	0	0	0	0	0	0	0	0	Ë«ÊÖ½£4	10_04
407	1	10	232	0	0	0	0	0	0	0	0	0	³¤êª1	10_01
408	1	10	233	0	0	0	0	0	0	0	0	0	³¤êª2	10_02
409	1	10	234	0	0	0	0	0	0	0	0	0	³¤êª3	10_03
410	1	10	235	0	0	0	0	0	0	0	0	0	³¤Ã¬1	10_01
411	1	10	236	0	0	0	0	0	0	0	0	0	³¤Ã¬2	10_02
412	1	10	237	0	0	0	0	0	0	0	0	0	³¤Ã¬3	10_03
413	1	10	238	0	0	0	0	0	0	0	0	0	³¤Ã¬4	10_04
414	1	10	246	0	0	0	0	0	0	0	0	0	³¤êªÕ¾Á¢1	10_01
415	1	10	247	0	0	0	0	0	0	0	0	0	³¤êªÕ¾Á¢2	10_02
416	1	10	248	0	0	0	0	0	0	0	0	0	³¤êªÕ¾Á¢3	10_03
417	1	10	249	0	0	0	0	0	0	0	0	0	³¤Ã¬Õ¾Á¢1	10_01
418	1	10	250	0	0	0	0	0	0	0	0	0	³¤Ã¬Õ¾Á¢2	10_02
419	1	10	251	0	0	0	0	0	0	0	0	0	³¤Ã¬Õ¾Á¢3	10_03
420	1	10	252	0	0	0	0	0	0	0	0	0	³¤Ã¬Õ¾Á¢4	10_04

422	1	1	254	0	0	0	0	0	0	0	0	0	µ¶+¶Ü1	10_01
423	1	1	255	0	0	0	0	0	0	0	0	0	µ¶+¶Ü2	10_02
424	1	1	256	0	0	0	0	0	0	0	0	0	µ¶+¶Ü3	10_03
425	1	1	257	0	0	0	0	0	0	0	0	0	µ¶+¶Ü4	10_04
426	1	1	258	0	0	0	0	0	0	0	0	0	µ¶+¶Ü5	20_01
427	1	1	259	0	0	0	0	0	0	0	0	0	µ¶+¶Ü6	20_02
428	1	1	260	0	0	0	0	0	0	0	0	0	µ¶+¶Ü7	20_03
429	1	1	261	0	0	0	0	0	0	0	0	0	µ¶+¶Ü8	20_04
430	1	1	262	0	0	0	0	0	0	0	0	0	µ¶+¶Ü9	30_01
431	1	1	263	0	0	0	0	0	0	0	0	0	µ¶+¶Ü10	30_02
432	1	1	264	0	0	0	0	0	0	0	0	0	µ¶+¶Ü11	30_03
433	1	1	265	0	0	0	0	0	0	0	0	0	µ¶+¶Ü12	40_01
434	1	1	266	0	0	0	0	0	0	0	0	0	µ¶+¶Ü13	50_01
435	1	1	267	0	0	0	0	0	0	0	0	0	µ¶+¶Ü14	50_02
436	1	1	268	0	0	0	0	0	0	0	0	0	µ¶+¶Ü15	60_01
437	1	1	269	0	0	0	0	0	0	0	0	0	µ¶+¶Ü16	60_02
438	1	1	270	0	0	0	0	0	0	0	0	0	µ¶+¶Ü17	70_01
439	1	1	271	0	0	0	0	0	0	0	0	0	µ¶+¶Ü18	70_02
440	1	1	272	0	0	0	0	0	0	0	0	0	µ¶+¶Ü19	70_03
441	1	1	273	0	0	0	0	0	0	0	0	0	µ¶+¶Ü20	80_01
442	1	1	274	0	0	0	0	0	0	0	0	0	µ¶+¶Ü21	80_02
443	1	1	275	0	0	0	0	0	0	0	0	0	µ¶+¶Ü22	80_03
444	1	2	276	0	0	0	0	0	0	0	0	0	½£+¸±½£1	10_01
445	1	2	278	0	0	0	0	0	0	0	0	0	½£+¸±½£2	10_02
446	1	2	279	0	0	0	0	0	0	0	0	0	½£+¸±½£3	10_03
447	1	2	280	0	0	0	0	0	0	0	0	0	½£+¸±½£4	10_04
448	1	2	281	0	0	0	0	0	0	0	0	0	½£+¸±½£5	20_01
449	1	2	282	0	0	0	0	0	0	0	0	0	½£+¸±½£6	20_02
450	1	2	283	0	0	0	0	0	0	0	0	0	½£+¸±½£7	20_03
451	1	2	284	0	0	0	0	0	0	0	0	0	½£+¸±½£8	20_04
452	1	2	285	0	0	0	0	0	0	0	0	0	½£+¸±½£9	30_01
453	1	2	286	0	0	0	0	0	0	0	0	0	½£+¸±½£10	30_02
454	1	2	287	0	0	0	0	0	0	0	0	0	½£+¸±½£11	30_03
455	1	2	288	0	0	0	0	0	0	0	0	0	½£+¸±½£12	40_01
456	1	2	289	0	0	0	0	0	0	0	0	0	½£+¸±½£13	50_01
457	1	2	290	0	0	0	0	0	0	0	0	0	½£+¸±½£14	50_02
458	1	2	291	0	0	0	0	0	0	0	0	0	½£+¸±½£15	60_01
459	1	2	292	0	0	0	0	0	0	0	0	0	½£+¸±½£16	60_02
460	1	2	293	0	0	0	0	0	0	0	0	0	½£+¸±½£17	70_01
461	1	2	294	0	0	0	0	0	0	0	0	0	½£+¸±½£18	70_02
462	1	2	295	0	0	0	0	0	0	0	0	0	½£+¸±½£19	70_03
463	1	2	296	0	0	0	0	0	0	0	0	0	½£+¸±½£20	80_01
464	1	2	297	0	0	0	0	0	0	0	0	0	½£+¸±½£21	80_02
465	1	2	298	0	0	0	0	0	0	0	0	0	½£+¸±½£22	80_03
466	1	5	299	1	1	1	1	1	1	1	1	1	ÕÈ+ºÅ½Ç1	10_01
467	1	5	300	1	1	1	1	1	1	1	1	1	ÕÈ+ºÅ½Ç2	10_02
468	1	5	301	1	1	1	1	1	1	1	1	1	ÕÈ+ºÅ½Ç3	10_03
469	1	5	302	1	1	1	1	1	1	1	1	1	ÕÈ+ºÅ½Ç4	10_04
470	1	5	303	1	1	1	1	1	1	1	1	1	ÕÈ+ºÅ½Ç5	20_01
471	1	5	304	1	1	1	1	1	1	1	1	1	ÕÈ+ºÅ½Ç6	20_02
472	1	5	305	1	1	1	1	1	1	1	1	1	ÕÈ+ºÅ½Ç7	20_03
473	1	5	306	1	1	1	1	1	1	1	1	1	ÕÈ+ºÅ½Ç8	20_04
474	1	5	307	1	1	1	1	1	1	1	1	1	ÕÈ+ºÅ½Ç9	30_01
475	1	5	308	1	1	1	1	1	1	1	1	1	ÕÈ+ºÅ½Ç10	30_02
476	1	5	309	1	1	1	1	1	1	1	1	1	ÕÈ+ºÅ½Ç11	30_03
477	1	5	310	1	1	1	1	1	1	1	1	1	ÕÈ+ºÅ½Ç12	40_01
478	1	5	311	1	1	1	1	1	1	1	1	1	ÕÈ+ºÅ½Ç13	50_01
479	1	5	312	1	1	1	1	1	1	1	1	1	ÕÈ+ºÅ½Ç14	50_02
480	1	5	313	1	1	1	1	1	1	1	1	1	ÕÈ+ºÅ½Ç15	60_01
481	1	5	314	1	1	1	1	1	1	1	1	1	ÕÈ+ºÅ½Ç16	60_02
482	1	5	315	1	1	1	1	1	1	1	1	1	ÕÈ+ºÅ½Ç17	70_01
483	1	5	316	1	1	1	1	1	1	1	1	1	ÕÈ+ºÅ½Ç18	70_02
484	1	5	317	1	1	1	1	1	1	1	1	1	ÕÈ+ºÅ½Ç19	70_03
485	1	5	318	1	1	1	1	1	1	1	1	1	ÕÈ+ºÅ½Ç20	80_01
486	1	5	319	1	1	1	1	1	1	1	1	1	ÕÈ+ºÅ½Ç21	80_02
487	1	5	320	1	1	1	1	1	1	1	1	1	ÕÈ+ºÅ½Ç22	80_03
488	1	6	321	1	1	1	1	1	1	1	1	1	é³+¹Ä1	10_01
489	1	6	322	1	1	1	1	1	1	1	1	1	é³+¹Ä2	10_02
490	1	6	323	1	1	1	1	1	1	1	1	1	é³+¹Ä3	10_03
491	1	6	324	1	1	1	1	1	1	1	1	1	é³+¹Ä4	10_04
492	1	6	325	1	1	1	1	1	1	1	1	1	é³+¹Ä5	20_01
493	1	6	326	1	1	1	1	1	1	1	1	1	é³+¹Ä6	20_02
494	1	6	327	1	1	1	1	1	1	1	1	1	é³+¹Ä7	20_03
495	1	6	328	1	1	1	1	1	1	1	1	1	é³+¹Ä8	20_04
496	1	6	329	1	1	1	1	1	1	1	1	1	é³+¹Ä9	30_01
497	1	6	330	1	1	1	1	1	1	1	1	1	é³+¹Ä10	30_02
498	1	6	331	1	1	1	1	1	1	1	1	1	é³+¹Ä11	30_03
499	1	6	332	1	1	1	1	1	1	1	1	1	é³+¹Ä12	40_01
500	1	6	333	1	1	1	1	1	1	1	1	1	é³+¹Ä13	50_01
501	1	6	334	1	1	1	1	1	1	1	1	1	é³+¹Ä14	50_02
502	1	6	335	1	1	1	1	1	1	1	1	1	é³+¹Ä15	60_01
503	1	6	336	1	1	1	1	1	1	1	1	1	é³+¹Ä16	60_02
504	1	6	337	1	1	1	1	1	1	1	1	1	é³+¹Ä17	70_01
505	1	6	338	1	1	1	1	1	1	1	1	1	é³+¹Ä18	70_02
506	1	6	339	1	1	1	1	1	1	1	1	1	é³+¹Ä19	70_03
507	1	6	340	1	1	1	1	1	1	1	1	1	é³+¹Ä20	80_01
508	1	6	341	1	1	1	1	1	1	1	1	1	é³+¹Ä21	80_02
509	1	6	342	1	1	1	1	1	1	1	1	1	é³+¹Ä22	80_03
510	1	3	343	2	2	2	2	2	2	2	2	2	·Å´ó¹­1	10_01
511	1	3	344	2	2	2	2	2	2	2	2	2	·Å´ó¹­2	10_02
512	1	3	345	2	2	2	2	2	2	2	2	2	·Å´ó¹­3	10_03
513	1	3	346	2	2	2	2	2	2	2	2	2	·Å´ó¹­4	10_04
514	1	3	347	2	2	2	2	2	2	2	2	2	·Å´ó¹­5	20_01
515	1	3	348	2	2	2	2	2	2	2	2	2	·Å´ó¹­6	20_02
516	1	3	349	2	2	2	2	2	2	2	2	2	·Å´ó¹­7	20_03
517	1	3	350	2	2	2	2	2	2	2	2	2	·Å´ó¹­8	20_04
518	1	3	351	2	2	2	2	2	2	2	2	2	·Å´ó¹­9	30_01
519	1	3	352	2	2	2	2	2	2	2	2	2	·Å´ó¹­10	30_02
520	1	3	353	2	2	2	2	2	2	2	2	2	·Å´ó¹­11	30_03
