INT	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	FLOAT	FLOAT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
21	700001	1	21	75	79	ÉÕºìboss1		26252	-1	127	54	0	9	623	0	0	0	0	0	0	0	21
22	700001	1	22	80	84	ÉÕºìboss1		26253	-1	127	54	0	9	623	0	0	0	0	0	0	0	21
23	700001	1	23	85	89	ÉÕºìboss1		26254	-1	127	54	0	9	623	0	0	0	0	0	0	0	21
24	700001	1	24	90	94	ÉÕºìboss1		26255	-1	127	54	0	9	623	0	0	0	0	0	0	0	21
25	700001	1	25	95	99	ÉÕºìboss1		26256	-1	127	54	0	9	623	0	0	0	0	0	0	0	21
26	700001	1	26	100	104	ÉÕºìboss1		44142	-1	127	54	0	9	623	0	0	0	0	0	0	0	21
27	700001	1	27	105	109	ÉÕºìboss1		44143	-1	127	54	0	9	623	0	0	0	0	0	0	0	21
28	700001	1	28	110	114	ÉÕºìboss1		44144	-1	127	54	0	9	623	0	0	0	0	0	0	0	21
29	700001	1	29	115	119	ÉÕºìboss1		44145	-1	127	54	0	9	623	0	0	0	0	0	0	0	21
30	700001	1	30	120	124	ÉÕºìboss1		44146	-1	127	54	0	9	623	0	0	0	0	0	0	0	21
31	700001	1	31	125	129	ÉÕºìboss1		44147	-1	127	54	0	9	623	0	0	0	0	0	0	0	21
32	700001	1	32	130	134	ÉÕºìboss1		44148	-1	127	54	0	9	623	0	0	0	0	0	0	0	21
33	700001	1	33	135	139	ÉÕºìboss1		44149	-1	127	54	0	9	623	0	0	0	0	0	0	0	21
34	700001	1	34	140	144	ÉÕºìboss1		44150	-1	127	54	0	9	623	0	0	0	0	0	0	0	21
35	700001	1	35	145	149	ÉÕºìboss1		44151	-1	127	54	0	9	623	0	0	0	0	0	0	0	21
36	700001	1	36	150	154	ÉÕºìboss1		44152	-1	127	54	0	9	623	0	0	0	0	0	0	0	21
37	700001	1	37	155	161	ÉÕºìboss1		44153	-1	127	54	0	9	623	0	0	0	0	0	0	0	21
38	700001	1	38	65	69	ÉÕºìboss2		26261	-1	179	75	0	9	624	1	0	0	0	0	0	0	21
39	700001	1	39	70	74	ÉÕºìboss2		26262	-1	179	75	0	9	624	1	0	0	0	0	0	0	21
40	700001	1	40	75	79	ÉÕºìboss2		26263	-1	179	75	0	9	624	1	0	0	0	0	0	0	21
41	700001	1	41	80	84	ÉÕºìboss2		26264	-1	179	75	0	9	624	1	0	0	0	0	0	0	21
42	700001	1	42	85	89	ÉÕºìboss2		26265	-1	179	75	0	9	624	1	0	0	0	0	0	0	21
43	700001	1	43	90	94	ÉÕºìboss2		26266	-1	179	75	0	9	624	1	0	0	0	0	0	0	21
44	700001	1	44	95	99	ÉÕºìboss2		26267	-1	179	75	0	9	624	1	0	0	0	0	0	0	21
45	700001	1	45	100	104	ÉÕºìboss2		44154	-1	179	75	0	9	624	1	0	0	0	0	0	0	21
46	700001	1	46	105	109	ÉÕºìboss2		44155	-1	179	75	0	9	624	1	0	0	0	0	0	0	21
47	700001	1	47	110	114	ÉÕºìboss2		44156	-1	179	75	0	9	624	1	0	0	0	0	0	0	21
48	700001	1	48	115	119	ÉÕºìboss2		44157	-1	179	75	0	9	624	1	0	0	0	0	0	0	21
49	700001	1	49	120	124	ÉÕºìboss2		44158	-1	179	75	0	9	624	1	0	0	0	0	0	0	21
50	700001	1	50	125	129	ÉÕºìboss2		44159	-1	179	75	0	9	624	1	0	0	0	0	0	0	21
51	700001	1	51	130	134	ÉÕºìboss2		44160	-1	179	75	0	9	624	1	0	0	0	0	0	0	21
52	700001	1	52	135	139	ÉÕºìboss2		44161	-1	179	75	0	9	624	1	0	0	0	0	0	0	21
53	700001	1	53	140	144	ÉÕºìboss2		44162	-1	179	75	0	9	624	1	0	0	0	0	0	0	21
54	700001	1	54	145	149	ÉÕºìboss2		44163	-1	179	75	0	9	624	1	0	0	0	0	0	0	21
55	700001	1	55	150	154	ÉÕºìboss2		44164	-1	179	75	0	9	624	1	0	0	0	0	0	0	21
56	700001	1	56	155	161	ÉÕºìboss2		44165	-1	179	75	0	9	624	1	0	0	0	0	0	0	21
57	700001	1	57	65	69	ÉÕºìboss3		26272	-1	202	127	0	9	625	2	0	0	0	0	0	0	21
58	700001	1	58	70	74	ÉÕºìboss3		26273	-1	202	127	0	9	625	2	0	0	0	0	0	0	21
59	700001	1	59	75	79	ÉÕºìboss3		26274	-1	202	127	0	9	625	2	0	0	0	0	0	0	21
60	700001	1	60	80	84	ÉÕºìboss3		26275	-1	202	127	0	9	625	2	0	0	0	0	0	0	21
61	700001	1	61	85	89	ÉÕºìboss3		26276	-1	202	127	0	9	625	2	0	0	0	0	0	0	21
62	700001	1	62	90	94	ÉÕºìboss3		26277	-1	202	127	0	9	625	2	0	0	0	0	0	0	21
63	700001	1	63	95	99	ÉÕºìboss3		26278	-1	202	127	0	9	625	2	0	0	0	0	0	0	21
64	700001	1	64	100	104	ÉÕºìboss3		44166	-1	202	127	0	9	625	2	0	0	0	0	0	0	21
65	700001	1	65	105	109	ÉÕºìboss3		44167	-1	202	127	0	9	625	2	0	0	0	0	0	0	21
66	700001	1	66	110	114	ÉÕºìboss3		44168	-1	202	127	0	9	625	2	0	0	0	0	0	0	21
67	700001	1	67	115	119	ÉÕºìboss3		44169	-1	202	127	0	9	625	2	0	0	0	0	0	0	21
68	700001	1	68	120	124	ÉÕºìboss3		44170	-1	202	127	0	9	625	2	0	0	0	0	0	0	21
69	700001	1	69	125	129	ÉÕºìboss3		44171	-1	202	127	0	9	625	2	0	0	0	0	0	0	21
70	700001	1	70	130	134	ÉÕºìboss3		44172	-1	202	127	0	9	625	2	0	0	0	0	0	0	21
71	700001	1	71	135	139	ÉÕºìboss3		44173	-1	202	127	0	9	625	2	0	0	0	0	0	0	21
72	700001	1	72	140	144	ÉÕºìboss3		44174	-1	202	127	0	9	625	2	0	0	0	0	0	0	21
73	700001	1	73	145	149	ÉÕºìboss3		44175	-1	202	127	0	9	625	2	0	0	0	0	0	0	21
74	700001	1	74	150	154	ÉÕºìboss3		44176	-1	202	127	0	9	625	2	0	0	0	0	0	0	21
75	700001	1	75	155	161	ÉÕºìboss3		44177	-1	202	127	0	9	625	2	0	0	0	0	0	0	21
76	700001	1	76	65	69	ÉÕºìboss4		26283	-1	179	177	0	9	626	3	0	0	0	0	0	0	21
77	700001	1	77	70	74	ÉÕºìboss4		26284	-1	179	177	0	9	626	3	0	0	0	0	0	0	21
78	700001	1	78	75	79	ÉÕºìboss4		26285	-1	179	177	0	9	626	3	0	0	0	0	0	0	21
79	700001	1	79	80	84	ÉÕºìboss4		26286	-1	179	177	0	9	626	3	0	0	0	0	0	0	21
80	700001	1	80	85	89	ÉÕºìboss4		26287	-1	179	177	0	9	626	3	0	0	0	0	0	0	21
81	700001	1	81	90	94	ÉÕºìboss4		26288	-1	179	177	0	9	626	3	0	0	0	0	0	0	21
82	700001	1	82	95	99	ÉÕºìboss4		26289	-1	179	177	0	9	626	3	0	0	0	0	0	0	21
83	700001	1	83	100	104	ÉÕºìboss4		44178	-1	179	177	0	9	626	3	0	0	0	0	0	0	21
84	700001	1	84	105	109	ÉÕºìboss4		44179	-1	179	177	0	9	626	3	0	0	0	0	0	0	21
85	700001	1	85	110	114	ÉÕºìboss4		44180	-1	179	177	0	9	626	3	0	0	0	0	0	0	21
86	700001	1	86	115	119	ÉÕºìboss4		44181	-1	179	177	0	9	626	3	0	0	0	0	0	0	21
87	700001	1	87	120	124	ÉÕºìboss4		44182	-1	179	177	0	9	626	3	0	0	0	0	0	0	21
88	700001	1	88	125	129	ÉÕºìboss4		44183	-1	179	177	0	9	626	3	0	0	0	0	0	0	21
89	700001	1	89	130	134	ÉÕºìboss4		44184	-1	179	177	0	9	626	3	0	0	0	0	0	0	21
90	700001	1	90	135	139	ÉÕºìboss4		44185	-1	179	177	0	9	626	3	0	0	0	0	0	0	21
91	700001	1	91	140	144	ÉÕºìboss4		44186	-1	179	177	0	9	626	3	0	0	0	0	0	0	21
92	700001	1	92	145	149	ÉÕºìboss4		44187	-1	179	177	0	9	626	3	0	0	0	0	0	0	21
93	700001	1	93	150	154	ÉÕºìboss4		44188	-1	179	177	0	9	626	3	0	0	0	0	0	0	21
94	700001	1	94	155	161	ÉÕºìboss4		44189	-1	179	177	0	9	626	3	0	0	0	0	0	0	21
95	700001	1	95	65	69	ÉÕºìboss5		26294	-1	128	200	0	9	627	4	0	0	0	0	0	0	21
96	700001	1	96	70	74	ÉÕºìboss5		26295	-1	128	200	0	9	627	4	0	0	0	0	0	0	21
97	700001	1	97	75	79	ÉÕºìboss5		26296	-1	128	200	0	9	627	4	0	0	0	0	0	0	21
98	700001	1	98	80	84	ÉÕºìboss5		26297	-1	128	200	0	9	627	4	0	0	0	0	0	0	21
99	700001	1	99	85	89	ÉÕºìboss5		26298	-1	128	200	0	9	627	4	0	0	0	0	0	0	21
100	700001	1	100	90	94	ÉÕºìboss5		26299	-1	128	200	0	9	627	4	0	0	0	0	0	0	21
101	700001	1	101	95	99	ÉÕºìboss5		26300	-1	128	200	0	9	627	4	0	0	0	0	0	0	21
102	700001	1	102	100	104	ÉÕºìboss5		44190	-1	128	200	0	9	627	4	0	0	0	0	0	0	21
103	700001	1	103	105	109	ÉÕºìboss5		44191	-1	128	200	0	9	627	4	0	0	0	0	0	0	21
104	700001	1	104	110	114	ÉÕºìboss5		44192	-1	128	200	0	9	627	4	0	0	0	0	0	0	21
105	700001	1	105	115	119	ÉÕºìboss5		44193	-1	128	200	0	9	627	4	0	0	0	0	0	0	21
106	700001	1	106	120	124	ÉÕºìboss5		44194	-1	128	200	0	9	627	4	0	0	0	0	0	0	21
107	700001	1	107	125	129	ÉÕºìboss5		44195	-1	128	200	0	9	627	4	0	0	0	0	0	0	21
108	700001	1	108	130	134	ÉÕºìboss5		44196	-1	128	200	0	9	627	4	0	0	0	0	0	0	21
109	700001	1	109	135	139	ÉÕºìboss5		44197	-1	128	200	0	9	627	4	0	0	0	0	0	0	21
110	700001	1	110	140	144	ÉÕºìboss5		44198	-1	128	200	0	9	627	4	0	0	0	0	0	0	21
111	700001	1	111	145	149	ÉÕºìboss5		44199	-1	128	200	0	9	627	4	0	0	0	0	0	0	21
112	700001	1	112	150	154	ÉÕºìboss5		44200	-1	128	200	0	9	627	4	0	0	0	0	0	0	21
113	700001	1	113	155	161	ÉÕºìboss5		44201	-1	128	200	0	9	627	4	0	0	0	0	0	0	21
114	700001	1	114	65	69	ÉÕºìboss6		26305	-1	76	178	0	9	628	5	0	0	0	0	0	0	21
115	700001	1	115	70	74	ÉÕºìboss6		26306	-1	76	178	0	9	628	5	0	0	0	0	0	0	21
116	700001	1	116	75	79	ÉÕºìboss6		26307	-1	76	178	0	9	628	5	0	0	0	0	0	0	21
117	700001	1	117	80	84	ÉÕºìboss6		26308	-1	76	178	0	9	628	5	0	0	0	0	0	0	21
118	700001	1	118	85	89	ÉÕºìboss6		26309	-1	76	178	0	9	628	5	0	0	0	0	0	0	21
119	700001	1	119	90	94	ÉÕºìboss6		26310	-1	76	178	0	9	628	5	0	0	0	0	0	0	21
120	700001	1	120	95	99	ÉÕºìboss6		26311	-1	76	178	0	9	628	5	0	0	0	0	0	0	21
121	700001	1	121	100	104	ÉÕºìboss6		44202	-1	76	178	0	9	628	5	0	0	0	0	0	0	21
122	700001	1	122	105	109	ÉÕºìboss6		44203	-1	76	178	0	9	628	5	0	0	0	0	0	0	21
123	700001	1	123	110	114	ÉÕºìboss6		44204	-1	76	178	0	9	628	5	0	0	0	0	0	0	21
124	700001	1	124	115	119	ÉÕºìboss6		44205	-1	76	178	0	9	628	5	0	0	0	0	0	0	21
125	700001	1	125	120	124	ÉÕºìboss6		44206	-1	76	178	0	9	628	5	0	0	0	0	0	0	21
126	700001	1	126	125	129	ÉÕºìboss6		44207	-1	76	178	0	9	628	5	0	0	0	0	0	0	21
127	700001	1	127	130	134	ÉÕºìboss6		44208	-1	76	178	0	9	628	5	0	0	0	0	0	0	21
128	700001	1	128	135	139	ÉÕºìboss6		44209	-1	76	178	0	9	628	5	0	0	0	0	0	0	21
129	700001	1	129	140	144	ÉÕºìboss6		44210	-1	76	178	0	9	628	5	0	0	0	0	0	0	21
130	700001	1	130	145	149	ÉÕºìboss6		44211	-1	76	178	0	9	628	5	0	0	0	0	0	0	21
131	700001	1	131	150	154	ÉÕºìboss6		44212	-1	76	178	0	9	628	5	0	0	0	0	0	0	21
132	700001	1	132	155	161	ÉÕºìboss6		44213	-1	76	178	0	9	628	5	0	0	0	0	0	0	21
133	700001	1	133	65	69	ÉÕºìboss7		26316	-1	54	126	0	9	629	6	0	0	0	0	0	0	21
134	700001	1	134	70	74	ÉÕºìboss7		26317	-1	54	126	0	9	629	6	0	0	0	0	0	0	21
135	700001	1	135	75	79	ÉÕºìboss7		26318	-1	54	126	0	9	629	6	0	0	0	0	0	0	21
136	700001	1	136	80	84	ÉÕºìboss7		26319	-1	54	126	0	9	629	6	0	0	0	0	0	0	21
137	700001	1	137	85	89	ÉÕºìboss7		26320	-1	54	126	0	9	629	6	0	0	0	0	0	0	21
138	700001	1	138	90	94	ÉÕºìboss7		26321	-1	54	126	0	9	629	6	0	0	0	0	0	0	21
139	700001	1	139	95	99	ÉÕºìboss7		26322	-1	54	126	0	9	629	6	0	0	0	0	0	0	21
140	700001	1	140	100	104	ÉÕºìboss7		44214	-1	54	126	0	9	629	6	0	0	0	0	0	0	21
141	700001	1	141	105	109	ÉÕºìboss7		44215	-1	54	126	0	9	629	6	0	0	0	0	0	0	21
142	700001	1	142	110	114	ÉÕºìboss7		44216	-1	54	126	0	9	629	6	0	0	0	0	0	0	21
143	700001	1	143	115	119	ÉÕºìboss7		44217	-1	54	126	0	9	629	6	0	0	0	0	0	0	21
144	700001	1	144	120	124	ÉÕºìboss7		44218	-1	54	126	0	9	629	6	0	0	0	0	0	0	21
145	700001	1	145	125	129	ÉÕºìboss7		44219	-1	54	126	0	9	629	6	0	0	0	0	0	0	21
146	700001	1	146	130	134	ÉÕºìboss7		44220	-1	54	126	0	9	629	6	0	0	0	0	0	0	21
147	700001	1	147	135	139	ÉÕºìboss7		44221	-1	54	126	0	9	629	6	0	0	0	0	0	0	21
148	700001	1	148	140	144	ÉÕºìboss7		44222	-1	54	126	0	9	629	6	0	0	0	0	0	0	21
149	700001	1	149	145	149	ÉÕºìboss7		44223	-1	54	126	0	9	629	6	0	0	0	0	0	0	21
150	700001	1	150	150	154	ÉÕºìboss7		44224	-1	54	126	0	9	629	6	0	0	0	0	0	0	21
151	700001	1	151	155	161	ÉÕºìboss7		44225	-1	54	126	0	9	629	6	0	0	0	0	0	0	21
152	700001	1	152	65	69	ÉÕºìboss8		26327	-1	75	75	0	9	630	7	0	0	0	0	0	0	21
153	700001	1	153	70	74	ÉÕºìboss8		26328	-1	75	75	0	9	630	7	0	0	0	0	0	0	21
154	700001	1	154	75	79	ÉÕºìboss8		26329	-1	75	75	0	9	630	7	0	0	0	0	0	0	21
155	700001	1	155	80	84	ÉÕºìboss8		26330	-1	75	75	0	9	630	7	0	0	0	0	0	0	21
156	700001	1	156	85	89	ÉÕºìboss8		26331	-1	75	75	0	9	630	7	0	0	0	0	0	0	21
157	700001	1	157	90	94	ÉÕºìboss8		26332	-1	75	75	0	9	630	7	0	0	0	0	0	0	21
158	700001	1	158	95	99	ÉÕºìboss8		26333	-1	75	75	0	9	630	7	0	0	0	0	0	0	21
159	700001	1	159	100	104	ÉÕºìboss8		44226	-1	75	75	0	9	630	7	0	0	0	0	0	0	21
160	700001	1	160	105	109	ÉÕºìboss8		44227	-1	75	75	0	9	630	7	0	0	0	0	0	0	21
161	700001	1	161	110	114	ÉÕºìboss8		44228	-1	75	75	0	9	630	7	0	0	0	0	0	0	21
162	700001	1	162	115	119	ÉÕºìboss8		44229	-1	75	75	0	9	630	7	0	0	0	0	0	0	21
163	700001	1	163	120	124	ÉÕºìboss8		44230	-1	75	75	0	9	630	7	0	0	0	0	0	0	21
164	700001	1	164	125	129	ÉÕºìboss8		44231	-1	75	75	0	9	630	7	0	0	0	0	0	0	21
165	700001	1	165	130	134	ÉÕºìboss8		44232	-1	75	75	0	9	630	7	0	0	0	0	0	0	21
166	700001	1	166	135	139	ÉÕºìboss8		44233	-1	75	75	0	9	630	7	0	0	0	0	0	0	21
167	700001	1	167	140	144	ÉÕºìboss8		44234	-1	75	75	0	9	630	7	0	0	0	0	0	0	21
168	700001	1	168	145	149	ÉÕºìboss8		44235	-1	75	75	0	9	630	7	0	0	0	0	0	0	21
169	700001	1	169	150	154	ÉÕºìboss8		44236	-1	75	75	0	9	630	7	0	0	0	0	0	0	21
170	700001	1	170	155	161	ÉÕºìboss8		44237	-1	75	75	0	9	630	7	0	0	0	0	0	0	21
171	700001	1	171	65	69	ÉÕºìboss9		26338	-1	75	75	0	9	631	8	0	0	0	0	0	0	21
172	700001	1	172	70	74	ÉÕºìboss9		26339	-1	75	75	0	9	631	8	0	0	0	0	0	0	21
173	700001	1	173	75	79	ÉÕºìboss9		26340	-1	75	75	0	9	631	8	0	0	0	0	0	0	21
174	700001	1	174	80	84	ÉÕºìboss9		26341	-1	75	75	0	9	631	8	0	0	0	0	0	0	21
175	700001	1	175	85	89	ÉÕºìboss9		26342	-1	75	75	0	9	631	8	0	0	0	0	0	0	21
176	700001	1	176	90	94	ÉÕºìboss9		26343	-1	75	75	0	9	631	8	0	0	0	0	0	0	21
177	700001	1	177	95	99	ÉÕºìboss9		26344	-1	75	75	0	9	631	8	0	0	0	0	0	0	21
178	700001	1	178	100	104	ÉÕºìboss9		44238	-1	75	75	0	9	631	8	0	0	0	0	0	0	21
179	700001	1	179	105	109	ÉÕºìboss9		44239	-1	75	75	0	9	631	8	0	0	0	0	0	0	21
180	700001	1	180	110	114	ÉÕºìboss9		44240	-1	75	75	0	9	631	8	0	0	0	0	0	0	21
181	700001	1	181	115	119	ÉÕºìboss9		44241	-1	75	75	0	9	631	8	0	0	0	0	0	0	21
182	700001	1	182	120	124	ÉÕºìboss9		44242	-1	75	75	0	9	631	8	0	0	0	0	0	0	21
183	700001	1	183	125	129	ÉÕºìboss9		44243	-1	75	75	0	9	631	8	0	0	0	0	0	0	21
184	700001	1	184	130	134	ÉÕºìboss9		44244	-1	75	75	0	9	631	8	0	0	0	0	0	0	21
185	700001	1	185	135	139	ÉÕºìboss9		44245	-1	75	75	0	9	631	8	0	0	0	0	0	0	21
186	700001	1	186	140	144	ÉÕºìboss9		44246	-1	75	75	0	9	631	8	0	0	0	0	0	0	21
187	700001	1	187	145	149	ÉÕºìboss9		44247	-1	75	75	0	9	631	8	0	0	0	0	0	0	21
188	700001	1	188	150	154	ÉÕºìboss9		44248	-1	75	75	0	9	631	8	0	0	0	0	0	0	21
189	700001	1	189	155	161	ÉÕºìboss9		44249	-1	75	75	0	9	631	8	0	0	0	0	0	0	21
190	700001	1	190	65	69	ÉÕºìboss10		26349	-1	75	75	0	9	632	9	0	0	0	0	0	0	21
191	700001	1	191	70	74	ÉÕºìboss10		26350	-1	75	75	0	9	632	9	0	0	0	0	0	0	21
192	700001	1	192	75	79	ÉÕºìboss10		26351	-1	75	75	0	9	632	9	0	0	0	0	0	0	21
193	700001	1	193	80	84	ÉÕºìboss10		26352	-1	75	75	0	9	632	9	0	0	0	0	0	0	21
194	700001	1	194	85	89	ÉÕºìboss10		26353	-1	75	75	0	9	632	9	0	0	0	0	0	0	21
195	700001	1	195	90	94	ÉÕºìboss10		26354	-1	75	75	0	9	632	9	0	0	0	0	0	0	21
196	700001	1	196	95	99	ÉÕºìboss10		26355	-1	75	75	0	9	632	9	0	0	0	0	0	0	21
197	700001	1	197	100	104	ÉÕºìboss10		44250	-1	75	75	0	9	632	9	0	0	0	0	0	0	21
198	700001	1	198	105	109	ÉÕºìboss10		44251	-1	75	75	0	9	632	9	0	0	0	0	0	0	21
199	700001	1	199	110	114	ÉÕºìboss10		44252	-1	75	75	0	9	632	9	0	0	0	0	0	0	21
200	700001	1	200	115	119	ÉÕºìboss10		44253	-1	75	75	0	9	632	9	0	0	0	0	0	0	21
201	700001	1	201	120	124	ÉÕºìboss10		44254	-1	75	75	0	9	632	9	0	0	0	0	0	0	21
202	700001	1	202	125	129	ÉÕºìboss10		44255	-1	75	75	0	9	632	9	0	0	0	0	0	0	21
203	700001	1	203	130	134	ÉÕºìboss10		44256	-1	75	75	0	9	632	9	0	0	0	0	0	0	21
204	700001	1	204	135	139	ÉÕºìboss10		44257	-1	75	75	0	9	632	9	0	0	0	0	0	0	21
205	700001	1	205	140	144	ÉÕºìboss10		44258	-1	75	75	0	9	632	9	0	0	0	0	0	0	21
206	700001	1	206	145	149	ÉÕºìboss10		44259	-1	75	75	0	9	632	9	0	0	0	0	0	0	21
207	700001	1	207	150	154	ÉÕºìboss10		44260	-1	75	75	0	9	632	9	0	0	0	0	0	0	21
208	700001	1	208	155	161	ÉÕºìboss10		44261	-1	75	75	0	9	632	9	0	0	0	0	0	0	21
209	700001	2	209	65	69	ÉÕºì´ÉÆ÷1		26140	-1	127	54	0	9	613	0	0	0	0	1	0	0	21
210	700001	2	210	70	74	ÉÕºì´ÉÆ÷1		26141	-1	127	54	0	9	613	0	0	0	0	1	0	0	21
211	700001	2	211	75	79	ÉÕºì´ÉÆ÷1		26142	-1	127	54	0	9	613	0	0	0	0	1	0	0	21
212	700001	2	212	80	84	ÉÕºì´ÉÆ÷1		26143	-1	127	54	0	9	613	0	0	0	0	1	0	0	21
213	700001	2	213	85	89	ÉÕºì´ÉÆ÷1		26144	-1	127	54	0	9	613	0	0	0	0	1	0	0	21
214	700001	2	214	90	94	ÉÕºì´ÉÆ÷1		26145	-1	127	54	0	9	613	0	0	0	0	1	0	0	21
215	700001	2	215	95	99	ÉÕºì´ÉÆ÷1		26146	-1	127	54	0	9	613	0	0	0	0	1	0	0	21
216	700001	2	216	100	104	ÉÕºì´ÉÆ÷1		44262	-1	127	54	0	9	613	0	0	0	0	1	0	0	21
217	700001	2	217	105	109	ÉÕºì´ÉÆ÷1		44263	-1	127	54	0	9	613	0	0	0	0	1	0	0	21
218	700001	2	218	110	114	ÉÕºì´ÉÆ÷1		44264	-1	127	54	0	9	613	0	0	0	0	1	0	0	21
219	700001	2	219	115	119	ÉÕºì´ÉÆ÷1		44265	-1	127	54	0	9	613	0	0	0	0	1	0	0	21
220	700001	2	220	120	124	ÉÕºì´ÉÆ÷1		44266	-1	127	54	0	9	613	0	0	0	0	1	0	0	21
221	700001	2	221	125	129	ÉÕºì´ÉÆ÷1		44267	-1	127	54	0	9	613	0	0	0	0	1	0	0	21
222	700001	2	222	130	134	ÉÕºì´ÉÆ÷1		44268	-1	127	54	0	9	613	0	0	0	0	1	0	0	21
223	700001	2	223	135	139	ÉÕºì´ÉÆ÷1		44269	-1	127	54	0	9	613	0	0	0	0	1	0	0	21
224	700001	2	224	140	144	ÉÕºì´ÉÆ÷1		44270	-1	127	54	0	9	613	0	0	0	0	1	0	0	21
225	700001	2	225	145	149	ÉÕºì´ÉÆ÷1		44271	-1	127	54	0	9	613	0	0	0	0	1	0	0	21
226	700001	2	226	150	154	ÉÕºì´ÉÆ÷1		44272	-1	127	54	0	9	613	0	0	0	0	1	0	0	21
227	700001	2	227	155	161	ÉÕºì´ÉÆ÷1		44273	-1	127	54	0	9	613	0	0	0	0	1	0	0	21
228	700001	2	228	65	69	ÉÕºì´ÉÆ÷1		26140	-1	179	75	0	9	613	1	0	0	0	1	0	0	21
229	700001	2	229	70	74	ÉÕºì´ÉÆ÷1		26141	-1	179	75	0	9	613	1	0	0	0	1	0	0	21
230	700001	2	230	75	79	ÉÕºì´ÉÆ÷1		26142	-1	179	75	0	9	613	1	0	0	0	1	0	0	21
231	700001	2	231	80	84	ÉÕºì´ÉÆ÷1		26143	-1	179	75	0	9	613	1	0	0	0	1	0	0	21
232	700001	2	232	85	89	ÉÕºì´ÉÆ÷1		26144	-1	179	75	0	9	613	1	0	0	0	1	0	0	21
233	700001	2	233	90	94	ÉÕºì´ÉÆ÷1		26145	-1	179	75	0	9	613	1	0	0	0	1	0	0	21
234	700001	2	234	95	99	ÉÕºì´ÉÆ÷1		26146	-1	179	75	0	9	613	1	0	0	0	1	0	0	21
235	700001	2	235	100	104	ÉÕºì´ÉÆ÷1		44262	-1	179	75	0	9	613	1	0	0	0	1	0	0	21
236	700001	2	236	105	109	ÉÕºì´ÉÆ÷1		44263	-1	179	75	0	9	613	1	0	0	0	1	0	0	21
