INT	STRING	INT	INT	INT	STRING	INT
169	增强对萨满伤害	1	230	3	1~12|20~29|35~46	50
170	增强对萨满伤害	1	230	2	1~12|20~29|35~46	200
171	增强对萨满伤害	1	230	1	1~12|20~29|35~46	250
172	增强对十字军伤害	1	231	3	1~12|20~29|35~46	50
173	增强对十字军伤害	1	231	2	1~12|20~29|35~46	200
174	增强对十字军伤害	1	231	1	1~12|20~29|35~46	250
175	增强对圣火使伤害	1	232	3	1~12|20~29|35~46	50
176	增强对圣火使伤害	1	232	2	1~12|20~29|35~46	200
177	增强对圣火使伤害	1	232	1	1~12|20~29|35~46	250
178	增强对刺客伤害	1	233	3	1~12|20~29|35~46	50
179	增强对刺客伤害	1	233	2	1~12|20~29|35~46	200
180	增强对刺客伤害	1	233	1	1~12|20~29|35~46	250
181	增强对近卫军伤害	1	234	3	1~12|20~29|35~46	50
182	增强对近卫军伤害	1	234	2	1~12|20~29|35~46	200
183	增强对近卫军伤害	1	234	1	1~12|20~29|35~46	250
184	增强对隐修士伤害	1	235	3	1~12|20~29|35~46	50
185	增强对隐修士伤害	1	235	2	1~12|20~29|35~46	200
186	增强对隐修士伤害	1	235	1	1~12|20~29|35~46	250
187	增强对僧侣伤害	1	236	3	1~12|20~29|35~46	50
188	增强对僧侣伤害	1	236	2	1~12|20~29|35~46	200
189	增强对僧侣伤害	1	236	1	1~12|20~29|35~46	250
