INT	STRING	INT	STRING	STRING	STRING	STRING	STRING	STRING
13	请找出边框颜色与其它不一样的图标	3	set:UI_Logon_6 image:UI_Logon_6_24	set:UI_Logon_6 image:UI_Logon_6_25	set:UI_Logon_6 image:UI_Logon_6_26	set:UI_Logon_6 image:UI_Logon_6_84	set:UI_Logon_6 image:UI_Logon_6_28	set:UI_Logon_6 image:UI_Logon_6_21
14	请找出边框颜色与其它不一样的图标	4	set:UI_Logon_6 image:UI_Logon_6_25	set:UI_Logon_6 image:UI_Logon_6_26	set:UI_Logon_6 image:UI_Logon_6_27	set:UI_Logon_6 image:UI_Logon_6_28	set:UI_Logon_6 image:UI_Logon_6_85	set:UI_Logon_6 image:UI_Logon_6_22
15	请找出边框颜色与其它不一样的图标	5	set:UI_Logon_6 image:UI_Logon_6_26	set:UI_Logon_6 image:UI_Logon_6_27	set:UI_Logon_6 image:UI_Logon_6_28	set:UI_Logon_6 image:UI_Logon_6_21	set:UI_Logon_6 image:UI_Logon_6_22	set:UI_Logon_6 image:UI_Logon_6_91
16	请找出边框颜色与其它不一样的图标	4	set:UI_Logon_6 image:UI_Logon_6_27	set:UI_Logon_6 image:UI_Logon_6_28	set:UI_Logon_6 image:UI_Logon_6_21	set:UI_Logon_6 image:UI_Logon_6_22	set:UI_Logon_6 image:UI_Logon_6_92	set:UI_Logon_6 image:UI_Logon_6_24
17	请找出边框颜色与其它不一样的图标	3	set:UI_Logon_6 image:UI_Logon_6_28	set:UI_Logon_6 image:UI_Logon_6_21	set:UI_Logon_6 image:UI_Logon_6_22	set:UI_Logon_6 image:UI_Logon_6_93	set:UI_Logon_6 image:UI_Logon_6_24	set:UI_Logon_6 image:UI_Logon_6_25
18	请找出边框颜色与其它不一样的图标	2	set:UI_Logon_6 image:UI_Logon_6_21	set:UI_Logon_6 image:UI_Logon_6_22	set:UI_Logon_6 image:UI_Logon_6_94	set:UI_Logon_6 image:UI_Logon_6_24	set:UI_Logon_6 image:UI_Logon_6_25	set:UI_Logon_6 image:UI_Logon_6_26
19	请找出边框颜色与其它不一样的图标	1	set:UI_Logon_6 image:UI_Logon_6_22	set:UI_Logon_6 image:UI_Logon_6_95	set:UI_Logon_6 image:UI_Logon_6_24	set:UI_Logon_6 image:UI_Logon_6_25	set:UI_Logon_6 image:UI_Logon_6_26	set:UI_Logon_6 image:UI_Logon_6_27
20	请找出边框颜色与其它不一样的图标	0	set:UI_Logon_6 image:UI_Logon_6_81	set:UI_Logon_6 image:UI_Logon_6_32	set:UI_Logon_6 image:UI_Logon_6_33	set:UI_Logon_6 image:UI_Logon_6_34	set:UI_Logon_6 image:UI_Logon_6_35	set:UI_Logon_6 image:UI_Logon_6_36
21	请找出边框颜色与其它不一样的图标	1	set:UI_Logon_6 image:UI_Logon_6_32	set:UI_Logon_6 image:UI_Logon_6_82	set:UI_Logon_6 image:UI_Logon_6_34	set:UI_Logon_6 image:UI_Logon_6_35	set:UI_Logon_6 image:UI_Logon_6_36	set:UI_Logon_6 image:UI_Logon_6_37
22	请找出边框颜色与其它不一样的图标	2	set:UI_Logon_6 image:UI_Logon_6_33	set:UI_Logon_6 image:UI_Logon_6_34	set:UI_Logon_6 image:UI_Logon_6_83	set:UI_Logon_6 image:UI_Logon_6_36	set:UI_Logon_6 image:UI_Logon_6_37	set:UI_Logon_6 image:UI_Logon_6_38
23	请找出边框颜色与其它不一样的图标	3	set:UI_Logon_6 image:UI_Logon_6_34	set:UI_Logon_6 image:UI_Logon_6_35	set:UI_Logon_6 image:UI_Logon_6_36	set:UI_Logon_6 image:UI_Logon_6_84	set:UI_Logon_6 image:UI_Logon_6_38	set:UI_Logon_6 image:UI_Logon_6_31
24	请找出边框颜色与其它不一样的图标	4	set:UI_Logon_6 image:UI_Logon_6_35	set:UI_Logon_6 image:UI_Logon_6_36	set:UI_Logon_6 image:UI_Logon_6_37	set:UI_Logon_6 image:UI_Logon_6_38	set:UI_Logon_6 image:UI_Logon_6_85	set:UI_Logon_6 image:UI_Logon_6_32
25	请找出边框颜色与其它不一样的图标	5	set:UI_Logon_6 image:UI_Logon_6_36	set:UI_Logon_6 image:UI_Logon_6_37	set:UI_Logon_6 image:UI_Logon_6_38	set:UI_Logon_6 image:UI_Logon_6_31	set:UI_Logon_6 image:UI_Logon_6_32	set:UI_Logon_6 image:UI_Logon_6_91
26	请找出边框颜色与其它不一样的图标	4	set:UI_Logon_6 image:UI_Logon_6_37	set:UI_Logon_6 image:UI_Logon_6_38	set:UI_Logon_6 image:UI_Logon_6_31	set:UI_Logon_6 image:UI_Logon_6_32	set:UI_Logon_6 image:UI_Logon_6_92	set:UI_Logon_6 image:UI_Logon_6_34
27	请找出边框颜色与其它不一样的图标	3	set:UI_Logon_6 image:UI_Logon_6_38	set:UI_Logon_6 image:UI_Logon_6_31	set:UI_Logon_6 image:UI_Logon_6_32	set:UI_Logon_6 image:UI_Logon_6_93	set:UI_Logon_6 image:UI_Logon_6_34	set:UI_Logon_6 image:UI_Logon_6_35
28	请找出边框颜色与其它不一样的图标	2	set:UI_Logon_6 image:UI_Logon_6_31	set:UI_Logon_6 image:UI_Logon_6_32	set:UI_Logon_6 image:UI_Logon_6_94	set:UI_Logon_6 image:UI_Logon_6_34	set:UI_Logon_6 image:UI_Logon_6_35	set:UI_Logon_6 image:UI_Logon_6_36
29	请找出边框颜色与其它不一样的图标	1	set:UI_Logon_6 image:UI_Logon_6_32	set:UI_Logon_6 image:UI_Logon_6_95	set:UI_Logon_6 image:UI_Logon_6_34	set:UI_Logon_6 image:UI_Logon_6_35	set:UI_Logon_6 image:UI_Logon_6_36	set:UI_Logon_6 image:UI_Logon_6_37
30	请找出边框颜色与其它不一样的图标	0	set:UI_Logon_6 image:UI_Logon_6_81	set:UI_Logon_6 image:UI_Logon_6_42	set:UI_Logon_6 image:UI_Logon_6_43	set:UI_Logon_6 image:UI_Logon_6_44	set:UI_Logon_6 image:UI_Logon_6_45	set:UI_Logon_6 image:UI_Logon_6_46
31	请找出边框颜色与其它不一样的图标	1	set:UI_Logon_6 image:UI_Logon_6_42	set:UI_Logon_6 image:UI_Logon_6_82	set:UI_Logon_6 image:UI_Logon_6_44	set:UI_Logon_6 image:UI_Logon_6_45	set:UI_Logon_6 image:UI_Logon_6_46	set:UI_Logon_6 image:UI_Logon_6_47
32	请找出边框颜色与其它不一样的图标	2	set:UI_Logon_6 image:UI_Logon_6_43	set:UI_Logon_6 image:UI_Logon_6_44	set:UI_Logon_6 image:UI_Logon_6_83	set:UI_Logon_6 image:UI_Logon_6_46	set:UI_Logon_6 image:UI_Logon_6_47	set:UI_Logon_6 image:UI_Logon_6_48
33	请找出边框颜色与其它不一样的图标	3	set:UI_Logon_6 image:UI_Logon_6_44	set:UI_Logon_6 image:UI_Logon_6_45	set:UI_Logon_6 image:UI_Logon_6_46	set:UI_Logon_6 image:UI_Logon_6_84	set:UI_Logon_6 image:UI_Logon_6_48	set:UI_Logon_6 image:UI_Logon_6_41
34	请找出边框颜色与其它不一样的图标	4	set:UI_Logon_6 image:UI_Logon_6_45	set:UI_Logon_6 image:UI_Logon_6_46	set:UI_Logon_6 image:UI_Logon_6_47	set:UI_Logon_6 image:UI_Logon_6_48	set:UI_Logon_6 image:UI_Logon_6_85	set:UI_Logon_6 image:UI_Logon_6_42
35	请找出边框颜色与其它不一样的图标	5	set:UI_Logon_6 image:UI_Logon_6_46	set:UI_Logon_6 image:UI_Logon_6_47	set:UI_Logon_6 image:UI_Logon_6_48	set:UI_Logon_6 image:UI_Logon_6_41	set:UI_Logon_6 image:UI_Logon_6_42	set:UI_Logon_6 image:UI_Logon_6_91
36	请找出边框颜色与其它不一样的图标	4	set:UI_Logon_6 image:UI_Logon_6_47	set:UI_Logon_6 image:UI_Logon_6_48	set:UI_Logon_6 image:UI_Logon_6_41	set:UI_Logon_6 image:UI_Logon_6_42	set:UI_Logon_6 image:UI_Logon_6_92	set:UI_Logon_6 image:UI_Logon_6_44
37	请找出边框颜色与其它不一样的图标	3	set:UI_Logon_6 image:UI_Logon_6_48	set:UI_Logon_6 image:UI_Logon_6_41	set:UI_Logon_6 image:UI_Logon_6_42	set:UI_Logon_6 image:UI_Logon_6_93	set:UI_Logon_6 image:UI_Logon_6_44	set:UI_Logon_6 image:UI_Logon_6_45
38	请找出边框颜色与其它不一样的图标	2	set:UI_Logon_6 image:UI_Logon_6_41	set:UI_Logon_6 image:UI_Logon_6_42	set:UI_Logon_6 image:UI_Logon_6_94	set:UI_Logon_6 image:UI_Logon_6_44	set:UI_Logon_6 image:UI_Logon_6_45	set:UI_Logon_6 image:UI_Logon_6_46
39	请找出边框颜色与其它不一样的图标	1	set:UI_Logon_6 image:UI_Logon_6_42	set:UI_Logon_6 image:UI_Logon_6_95	set:UI_Logon_6 image:UI_Logon_6_44	set:UI_Logon_6 image:UI_Logon_6_45	set:UI_Logon_6 image:UI_Logon_6_46	set:UI_Logon_6 image:UI_Logon_6_47
40	请找出边框颜色与其它不一样的图标	0	set:UI_Logon_6 image:UI_Logon_6_81	set:UI_Logon_6 image:UI_Logon_6_52	set:UI_Logon_6 image:UI_Logon_6_53	set:UI_Logon_6 image:UI_Logon_6_54	set:UI_Logon_6 image:UI_Logon_6_55	set:UI_Logon_6 image:UI_Logon_6_56
41	请找出边框颜色与其它不一样的图标	1	set:UI_Logon_6 image:UI_Logon_6_52	set:UI_Logon_6 image:UI_Logon_6_82	set:UI_Logon_6 image:UI_Logon_6_54	set:UI_Logon_6 image:UI_Logon_6_55	set:UI_Logon_6 image:UI_Logon_6_56	set:UI_Logon_6 image:UI_Logon_6_57
42	请找出边框颜色与其它不一样的图标	2	set:UI_Logon_6 image:UI_Logon_6_53	set:UI_Logon_6 image:UI_Logon_6_54	set:UI_Logon_6 image:UI_Logon_6_83	set:UI_Logon_6 image:UI_Logon_6_56	set:UI_Logon_6 image:UI_Logon_6_57	set:UI_Logon_6 image:UI_Logon_6_58
43	请找出边框颜色与其它不一样的图标	3	set:UI_Logon_6 image:UI_Logon_6_54	set:UI_Logon_6 image:UI_Logon_6_55	set:UI_Logon_6 image:UI_Logon_6_56	set:UI_Logon_6 image:UI_Logon_6_84	set:UI_Logon_6 image:UI_Logon_6_58	set:UI_Logon_6 image:UI_Logon_6_51
44	请找出边框颜色与其它不一样的图标	4	set:UI_Logon_6 image:UI_Logon_6_55	set:UI_Logon_6 image:UI_Logon_6_56	set:UI_Logon_6 image:UI_Logon_6_57	set:UI_Logon_6 image:UI_Logon_6_58	set:UI_Logon_6 image:UI_Logon_6_85	set:UI_Logon_6 image:UI_Logon_6_52
45	请找出边框颜色与其它不一样的图标	5	set:UI_Logon_6 image:UI_Logon_6_56	set:UI_Logon_6 image:UI_Logon_6_57	set:UI_Logon_6 image:UI_Logon_6_58	set:UI_Logon_6 image:UI_Logon_6_51	set:UI_Logon_6 image:UI_Logon_6_52	set:UI_Logon_6 image:UI_Logon_6_91
46	请找出边框颜色与其它不一样的图标	4	set:UI_Logon_6 image:UI_Logon_6_57	set:UI_Logon_6 image:UI_Logon_6_58	set:UI_Logon_6 image:UI_Logon_6_51	set:UI_Logon_6 image:UI_Logon_6_52	set:UI_Logon_6 image:UI_Logon_6_92	set:UI_Logon_6 image:UI_Logon_6_54
47	请找出边框颜色与其它不一样的图标	3	set:UI_Logon_6 image:UI_Logon_6_58	set:UI_Logon_6 image:UI_Logon_6_51	set:UI_Logon_6 image:UI_Logon_6_52	set:UI_Logon_6 image:UI_Logon_6_93	set:UI_Logon_6 image:UI_Logon_6_54	set:UI_Logon_6 image:UI_Logon_6_55
48	请找出边框颜色与其它不一样的图标	2	set:UI_Logon_6 image:UI_Logon_6_51	set:UI_Logon_6 image:UI_Logon_6_52	set:UI_Logon_6 image:UI_Logon_6_94	set:UI_Logon_6 image:UI_Logon_6_54	set:UI_Logon_6 image:UI_Logon_6_55	set:UI_Logon_6 image:UI_Logon_6_56
49	请找出边框颜色与其它不一样的图标	1	set:UI_Logon_6 image:UI_Logon_6_52	set:UI_Logon_6 image:UI_Logon_6_95	set:UI_Logon_6 image:UI_Logon_6_54	set:UI_Logon_6 image:UI_Logon_6_55	set:UI_Logon_6 image:UI_Logon_6_56	set:UI_Logon_6 image:UI_Logon_6_57
50	请找出边框颜色与其它不一样的图标	0	set:UI_Logon_6 image:UI_Logon_6_81	set:UI_Logon_6 image:UI_Logon_6_62	set:UI_Logon_6 image:UI_Logon_6_63	set:UI_Logon_6 image:UI_Logon_6_64	set:UI_Logon_6 image:UI_Logon_6_65	set:UI_Logon_6 image:UI_Logon_6_66
51	请找出边框颜色与其它不一样的图标	1	set:UI_Logon_6 image:UI_Logon_6_62	set:UI_Logon_6 image:UI_Logon_6_82	set:UI_Logon_6 image:UI_Logon_6_64	set:UI_Logon_6 image:UI_Logon_6_65	set:UI_Logon_6 image:UI_Logon_6_66	set:UI_Logon_6 image:UI_Logon_6_67
52	请找出边框颜色与其它不一样的图标	2	set:UI_Logon_6 image:UI_Logon_6_63	set:UI_Logon_6 image:UI_Logon_6_64	set:UI_Logon_6 image:UI_Logon_6_83	set:UI_Logon_6 image:UI_Logon_6_66	set:UI_Logon_6 image:UI_Logon_6_67	set:UI_Logon_6 image:UI_Logon_6_68
53	请找出边框颜色与其它不一样的图标	3	set:UI_Logon_6 image:UI_Logon_6_64	set:UI_Logon_6 image:UI_Logon_6_65	set:UI_Logon_6 image:UI_Logon_6_66	set:UI_Logon_6 image:UI_Logon_6_84	set:UI_Logon_6 image:UI_Logon_6_68	set:UI_Logon_6 image:UI_Logon_6_61
54	请找出边框颜色与其它不一样的图标	4	set:UI_Logon_6 image:UI_Logon_6_65	set:UI_Logon_6 image:UI_Logon_6_66	set:UI_Logon_6 image:UI_Logon_6_67	set:UI_Logon_6 image:UI_Logon_6_68	set:UI_Logon_6 image:UI_Logon_6_85	set:UI_Logon_6 image:UI_Logon_6_62
55	请找出边框颜色与其它不一样的图标	5	set:UI_Logon_6 image:UI_Logon_6_66	set:UI_Logon_6 image:UI_Logon_6_67	set:UI_Logon_6 image:UI_Logon_6_68	set:UI_Logon_6 image:UI_Logon_6_61	set:UI_Logon_6 image:UI_Logon_6_62	set:UI_Logon_6 image:UI_Logon_6_91
56	请找出边框颜色与其它不一样的图标	4	set:UI_Logon_6 image:UI_Logon_6_67	set:UI_Logon_6 image:UI_Logon_6_68	set:UI_Logon_6 image:UI_Logon_6_61	set:UI_Logon_6 image:UI_Logon_6_62	set:UI_Logon_6 image:UI_Logon_6_92	set:UI_Logon_6 image:UI_Logon_6_64
57	请找出边框颜色与其它不一样的图标	3	set:UI_Logon_6 image:UI_Logon_6_68	set:UI_Logon_6 image:UI_Logon_6_61	set:UI_Logon_6 image:UI_Logon_6_62	set:UI_Logon_6 image:UI_Logon_6_93	set:UI_Logon_6 image:UI_Logon_6_64	set:UI_Logon_6 image:UI_Logon_6_65
58	请找出边框颜色与其它不一样的图标	2	set:UI_Logon_6 image:UI_Logon_6_61	set:UI_Logon_6 image:UI_Logon_6_62	set:UI_Logon_6 image:UI_Logon_6_94	set:UI_Logon_6 image:UI_Logon_6_64	set:UI_Logon_6 image:UI_Logon_6_65	set:UI_Logon_6 image:UI_Logon_6_66
59	请找出边框颜色与其它不一样的图标	1	set:UI_Logon_6 image:UI_Logon_6_62	set:UI_Logon_6 image:UI_Logon_6_95	set:UI_Logon_6 image:UI_Logon_6_64	set:UI_Logon_6 image:UI_Logon_6_65	set:UI_Logon_6 image:UI_Logon_6_66	set:UI_Logon_6 image:UI_Logon_6_67
60	请找出边框颜色与其它不一样的图标	0	set:UI_Logon_6 image:UI_Logon_6_81	set:UI_Logon_6 image:UI_Logon_6_62	set:UI_Logon_6 image:UI_Logon_6_63	set:UI_Logon_6 image:UI_Logon_6_64	set:UI_Logon_6 image:UI_Logon_6_65	set:UI_Logon_6 image:UI_Logon_6_66
61	请找出边框颜色与其它不一样的图标	1	set:UI_Logon_6 image:UI_Logon_6_62	set:UI_Logon_6 image:UI_Logon_6_82	set:UI_Logon_6 image:UI_Logon_6_64	set:UI_Logon_6 image:UI_Logon_6_65	set:UI_Logon_6 image:UI_Logon_6_66	set:UI_Logon_6 image:UI_Logon_6_67
62	请找出边框颜色与其它不一样的图标	2	set:UI_Logon_6 image:UI_Logon_6_63	set:UI_Logon_6 image:UI_Logon_6_64	set:UI_Logon_6 image:UI_Logon_6_83	set:UI_Logon_6 image:UI_Logon_6_66	set:UI_Logon_6 image:UI_Logon_6_67	set:UI_Logon_6 image:UI_Logon_6_68
63	请找出边框颜色与其它不一样的图标	3	set:UI_Logon_6 image:UI_Logon_6_64	set:UI_Logon_6 image:UI_Logon_6_65	set:UI_Logon_6 image:UI_Logon_6_66	set:UI_Logon_6 image:UI_Logon_6_84	set:UI_Logon_6 image:UI_Logon_6_68	set:UI_Logon_6 image:UI_Logon_6_61
64	请找出边框颜色与其它不一样的图标	4	set:UI_Logon_6 image:UI_Logon_6_65	set:UI_Logon_6 image:UI_Logon_6_66	set:UI_Logon_6 image:UI_Logon_6_67	set:UI_Logon_6 image:UI_Logon_6_68	set:UI_Logon_6 image:UI_Logon_6_85	set:UI_Logon_6 image:UI_Logon_6_62
65	请找出边框颜色与其它不一样的图标	5	set:UI_Logon_6 image:UI_Logon_6_66	set:UI_Logon_6 image:UI_Logon_6_67	set:UI_Logon_6 image:UI_Logon_6_68	set:UI_Logon_6 image:UI_Logon_6_61	set:UI_Logon_6 image:UI_Logon_6_62	set:UI_Logon_6 image:UI_Logon_6_91
66	请找出边框颜色与其它不一样的图标	4	set:UI_Logon_6 image:UI_Logon_6_67	set:UI_Logon_6 image:UI_Logon_6_68	set:UI_Logon_6 image:UI_Logon_6_61	set:UI_Logon_6 image:UI_Logon_6_62	set:UI_Logon_6 image:UI_Logon_6_92	set:UI_Logon_6 image:UI_Logon_6_64
67	请找出边框颜色与其它不一样的图标	3	set:UI_Logon_6 image:UI_Logon_6_68	set:UI_Logon_6 image:UI_Logon_6_61	set:UI_Logon_6 image:UI_Logon_6_62	set:UI_Logon_6 image:UI_Logon_6_93	set:UI_Logon_6 image:UI_Logon_6_64	set:UI_Logon_6 image:UI_Logon_6_65
68	请找出边框颜色与其它不一样的图标	2	set:UI_Logon_6 image:UI_Logon_6_61	set:UI_Logon_6 image:UI_Logon_6_62	set:UI_Logon_6 image:UI_Logon_6_94	set:UI_Logon_6 image:UI_Logon_6_64	set:UI_Logon_6 image:UI_Logon_6_65	set:UI_Logon_6 image:UI_Logon_6_66
69	请找出边框颜色与其它不一样的图标	1	set:UI_Logon_6 image:UI_Logon_6_62	set:UI_Logon_6 image:UI_Logon_6_95	set:UI_Logon_6 image:UI_Logon_6_64	set:UI_Logon_6 image:UI_Logon_6_65	set:UI_Logon_6 image:UI_Logon_6_66	set:UI_Logon_6 image:UI_Logon_6_67
70	请找出边框颜色与其它不一样的图标	0	set:UI_Logon_6 image:UI_Logon_6_81	set:UI_Logon_6 image:UI_Logon_6_72	set:UI_Logon_6 image:UI_Logon_6_73	set:UI_Logon_6 image:UI_Logon_6_74	set:UI_Logon_6 image:UI_Logon_6_75	set:UI_Logon_6 image:UI_Logon_6_76
71	请找出边框颜色与其它不一样的图标	1	set:UI_Logon_6 image:UI_Logon_6_72	set:UI_Logon_6 image:UI_Logon_6_82	set:UI_Logon_6 image:UI_Logon_6_74	set:UI_Logon_6 image:UI_Logon_6_75	set:UI_Logon_6 image:UI_Logon_6_76	set:UI_Logon_6 image:UI_Logon_6_77
72	请找出边框颜色与其它不一样的图标	2	set:UI_Logon_6 image:UI_Logon_6_73	set:UI_Logon_6 image:UI_Logon_6_74	set:UI_Logon_6 image:UI_Logon_6_83	set:UI_Logon_6 image:UI_Logon_6_76	set:UI_Logon_6 image:UI_Logon_6_77	set:UI_Logon_6 image:UI_Logon_6_78
73	请找出边框颜色与其它不一样的图标	3	set:UI_Logon_6 image:UI_Logon_6_74	set:UI_Logon_6 image:UI_Logon_6_75	set:UI_Logon_6 image:UI_Logon_6_76	set:UI_Logon_6 image:UI_Logon_6_84	set:UI_Logon_6 image:UI_Logon_6_78	set:UI_Logon_6 image:UI_Logon_6_71
74	请找出边框颜色与其它不一样的图标	4	set:UI_Logon_6 image:UI_Logon_6_75	set:UI_Logon_6 image:UI_Logon_6_76	set:UI_Logon_6 image:UI_Logon_6_77	set:UI_Logon_6 image:UI_Logon_6_78	set:UI_Logon_6 image:UI_Logon_6_85	set:UI_Logon_6 image:UI_Logon_6_72
75	请找出边框颜色与其它不一样的图标	5	set:UI_Logon_6 image:UI_Logon_6_76	set:UI_Logon_6 image:UI_Logon_6_77	set:UI_Logon_6 image:UI_Logon_6_78	set:UI_Logon_6 image:UI_Logon_6_71	set:UI_Logon_6 image:UI_Logon_6_72	set:UI_Logon_6 image:UI_Logon_6_91
76	请找出边框颜色与其它不一样的图标	4	set:UI_Logon_6 image:UI_Logon_6_77	set:UI_Logon_6 image:UI_Logon_6_78	set:UI_Logon_6 image:UI_Logon_6_71	set:UI_Logon_6 image:UI_Logon_6_72	set:UI_Logon_6 image:UI_Logon_6_92	set:UI_Logon_6 image:UI_Logon_6_74
77	请找出边框颜色与其它不一样的图标	3	set:UI_Logon_6 image:UI_Logon_6_78	set:UI_Logon_6 image:UI_Logon_6_71	set:UI_Logon_6 image:UI_Logon_6_72	set:UI_Logon_6 image:UI_Logon_6_93	set:UI_Logon_6 image:UI_Logon_6_74	set:UI_Logon_6 image:UI_Logon_6_75
78	请找出边框颜色与其它不一样的图标	2	set:UI_Logon_6 image:UI_Logon_6_71	set:UI_Logon_6 image:UI_Logon_6_72	set:UI_Logon_6 image:UI_Logon_6_94	set:UI_Logon_6 image:UI_Logon_6_74	set:UI_Logon_6 image:UI_Logon_6_75	set:UI_Logon_6 image:UI_Logon_6_76
79	请找出边框颜色与其它不一样的图标	1	set:UI_Logon_6 image:UI_Logon_6_72	set:UI_Logon_6 image:UI_Logon_6_95	set:UI_Logon_6 image:UI_Logon_6_74	set:UI_Logon_6 image:UI_Logon_6_75	set:UI_Logon_6 image:UI_Logon_6_76	set:UI_Logon_6 image:UI_Logon_6_77
80	请找出边框颜色与其它不一样的图标	0	set:UI_Logon_6 image:UI_Logon_6_83	set:UI_Logon_6 image:UI_Logon_6_12	set:UI_Logon_6 image:UI_Logon_6_13	set:UI_Logon_6 image:UI_Logon_6_14	set:UI_Logon_6 image:UI_Logon_6_15	set:UI_Logon_6 image:UI_Logon_6_16
81	请找出边框颜色与其它不一样的图标	1	set:UI_Logon_6 image:UI_Logon_6_12	set:UI_Logon_6 image:UI_Logon_6_81	set:UI_Logon_6 image:UI_Logon_6_14	set:UI_Logon_6 image:UI_Logon_6_15	set:UI_Logon_6 image:UI_Logon_6_16	set:UI_Logon_6 image:UI_Logon_6_17
82	请找出边框颜色与其它不一样的图标	2	set:UI_Logon_6 image:UI_Logon_6_13	set:UI_Logon_6 image:UI_Logon_6_14	set:UI_Logon_6 image:UI_Logon_6_84	set:UI_Logon_6 image:UI_Logon_6_16	set:UI_Logon_6 image:UI_Logon_6_17	set:UI_Logon_6 image:UI_Logon_6_18
