INT	STRING	INT	FLOAT	FLOAT	INT	INT	STRING	INT
49	生命值	22	2.89	4.13	-1	-1	1~12|20~29|35~46	400
50	生命值	22	4.13	5.96	-1	-1	1~12|20~29|35~46	500
51	生命值	22	5.96	8.94	-1	-1	1~12|20~29|35~46	200
52	主手命中	50	0.013	0.025	-1	-1	1~6|35~40	400
53	主手命中	50	0.037	0.05	-1	-1	1~6|35~40	500
54	主手命中	50	0.063	0.1	-1	-1	1~6|35~40	200
55	命中	50	0.013	0.025	-1	-1	7~12|25|41~46	400
56	命中	50	0.025	0.039	-1	-1	7~12|25|41~46	500
57	命中	50	0.05	0.088	-1	-1	7~12|25|41~46	200
58	高闪避	51	0.013	0.025	-1	-1	20|23	400
59	高闪避	51	0.025	0.039	-1	-1	20|23	500
60	高闪避	51	0.05	0.088	-1	-1	20|23	200
61	闪避	51	0.013	0.025	-1	-1	27	400
62	闪避	51	0.025	0.039	-1	-1	27	500
63	闪避	51	0.05	0.075	-1	-1	27	200
64	主手暴击	53	0.013	0.025	-1	-1	1~6|35~40	400
65	主手暴击	53	0.037	0.05	-1	-1	1~6|35~40	500
66	主手暴击	53	0.063	0.1	-1	-1	1~6|35~40	200
67	高暴击	53	0.013	0.025	-1	-1	7~12|20|23|25|41~46	400
68	高暴击	53	0.025	0.039	-1	-1	7~12|20|23|25|41~46	500
69	高暴击	53	0.05	0.088	-1	-1	7~12|20|23|25|41~46	200
70	暴击	53	0.013	0.025	-1	-1	24|26|27	400
71	暴击	53	0.025	0.039	-1	-1	24|26|27	500
72	暴击	53	0.05	0.075	-1	-1	24|26|27	200
73	高韧性	54	0.013	0.025	-1	-1	20|23	400
74	高韧性	54	0.025	0.039	-1	-1	20|23	500
75	高韧性	54	0.05	0.088	-1	-1	20|23	200
76	韧性	54	0.013	0.025	-1	-1	26	400
77	韧性	54	0.025	0.039	-1	-1	26	500
78	韧性	54	0.05	0.075	-1	-1	26	200
79	主手暴击伤害	97	-1	-1	5	15	1~6|35~40	200
80	暴击伤害	97	-1	-1	5	12	7~12|24|41~46	200
81	移动	88	-1	-1	400	1000	27	200
82	近伤免疫	149	0.013	0.063	-1	-1	20|23|26	200
83	远伤免疫	150	0.013	0.063	-1	-1	20|23|26	200
84	魔伤免疫	151	0.013	0.063	-1	-1	20|23|26	200
85	近伤反免疫	201	0.013	0.063	-1	-1	24|25	200
86	远伤反免疫	202	0.013	0.063	-1	-1	24|25	200
87	魔伤反免疫	203	0.013	0.063	-1	-1	24|25	200
