INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	STRING	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	STRING
index	name	scriptid（填了脚本号后边ruler最好不要填2）	opt_type（为1的时候time_type也为1，表示每天都触发；为0的时候，time_type为2，表示限定某一天触发）	time_type	Report_start	Report_over	time_start	time_over	reserve1是否随机	reserve1	reserve2	reserve3	reserve4	reserve5	广播类型	慢报间隔	慢报内容	慢报结束时间点	快报间隔	快报内容	快报结束时间点	刚开报间隔	刚开报内容	刚开报结束时间点	进行中报间隔	进行中报内容	进行中报结束时间点	快结束报间隔	快结束报内容	快结束报结束时间点	ruler（0表示读取后边Map0——Map9列和广播的场景列表列，可多场景响应；-1表示只读取SceneId列，只一个场景响应；-2表示所有场景都响应，一般用于纯广播，和脚本无关时使用）	SceneId	Map_0	Map_1	Map_2	Map_3	Map_4	Map_5	Map_6	Map_7	Map_8	Map_9	ModuleToggle	播放类型 (0:普通场景 1：战场 2:普通场景和战场)	广播的场景列表，支持解析|，最大支持36个场景，默认为空
31	舞厅关闭公告	300160	1	1	859	859	859	900	0	0	-1	-1	-1	-1	4|1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	14|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
32	舞厅关闭公告	300160	1	1	459	459	459	500	0	0	-1	-1	-1	-1	4|1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	14|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0	0	
33	智力竞赛	-1	1	1	1920	1921	-1	-1	0	0	1	-1	-1	-1	5	61	智力竞赛开始了！	1921	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
34	智力竞赛	300150	1	1	1910	1931	1920	1930	0	0	1	-1	-1	-1	4|1	61	智力竞赛将于19:20开始，请大家踊跃报名参加！	1920	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
35	帮会战	-1	0	2	21700	21830	21700	21830	0	0	-1	-1	-1	-1	4|1	600	帮会战场热报中，请各位帮主到帮会管理员处报名。	21830	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
36	帮会战	-1	0	2	51700	51830	51700	51830	0	0	-1	-1	-1	-1	4|1	600	帮会战场热报中，请各位帮主到帮会管理员处报名。	51830	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
37	十八魔君	310000	1	1	2300	0	2300	0	0	0	-1	-1	-1	-1	4|1	61	曾经被成吉思汗征服的十八个统治者一直心有不甘，百年之后依然阴魂不散，不时地勾结在一起入侵，这次他们的身影又出现了！	2301	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
38	十八魔君	-1	1	1	2300	2301	-1	-1	0	0	-1	-1	-1	-1	5	61	十八魔君出现了	2301	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
39	十八魔君消失	-1	1	1	0	1	0	1	0	0	-1	-1	-1	-1	4|1	61	在各路英雄的冲击下，魔军大败而去，只留下魔王那句充满怨恨的诅咒：除非成吉思汗的子孙从大地上消失，否则我们是不会安息的！	1	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
40	益者三友	300570	1	1	1930	2359	1930	1931	0	0	-1	-1	-1	-1	4|1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	38|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
41	益者三友删除	300571	1	1	2359	101	0	1	0	0	-1	-1	-1	-1	4|1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	38|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
42	屠城战	310157	0	2	61929	61930	61929	61930	0	0	-1	-1	-1	-1	4|1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	50
43	屠城战	310157	0	2	61954	61955	61954	61955	0	0	-1	-1	-1	-1	4|1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	50
44	屠城战	310157	0	2	62001	62002	62001	62002	0	0	-1	-1	-1	-1	4|1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	50
45	屠城战	310157	0	2	62014	62015	62014	62015	0	0	-1	-1	-1	-1	4|1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	50
46	屠城战	310157	0	2	62100	62101	62100	62101	0	0	-1	-1	-1	-1	4|1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	50
47	天坛灯谜会	-1	1	1	1930	2359	1930	2359	0	0	-1	-1	-1	-1	4|1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
48	双人战场公告	-1	0	2	1355	1400	-1	-1	0	0	-1	-1	-1	-1	5	61	双人战场开始！	71356	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
49	双人战场公告	-1	0	2	11955	12000	-1	-1	0	0	-1	-1	-1	-1	5	61	双人战场开始！	11956	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
50	双人战场公告	-1	0	2	41955	42000	-1	-1	0	0	-1	-1	-1	-1	5	61	双人战场开始！	41956	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
51	六人战场公告	-1	0	2	31930	31931	-1	-1	0	0	-1	-1	-1	-1	5	61	六人战场报名开始了！	31931	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
52	六人战场公告	-1	0	2	61330	61359	-1	-1	0	0	-1	-1	-1	-1	5	61	六人战场报名开始了！	61400	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
53	铁人三项箱子触发	305060	1	1	1220	1310	1930	1931	0	0	-1	-1	-1	-1	4|1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	37|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
54	铁人三项箱子触发	305061	1	1	1920	2010	2359	0	0	0	-1	-1	-1	-1	4|1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	37|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
55	乌龙辞典开始触发	310185	0	2	1225	1230	1225	1230	0	0	-1	-1	-1	-1	4|1	180	#Y乌龙辞典王国海选赛#G于下午1：00准时开始！在下午2：00之前，20级以上的各位玩家可以在自己王国的#Y东大街，西大街，记忆之门外#G任意一处找到乌龙辞典海选主持人参加比赛。	71400	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|1	50|1	150|1	250|1	350|1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
56	乌龙辞典第一轮公告	-1	0	2	1300	1301	1300	1301	0	0	-1	-1	-1	-1	5	120	乌龙辞典王国海选赛开始了！	71301	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|1	50|1	150|1	250|1	350|1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
57	乌龙辞典第二轮公告	-1	0	2	1400	1401	1400	1401	0	0	-1	-1	-1	-1	5	120	乌龙辞典大都淘汰赛开始了！	71401	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|1	50|1	150|1	250|1	350|1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
58	乌龙辞典第三轮公告	-1	0	2	1630	1631	1630	1631	0	0	-1	-1	-1	-1	5	120	乌龙辞典终极挑战赛正式开始！	1601	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|1	50|1	150|1	250|1	350|1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
59	乌龙辞典结束触发	310187	0	2	1601	1602	1601	1602	0	0	-1	-1	-1	-1	4|1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|1	50|1	150|1	250|1	350|1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
60	乌龙辞典结束触发	310186	0	2	1705	1706	1705	1706	0	0	-1	-1	-1	-1	4|1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	0|1	50|1	150|1	250|1	350|1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
61	乌龙辞典结束	-1	0	2	1705	1706	1705	1706	0	0	-1	-1	-1	-1	4|1	61	本周的乌龙辞典活动到此结束，祝各位玩家周末愉快。	1706	-1		-1	-1		-1	-1		-1	-1		-1	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0	
62	世界杯	-1	0	2	41700	41802	41700	41802	0	0	-1	-1	-1	-1	4|1|5	900	世界杯战场将于17：30开启，请参赛帮会做好准备！	41710	900	世界杯战场将在5分钟后开始！	41727	180	世界杯战场火热进行中！	41732	1380	世界杯战场结束还有5分钟！	41759	41800	世界杯战场已经结束！	41803	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0	0
63	世界杯	-1	0	2	51700	51802	51700	51802	0	0	-1	-1	-1	-1	4|1|5	900	世界杯战场将于17：30开启，请参赛帮会做好准备！	51710	900	世界杯战场将在5分钟后开始！	51727	180	世界杯战场火热进行中！	51732	1380	世界杯战场结束还有5分钟！	51759	41800	世界杯战场已经结束！	51803	-2	99	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0	0
64	莫斯科BOSS	305012	0	2	2100	2101	2100	2101	0	0	-1	-1	-1	-1	4|1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	-1	17	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0
65	世界杯	300837	0	2	1529	1529	1529	1530	0	0	-1	-1	-1	-1	4|1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	14|1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	0|-1	1	0
66	天降宝箱	310014	1	1	1220	1310	1230	1231	0	0	-1	-1	-1	-1	4|1	481	天降宝箱将于12：30开始，请20级以上玩家届时到王国宝箱活动使处接取任务	1228	120	天降宝箱开始了，请20级以上的玩家到王国宝箱活动使处接取任务	1231	-1		-1	-1		-1	-1		-1	0	99	50|1	150|1	250|1	350|1	87|1	187|1	287|1	387|1	0|-1	0|-1	1	0
67	天降宝箱	310014	1	1	1920	2010	1930	1931	0	0	-1	-1	-1	-1	4|1	481	天降宝箱将于19：30开始，请20级以上玩家届时到王国宝箱活动使处接取任务	1928	120	天降宝箱开始了，请20级以上的玩家到王国宝箱活动使处接取任务	1931	-1		-1	-1		-1	-1		-1	0	99	50|1	150|1	250|1	350|1	87|1	187|1	287|1	387|1	0|-1	0|-1	1	0
68	天降宝箱	-1	1	1	1230	1231	-1	-1	0	0	-1	-1	-1	-1	5	61	天降宝箱活动开始了	1231	-1		-1	-1		-1	-1		-1	-1		-1	0	99	50|1	150|1	250|1	350|1	87|1	187|1	287|1	387|1	0|-1	0|-1	1	0
69	天降宝箱	-1	1	1	1930	1931	-1	-1	0	0	-1	-1	-1	-1	5	61	天降宝箱活动开始了	1931	-1		-1	-1		-1	-1		-1	-1		-1	0	99	50|1	150|1	250|1	350|1	87|1	187|1	287|1	387|1	0|-1	0|-1	1	0
70	天降宝箱删除	310015	1	1	1300	1301	1300	1301	0	0	-1	-1	-1	-1	4|1	61	天降宝箱结束了，感谢大家的参加	1301	-1		-1	-1		-1	-1		-1	-1		-1	0	99	50|1	150|1	250|1	350|1	87|1	187|1	287|1	387|1	0|-1	0|-1	1	0
71	天降宝箱删除	310015	1	1	2000	2001	2000	2001	0	0	-1	-1	-1	-1	4|1	61	天降宝箱结束了，感谢大家的参加	2001	-1		-1	-1		-1	-1		-1	-1		-1	0	99	50|1	150|1	250|1	350|1	87|1	187|1	287|1	387|1	0|-1	0|-1	1	0
72	天降宝箱	310014	1	1	1220	1310	1230	1231	0	0	-1	-1	-1	-1	4|1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	58|1	158|1	258|1	358|1	89|1	189|1	289|1	389|1	0|-1	0|-1	1	0
73	天降宝箱	310014	1	1	1920	2010	1930	1931	0	0	-1	-1	-1	-1	4|1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	58|1	158|1	258|1	358|1	89|1	189|1	289|1	389|1	0|-1	0|-1	1	0
74	天降宝箱	-1	1	1	1230	1231	-1	-1	0	0	-1	-1	-1	-1	5	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	58|1	158|1	258|1	358|1	89|1	189|1	289|1	389|1	0|-1	0|-1	1	0
75	天降宝箱	-1	1	1	1930	1931	-1	-1	0	0	-1	-1	-1	-1	5	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	58|1	158|1	258|1	358|1	89|1	189|1	289|1	389|1	0|-1	0|-1	1	0
76	天降宝箱删除	310015	1	1	1300	1301	1300	1301	0	0	-1	-1	-1	-1	4|1	-1		-1	-1		-1	-1		-1	-1		-1	-1		-1	0	99	58|1	158|1	258|1	358|1	89|1	189|1	289|1	389|1	0|-1	0|-1	1	0
