INT	STRING	STRING	STRING	STRING	STRING	INT
55	请耐心思考再作答：\n\t#G推翻西晋王朝的少数民族是	匈奴	鲜卑	羯	羌	1
56	请耐心思考再作答：\n\t#G世界第八大奇迹是指	长城	故宫	敦煌石窟	秦始皇陵兵马俑	4
57	请耐心思考再作答：\n\t#G唐朝人为了功名熬夜看书，如果打磕睡，可能用下列哪种方法来提神	抽烟	喝酒	饮茶	喝咖啡	3
58	请耐心思考再作答：\n\t#G岳飞的《满江红》中有“靖康耻，犹未雪”之句，“靖康”是指	宋太祖	宋真宗	宋徽宗	宋钦宗	4
59	请耐心思考再作答：\n\t#G公元230年，哪国的将军卫温、诸葛直率万人乘舰船到夷洲（台湾）。	曹魏	蜀汉	东吴	都是	3
60	请耐心思考再作答：\n\t#G宋太祖赵匡胤通过哪个事件夺取政权建立宋朝	陈桥兵变	淮西兵变	官渡之战	巨鹿之战	1
61	请耐心思考再作答：\n\t#G北宋建国时所定的京都（首都）是	开封	长安	洛阳	金陵	1
62	请耐心思考再作答：\n\t#G“农田水利法”是历史上哪次变法中提出的兴农措施	王安石变法	商鞅变法	欧阳修变法	庆历变法	1
63	请耐心思考再作答：\n\t#G《资治通鉴》是我国第一部编年体通史，它的作者是	司马光	司马迁	司马炎	司马相如	1
64	请耐心思考再作答：\n\t#G“元曲四大家”除了关汉卿、白朴、马致远外还有	郑光祖	王实甫	王举之	吴弘道	1
65	请耐心思考再作答：\n\t#G提出“心外无物、心外无理”之说的明朝思想家是	王守仁	朱熹	荀子	顾宪成	1
66	请耐心思考再作答：\n\t#G明代的小说有很高的艺术成就，著成《三国演义》的是	罗贯中	施耐庵	吴承恩	曹雪芹	1
67	请耐心思考再作答：\n\t#G明代著名的短篇小说“三言、二拍”的作者分别是	冯梦龙、凌蒙初	汤显祖、顾宪成	宋应星、王守仁	卢照邻、王维	1
68	请耐心思考再作答：\n\t#G以下三个皇帝按时间先后顺序排列正确的是	康熙雍正乾隆	雍正乾隆康熙	乾隆康熙雍正	雍正康熙乾隆	1
69	请耐心思考再作答：\n\t#G清代著名小说《儒林外史》的作者是	吴敬梓	黄宗羲	顾炎武	蒲松龄	1
70	请耐心思考再作答：\n\t#G清代号雪芹所著的小说《红楼梦》最初时命名为	《石头记》	《贾宝玉和林黛玉的故事》	《三生石》	《玉石传奇》	1
71	请耐心思考再作答：\n\t#G康熙和乾隆所题名的“七十二景”位于哪里	避暑山庄	颐和园	故宫	拙政圆	1
72	请耐心思考再作答：\n\t#G清朝推行“摊丁入亩”制度的皇帝是	雍正	康熙	乾隆	嘉庆	1
73	请耐心思考再作答：\n\t#G古代著名的抒情诗《离骚》的作者是	屈原	司马相如	荀子	欧阳修	1
74	请耐心思考再作答：\n\t#G历史上“五代十国”中的五代，除后梁、后唐、后晋外还有	后汉和后周	后吴和后蜀	后秦和后魏	后韩和后赵	1
75	请耐心思考再作答：\n\t#G世界上最早记载“哈雷彗星”的书是	《春秋》	《左传》	《淮南子》	《史记》	1
76	请耐心思考再作答：\n\t#G西周时期出现的“十五国风”是指	十五种地方民歌	十五种地方文字	十五种民族装束	十五种民族礼仪	1
77	请耐心思考再作答：\n\t#G东汉时期的“黄巾起义”领导者是	张角	张鲁	黄巢	王仙芝	1
78	请耐心思考再作答：\n\t#G祖冲之第一个把圆周率准确推算到小数点后第几位？	第六位	第五位	第四位	第七位	1
79	请耐心思考再作答：\n\t#G北魏末年贾思勰编写的《齐民要术》所总结的是	农业生产技术	治理国家的要领	百姓的生活现状	各民族的风俗习惯	1
80	请耐心思考再作答：\n\t#G清朝入关后的第一位皇帝是	顺治	康熙	雍正	嘉庆	1
81	请耐心思考再作答：\n\t#G太平天国起义的核心领导人中，封为“西王”的是	萧朝贵	韦昌辉	冯云山	杨秀清	1
82	请耐心思考再作答：\n\t#G太平天国起义的核心领导人中，冯云山被封为	南王	东王	西王	北王	1
83	请耐心思考再作答：\n\t#G著有《徐霞客游记》的徐霞客是哪个朝代的人	明朝	清朝	唐朝	宋朝	1
84	请耐心思考再作答：\n\t#G著名的棉纺织革新家黄道婆是哪个朝代的人	元朝	明朝	清朝	唐朝	1
85	请耐心思考再作答：\n\t#G中国古代历法名著《授时历》的作者是	郭守敬	沈括	张衡	贾思勰	1
86	请耐心思考再作答：\n\t#G“希波战争”指的是希腊和谁之间的战争。	波兰	波斯	波黑	玻利维亚	2
87	请耐心思考再作答：\n\t#G我国第一部详细记述茶艺的著作是	唐代陆羽的《茶经》	西汉陆羽的《茶经》	唐代蔡襄的《茶录》	西汉蔡襄的《茶录》	1
88	请耐心思考再作答：\n\t#G龙井茶属于	绿茶	黄茶	乌龙茶	红茶	1
89	请耐心思考再作答：\n\t#G我国是谁最早发现了甲骨文?	王懿荣	刘鄂	郭沫若	顾颉刚	1
90	请耐心思考再作答：\n\t#G以下哪项是加工绿茶时不会出现的步骤	发酵	揉捻	干燥	杀青	1
91	请耐心思考再作答：\n\t#G我国古代酿酒的主要原料是	粮食	蔬菜	水果	干果	1
92	请耐心思考再作答：\n\t#G下列具有疏散风热、清目醒脑作用的一味中草药是	薄荷	牛黄	三七	黄葵	1
93	请耐心思考再作答：\n\t#G下列具有清热解毒作用的一味中草药是	金银花	藏红花	白芍	柴胡	1
94	请耐心思考再作答：\n\t#G中草药里“三七”的入药部分实际是植物的	根	茎	叶	花	1
95	请耐心思考再作答：\n\t#G中药配药有“十八反十九畏”的基本禁忌，以下一般不可同时入药的是	甘草和甘遂	三七和黄连	川贝和人参	丁香和干姜	1
96	请耐心思考再作答：\n\t#G下列哪种草药能够治疗呕吐泻痢	黄连	天麻	当归	甘草	1
97	请耐心思考再作答：\n\t#G甲骨文是属于哪一类文字?	表意文字	表音文字	象形文字	音位文字	3
98	请耐心思考再作答：\n\t#G世界上使用人数最多的语言是	英语	汉语	西班牙语	世界语	2
99	请耐心思考再作答：\n\t#G被誉为“茶仙、茶圣”等称谓的陆羽是哪朝人	唐朝	东汉	北魏	隋朝	1
100	请耐心思考再作答：\n\t#G提出“望闻问切”等医疗手段的是	扁鹊	张仲景	华佗	孙思邈	1
101	请耐心思考再作答：\n\t#G以下最早在中国出现的酒是哪一类	黄酒	白酒	啤酒	红酒	1
102	请耐心思考再作答：\n\t#G喜好饮酒，自称“酒中仙”的著名诗人是	李白	杜甫	苏东坡	白居易	1
103	请耐心思考再作答：\n\t#G“煮酒论英雄”的典故发生在哪个时期	三国时期	春秋时期	战国时期	魏晋时期	1
104	请耐心思考再作答：\n\t#G古代“重阳节”里有饮酒的习俗，所饮的酒是	菊花酒	梅花酒	雄黄酒	葡萄酒	1
105	请耐心思考再作答：\n\t#G古代“端午节”里有饮酒的习俗，所饮的酒是	菊花酒	梅花酒	雄黄酒	葡萄酒	3
106	请耐心思考再作答：\n\t#G“交杯酒”一般出现在哪种场合	结婚喜宴	义结金兰	军士凯旋	学子中举	1
107	请耐心思考再作答：\n\t#G我国最早的一部药物学著作是	《神农本草经》	《千金方》	《本草纲目》	《伤寒杂病论》	1
108	请耐心思考再作答：\n\t#G配制世界上最早的麻醉药剂“麻沸散”的是	华佗	李时珍	扁鹊	张仲景	1
109	请耐心思考再作答：\n\t#G中药里所说的“陈皮”是指	晒干的橘皮	晒干的桂树皮	药用兽皮的统称	晒干的蝉蜕	1
110	请耐心思考再作答：\n\t#G中药“胖大海”的主要功效是	润喉止咳	强筋健骨	补肝养肾	清热止痛	1
111	请耐心思考再作答：\n\t#G中药里的“雄黄”属于	矿物	植物	动物	合成药剂	1
112	请耐心思考再作答：\n\t#G以下“不是”花茶中常用原料的是	君子兰	茉莉花	菊花	玫瑰	1
113	请耐心思考再作答：\n\t#G酿酒工艺中所提到的“酒曲”是指	酿酒的原料	拜祭酒神所唱的歌	盛酒用的容器	酿酒的作坊	1
114	请耐心思考再作答：\n\t#G以下不是古代药酒常用原料的是	鸡尾	虎骨	蛇胆	人参	1
115	请耐心思考再作答：\n\t#G“宋瓷”闻名世界，宋代五大名窑除定窑、哥窑、钧窑、官窑外，还有	汝窑	龙泉窑	磁州窑	琼窑	1
116	请耐心思考再作答：\n\t#G宋代制瓷业非常繁荣，著名的汝窑位于哪个省	河南	安徽	云南	广西	1
117	请耐心思考再作答：\n\t#G北宋庆历年间，谁在雕版印刷基础上发明了“活字印刷”？	毕昇	鲁班	张衡	蔡伦	1
118	请耐心思考再作答：\n\t#G东汉时期，谁发明的纸张逐渐代替竹简和丝帛来书写文字？	蔡伦	毕昇	鲁班	张衡	1
119	请耐心思考再作答：\n\t#G东汉时期，谁发明了世界上第一台监测报告地震的仪器“候风地动仪”？	张衡	祖冲之	鲁班	沈括	1
120	请耐心思考再作答：\n\t#G“景泰蓝”工艺品的主要原料是	铜	木	泥	玉	1
121	请耐心思考再作答：\n\t#G古代工艺中的“云雕”是指	一种漆雕工艺	一种木雕工艺	一种泥塑工艺	一种蜡染工艺	1
122	请耐心思考再作答：\n\t#G秦代的“兵马俑”体现了古代工匠的哪项高超技艺	制陶工艺	青铜工艺	根雕艺术	蜡染工艺	1
123	请耐心思考再作答：\n\t#G古代新春有贴年画的习俗，画中的鲤鱼代表哪种寓意	连年有余	吉祥如意	财源广进	六畜兴旺	1
124	请耐心思考再作答：\n\t#G翡翠是古代一种贵重的玉器材料，它在材质上属于	矿物	金属	化石	合成材料	1
125	请耐心思考再作答：\n\t#G古代民间所用的“顶针”属于	缝纫用具	一种暗器	女子装饰品	农用耕具	1
126	请耐心思考再作答：\n\t#G古代成语“望梅止渴”说的是谁的事	刘备	关羽	张飞	曹操	4
127	请耐心思考再作答：\n\t#G古代成语“汗牛充栋”的意思是	形容藏书繁多	形容人山人海	形容工作辛苦	形容家境富裕	1
128	请耐心思考再作答：\n\t#G古代成语“沐猴而冠”的意思是 	形容虚有其表	形容穿着怪异	形容小人得志	形容生活奢侈	1
129	请耐心思考再作答：\n\t#G古代成语“一衣带水”的意思是	形容一水之隔	形容天气炎热	形容雾气很大	形容大雨倾盆	1
130	请耐心思考再作答：\n\t#G古代成语“噤若寒蝉”的意思是	形容沉默不语	形容天气寒冷	形容体质很差	形容语无伦次	1
131	请耐心思考再作答：\n\t#G古代成语“兵不血刃”的意思是	形容不战而胜	形容战斗力差	形容大败而回	形容领导无方	1
132	请耐心思考再作答：\n\t#G古代成语“门可罗雀”的意思是	形容门庭冷落	形容建筑宏大	形容童心未泯	形容门庭若市	1
133	请耐心思考再作答：\n\t#G古代成语“一曝十寒”的意思是	形容没有恒心	形容生活艰难	形容过程繁多	形容天气突变	1
134	请耐心思考再作答：\n\t#G古代成语“含沙射影”的意思是	造谣陷害	辛苦劳作	土地荒凉	含冤难伸	1
135	请耐心思考再作答：\n\t#G古代成语“投桃报李”的意思是	礼尚往来	恩将仇报	不拘小节	水果丰收	1
136	请耐心思考再作答：\n\t#G古代成语“一日三秋”的意思是	形容思慕心切	形容天气无常	比喻珍惜时间	比喻虚度光阴	1
137	请耐心思考再作答：\n\t#G古代成语“瓜田李下”的意思是	容易引起误会	形容劳作辛苦	比喻田园风光	暗指归隐山林	1
138	请耐心思考再作答：\n\t#G古代成语“剖腹藏珠”的意思是	比喻爱财如命	形容病入膏肓	按指重大机密	形容忠心不二	1
139	请耐心思考再作答：\n\t#G古代成语“白龙鱼服”的意思是	形容微服出行的危险	暗指不懂装懂	形容以弱胜强	形容人不可貌相	1
140	请耐心思考再作答：\n\t#G古代成语“开门揖盗”的意思是	比喻引狼入室	比喻为民除害	形容胆小怕事	形容诱敌深入	1
141	请耐心思考再作答：\n\t#G古诗“风、雅、颂”中的“风”是指	《国风》	《民风》	《秋风》	《世风》	1
142	请耐心思考再作答：\n\t#G古时用“十二生肖”对应十二地支，其中与“辰”对应的是	龙	狗	牛	兔	1
143	请耐心思考再作答：\n\t#G以下不是古代“订婚”习俗的是	送戒指	选吉日	算八字	摆喜宴	1
144	请耐心思考再作答：\n\t#G马拉松长跑来源于马拉松战役，它的爆发地是：	古代罗马	古代希腊	古代埃及	古代波斯	2
145	请耐心思考再作答：\n\t#G以下不是古代“春节”习俗的是	赏月亮	贴春联	舞狮子	吃饺子	1
146	请耐心思考再作答：\n\t#G中国古代人们所说的“元旦”是指哪一天	春节	除夕	正月十五	八月十五	1
147	请耐心思考再作答：\n\t#G“仲夏”在古代时令中是指农历几月	五月	四月	六月	七月	1
148	请耐心思考再作答：\n\t#G孔子被儒家称为“圣人”，那么仅次于“圣人”的“亚圣”是谁	荀子	孟子	庄子	墨子	2
149	请耐心思考再作答：\n\t#G古时对厨师职业的人称为	庖	师	丁	保	1
150	请耐心思考再作答：\n\t#G彗星在古代称为扫帚星，如果形容某人为“扫帚星”，是指	此人会代来不祥之事	此人聪慧过人	此人善于占卜天象	此人将来必会发达	1
151	请耐心思考再作答：\n\t#G从我国古代的神话传说来看，以下与月亮无关的是	夸父	兔	桂树	蟾蜍	1
152	请耐心思考再作答：\n\t#G战国时期，各国都有自己独特的货币，其中使用“铲形币”的是	赵国	楚国	齐国	秦国	1
153	请耐心思考再作答：\n\t#G“算盘”是古代的计算用具，档木上栏每列有两个算珠，下栏每列的算珠数是	五珠	四珠	六珠	三珠	1
154	请耐心思考再作答：\n\t#G古代的“走马灯”是一种什么类型的灯	能够旋转的装饰灯	马车上的照明灯	夜间骑马所用的灯	军队的信号灯	1
155	请耐心思考再作答：\n\t#G“五禽戏”起源于汉代，它属于	强身健体的功法	比较早期的戏剧	一套武学功夫	一种迷信活动	1
156	请耐心思考再作答：\n\t#G古代发明的“云梯”按用途来讲属于	攻城器械	建筑器材	交通用具	农业用具	1
157	请耐心思考再作答：\n\t#G战国时期的兵器大多用哪种材料制成	青铜	黄铜	生铁	精钢	1
158	请耐心思考再作答：\n\t#G“胄”是古代士兵使用的防护用具，用来保护哪个部位	头部	肩部	前胸	双臂	1
159	请耐心思考再作答：\n\t#G“铜权”是古代常见的金属器物，后来被俗称为	秤砣	香炉	铜镜	酒壶	1
160	请耐心思考再作答：\n\t#G《清明上河图》所描绘的是	北宋都城汴梁	南宋都城洛阳	唐都长安	元朝大都	1
161	请耐心思考再作答：\n\t#G中国第一大岛是	台湾	海南岛	青岛	秦皇岛	1
162	请耐心思考再作答：\n\t#G中国第二大岛是	台湾	海南岛	青岛	秦皇岛	2
163	请耐心思考再作答：\n\t#G中国第三大岛是	台湾	海南岛	青岛	崇明岛	4
164	请耐心思考再作答：\n\t#G唐伯虎是哪里人？	杭州	苏州	广州	通州	2
165	请耐心思考再作答：\n\t#G唐伯虎的印玺刻着	江南第一才子	文武双状元	桃花仙人	画神书圣	1
166	请耐心思考再作答：\n\t#G《清明上河图》所描绘的是	北宋	南宋	东晋	西晋	1
167	请耐心思考再作答：\n\t#G关于琴的古代故事“说琴谏国王” 所说的是	邹忌谏齐王	刘赞谏秦王	苏秦谏赵王	春申谏楚王	1
168	请耐心思考再作答：\n\t#G我国古代最早出现的乐器是哪一类	吹奏乐器	打击乐器	弹奏乐器	弓弦乐器	1
169	请耐心思考再作答：\n\t#G下面哪种不是古代的乐器	镗	筑	铙	磬	1
170	请耐心思考再作答：\n\t#G围棋中，棋子紧邻的直线交叉点称为棋子的	气	星	连	眼	1
171	请耐心思考再作答：\n\t#G古人所称的“锹秤”指的是哪种物品	棋盘	棋盒	笛子	琴案	1
172	请耐心思考再作答：\n\t#G下列历史上的大动乱跟吴三桂有关：	八王之乱	三藩之乱	七国之乱	安史之乱	2
173	请耐心思考再作答：\n\t#G以下哪一个是象棋中不会出现的走法	象四进五	兵七平六	炮八平七	马三进四	1
174	请耐心思考再作答：\n\t#G中国象棋棋盘上的“米”字形方框叫做	九宫	天元	本垒	本营	1
175	请耐心思考再作答：\n\t#G“文房四宝”中的毛笔是谁发明的？	黄帝	姜子牙	蒙恬	李斯	3
176	请耐心思考再作答：\n\t#G以下哪一个是象棋中不会出现的走法	士二进四	兵七平六	马三退二	马三退五	1
177	请耐心思考再作答：\n\t#G围棋棋盘的图案是	横竖各十九条线	横竖各二十条线	横十九竖二十条线	横二十竖十九条线	1
178	请耐心思考再作答：\n\t#G按音律的风格情趣划分，与阳春白雪截然相反的是	下里巴人	高山流水	春江花月夜	汉宫秋月	1
179	请耐心思考再作答：\n\t#G古代流传的名曲“十面埋伏”主要由哪种乐器演奏	琵琶	木鱼	古筝	笛子	1
180	请耐心思考再作答：\n\t#G象棋第一步走“炮”至中线，俗称“当头炮”，这步棋的走法叫作	炮二平五	炮三平四	炮二平四	炮三平五	1
181	请耐心思考再作答：\n\t#G以下“不属于”象棋术语的是	边前象	屏风马	巡河车	鸳鸯马	1
182	请耐心思考再作答：\n\t#G以下属于围棋术语的是	三连星	三连斩	三连和	三连挂	1
183	请耐心思考再作答：\n\t#G下列古代乐器中，属于少数民族乐器的是	马头琴	笛子	古筝	编钟	1
184	请耐心思考再作答：\n\t#G“葫芦丝”是我国古代哪地区常见的民族乐器	西北	东北	华北	华南	1
185	请耐心思考再作答：\n\t#G“马头琴”是哪个民族的常用乐器	蒙古族	白族	壮族	满族	1
186	请耐心思考再作答：\n\t#G以下乐器与“笛子”在演奏方式上属于同一类的是	唢呐	柳琴	花鼓	编钟	1
187	请耐心思考再作答：\n\t#G以下乐器与“琵琶”在演奏方式上属于同一类的是	筝	萧	竽	锣	1
188	请耐心思考再作答：\n\t#G以下中国古代乐器，按常见大小计算，最小的是	木鱼	编钟	古筝	柳琴	1
189	请耐心思考再作答：\n\t#G民族乐器“葫芦丝”按演奏方式划分属于	吹奏类乐器	弹奏类乐器	打击类乐器	拉弦类乐器	1
190	请耐心思考再作答：\n\t#G“二胡”是民间常见的拉弦乐器，它的琴弦数目是	两根	一根	三根	五根	1
191	请耐心思考再作答：\n\t#G“大弦嘈嘈如急雨，小弦切切如私语”描述的是哪种乐器	琵琶	古筝	二胡	柳琴	1
192	请耐心思考再作答：\n\t#G琵琶顶部的“弦轴”作用是	调节音高	便于携带	调节颤音	增加共鸣	1
193	请耐心思考再作答：\n\t#G象棋中的“卧槽马”是指	把对方将军的马	困住对方将帅的马	被对方吃掉的马	走至棋盘底线的马	1
194	请耐心思考再作答：\n\t#G以下象棋的棋子中不能走直线的是	象	炮	兵	将	1
195	请耐心思考再作答：\n\t#G《金刚经》是哪个教派的著作？	佛教	道教	基督教	伊斯兰教	1
196	请耐心思考再作答：\n\t#G古人所称的“顿首”之礼是指	跪而头叩地	点头问候	拱手弯腰示礼	请客人吃顿饭	1
197	请耐心思考再作答：\n\t#G古人讲究谦辞礼让，谈到自己儿子时一般称为	犬子	家犬	令郎	令犬	1
198	请耐心思考再作答：\n\t#G古人讲究尊称礼节，谈到对方父亲时一般称为	令尊	令堂	泰山	令郎	1
199	请耐心思考再作答：\n\t#G唐朝时六渡日本宣扬佛教为当时两国邦交做出重大贡献的是	鉴真	玄奘	郑和	王昭君	1
200	请耐心思考再作答：\n\t#G古人所称的“拙荆”是指	自己的妻子	自己的丈夫	对方的妻子	对方的丈夫	1
201	请耐心思考再作答：\n\t#G在古代，下列哪个词语中用来称呼对方妻子	令阃	令爱	内人	泰水	1
202	请耐心思考再作答：\n\t#G古代“敦煌艺术”源于中国哪个教派	佛教	道教	儒教	伊斯兰教	1
203	请耐心思考再作答：\n\t#G道教创始于哪个时代	东汉	西周	隋	春秋	1
204	请耐心思考再作答：\n\t#G以下不是古代祭祀常用牲畜的是	兔	牛	羊	猪	1
205	请耐心思考再作答：\n\t#G以下不是古代“祭祀”准备活动的是	止战	沐浴	斋戒	更衣	1
206	请耐心思考再作答：\n\t#G佛教所称“圆寂”是指	佛门中人去世	斋戒沐浴	面壁思过	作法事	1
207	请耐心思考再作答：\n\t#G古代所称“先考”是一种尊敬的称法，指的是	已逝世的父亲	已逝世的母亲	已逝世恩师	已逝世的兄长	1
208	请耐心思考再作答：\n\t#G甲的儿媳与乙的母亲是妯娌，乙应该称呼甲为	祖父/祖母	外公/外婆	舅父/舅母	太祖父/太祖母	1
209	请耐心思考再作答：\n\t#G甲与乙是连襟，则甲的女儿称乙的岳丈为	外公	舅老爷	太叔公	太祖父	1
210	请耐心思考再作答：\n\t#G下列农民起义哪次是洪秀全领导的：	大泽乡起义	黄巾起义	赤眉起义	金田起义	4
211	请耐心思考再作答：\n\t#G我国封建王朝正统皇帝大约有多少人？	约300人	约400人	约500人	约600人	3
212	请耐心思考再作答：\n\t#G古时人称“情谊契合、亲如兄弟”的朋友为	金兰之交	刎颈之交	患难之交	莫逆之交	1
213	请耐心思考再作答：\n\t#G佛门中主持“水陆法会”需要几天时间”	7天	3天	5天	10天	1
214	请耐心思考再作答：\n\t#G“皈依三宝”是成为正信佛教徒的第一课，其中三宝是指	佛、法、僧	金银、珍珠、玛瑙	同修、同解、同悦	尊敬、福德、善人	1
215	请耐心思考再作答：\n\t#G佛门戒律中“三聚净戒”是指？	菩萨戒	佛陀戒	僧伽戒	达摩戒	1
