INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	STRING	STRING	INT
48	放烟花	100	0	1	0	49	该榜收录本周使用烟花次数最多的前100名玩家。	-1					2
49	上周放烟花	100	0	1	3	-2	该榜收录上周使用烟花次数最多的前100名玩家。	-1					0
50	囚龙岛	100	0	1	0	51	该榜收录本周三番囚龙岛副本完成总时间最短的前100名玩家。	-1					2
51	上周囚龙岛	100	0	1	3	-2	该榜收录上周三番囚龙岛副本完成总时间最短的前100名玩家。	-1					0
52	和氏璧	100	0	1	0	53	该榜收录本周三番和氏璧副本完成总时间最短的前100名玩家。	-1					2
53	上周和氏璧	100	0	1	3	-2	该榜收录上周三番和氏璧副本完成总时间最短的前100名玩家。	-1					0
54	赤血号	100	0	1	0	55	该榜收录本周三番赤血号副本完成总时间最短的前100名玩家。	-1					2
55	上周赤血号	100	0	1	3	-2	该榜收录上周三番赤血号副本完成总时间最短的前100名玩家。	-1					0
56	祝家庄	100	0	1	0	57	该榜收录本周三番祝家庄副本完成总时间最短的前100名玩家。	-1					2
57	上周祝家庄	100	0	1	3	-2	该榜收录上周三番祝家庄副本完成总时间最短的前100名玩家。	-1					0
58	轮回台	100	0	1	0	59	该榜收录本周轮回台副本完成总时间最短的前100名玩家。	-1					2
59	上周轮回台	100	0	1	3	-2	该榜收录上周轮回台副本完成总时间最短的前100名玩家。	-1					0
60	大教堂	100	0	1	0	61	该榜收录本周三番大教堂副本完成总时间最短的前100名玩家。	-1					2
61	上周大教堂	100	0	1	3	-2	该榜收录上周三番大教堂副本完成总时间最短的前100名玩家。	-1					0
62	夏王墓	100	0	1	0	63	该榜收录本周三番夏王墓副本完成总时间最短的前100名玩家。	-1					2
63	上周夏王墓	100	0	1	3	-2	该榜收录上周三番夏王墓副本完成总时间最短的前100名玩家。	-1					0
64	印度河	100	0	1	0	65	该榜收录本周三番印度河副本完成总时间最短的前100名玩家。	-1					2
65	上周印度河	100	0	1	3	-2	该榜收录上周三番印度河副本完成总时间最短的前100名玩家。	-1					0
66	楼兰等级	25	0	1	0	67	该榜收录本周楼兰等级最高的前25名玩家。	-1			你的等级在上周进入楼兰前25名，	请于周一到国家管理员处接受封赏，将获得先锋勇士荣誉称号，显示该称号时可获得特殊的属性奖励。	0
67	上周楼兰等级	25	0	1	3	-2	该榜收录上周楼兰等级最高的前25名玩家。	-1					0
68	天山等级	25	0	1	0	69	该榜收录本周天山等级最高的前25名玩家。	-1			你的等级在上周进入天山前25名，	请于周一到国家管理员处接受封赏，将获得先锋勇士荣誉称号，显示该称号时可获得特殊的属性奖励。	0
69	上周天山等级	25	0	1	3	-2	该榜收录上周天山等级最高的前25名玩家。	-1					0
70	昆仑等级	25	0	1	0	71	该榜收录本周昆仑等级最高的前25名玩家。	-1			你的等级在上周进入昆仑前25名，	请于周一到国家管理员处接受封赏，将获得先锋勇士荣誉称号，显示该称号时可获得特殊的属性奖励。	0
71	上周昆仑等级	25	0	1	3	-2	该榜收录上周昆仑等级最高的前25名玩家。	-1					0
72	敦煌等级	25	0	1	0	73	该榜收录本周敦煌等级最高的前25名玩家。	-1			你的等级在上周进入敦煌前25名，	请于周一到国家管理员处接受封赏，将获得先锋勇士荣誉称号，显示该称号时可获得特殊的属性奖励。	0
73	上周敦煌等级	25	0	1	3	-2	该榜收录上周敦煌等级最高的前25名玩家。	-1					0
74	天赋	100	2	1	0	75	该榜收录本周天赋等级最高的前100名玩家。	-1					0
75	上周天赋	100	2	1	3	-2	该榜收录上周天赋等级最高的前100名玩家。	-1					0
76	领地	9	-1	0	1	77	领地战排行榜	-1					0
77	上周领地	9	-1	1	4	-2	上周领地战排行榜	-1					0
78	上周国家强弱	4	0	1	2	-1	国家强弱排行榜，国家综合实力的体现。	-1					0
