INT	INT	INT	STRING	INT	INT	INT	INT	STRING	INT	STRING	STRING
#	突厥红沙漠	62650	62699								
62650	1	13060015	508	156	115	10	-1	一望无际的沙漠中突然出现了一个白点向这里奔来，是它，沙漠之王！	1	一望无际的沙漠中突然出现了一个白点向这里奔来，是它，沙漠之王！	
62651	1	13060008	508	195	45	10	-1	你将罐子放入清澈的水中，却发现灌进罐子里的都是沙子，根本没有水！	1	你将罐子放入清澈的水中，却发现灌进罐子里的都是沙子，根本没有水！	
62652	1	13060009	508	55	183	10	-1	绿色药剂投入湖中，湖水泛起了一阵绿色后又变得清澈见底	1	绿色药剂投入湖中，湖水泛起了一阵绿色后又变得清澈见底	
62653	1	13060010	508	80	188	10	-1	你将水囊中装满了清澈的湖水	1	你将水囊中装满了清澈的湖水	
62654	1	13060014	508	43	27	10	-1	一声巨响，突厥大营陷入一片火海之中	1	一声巨响，突厥大营陷入一片火海之中	
#	突厥王城	62700	62749								
62700	1	13060022	510	210	94	10	-1	一阵眩光闪过，出现了一只怪异的妖兽	1	一阵眩光闪过，出现了一只怪异的妖兽	
62701	1	13060023	510	77	119	10	-1	你将大瓮装满了水	1	你将大瓮装满了水	
62702	1	13060025	510	86	155	10	-1	湿润的沙土一阵颤动，窜出了一批手持利刃的突厥武士	1	湿润的沙土一阵颤动，窜出了一批手持利刃的突厥武士	
62703	1	13060026	510	182	123	10	-1	随着一声轰鸣，狭窄的山路被巨石堵住	1	随着一声轰鸣，狭窄的山路被巨石堵住	
62704	1	13060027	510	132	81	10	-1	你点燃了手中的鞭炮，骆驼群受到惊吓四处乱窜	1	你点燃了手中的鞭炮，骆驼群受到惊吓四处乱窜	
62705	1	13060028	510	37	206	10	-1	随着一声巨响，河道被倒塌的建筑阻塞	1	随着一声巨响，河道被倒塌的建筑阻塞	
#	波斯高原	62750	62799								
62750	1	13060031	511	82	212	10	-1	一声尖啸，穿云箭在空中绽开了美丽的光彩！	1	一声尖啸，穿云箭在空中绽开了美丽的光彩！	
62751	1	13060032	511	117	219	10	-1	一阵清脆的金属共鸣之声过后，一个高大的形象出现在你的面前	1	一阵清脆的金属共鸣之声过后，一个高大的形象出现在你的面前	
62752	1	13060033	511	208	216	10	-1	穿云箭在空中炸开，突然一个声音大喝一声“札兰丁，你的末日到了！”	1	穿云箭在空中炸开，突然一个声音大喝一声“札兰丁，你的末日到了！”	
#	莫斯科公国	62800	62849								
62800	1	13060036	512	95	49	10	-1	木栏在熊熊的烈焰中燃烧殆尽	1	木栏在熊熊的烈焰中燃烧殆尽	
62801	1	13060037	512	58	212	10	-1	你将绿色的液体倒进了清澈的湖中	1	湖面上仿佛突然升起了一阵烟雾，马上又恢复了	
62802	1	13060040	512	206	198	10	-1	一声巨响，火炮在熊熊的烈焰中燃烧殆尽	1	一声巨响，火炮在熊熊的烈焰中燃烧殆尽	
#	基辅公国	62850	62899								
62850	1	13030053	513	233	93	10	-1	你点燃了火雷弹。	1	一声巨响之后，敌人的火炮被火舌淹没
#	波兰王国	62900	62949								
#	匈牙利王国	62950	62999								
#	日本福冈	63000	63049								
#	苏门答腊	63050	63099								
#	PVP	64000	64049								
#	PVE	65000	65999								
65000	1	13013300	2			10	-1	你使用了始耀结晶！	1	始耀的力量被引出，在本场景内杀怪就有可能获得理耀结晶！	
65001	1	13013301	3			10	-1	你使用了理耀结晶！	1	理耀的力量被引出，在本场景内杀怪就有可能获得命耀结晶！	
65002	1	13013302	4			10	-1	你使用了命耀结晶！	1	命耀的力量被引出，在本场景内杀怪就有可能获得化耀结晶！	
65003	1	13013303	5			10	-1	你使用了化耀结晶！	1	化耀的力量被引出，在本场景内杀怪就有可能获得灭耀结晶！	
65004	1	13013304	6	101	76	10	-1	你使用了灭耀结晶！	1	灭耀的力量被引出，瘴气一晃消灭了！	
#	PVE马场和迷宫	（66000--67000）									
#		PVE马场（66000-66100）									
66000	1	13060003	88|188|288|388	75	220	10	-1	你将蓝色的粉末倒进了湖里。	1	绿色粉末迅速地在湖水中溶解……	请在正确的位置使用该物品
66001	1	13060004	88|188|288|388	98	118	10	-1	穿云箭伴随着一声长鸣在空中炸开	1	天空中立刻出现了一团美丽的烟火，衬托得淡红色的天空格外美丽。	请在正确的位置使用该物品
		PVE迷宫（66101-66200）									
66101	1	13810045	20	175	175	10	-1	   	1	   	这里并不适合焚香祷告。
#	好友任务										
66201	1	13013600	50|150|250|350	374	290	10	-1	象征友谊的烟花绽放在天空中	1	天空中立刻出现了一团美丽的烟火，衬托得淡红色的天空格外美丽。	请在正确的位置使用该物品
66202	1	13013600	50|150|250|350	472	136	10	-1	象征友谊的烟花绽放在天空中	1	天空中立刻出现了一团美丽的烟火，衬托得淡红色的天空格外美丽。	请在正确的位置使用该物品
66203	1	13013600	50|150|250|350	117	258	10	-1	象征友谊的烟花绽放在天空中	1	天空中立刻出现了一团美丽的烟火，衬托得淡红色的天空格外美丽。	请在正确的位置使用该物品
66204	1	13013600	50|150|250|350	319	297	10	-1	象征友谊的烟花绽放在天空中	1	天空中立刻出现了一团美丽的烟火，衬托得淡红色的天空格外美丽。	请在正确的位置使用该物品
66205	1	13013600	50|150|250|350	137	41	10	-1	象征友谊的烟花绽放在天空中	1	天空中立刻出现了一团美丽的烟火，衬托得淡红色的天空格外美丽。	请在正确的位置使用该物品
66206	1	13013600	50|150|250|350	370	382	10	-1	象征友谊的烟花绽放在天空中	1	天空中立刻出现了一团美丽的烟火，衬托得淡红色的天空格外美丽。	请在正确的位置使用该物品
#	师徒任务										
66207	1	12030029	50|150|250|350	455	195	10	-1	黑甲头目出现	1	请在10分钟内击杀	请在正确的位置使用该物品
66208	1	12030029	50|150|250|350	107	405	10	-1	黑甲头目出现	1	请在10分钟内击杀	请在正确的位置使用该物品
66209	1	12030029	50|150|250|350	79	35	10	-1	黑甲头目出现	1	请在10分钟内击杀	请在正确的位置使用该物品
#	成2葱岭古道	67000	67999								
67000	1	13810200	89	64	172	10	-1	水囊已经盛满了甘甜清冽的水。	0		只有到水边才能盛水。
#	成2葱岭草场	68000	68050								
68000	1	13810252	89	78	132	10	-1	水囊已经盛满了甘甜清冽的水。	0		只有到水边才能盛水。
#	成2青海草场	68051	68099								
68051	1	13810256	289	239	203	10	-1	祭祀山丘上空绽放出朵朵美丽的烟火。	0		只有到山丘上才能进行祭祀仪式。
68052	1	13810252	289	71	176	10	-1	水囊已经盛满了甘甜清冽的水。	0		只有到水边才能盛水。
#	成2青海古道	68100	68149								
68100	1	13810257	286	54	173	10	-1	炸弹爆炸，发出惊雷般的巨响，女真营地内一片混乱。	0		太远了，女真人根部听不到啊。
#	成2秦岭	68150	68199								
68110	1	13810410	7	232	237	10	-1	堪舆罗盘显示出强烈的信号，金山大玉海肯定就在附近！	0		堪舆罗盘似乎感觉不到任何金山大玉海的信息。
