INT	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	INT	STRING	INT	INT	INT	INT	STRING	STRING	STRING	STRING	STRING	STRING	INT	INT	INT
16	-1	0	【剧场】三兄弟的馈赠	【剧场】三兄弟的馈赠	14	15	-1	10	-1	-1	0	-1	-1	-1	22000	-1	-1	-1	-1	1	220	0	0	1495	0	0	1	25	0	0	0	0	0	0	13020011	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	\t我，札木合，还有木华黎，结成了安答。听老人们常说，但凡做安答啊，就是如同一条命一样不相舍弃，要用自己的生命来救护对方，相亲相爱到永远。我一定要与我的好安答陪伴终身！\n\t对了，你对我们兄弟三人义结安答起了重要作用，为了感谢你，我们要送你一个礼物。	接受@npc_101001的礼物。		放弃任务	\t长生天在上，我铁木真和木华黎，札木合两位安答将我们结拜的信物雕翎箭，赠送给你，你是我们三人永远的朋友！	101001	铁木真	-1	-1	0	17	接受@npc_101001的礼物						0		0
17	-1	0	【剧场】重见道长	【剧场】重见道长	16	-1	-1	10	-1	-1	0	-1	-1	-1	22000	-1	-1	-1	-1	1	220	0	0	1495	0	0	1	25	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	\t刚才有个装束奇怪的人来过，他自称丘处机道长，让你去罕难河畔找他。	听说丘道长有事找你，去刚才的地方找到@npc_101000道长吧。	\t	放弃任务	\t#Y@myname#K#K，你回来了。你刚才已经帮助未来的王者扫去了他征途的最后一丝障碍。\n\t当有一天你陪同这位王者，站在世界之巅，俯视着世间的芸芸众生之时，你定然会明白这一切的意义。	101000	丘处机	-1	-1	0	18	找到@npc_101000						0		0
18	256100	1	【剧场】浪漫神箭	【剧场】浪漫神箭	17	-1	-1	10	-1	-1	0	-1	-1	-1	22300	-1	-1	-1	-1	1	352	0	0	10000	0	0	1	100	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	\t罕难河是铁木真童年和少年时期的成长之地，在这里铁木真遇到了札木合，木华黎等好兄弟，同时在这里，铁木真遇到了自己生命之初的爱情之花，孛儿贴。这是一个浪漫的时期，没有战争，没有血泪，一切都如同雨后的天空一般明亮。	将浪漫神箭交给@npc_101020，回到王城。		放弃任务	\t历史从不曾化为尘埃，它会一直烙印在人们的心中。	101020	钥匙老人	-1	-1	-1	-1	将浪漫神箭交给@npc_101020，回到王城						0		0
19	-1	0	【剧场】牧羊人的梦想	【剧场】牧羊人的梦想	9	-1	-1	10	-1	-1	0	-1	-1	-1	52002	52003	-1	-1	-1	1	209	0	0	1495	0	0	1	25	0	0	0	0	0	0	0	0	-1	0	-1	0	12010001	3	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	\t刚才来的那群蔑里岂人穿着结实的皮甲，他们头领腰间挂着的闪闪发光的腰刀，虽然他们想对小姐不轨，但我还是很羡慕他们的装备，真希望自己也能穿上那一身啊。\n\t你能满足我这个小小的心愿，弄一套蔑里岂人的装备来么？	从@npc_13014身上收集一套蔑里岂人的皮甲，从@npc_13015那里夺来蔑里岂腰刀，交给牧羊人@npc_101010。	\t刀，甲，我的梦想…… 	放弃任务	\t货真价实的皮甲和腰刀！我要马上穿起来…… 	101010	忽尔牧	-1	-1	-1	-1	消灭@npc_13014，获得蔑里岂皮甲	消灭@npc_13015，获得蔑里岂腰刀					0		0
20	200001	1	【剧场】击杀马贼	【剧场】击杀马贼	2	-1	-1	10	-1	-1	0	-1	-1	-1	22000	-1	-1	-1	-1	1	176	0	0	1495	0	0	1	25	0	0	0	0	0	0	0	0	-1	0	-1	0	-1	0	10236001	1	10236002	1	10236003	1	-1	0	-1	0	-1	0	0	\t在我们南方的温都尔丘陵有不少马贼，去把那些马贼除掉。	消灭6个@npc_13018，回报@npc_101003	\t这些马贼真是草原上的祸患，一定要想个办法一举除掉他们。	放弃任务	\t太好了，今天晚上让我们在草原上好好庆祝一番！\n#G(小提示：此任务可以获得附加属性点的装备奖励，增加#R力量#G，适合#R武士，剑侠，十字军和圣火使#G使用；增加#R敏捷#G，适合#R骑射，火枪，刺客和近卫军#G使用；增加#R智力#G，适合#R先知，萨满，僧侣和隐修士#G使用。)	101003	札木合	-1	-1	0	-1	消灭6个@npc_13018					#G按下I键可以寻找并加入一个队伍。	0		0
#	乞颜部大营		50	99																																																																							
50	-1	0	【剧场】王汗的救助	【剧场】孩子们的争端	-1	-1	-1	15	45	0	0	-1	-1	-1	22000	-1	-1	-1	-1	1	231	0	0	3618	0	0	1	31	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	\t#Y@myname#W，欢迎你。本来应该好好招待你一番，但我这里现在一片混乱。\n\t可恶的蔑里岂人袭击了铁木真的部落，还派了刺客刺杀他。\n\t我带来的本部兵马刚刚赶跑了这群“毒狼”。长生天保佑！铁木真暂时没有性命危险。	找到@npc_102010		放弃任务	\t铁木真，我的儿子，长生天保佑，你要挺过去！	102010	月伦夫人	-1	-1	0	51	找到@npc_102010						0		0
51	-1	0	【剧场】月轮夫人的忧虑	【剧场】月轮夫人的忧虑	50	-1	-1	15	-1	0	0	-1	-1	-1	22000	-1	-1	-1	-1	1	231	0	0	3618	0	0	1	31	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	\t乞颜部有位德高望重的萨满医师，想治好铁木真只有去请求他的医治了，我还要照顾铁木真，代我去找萨满医师寻求帮助。	找到@npc_102009		放弃任务	\t铁木真的事情我已经知道了。他伤势严重，不是普通伤药所能治愈的。恐怕需要备全两种圣药才有痊愈的希望。	102009	阔阔出	-1	-1	-1	-1	找到@npc_102009						0		0
52	-1	0	【剧场】灵水	【剧场】灵水	51	-1	-1	15	-1	0	0	-1	-1	-1	62050	52056	-1	-1	-1	1	253	0	0	4398	0	0	1	31	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	\t清洗伤口恢复机能，我需要用有灵气的水，这种水只有在西方群山和高地的岔路口处才有。切记，不可用你的手玷污了这灵水。否则我的治疗会失败。	到@npc_14017使用水囊	\t不要灌那些已经落地的灵水，要直接用水囊去接流下来的灵泉。		\t我能感觉到这水的灵气，看来你还比较听话，没有触碰它。	102009	阔阔出	-1	-1	-1	-1	到@npc_14017使用水囊	得到灵水					0		0
53	-1	0	【剧场】七星草	【剧场】七星草	51	-1	-1	15	-1	0	0	-1	-1	-1	52055	-1	-1	-1	-1	1	253	0	0	4398	0	0	1	31	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	\t治疗最重要的药引，是被萨满称为圣药的七星草。这种七星草生长在西面的卜握额草原上，伴随它们的是剧毒的丘陵狼蛛。看来你要去那里采集两株了。	采来2株@npc_14018给@npc_102009带回来。	\t如果你不幸被蜘蛛咬伤了，我是没办法救你的，你要小心了。		\t看来你以敏捷的身手没有被狼蛛惹上麻烦。	102009	阔阔出	-1	-1	-1	-1	采2棵@npc_14018						0		0
54	-1	0	【剧场】乞颜部的希望	【剧场】乞颜部的希望	52	53	-1	15	-1	0	0	-1	-1	-1	22000	-1	-1	-1	-1	1		0	0	3618	0	0	1	31	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	\t请你回报月伦夫人，有着伟大长生天的庇护，用不了多久铁木真又是那个如龙似虎的铁木真了。	找到@npc_102010			\t感谢长生天保佑我儿，感谢大萨满阔阔出。\n\t也要感谢王汗这次出兵来援，但是王汗为人利益至上……	102010	月伦夫人	-1	-1	0	55	找到@npc_102010						0		0
55	-1	0	【剧场】银狐围脖<一>	【剧场】银狐围脖<一>	54	-1	-1	15	-1	0	0	-1	-1	-1	22000	-1	-1	-1	-1	1	231	0	0	3618	0	0	1	31	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	\t我记得王汗的一个女儿很喜欢孛儿贴的银狐围脖，就把这围脖送给王汗吧。虽然这是我儿和孛儿贴的定情信物，但是……\n\t唉，让我的女佣去取来吧。	找@npc_102011要银狐围脖		放弃任务	\t夫人要把那银狐围脖送人吗？\n\t可怜的孛儿贴……	102011	女佣豁黑	-1	-1	0	56	找@npc_102011要银狐围脖						0		0
56	-1	0	【剧场】银狐围脖<二>	【剧场】银狐围脖<二>	55	-1	-1	15	-1	0	0	-1	-1	-1	22053	-1	-1	-1	-1	1	231	0	0	3618	0	0	1	31	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	\t这就是银狐围脖了，孛儿贴最喜欢的东西，她只有在特殊日子才舍得戴它。你…… 就照夫人的意思做吧。	把银狐围脖带去给@npc_102004。		放弃任务	\t哈哈，我女儿一直很喜爱这条银狐围脖，那我就不客气了，替我谢谢月伦夫人。	102004	王汗	-1	-1	0	57	把银狐围脖带去给@npc_102004						0		0
57	-1	0	【剧场】联络安答	【剧场】联络安答	56	-1	-1	15	-1	0	0	-1	-1	-1	22000	-1	-1	-1	-1	1	242	0	0	8877	0	0	1	31	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	\t等铁木真恢复了健康，我就即刻出兵蔑里岂。\n\t我听速不台说铁木真的两个安答早已经在赶来的路上了。为何迟迟不到，你可否出营迎接？	找到铁木真的安答@npc_102019。		放弃任务	\t上次草原一别，又见面了。\n\t听说了铁木真对蔑里岂人开战，我特地赶过来。可是这里的麻烦…… 	102019	札木合	-1	-1	0	-1	找到@npc_102019						0		0
58	-1	0	【剧场】雪狼的威胁	【剧场】雪狼的威胁	57	-1	-1	15	-1	0	0	-1	-1	-1	12052	-1	-1	-1	-1	1	242	0	0	18877	0	0	1	31	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	\t前天我们赶到这不尔罕雪山，困累交加，就小睡了一会。可当我醒来时，发现我竟然被雪狼包围了。这些该死的雪狼很是凶猛，你帮我去雪山谷里干掉它们。	到山谷中消灭5只@npc_14011后向@npc_102019复命。	\t高山雪原上的狼群异常凶猛。	放弃任务	\t多谢你的帮忙，否则过段日子雪狼会成为这里的一害。\n\t不过，我这里还有个请求。	102019	札木合	-1	-1	-1	-1	除掉5只@npc_14011					建议组队完成本任务。	0		0
59	200500	1	【剧场】寻回马刀	【剧场】寻回马刀	58	60	-1	15	-1	0	0	-1	-1	-1	52051	-1	-1	-1	-1	1	242	0	0	18877	0	0	1	31	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	0	10266001	1	10266002	1	10266003	1	-1	0	-1	0	-1	0	0	\t我们匆忙逃出的时候，马刀丢在了不尔罕雪山的山谷里。你帮我去把我的武器取出来吧，小心那里的雪狼。	到不尔罕雪山找回@npc_14019后拿给@npc_102024。	\t要是没有武器就去见铁木真可太丢脸了，拜托你了。	放弃任务	\t很好，我这就可以动身了。	102024	木华黎	-1	-1	0	61	找到@npc_14019						0		0
60	-1	0	【剧场】雪狼王	【剧场】雪狼王	57	-1	-1	15	-1	0	0	-1	-1	-1	12050	-1	-1	-1	-1	1	242	0	0	18877	0	0	1	31	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	\t狼群里面有个体型巨大通体雪白的雪狼，应该是这批雪狼的王。如果不把雪狼王杀掉，恐怕很难逃离这雪狼的围攻。	到山谷中除掉@npc_14012。\n#G（小提示：雪狼王的能力比普通的雪狼要强很多，建议您注意使用回复生命的药品。）	\t雪狼王比一般的雪狼都要强上许多，要小心。	放弃任务	\t很好，我这就可以动身了。	102019	札木合	-1	-1	-1	-1	除掉@npc_14012						0		0
61	-1	0	【剧场】兄弟齐心	【剧场】兄弟齐心	59	-1	-1	15	-1	0	0	-1	-1	-1	12053	-1	-1	-1	-1	1	242	0	0	8877	0	0	1	31	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	\t蔑里岂人以为铁木真受伤不轻，竟然在我乞颜部大营前肆无忌惮行事。是时候给他们一点点教训。	击杀5名@npc_14009。	\t别让这些蔑里岂士兵逃走。	放弃任务	\t想不到木华黎与札木合在路上遇到这么多艰险！#Y@myname#W感谢你。	102010	月伦夫人	-1	-1	0	62	击杀5名@npc_14009						0		0
62	-1	0	【剧场】真相<一>	【剧场】真相<一>	61	-1	-1	15	-1	0	0	-1	-1	-1	22052	-1	-1	-1	-1	1	242	0	0	8877	0	0	1	31	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	\t刚才听华筝说，郭靖曾用一把奇特的弓赢了桑昆，我觉得事有蹊跷，郭靖哪里来的弓呢？\n\t你去问问拖雷，他与郭靖最熟。	搜寻弓箭后找@npc_102002询问。	\t找到那把弓箭了吗。	放弃任务	\t郭靖的那把黑弓与射伤父亲的弓好像啊，不过我不相信郭靖会伤害父亲。	102002	拖雷	-1	-1	0	63	询问@npc_102002						0		0
63	-1	0	【剧场】真相<二>	【剧场】真相<二>	62	-1	-1	15	-1	0	0	-1	-1	-1	52050	-1	-1	-1	-1	1	253	0	0	9398	0	0	1	31	0	0	0	0	0	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	\t我看见郭靖把弓藏在了旁边的那个木桶里。	找到郭靖藏起的@npc_14014后拿给@npc_102004。		放弃任务	\t这支箭！郭靖这孩子，怎么会有此物？难道他和刺客有关？！	102004	王汗	-1	-1	0	64	找到@npc_14014后拿给@npc_102004						0		0
64	200503	1	【剧场】真相<三>	【剧场】真相<三>	63	-1	-1	15	-1	0	0	-1	-1	-1	22000	-1	-1	-1	-1	1	231	0	0	3618	0	0	1	31	0	0	0	0	0	0	13020012	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	-1	0	0	\t虽然我很难相信这个事实，但现在只有从郭靖这孩子身上下手了，希望他这次不要因为倔强吃太多苦头，你先等等。我这就派人把郭靖叫来。	看@npc_102004找出刺客。		放弃任务	\t走脚本	102004	王汗	-1	-1	0	66	看@npc_102004抓住刺客						0		0
