23:05:11  |  Platform  |  Info  |  * Initialise: DataManager  |  E:\learn3D\MyGUI\uirender\MyGUI_OgreDataManager.cpp  |  25
23:05:11  |  Core  |  Info  |  * Initialise: LanguageManager  |  E:\learn3D\MyGUI\uiengine\MyGUI_LanguageManager.cpp  |  30
23:05:11  |  Core  |  Info  |  LanguageManager successfully initialized  |  E:\learn3D\MyGUI\uiengine\MyGUI_LanguageManager.cpp  |  34
23:05:11  |  Core  |  Info  |  * Initialise: FactoryManager  |  E:\learn3D\MyGUI\uiengine\MyGUI_FactoryManager.cpp  |  25
23:05:11  |  Core  |  Info  |  FactoryManager successfully initialized  |  E:\learn3D\MyGUI\uiengine\MyGUI_FactoryManager.cpp  |  27
23:05:11  |  Core  |  Info  |  * Initialise: ToolTipManager  |  E:\learn3D\MyGUI\uiengine\MyGUI_ToolTipManager.cpp  |  33
23:05:11  |  Core  |  Info  |  ToolTipManager successfully initialized  |  E:\learn3D\MyGUI\uiengine\MyGUI_ToolTipManager.cpp  |  45
23:05:11  |  Core  |  Info  |  Load ini file 'MyGUI_Fonts.xml'  |  E:\learn3D\MyGUI\uiengine\MyGUI_ResourceManager.cpp  |  114
23:05:14  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'font_Simhei' using texture size 4096 x 4096.  |  E:\learn3D\MyGUI\uiengine\MyGUI_ResourceTrueTypeFont.cpp  |  779
23:05:14  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'font_Simhei' using real height 18 pixels.  |  E:\learn3D\MyGUI\uiengine\MyGUI_ResourceTrueTypeFont.cpp  |  780
23:05:14  |  Core  |  Info  |  Load ini file 'MyGUI_CommonSkins.xml'  |  E:\learn3D\MyGUI\uiengine\MyGUI_ResourceManager.cpp  |  114
23:05:14  |  Core  |  Info  |  Register value : 'HCenter' = 0  |  E:\learn3D\mygui\uiengine\MyGUI_Align.h  |  228
23:05:14  |  Core  |  Info  |  Register value : 'VCenter' = 0  |  E:\learn3D\mygui\uiengine\MyGUI_Align.h  |  229
23:05:14  |  Core  |  Info  |  Register value : 'Center' = 0  |  E:\learn3D\mygui\uiengine\MyGUI_Align.h  |  230
23:05:14  |  Core  |  Info  |  Register value : 'Left' = 2  |  E:\learn3D\mygui\uiengine\MyGUI_Align.h  |  231
23:05:14  |  Core  |  Info  |  Register value : 'Right' = 4  |  E:\learn3D\mygui\uiengine\MyGUI_Align.h  |  232
23:05:14  |  Core  |  Info  |  Register value : 'HStretch' = 6  |  E:\learn3D\mygui\uiengine\MyGUI_Align.h  |  233
23:05:14  |  Core  |  Info  |  Register value : 'Top' = 8  |  E:\learn3D\mygui\uiengine\MyGUI_Align.h  |  234
23:05:14  |  Core  |  Info  |  Register value : 'Bottom' = 16  |  E:\learn3D\mygui\uiengine\MyGUI_Align.h  |  235
23:05:14  |  Core  |  Info  |  Register value : 'VStretch' = 24  |  E:\learn3D\mygui\uiengine\MyGUI_Align.h  |  236
23:05:14  |  Core  |  Info  |  Register value : 'Stretch' = 30  |  E:\learn3D\mygui\uiengine\MyGUI_Align.h  |  237
23:05:14  |  Core  |  Info  |  Register value : 'Default' = 10  |  E:\learn3D\mygui\uiengine\MyGUI_Align.h  |  238
23:05:14  |  Core  |  Info  |  Load ini file 'MyGUI_BlueWhiteTheme.xml'  |  E:\learn3D\MyGUI\uiengine\MyGUI_ResourceManager.cpp  |  114
23:05:14  |  Core  |  Info  |  Load ini file 'MyGUI_BlueWhiteImages.xml'  |  E:\learn3D\MyGUI\uiengine\MyGUI_ResourceManager.cpp  |  114
23:05:14  |  Core  |  Info  |  Load ini file 'MyGUI_BlueWhiteSkins.xml'  |  E:\learn3D\MyGUI\uiengine\MyGUI_ResourceManager.cpp  |  114
23:05:14  |  Core  |  Info  |  Load ini file 'MyGUI_BlueWhiteTemplates.xml'  |  E:\learn3D\MyGUI\uiengine\MyGUI_ResourceManager.cpp  |  114
23:05:14  |  Core  |  Info  |  Load ini file 'MyGUI_PointerImages.xml'  |  E:\learn3D\MyGUI\uiengine\MyGUI_ResourceManager.cpp  |  114
23:05:14  |  Core  |  Info  |  Load ini file 'MyGUI_Pointers.xml'  |  E:\learn3D\MyGUI\uiengine\MyGUI_ResourceManager.cpp  |  114
23:05:14  |  Core  |  Info  |  Load ini file 'MyGUI_Layers.xml'  |  E:\learn3D\MyGUI\uiengine\MyGUI_ResourceManager.cpp  |  114
23:05:14  |  Core  |  Info  |  Load ini file 'MyGUI_Settings.xml'  |  E:\learn3D\MyGUI\uiengine\MyGUI_ResourceManager.cpp  |  114
23:05:14  |  Core  |  Info  |  Gui successfully initialized  |  E:\learn3D\MyGUI\uiengine\MyGUI_Gui.cpp  |  111
